Pallet: "offences", Extrinsic: "on_initialize", Lowest values: [], Highest values: [], Steps: [20], Repeat: 20
d,extrinsic_time,storage_root_time
1,132747,66653
1,96134,49551
1,94596,61980
1,108571,63526
1,96737,64014
1,105641,50063
1,97461,47005
1,98699,48378
1,96011,46359
1,102599,48127
1,96282,46696
1,96480,47809
1,94848,45944
1,104471,55299
1,122210,50156
1,120174,56755
1,132135,50477
1,98338,48308
1,99631,58907
1,92422,46556
5,192437,50255
5,167384,47360
5,164848,47243
5,177637,67973
5,173472,48379
5,176056,50646
5,168137,49351
5,166773,48962
5,168985,48127
5,158925,69123
5,160384,48598
5,168164,48960
5,180373,62449
5,176266,48941
5,176425,46867
5,162680,50360
5,163398,49320
5,163320,48470
5,164340,46800
5,175926,48240
9,227578,48951
9,245343,50361
9,231483,48662
9,235739,49248
9,295035,54022
9,266040,48966
9,251530,51374
9,232484,47904
9,228214,48938
9,231791,50601
9,254330,51097
9,229189,66641
9,237281,51755
9,230346,47946
9,230699,59822
9,249668,51342
9,228717,48775
9,233461,48770
9,231502,46471
9,238591,49855
13,296660,47497
13,295890,46826
13,315006,47816
13,294325,57552
13,311544,50003
13,314163,52089
13,297294,48238
13,394352,53861
13,296958,47629
13,309125,50171
13,332465,50703
13,300081,49265
13,294767,46180
13,292781,46997
13,290731,45960
13,287924,46130
13,293319,46554
13,305174,57885
13,289114,45344
13,290157,65957
17,358276,47756
17,359278,47903
17,362861,47163
17,363667,47397
17,367385,47076
17,362064,46572
17,356741,46754
17,375650,48160
17,357860,47399
17,376331,50112
17,365666,47920
17,363475,47339
17,356516,46655
17,359834,47607
17,359204,46980
17,373311,48623
17,380635,58387
17,391925,50664
17,360571,48184
17,357779,47485
21,540113,59596
21,425597,49926
21,444670,50506
21,459097,48157
21,444772,48316
21,428664,48808
21,430416,48014
21,429231,48155
21,425832,44951
21,443802,52133
21,424804,51021
21,446735,48481
21,441028,63226
21,426559,48375
21,465317,45255
21,422546,45547
21,449256,50557
21,427599,47563
21,463962,48309
21,444779,49271
25,493502,47160
25,493400,47934
25,489805,46922
25,494968,48492
25,506162,50751
25,493503,49413
25,497074,47428
25,523859,52495
25,507708,50320
25,521124,49735
25,503948,48189
25,498133,50909
25,496970,50399
25,497375,47960
25,494554,47517
25,516754,66576
25,536204,48200
25,504175,50104
25,495817,47236
25,493015,47585
29,557572,48917
29,571507,49959
29,566920,48571
29,611645,48064
29,581145,52001
29,561514,46315
29,553033,67643
29,569616,48137
29,568437,52910
29,563411,54805
29,569969,49036
29,584193,51053
29,581767,49085
29,623582,55307
29,554053,58820
29,603791,53471
29,562661,56582
29,584600,51502
29,560200,48872
29,586118,50359
33,617566,48842
33,628675,47984
33,676856,54302
33,694579,56032
33,628495,49704
33,628583,50812
33,618973,47998
33,639385,47616
33,635031,47874
33,631671,48760
33,624409,49836
33,646983,50323
33,622750,47669
33,628827,49726
33,633842,48298
33,681124,53556
33,902303,59888
33,641936,52719
33,619902,48919
33,633354,49832
37,702524,48993
37,692099,49344
37,700813,50614
37,711696,51358
37,687057,48657
37,708821,52413
37,695903,49248
37,713645,50175
37,701059,49659
37,722725,53447
37,696892,48076
37,737715,71029
37,699930,48944
37,698416,49105
37,740565,64066
37,767189,53936
37,726231,52658
37,725476,61710
37,698741,51580
37,716809,48633
41,924488,54301
41,748704,60322
41,814196,49266
41,747699,48128
41,743896,48330
41,795996,52023
41,758537,49443
41,744437,48369
41,821906,56608
41,892178,57171
41,780783,53337
41,790215,61811
41,808883,50712
41,770975,52598
41,783546,53685
41,779969,51817
41,785508,49902
41,847428,56939
41,803674,51327
41,801191,52933
45,842487,62545
45,855450,55861
45,883529,55789
45,819460,49850
45,811918,49366
45,830816,51545
45,831470,52024
45,812151,50048
45,810949,48229
45,828453,54910
45,817622,49309
45,808154,48293
45,860963,53308
45,899652,55846
45,882295,51551
45,942936,53312
45,871559,48163
45,870414,51188
45,844949,51338
45,853034,49127
49,895425,49992
49,932887,56815
49,903594,52173
49,902375,53611
49,889532,50921
49,944442,65885
49,941832,84080
49,877374,49120
49,1182150,64120
49,1102927,60592
49,892278,52953
49,883523,48599
49,919087,50374
49,949609,52746
49,906581,87952
49,990949,52760
49,904694,55528
49,975138,61454
49,892881,51690
49,992039,57141
53,952918,69671
53,987639,51847
53,999038,52546
53,1033101,52613
53,948255,50322
53,964176,52631
53,1000900,51817
53,979287,51610
53,947124,49208
53,971496,51813
53,956319,50448
53,948283,54375
53,942703,49261
53,958730,51737
53,987513,51209
53,946150,47769
53,975679,72728
53,950506,49867
53,962227,51655
53,998895,66966
57,1065274,52224
57,1029464,49744
57,1074868,57175
57,1118370,54742
57,1026522,70355
57,1038960,49986
57,1023317,67020
57,1037157,51395
57,1054568,62901
57,1085913,53977
57,1035297,52091
57,1042136,52136
57,1021986,47939
57,1048270,52585
57,1053426,69103
57,1014322,47737
57,1075993,52565
57,1090466,75306
57,1041036,49169
57,1021195,49358
61,1116437,50956
61,1102619,54427
61,1180490,56157
61,1111875,54048
61,1094000,52829
61,1096676,49257
61,1130334,53203
61,1094331,50647
61,1112388,51676
61,1143933,55723
61,1092981,49906
61,1088076,48243
61,1112572,52101
61,1357656,67139
61,1633245,51902
61,1120636,65504
61,1088846,49397
61,1109825,50805
61,1101544,51755
61,1120472,50086
65,1132750,48566
65,1281938,48946
65,1218074,49923
65,1177598,75095
65,1255482,67322
65,1209216,64258
65,1210363,52273
65,1155998,50416
65,1237856,49173
65,1244316,46763
65,1196924,51169
65,1144758,49640
65,1146311,72298
65,1199626,50193
65,1255838,64422
65,1214969,49568
65,1157509,65515
65,1154797,50308
65,1172871,52279
65,1156390,49689
69,1232726,51300
69,1266354,54471
69,1354813,51737
69,1242568,49955
69,1248188,51821
69,1219861,50491
69,1221172,48756
69,1238368,50408
69,1224762,49309
69,1215047,47452
69,1247817,60015
69,1211451,49189
69,1231385,52034
69,1247251,51901
69,1232227,47446
69,1290904,99317
69,1275373,57271
69,1219136,50066
69,1272330,54338
69,1248407,53362
73,1380987,54136
73,1340499,53965
73,1357645,55102
73,1312324,53380
73,1365023,58638
73,1290918,49487
73,1310726,53548
73,1324155,61531
73,1292869,51948
73,1303183,50996
73,1327610,53213
73,1379370,82002
73,1419117,52724
73,1415738,61645
73,1304397,51580
73,1480375,82550
73,1384299,53064
73,1487919,59695
73,1537541,53863
73,1402425,55951
77,1369584,52807
77,1363354,51385
77,1457131,57869
77,1362550,51149
77,1473846,54533
77,1518155,55476
77,1555499,55071
77,1517044,51395
77,1517661,52931
77,1510955,71166
77,1496346,52837
77,1434687,50840
77,1400526,56452
77,1385603,51644
77,1393170,63819
77,1401387,51788
77,1463929,53669
77,1403873,54691
77,1449442,54243
77,1461581,51393
81,1497422,54600
81,1478379,53169
81,1481302,54718
81,1601174,56046
81,1608713,58013
81,1451535,55796
81,1557134,82342
81,1482905,52086
81,1456207,54345
81,1445566,53157
81,1417408,56763
81,1460158,52390
81,1406994,50631
81,1438979,53416
81,1474588,56280
81,1424904,53621
81,1471819,55913
81,1425268,52240
81,1433700,53455
81,1438335,52807
85,1490306,50992
85,1562972,55680
85,1514310,51558
85,1507838,54519
85,1492038,52542
85,1514885,52202
85,1555764,53936
85,1624461,75626
85,1616570,59348
85,1542354,54697
85,1628990,64806
85,1618453,54838
85,1558101,55752
85,1519254,51645
85,1586195,52752
85,1648852,55791
85,1610043,70169
85,1715487,67481
85,1591848,55411
85,1531187,54919
89,1552846,52800
89,1583712,55547
89,1571487,53213
89,1709958,54821
89,1578683,52379
89,1645477,53269
89,1595815,56708
89,1585397,52698
89,1635796,56325
89,1633861,67157
89,1706560,57033
89,1687278,59199
89,1582039,55683
89,1560046,51374
89,1609709,49570
89,1583517,58139
89,1741697,70005
89,1638280,59569
89,1548116,52952
89,1763617,81980
93,1665019,54341
93,1642056,60049
93,1645173,53712
93,1674856,55252
93,1768437,63486
93,1633381,53912
93,1669116,64140
93,1660814,55880
93,1689179,53263
93,1623014,51235
93,1767430,53097
93,1751921,56102
93,1803106,68348
93,1941803,55602
