Pallet: "offences", Extrinsic: "report_offence", Lowest values: [], Highest values: [], Steps: [20], Repeat: 20
r,o,n,extrinsic_time,storage_root_time
1,100,100,1193544035,177586478
1,100,100,1157009790,172847261
1,100,100,1145826842,176139011
1,100,100,1162092262,173687344
1,100,100,1140449759,172665531
1,100,100,1151740550,178314950
1,100,100,1185961071,178245887
1,100,100,1179258203,182825079
1,100,100,1167690236,180961359
1,100,100,1165647169,177669613
1,100,100,1178618482,176344699
1,100,100,1179586167,181208683
1,100,100,1184100660,175880008
1,100,100,1195751878,175716178
1,100,100,1184216803,180045667
1,100,100,1198710229,174385971
1,100,100,1172321963,178794799
1,100,100,1167896704,172246937
1,100,100,1144498968,175463158
1,100,100,1168396385,175639826
5,100,100,1171338088,185411728
5,100,100,1173132348,172808665
5,100,100,1188042026,174787022
5,100,100,1176852435,173515889
5,100,100,1282280949,185421810
5,100,100,1217969833,184332549
5,100,100,1161858665,173736968
5,100,100,1184252029,173702178
5,100,100,1182354173,175679836
5,100,100,1167153037,176335821
5,100,100,1165488185,174997488
5,100,100,1140141125,171710088
5,100,100,1163849595,188499627
5,100,100,1166102162,177953308
5,100,100,1154199317,175998852
5,100,100,1226746232,182189731
5,100,100,1174297212,176137339
5,100,100,1168755974,178978210
5,100,100,1147598340,174709975
5,100,100,1148451027,174173693
9,100,100,1160949043,175571545
9,100,100,1167359223,175554947
9,100,100,1242927927,191167293
9,100,100,1195369187,186890122
9,100,100,1212773143,182001344
9,100,100,1219560923,195053226
9,100,100,1201586326,174403566
9,100,100,1176018517,175348021
9,100,100,1234341815,199423609
9,100,100,1251343069,207545231
9,100,100,1189253406,177644220
9,100,100,1218052303,199761513
9,100,100,1191282391,176578109
9,100,100,1200858644,178833109
9,100,100,1196751228,176187803
9,100,100,1202154424,180133164
9,100,100,1203719145,180200418
9,100,100,1203757900,181192408
9,100,100,1185322134,181970235
9,100,100,1222387255,203166307
13,100,100,1185573771,176836565
13,100,100,1184758365,175606876
13,100,100,1197441663,178634064
13,100,100,1194108306,178019852
13,100,100,1191225722,181895872
13,100,100,1199214678,176045825
13,100,100,1199780567,179166039
13,100,100,1183100323,178589299
13,100,100,1193975323,177858882
13,100,100,1239446827,177492521
13,100,100,1186007831,177721489
13,100,100,1196537044,180743604
13,100,100,1223015041,180885291
13,100,100,1193185625,176034033
13,100,100,1173400054,174850349
13,100,100,1180269800,176857629
13,100,100,1197741525,178766741
13,100,100,1187615585,182115835
13,100,100,1200663616,175364289
13,100,100,1181304052,177604994
17,100,100,1197810922,182912007
17,100,100,1212886631,181113624
17,100,100,1195362150,174159696
17,100,100,1206477653,176583435
17,100,100,1178616798,179415706
17,100,100,1202246316,177047884
17,100,100,1206314506,181206204
17,100,100,1181211897,179850763
17,100,100,1207825709,175863040
17,100,100,1208574482,179489818
17,100,100,1201060667,179429990
17,100,100,1206579018,176362764
17,100,100,1208620505,177406619
17,100,100,1178936965,176916349
17,100,100,1213774787,174659511
17,100,100,1189486273,176427168
17,100,100,1194464968,184374450
17,100,100,1190959104,175617433
17,100,100,1192476894,175024151
17,100,100,1211971289,179520657
21,100,100,1228601184,177543978
21,100,100,1215232216,180010754
21,100,100,1185739386,174070120
21,100,100,1188092992,177331193
21,100,100,1212145826,179366520
21,100,100,1223817147,174542593
21,100,100,1232596203,179148654
21,100,100,1212899077,178117468
21,100,100,1188872814,178992926
21,100,100,1209257946,177819776
21,100,100,1196566158,176088880
21,100,100,1193475039,178993170
21,100,100,1225901780,182540082
21,100,100,1198420629,177434752
21,100,100,1189638309,174940999
21,100,100,1189226743,178547775
21,100,100,1191193268,175183548
21,100,100,1209926782,177054646
21,100,100,1194990797,179897476
21,100,100,1203593283,174780900
25,100,100,1254169439,173148403
25,100,100,1240447121,179632126
25,100,100,1259683454,176704691
25,100,100,1278772035,179282724
25,100,100,1246885776,175114149
25,100,100,1244053257,177729688
25,100,100,1238154570,177446222
25,100,100,1267244642,178207636
25,100,100,1263778359,176576440
25,100,100,1302375711,178973978
25,100,100,1244241482,178122147
25,100,100,1253414166,180979198
25,100,100,1254933854,176955467
25,100,100,1236865768,177771888
25,100,100,1276384475,177086792
25,100,100,1265296131,180580248
25,100,100,1249584034,184915765
25,100,100,1242538888,177062932
25,100,100,1248302001,176770443
25,100,100,1267424830,177724734
29,100,100,1268005719,176176539
29,100,100,1285983381,178731844
29,100,100,1249774483,176527057
29,100,100,1256675181,176378375
29,100,100,1263931684,176901292
29,100,100,1254294547,177342099
29,100,100,1252918112,178655153
29,100,100,1272319932,180676077
29,100,100,1242739170,176822017
29,100,100,1253602252,173054917
29,100,100,1269646285,177955400
29,100,100,1262394843,179983669
29,100,100,1281395408,179489543
29,100,100,1276712680,178971757
29,100,100,1258826630,178933945
29,100,100,1264610148,182519306
29,100,100,1264255045,177654124
29,100,100,1245896546,178074961
29,100,100,1271347493,180264421
29,100,100,1243354571,179634527
33,100,100,1261739473,180344602
33,100,100,1277497628,181977982
33,100,100,1258716282,176746883
33,100,100,1262026040,178447871
33,100,100,1264872530,181194046
33,100,100,1271166605,173944796
33,100,100,1291382963,175986067
33,100,100,1279486762,179974084
33,100,100,1253132111,179549758
33,100,100,1252331027,175858114
33,100,100,1268647574,175516944
33,100,100,1298220196,177776597
33,100,100,1261746133,176984497
33,100,100,1279503215,176777401
33,100,100,1283222806,179416570
33,100,100,1245423900,178541933
33,100,100,1250868435,177939990
33,100,100,1256186349,177742502
33,100,100,1261949124,176918076
33,100,100,1263959558,175179762
37,100,100,1251986811,175150594
37,100,100,1285262433,174228296
37,100,100,1275455331,181980735
37,100,100,1251444901,177396488
37,100,100,1270123078,176008547
37,100,100,1269821342,177879456
37,100,100,1280309976,175817572
37,100,100,1273435072,176858094
37,100,100,1279251387,179085866
37,100,100,1266755847,178789390
37,100,100,1262229249,175498141
37,100,100,1269916554,178063365
37,100,100,1280554832,176048091
37,100,100,1267224770,176666884
37,100,100,1279031397,178602847
37,100,100,1291420183,176597934
37,100,100,1280328946,178430577
37,100,100,1284005069,178567066
37,100,100,1268012090,177313810
37,100,100,1336462571,197287110
41,100,100,1349288227,183169645
41,100,100,1268701385,177077546
41,100,100,1284743655,176703921
41,100,100,1269881961,177435468
41,100,100,1280944566,181793031
41,100,100,1282504986,182971413
41,100,100,1308737419,183227546
41,100,100,1282840943,182638400
41,100,100,1278731821,176488054
41,100,100,1326391680,178765848
41,100,100,1299614147,179691195
41,100,100,1268435898,178895558
41,100,100,1271911773,174155776
41,100,100,1251903357,175037200
41,100,100,1314143197,174333884
41,100,100,1287226649,178159164
41,100,100,1241710710,177940452
41,100,100,1281840364,177951174
41,100,100,1308371650,176836441
41,100,100,1274165329,174517878
45,100,100,1268101056,182061069
45,100,100,1256325483,176459732
45,100,100,1290963163,177345746
45,100,100,1284688487,178517715
45,100,100,1300775312,175913916
45,100,100,1277062295,182029531
45,100,100,1256068079,173321649
45,100,100,1250026946,177812039
45,100,100,1269412701,175512161
45,100,100,1268343744,177147610
45,100,100,1284480060,176501374
45,100,100,1286523381,179117725
45,100,100,1275761029,174711045
45,100,100,1292698237,180769525
45,100,100,1262169602,172654955
45,100,100,1292297211,172320589
45,100,100,1289654031,178153377
45,100,100,1275888659,175934793
45,100,100,1277783872,176522909
45,100,100,1299627066,176659176
49,100,100,1295078604,175130255
49,100,100,1283623051,179017877
49,100,100,1303743666,179981840
49,100,100,1265428985,178473309
49,100,100,1325203497,178590564
49,100,100,1291155271,175952486
49,100,100,1289913410,176884511
49,100,100,1283351405,178376351
49,100,100,1285980895,174960246
49,100,100,1276261004,176261550
49,100,100,1282000114,177538604
49,100,100,1296515400,212616161
49,100,100,1270677613,175187159
49,100,100,1281141474,173918283
49,100,100,1275906337,177406100
49,100,100,1314666761,182039240
49,100,100,1286596072,179568671
49,100,100,1289386326,176270275
49,100,100,1289960052,178371425
49,100,100,1301160899,181506367
53,100,100,1284301219,177236958
53,100,100,1368919094,176046689
53,100,100,1309305660,174678862
53,100,100,1293702339,177076123
53,100,100,1286092560,174540409
53,100,100,1280237565,179957929
53,100,100,1299787945,178280490
53,100,100,1268987872,174926679
53,100,100,1311242583,180326574
53,100,100,1307323496,184229112
53,100,100,1342571463,177053350
53,100,100,1319366477,179067179
53,100,100,1313675688,177723317
53,100,100,1325761211,179222112
53,100,100,1313183523,180452861
53,100,100,1331373633,180853528
53,100,100,1356362612,182646062
53,100,100,1307433321,178051109
53,100,100,1314865280,177236085
53,100,100,1319548767,178017803
57,100,100,1329502197,182057214
57,100,100,1348084575,181258475
57,100,100,1352474948,183875079
57,100,100,1310538379,176973850
57,100,100,1299500753,180148949
57,100,100,1333685055,184868642
57,100,100,1318227807,181867404
57,100,100,1324258552,177307976
57,100,100,1317153642,181947795
57,100,100,1293320583,179758674
57,100,100,1296977941,177721200
57,100,100,1298380844,173888647
57,100,100,1287520320,176133894
57,100,100,1323770905,177573213
57,100,100,1287351922,178669008
57,100,100,1292512532,184590887
57,100,100,1299997546,177397209
57,100,100,1344080410,174453047
57,100,100,1285608697,176984808
57,100,100,1303503609,178050389
61,100,100,1302443991,176230447
61,100,100,1297277280,174767492
61,100,100,1338944512,176108268
61,100,100,1285169943,172208302
61,100,100,1303165467,177626997
61,100,100,1317896301,176433815
61,100,100,1284719457,176206317
61,100,100,1289098771,174564881
61,100,100,1278396523,173859926
61,100,100,1303780852,174853928
61,100,100,1276949793,173848804
61,100,100,1295700224,176583996
61,100,100,1301425572,175806097
61,100,100,1303867916,171572785
61,100,100,1322242707,181865102
61,100,100,1302553422,176506124
61,100,100,1291859518,176887991
61,100,100,1303875555,176489826
61,100,100,1273666696,174178898
61,100,100,1292837896,191270372
65,100,100,1309966835,182527238
65,100,100,1303856850,174776003
65,100,100,1301954611,175548181
65,100,100,1292524313,175665099
65,100,100,1286575643,176774796
65,100,100,1300895946,177623840
65,100,100,1332543361,177917697
65,100,100,1294959415,175652191
65,100,100,1291746168,174342709
65,100,100,1311967060,174810573
65,100,100,1323831001,180950246
65,100,100,1310044580,179037473
65,100,100,1314669234,182403562
65,100,100,1306487026,177638106
65,100,100,1318609407,178548693
65,100,100,1306265776,175251701
65,100,100,1335764918,176973354
65,100,100,1343792886,183505916
65,100,100,1332309288,174107309
65,100,100,1307671332,177152504
69,100,100,1318021122,174980485
69,100,100,1307416241,178098993
69,100,100,1331123477,193814810
69,100,100,1347814201,177529158
69,100,100,1341266306,178860371
69,100,100,1356187063,180411206
69,100,100,1343844605,175628395
69,100,100,1337143662,177015491
69,100,100,1352271905,180831839
69,100,100,1306627870,174104883
69,100,100,1299663072,173624205
69,100,100,1319207882,174286089
69,100,100,1343379188,177202971
69,100,100,1301811107,176977858
69,100,100,1315699759,178386538
