Pallet: "balances", Extrinsic: "transfer_keep_alive", Steps: 100, Repeat: 10
E,U,time
2,500,414000
2,500,380000
2,500,394000
2,500,381000
2,500,381000
2,500,390000
2,500,388000
2,500,387000
2,500,377000
2,500,388000
11,500,404000
11,500,384000
11,500,382000
11,500,388000
11,500,391000
11,500,389000
11,500,397000
11,500,377000
11,500,396000
11,500,381000
20,500,385000
20,500,385000
20,500,396000
20,500,380000
20,500,383000
20,500,385000
20,500,382000
20,500,387000
20,500,394000
20,500,391000
29,500,386000
29,500,387000
29,500,383000
29,500,387000
29,500,379000
29,500,358000
29,500,421000
29,500,388000
29,500,392000
29,500,390000
38,500,389000
38,500,385000
38,500,387000
38,500,380000
38,500,434000
38,500,379000
38,500,381000
38,500,395000
38,500,398000
38,500,386000
47,500,388000
47,500,388000
47,500,388000
47,500,396000
47,500,386000
47,500,382000
47,500,395000
47,500,374000
47,500,387000
47,500,383000
56,500,404000
56,500,380000
56,500,393000
56,500,391000
56,500,362000
56,500,390000
56,500,387000
56,500,396000
56,500,387000
56,500,391000
65,500,382000
65,500,377000
65,500,386000
65,500,374000
65,500,382000
65,500,389000
65,500,398000
65,500,389000
65,500,392000
65,500,427000
74,500,378000
74,500,361000
74,500,395000
74,500,385000
74,500,380000
74,500,378000
74,500,391000
74,500,409000
74,500,369000
74,500,385000
83,500,405000
83,500,399000
83,500,393000
83,500,401000
83,500,387000
83,500,387000
83,500,417000
83,500,396000
83,500,395000
83,500,386000
92,500,409000
92,500,392000
92,500,397000
92,500,393000
92,500,380000
92,500,399000
92,500,420000
92,500,401000
92,500,374000
92,500,391000
101,500,391000
101,500,417000
101,500,396000
101,500,393000
101,500,388000
101,500,384000
101,500,392000
101,500,388000
101,500,386000
101,500,378000
110,500,394000
110,500,380000
110,500,401000
110,500,391000
110,500,393000
110,500,394000
110,500,393000
110,500,396000
110,500,392000
110,500,526000
119,500,375000
119,500,386000
119,500,395000
119,500,391000
119,500,388000
119,500,411000
119,500,392000
119,500,394000
119,500,387000
119,500,413000
128,500,388000
128,500,390000
128,500,400000
128,500,371000
128,500,392000
128,500,405000
128,500,416000
128,500,379000
128,500,402000
128,500,385000
137,500,406000
137,500,397000
137,500,397000
137,500,379000
137,500,394000
137,500,383000
137,500,381000
137,500,394000
137,500,393000
137,500,381000
146,500,398000
146,500,371000
146,500,391000
146,500,389000
146,500,389000
146,500,388000
146,500,393000
146,500,420000
146,500,373000
146,500,396000
155,500,374000
155,500,378000
155,500,396000
155,500,385000
155,500,410000
155,500,364000
155,500,389000
155,500,393000
155,500,396000
155,500,392000
164,500,384000
164,500,375000
164,500,379000
164,500,397000
164,500,412000
164,500,391000
164,500,388000
164,500,393000
164,500,394000
164,500,395000
173,500,386000
173,500,382000
173,500,390000
173,500,393000
173,500,408000
173,500,374000
173,500,407000
173,500,399000
173,500,394000
173,500,385000
182,500,372000
182,500,396000
182,500,390000
182,500,379000
182,500,381000
182,500,408000
182,500,396000
182,500,384000
182,500,397000
182,500,393000
191,500,415000
191,500,396000
191,500,384000
191,500,398000
191,500,404000
191,500,401000
191,500,392000
191,500,398000
191,500,394000
191,500,414000
200,500,401000
200,500,380000
200,500,380000
200,500,408000
200,500,389000
200,500,414000
200,500,418000
200,500,391000
200,500,403000
200,500,372000
209,500,400000
209,500,376000
209,500,390000
209,500,384000
209,500,390000
209,500,375000
209,500,396000
209,500,389000
209,500,374000
209,500,395000
218,500,427000
218,500,386000
218,500,403000
218,500,400000
218,500,392000
218,500,399000
218,500,401000
218,500,378000
218,500,408000
218,500,391000
227,500,397000
227,500,409000
227,500,391000
227,500,400000
227,500,383000
227,500,380000
227,500,409000
227,500,394000
227,500,382000
227,500,374000
236,500,421000
236,500,393000
236,500,380000
236,500,390000
236,500,404000
236,500,390000
236,500,399000
236,500,389000
236,500,416000
236,500,383000
245,500,387000
245,500,395000
245,500,389000
245,500,388000
245,500,399000
245,500,370000
245,500,486000
245,500,393000
245,500,393000
245,500,429000
254,500,368000
254,500,389000
254,500,401000
254,500,389000
254,500,387000
254,500,399000
254,500,380000
254,500,388000
254,500,373000
254,500,388000
263,500,370000
263,500,383000
263,500,398000
263,500,399000
263,500,387000
263,500,391000
263,500,397000
263,500,391000
263,500,390000
263,500,392000
272,500,395000
272,500,377000
272,500,371000
272,500,399000
272,500,383000
272,500,386000
272,500,396000
272,500,387000
272,500,375000
272,500,387000
281,500,397000
281,500,383000
