Pallet: "balances", Extrinsic: "set_balance_killing", Lowest values: [], Highest values: [], Steps: [100], Repeat: 10
u,e,extrinsic_time,storage_root_time
1,1000,346000,75000
1,1000,323000,51000
1,1000,282000,52000
1,1000,148000,52000
1,1000,350000,53000
1,1000,330000,68000
1,1000,331000,54000
1,1000,339000,54000
1,1000,154000,53000
1,1000,153000,53000
10,1000,324000,51000
10,1000,328000,53000
10,1000,332000,58000
10,1000,306000,54000
10,1000,339000,60000
10,1000,151000,52000
10,1000,358000,56000
10,1000,325000,55000
10,1000,329000,55000
10,1000,300000,58000
19,1000,155000,52000
19,1000,150000,52000
19,1000,152000,53000
19,1000,151000,53000
19,1000,153000,51000
19,1000,165000,57000
19,1000,152000,72000
19,1000,325000,52000
19,1000,149000,53000
19,1000,319000,52000
28,1000,354000,51000
28,1000,154000,54000
28,1000,299000,53000
28,1000,306000,54000
28,1000,321000,53000
28,1000,322000,54000
28,1000,387000,68000
28,1000,405000,62000
28,1000,334000,53000
28,1000,352000,53000
37,1000,328000,52000
37,1000,328000,52000
37,1000,150000,53000
37,1000,377000,54000
37,1000,391000,55000
37,1000,326000,51000
37,1000,339000,53000
37,1000,154000,52000
37,1000,296000,52000
37,1000,307000,55000
46,1000,360000,54000
46,1000,149000,52000
46,1000,318000,52000
46,1000,300000,58000
46,1000,158000,54000
46,1000,313000,55000
46,1000,152000,53000
46,1000,319000,52000
46,1000,354000,52000
46,1000,339000,52000
55,1000,299000,52000
55,1000,310000,58000
55,1000,329000,56000
55,1000,312000,58000
55,1000,373000,56000
55,1000,422000,63000
55,1000,163000,56000
55,1000,429000,66000
55,1000,379000,61000
55,1000,366000,55000
64,1000,278000,51000
64,1000,148000,52000
64,1000,325000,54000
64,1000,338000,54000
64,1000,308000,51000
64,1000,368000,54000
64,1000,289000,55000
64,1000,357000,56000
64,1000,371000,58000
64,1000,320000,51000
73,1000,331000,52000
73,1000,365000,56000
73,1000,145000,51000
73,1000,299000,52000
73,1000,145000,52000
73,1000,326000,55000
73,1000,148000,53000
73,1000,295000,51000
73,1000,287000,50000
73,1000,287000,52000
82,1000,318000,52000
82,1000,150000,52000
82,1000,300000,52000
82,1000,150000,52000
82,1000,150000,51000
82,1000,147000,51000
82,1000,298000,54000
82,1000,355000,52000
82,1000,292000,51000
82,1000,394000,54000
91,1000,148000,52000
91,1000,282000,52000
91,1000,306000,51000
91,1000,149000,51000
91,1000,348000,50000
91,1000,290000,45000
91,1000,452000,45000
91,1000,387000,58000
91,1000,368000,55000
91,1000,286000,52000
100,1000,149000,53000
100,1000,298000,50000
100,1000,149000,51000
100,1000,376000,56000
100,1000,355000,51000
100,1000,368000,55000
100,1000,126000,43000
100,1000,338000,48000
100,1000,389000,58000
100,1000,159000,57000
109,1000,150000,52000
109,1000,344000,50000
109,1000,322000,54000
109,1000,349000,56000
109,1000,327000,58000
109,1000,331000,52000
109,1000,150000,53000
109,1000,309000,54000
109,1000,296000,56000
109,1000,149000,52000
118,1000,318000,51000
118,1000,141000,48000
118,1000,268000,45000
118,1000,310000,49000
118,1000,149000,53000
118,1000,132000,46000
118,1000,148000,52000
118,1000,154000,54000
118,1000,304000,54000
118,1000,340000,52000
127,1000,177000,54000
127,1000,379000,52000
127,1000,147000,55000
127,1000,150000,53000
127,1000,151000,53000
127,1000,147000,52000
127,1000,157000,56000
127,1000,290000,54000
127,1000,287000,52000
127,1000,146000,51000
136,1000,152000,53000
136,1000,311000,53000
136,1000,339000,56000
136,1000,332000,54000
136,1000,318000,51000
136,1000,311000,51000
136,1000,297000,52000
136,1000,153000,55000
136,1000,150000,52000
136,1000,367000,56000
145,1000,313000,51000
145,1000,331000,53000
145,1000,319000,51000
145,1000,148000,51000
145,1000,333000,51000
145,1000,365000,52000
145,1000,357000,60000
145,1000,146000,52000
145,1000,147000,52000
145,1000,338000,48000
154,1000,148000,51000
154,1000,278000,53000
154,1000,304000,53000
154,1000,308000,53000
154,1000,355000,52000
154,1000,146000,51000
154,1000,143000,51000
154,1000,325000,52000
154,1000,287000,50000
154,1000,355000,55000
163,1000,333000,52000
163,1000,293000,55000
163,1000,354000,50000
163,1000,148000,52000
163,1000,279000,52000
163,1000,289000,52000
163,1000,335000,50000
163,1000,150000,51000
163,1000,122000,42000
163,1000,392000,42000
172,1000,388000,57000
172,1000,361000,56000
172,1000,326000,52000
172,1000,150000,52000
172,1000,149000,53000
172,1000,149000,51000
172,1000,176000,51000
172,1000,371000,59000
172,1000,315000,54000
172,1000,290000,53000
181,1000,313000,52000
