Pallet: "balances", Extrinsic: "transfer_keep_alive", Lowest values: [], Highest values: [], Steps: [100], Repeat: 10
u,e,extrinsic_time,storage_root_time
1,1000,442000,68000
1,1000,196000,50000
1,1000,195000,50000
1,1000,193000,48000
1,1000,196000,51000
1,1000,391000,51000
1,1000,197000,51000
1,1000,363000,50000
1,1000,197000,51000
1,1000,365000,51000
10,1000,203000,51000
10,1000,362000,50000
10,1000,206000,51000
10,1000,329000,52000
10,1000,412000,55000
10,1000,407000,52000
10,1000,206000,53000
10,1000,472000,60000
10,1000,473000,62000
10,1000,454000,63000
19,1000,203000,50000
19,1000,411000,50000
19,1000,203000,52000
19,1000,369000,53000
19,1000,205000,53000
19,1000,205000,51000
19,1000,202000,51000
19,1000,201000,52000
19,1000,204000,51000
19,1000,375000,52000
28,1000,203000,51000
28,1000,204000,52000
28,1000,203000,51000
28,1000,203000,50000
28,1000,364000,50000
28,1000,202000,50000
28,1000,202000,53000
28,1000,206000,51000
28,1000,199000,50000
28,1000,205000,50000
37,1000,204000,51000
37,1000,203000,51000
37,1000,201000,52000
37,1000,379000,51000
37,1000,200000,51000
37,1000,206000,51000
37,1000,203000,51000
37,1000,207000,52000
37,1000,203000,51000
37,1000,200000,50000
46,1000,203000,52000
46,1000,200000,51000
46,1000,202000,51000
46,1000,201000,51000
46,1000,202000,51000
46,1000,413000,50000
46,1000,366000,51000
46,1000,201000,51000
46,1000,415000,51000
46,1000,200000,51000
55,1000,204000,51000
55,1000,203000,52000
55,1000,205000,51000
55,1000,203000,51000
55,1000,415000,53000
55,1000,463000,62000
55,1000,465000,79000
55,1000,471000,63000
55,1000,408000,50000
55,1000,203000,51000
64,1000,198000,51000
64,1000,404000,50000
64,1000,197000,50000
64,1000,199000,50000
64,1000,393000,54000
64,1000,271000,52000
64,1000,367000,51000
64,1000,195000,51000
64,1000,191000,48000
64,1000,196000,50000
73,1000,200000,52000
73,1000,397000,51000
73,1000,203000,51000
73,1000,201000,52000
73,1000,205000,53000
73,1000,378000,52000
73,1000,202000,51000
73,1000,201000,51000
73,1000,376000,51000
73,1000,389000,48000
82,1000,375000,55000
82,1000,204000,51000
82,1000,406000,52000
82,1000,206000,51000
82,1000,368000,50000
82,1000,170000,42000
82,1000,203000,51000
82,1000,205000,51000
82,1000,201000,52000
82,1000,203000,52000
91,1000,417000,51000
91,1000,227000,52000
91,1000,361000,54000
91,1000,202000,51000
91,1000,202000,51000
91,1000,202000,51000
91,1000,415000,53000
91,1000,217000,54000
91,1000,467000,63000
91,1000,484000,61000
100,1000,507000,61000
100,1000,212000,53000
100,1000,202000,52000
100,1000,205000,51000
100,1000,394000,52000
100,1000,409000,50000
100,1000,207000,51000
100,1000,412000,54000
100,1000,210000,53000
100,1000,203000,51000
109,1000,202000,52000
109,1000,382000,51000
109,1000,205000,51000
109,1000,204000,52000
109,1000,205000,52000
109,1000,204000,51000
109,1000,204000,52000
109,1000,204000,51000
109,1000,206000,51000
109,1000,203000,51000
118,1000,202000,52000
118,1000,213000,52000
118,1000,202000,52000
118,1000,391000,53000
118,1000,202000,51000
118,1000,213000,54000
118,1000,204000,51000
118,1000,201000,52000
118,1000,200000,51000
118,1000,202000,51000
127,1000,291000,67000
127,1000,204000,52000
127,1000,204000,50000
127,1000,407000,53000
127,1000,410000,52000
127,1000,203000,51000
127,1000,401000,51000
127,1000,209000,53000
127,1000,342000,53000
127,1000,204000,52000
136,1000,205000,52000
136,1000,206000,51000
136,1000,204000,51000
136,1000,214000,52000
136,1000,353000,53000
136,1000,428000,54000
136,1000,442000,62000
136,1000,475000,63000
136,1000,493000,64000
136,1000,424000,52000
145,1000,363000,50000
145,1000,363000,52000
145,1000,202000,51000
145,1000,204000,50000
145,1000,214000,51000
145,1000,207000,51000
145,1000,205000,51000
145,1000,201000,51000
145,1000,200000,50000
145,1000,205000,51000
154,1000,204000,51000
154,1000,206000,51000
154,1000,204000,51000
154,1000,206000,52000
154,1000,206000,52000
154,1000,389000,53000
154,1000,203000,53000
154,1000,201000,52000
154,1000,419000,53000
154,1000,367000,53000
163,1000,196000,51000
163,1000,180000,48000
163,1000,380000,50000
163,1000,205000,51000
163,1000,201000,52000
163,1000,199000,52000
163,1000,200000,51000
163,1000,198000,52000
163,1000,202000,52000
163,1000,197000,50000
172,1000,212000,52000
172,1000,391000,52000
172,1000,204000,52000
172,1000,414000,54000
172,1000,204000,51000
172,1000,207000,52000
172,1000,208000,53000
172,1000,203000,51000
172,1000,206000,52000
172,1000,206000,50000
181,1000,200000,51000
181,1000,207000,52000
181,1000,217000,53000
181,1000,477000,62000
181,1000,247000,62000
181,1000,434000,64000
181,1000,208000,52000
181,1000,418000,52000
181,1000,366000,51000
181,1000,411000,52000
190,1000,394000,52000
190,1000,202000,52000
190,1000,204000,52000
190,1000,207000,52000
190,1000,257000,53000
190,1000,409000,54000
190,1000,201000,52000
190,1000,207000,51000
190,1000,206000,52000
190,1000,207000,52000
199,1000,203000,73000
199,1000,205000,51000
199,1000,205000,51000
199,1000,215000,54000
199,1000,205000,53000
199,1000,202000,51000
