Pallet: "balances", Extrinsic: "transfer", Lowest values: [], Highest values: [], Steps: [100], Repeat: 10
u,e,extrinsic_time,storage_root_time
1,1000,558000,80000
1,1000,283000,56000
1,1000,290000,58000
1,1000,286000,56000
1,1000,287000,57000
1,1000,282000,55000
1,1000,285000,56000
1,1000,462000,58000
1,1000,492000,57000
1,1000,287000,58000
10,1000,294000,53000
10,1000,289000,55000
10,1000,287000,54000
10,1000,287000,54000
10,1000,292000,53000
10,1000,290000,54000
10,1000,500000,57000
10,1000,503000,56000
10,1000,296000,56000
10,1000,481000,54000
19,1000,456000,59000
19,1000,293000,57000
19,1000,467000,58000
19,1000,486000,59000
19,1000,551000,70000
19,1000,593000,71000
19,1000,559000,68000
19,1000,584000,71000
19,1000,491000,60000
19,1000,294000,57000
28,1000,295000,58000
28,1000,509000,58000
28,1000,295000,57000
28,1000,475000,59000
28,1000,420000,61000
28,1000,463000,63000
28,1000,301000,59000
28,1000,460000,59000
28,1000,478000,57000
28,1000,298000,58000
37,1000,490000,55000
37,1000,301000,55000
37,1000,458000,56000
37,1000,453000,56000
37,1000,295000,54000
37,1000,502000,57000
37,1000,434000,55000
37,1000,297000,54000
37,1000,298000,57000
37,1000,489000,57000
46,1000,293000,56000
46,1000,294000,54000
46,1000,295000,54000
46,1000,444000,56000
46,1000,295000,56000
46,1000,293000,56000
46,1000,449000,54000
46,1000,291000,54000
46,1000,292000,54000
46,1000,495000,57000
55,1000,289000,57000
55,1000,299000,58000
55,1000,495000,56000
55,1000,434000,56000
55,1000,290000,57000
55,1000,454000,58000
55,1000,299000,58000
55,1000,519000,58000
55,1000,298000,60000
55,1000,567000,58000
64,1000,294000,56000
64,1000,511000,57000
64,1000,298000,54000
64,1000,485000,55000
64,1000,439000,55000
64,1000,299000,57000
64,1000,302000,57000
64,1000,531000,68000
64,1000,588000,65000
64,1000,553000,68000
73,1000,290000,57000
73,1000,293000,58000
73,1000,504000,60000
73,1000,497000,60000
73,1000,298000,60000
73,1000,293000,58000
73,1000,293000,58000
73,1000,508000,59000
73,1000,466000,60000
73,1000,297000,58000
82,1000,291000,56000
82,1000,490000,59000
82,1000,497000,58000
82,1000,456000,60000
82,1000,289000,57000
82,1000,291000,59000
82,1000,475000,57000
82,1000,501000,59000
82,1000,459000,60000
82,1000,488000,56000
91,1000,472000,57000
91,1000,447000,62000
91,1000,288000,57000
91,1000,452000,57000
91,1000,457000,62000
91,1000,489000,57000
91,1000,290000,56000
91,1000,287000,56000
91,1000,444000,49000
91,1000,521000,55000
100,1000,268000,50000
100,1000,286000,52000
100,1000,543000,44000
100,1000,501000,54000
100,1000,293000,54000
100,1000,297000,54000
100,1000,284000,53000
100,1000,291000,54000
100,1000,250000,46000
100,1000,448000,44000
109,1000,452000,60000
109,1000,247000,47000
109,1000,425000,67000
109,1000,433000,55000
109,1000,463000,58000
109,1000,438000,59000
109,1000,282000,53000
109,1000,450000,45000
109,1000,285000,55000
109,1000,283000,53000
118,1000,290000,56000
118,1000,299000,54000
118,1000,280000,51000
118,1000,276000,54000
118,1000,464000,57000
118,1000,464000,58000
118,1000,287000,48000
118,1000,441000,48000
118,1000,448000,49000
118,1000,559000,52000
127,1000,456000,53000
127,1000,480000,44000
127,1000,427000,45000
127,1000,581000,46000
127,1000,251000,47000
127,1000,254000,48000
127,1000,287000,53000
127,1000,293000,46000
127,1000,251000,47000
127,1000,429000,47000
136,1000,308000,50000
136,1000,288000,53000
136,1000,289000,53000
136,1000,465000,54000
136,1000,288000,53000
136,1000,288000,54000
136,1000,288000,55000
136,1000,289000,54000
136,1000,294000,55000
136,1000,487000,55000
145,1000,497000,57000
145,1000,490000,54000
145,1000,290000,54000
145,1000,285000,53000
145,1000,500000,55000
145,1000,474000,56000
145,1000,490000,54000
145,1000,288000,56000
145,1000,284000,56000
145,1000,466000,55000
154,1000,295000,58000
154,1000,292000,57000
154,1000,285000,118000
154,1000,292000,59000
154,1000,309000,62000
154,1000,531000,62000
154,1000,350000,67000
154,1000,529000,60000
154,1000,572000,69000
154,1000,536000,67000
163,1000,513000,56000
163,1000,473000,55000
163,1000,503000,59000
163,1000,288000,53000
163,1000,294000,54000
163,1000,456000,53000
163,1000,292000,53000
163,1000,293000,55000
163,1000,290000,54000
163,1000,292000,54000
172,1000,294000,58000
172,1000,287000,56000
172,1000,461000,57000
172,1000,291000,57000
172,1000,449000,57000
172,1000,287000,56000
172,1000,448000,58000
172,1000,446000,59000
172,1000,285000,55000
172,1000,294000,57000
181,1000,290000,54000
181,1000,291000,54000
181,1000,271000,50000
181,1000,291000,55000
181,1000,288000,55000
181,1000,295000,55000
181,1000,291000,54000
181,1000,292000,54000
181,1000,492000,54000
181,1000,293000,55000
190,1000,292000,55000
190,1000,293000,56000
190,1000,288000,54000
190,1000,292000,52000
190,1000,281000,52000
190,1000,292000,54000
190,1000,465000,56000
190,1000,291000,54000
190,1000,288000,53000
190,1000,292000,54000
199,1000,287000,56000
199,1000,486000,62000
199,1000,307000,61000
199,1000,477000,57000
199,1000,306000,56000
199,1000,459000,48000
199,1000,438000,47000
199,1000,252000,49000
199,1000,254000,50000
199,1000,254000,49000
208,1000,253000,47000
208,1000,446000,49000
208,1000,283000,53000
208,1000,487000,47000
208,1000,483000,46000
208,1000,298000,55000
208,1000,295000,55000
208,1000,532000,45000
208,1000,465000,49000
208,1000,415000,45000
217,1000,458000,48000
217,1000,275000,46000
217,1000,453000,47000
217,1000,395000,50000
217,1000,485000,57000
217,1000,248000,49000
217,1000,268000,53000
217,1000,284000,56000
217,1000,283000,57000
217,1000,313000,56000
226,1000,494000,55000
226,1000,283000,53000
226,1000,285000,53000
226,1000,435000,55000
226,1000,283000,54000
226,1000,306000,52000
226,1000,282000,54000
226,1000,282000,54000
226,1000,284000,51000
226,1000,289000,55000
235,1000,290000,54000
235,1000,456000,45000
235,1000,310000,54000
235,1000,288000,55000
235,1000,296000,54000
235,1000,295000,54000
235,1000,471000,55000
235,1000,503000,52000
235,1000,259000,50000
235,1000,294000,54000
244,1000,292000,57000
244,1000,295000,55000
244,1000,293000,57000
244,1000,500000,58000
244,1000,291000,58000
244,1000,292000,57000
244,1000,293000,58000
244,1000,441000,58000
244,1000,291000,56000
244,1000,296000,56000
253,1000,288000,53000
253,1000,291000,53000
253,1000,298000,55000
253,1000,304000,53000
253,1000,242000,46000
253,1000,282000,53000
253,1000,305000,52000
253,1000,288000,54000
253,1000,293000,55000
253,1000,499000,56000
262,1000,296000,55000
262,1000,288000,55000
262,1000,295000,54000
262,1000,286000,55000
262,1000,482000,57000
262,1000,294000,54000
262,1000,290000,55000
262,1000,285000,53000
262,1000,298000,53000
262,1000,457000,53000
271,1000,292000,54000
271,1000,273000,52000
271,1000,252000,47000
271,1000,287000,54000
271,1000,294000,54000
271,1000,305000,54000
271,1000,288000,54000
271,1000,483000,55000
271,1000,291000,54000
271,1000,292000,53000
280,1000,355000,56000
280,1000,294000,57000
280,1000,445000,54000
280,1000,492000,58000
280,1000,291000,56000
280,1000,293000,57000
280,1000,295000,57000
280,1000,294000,57000
280,1000,453000,59000
280,1000,461000,58000
289,1000,448000,57000
289,1000,292000,54000
289,1000,291000,54000
289,1000,264000,49000
289,1000,308000,55000
289,1000,300000,56000
289,1000,298000,55000
289,1000,293000,54000
289,1000,298000,56000
289,1000,294000,54000
298,1000,303000,56000
298,1000,290000,54000
298,1000,298000,56000
298,1000,506000,55000
298,1000,300000,57000
298,1000,486000,56000
298,1000,522000,56000
298,1000,501000,85000
298,1000,490000,57000
298,1000,500000,57000
307,1000,295000,54000
307,1000,293000,56000
307,1000,452000,56000
307,1000,509000,58000
307,1000,495000,56000
307,1000,296000,56000
307,1000,292000,56000
307,1000,509000,56000
307,1000,482000,55000
307,1000,295000,56000
316,1000,297000,57000
316,1000,474000,61000
316,1000,294000,59000
316,1000,460000,47000
316,1000,511000,48000
316,1000,429000,47000
316,1000,457000,48000
316,1000,252000,51000
316,1000,478000,47000
316,1000,335000,47000
325,1000,457000,46000
325,1000,436000,46000
325,1000,243000,45000
325,1000,455000,47000
325,1000,295000,54000
325,1000,290000,55000
325,1000,291000,56000
325,1000,290000,55000
325,1000,497000,51000
325,1000,296000,55000
334,1000,291000,61000
334,1000,296000,57000
334,1000,285000,57000
334,1000,284000,58000
334,1000,289000,58000
334,1000,499000,58000
334,1000,291000,59000
334,1000,294000,57000
334,1000,292000,57000
334,1000,294000,59000
343,1000,511000,52000
343,1000,493000,55000
343,1000,289000,54000
343,1000,283000,52000
343,1000,284000,56000
343,1000,285000,54000
343,1000,284000,55000
343,1000,498000,55000
343,1000,282000,53000
343,1000,286000,55000
352,1000,504000,57000
352,1000,293000,57000
352,1000,290000,56000
352,1000,291000,58000
352,1000,465000,66000
352,1000,508000,58000
352,1000,586000,71000
352,1000,376000,68000
352,1000,288000,58000
352,1000,293000,56000
361,1000,292000,55000
361,1000,296000,56000
361,1000,294000,58000
361,1000,510000,58000
361,1000,443000,52000
361,1000,250000,49000
361,1000,288000,57000
361,1000,510000,57000
361,1000,511000,61000
361,1000,511000,58000
370,1000,308000,55000
370,1000,444000,55000
370,1000,462000,56000
370,1000,471000,58000
370,1000,460000,57000
370,1000,294000,56000
370,1000,458000,55000
370,1000,501000,54000
370,1000,514000,44000
370,1000,456000,44000
379,1000,475000,44000
379,1000,612000,51000
379,1000,497000,55000
379,1000,446000,56000
379,1000,506000,57000
379,1000,277000,52000
379,1000,251000,47000
379,1000,277000,45000
379,1000,517000,46000
379,1000,457000,46000
388,1000,455000,53000
388,1000,499000,45000
388,1000,285000,46000
388,1000,454000,45000
388,1000,240000,45000
388,1000,450000,45000
388,1000,491000,45000
