Pallet: "pallet-identity", Extrinsic: "clear_identity", Steps: 10, Repeat: 100
R,S,X,time
1,50,50,690000
1,50,50,731000
1,50,50,727000
1,50,50,780000
1,50,50,842000
1,50,50,660000
1,50,50,737000
1,50,50,665000
1,50,50,710000
1,50,50,665000
1,50,50,726000
1,50,50,661000
1,50,50,664000
1,50,50,725000
1,50,50,655000
1,50,50,660000
1,50,50,732000
1,50,50,669000
1,50,50,657000
1,50,50,668000
1,50,50,675000
1,50,50,706000
1,50,50,667000
1,50,50,657000
1,50,50,664000
1,50,50,725000
1,50,50,807000
1,50,50,661000
1,50,50,674000
1,50,50,654000
1,50,50,655000
1,50,50,662000
1,50,50,726000
1,50,50,651000
1,50,50,730000
1,50,50,675000
1,50,50,671000
1,50,50,661000
1,50,50,853000
1,50,50,726000
1,50,50,734000
1,50,50,669000
1,50,50,848000
1,50,50,657000
1,50,50,714000
1,50,50,664000
1,50,50,664000
1,50,50,688000
1,50,50,661000
1,50,50,672000
1,50,50,884000
1,50,50,737000
1,50,50,733000
1,50,50,662000
1,50,50,707000
1,50,50,655000
1,50,50,671000
1,50,50,735000
1,50,50,668000
1,50,50,736000
1,50,50,683000
1,50,50,699000
1,50,50,941000
1,50,50,670000
1,50,50,663000
1,50,50,657000
1,50,50,662000
1,50,50,677000
1,50,50,670000
1,50,50,661000
1,50,50,731000
1,50,50,669000
1,50,50,767000
1,50,50,739000
1,50,50,673000
1,50,50,854000
1,50,50,680000
1,50,50,670000
1,50,50,691000
1,50,50,690000
1,50,50,743000
1,50,50,656000
1,50,50,664000
1,50,50,704000
1,50,50,666000
1,50,50,733000
1,50,50,667000
1,50,50,665000
1,50,50,666000
1,50,50,672000
1,50,50,673000
1,50,50,657000
1,50,50,662000
1,50,50,671000
1,50,50,662000
1,50,50,679000
1,50,50,670000
1,50,50,729000
1,50,50,736000
1,50,50,735000
5,50,50,664000
5,50,50,661000
5,50,50,692000
5,50,50,668000
5,50,50,683000
5,50,50,656000
5,50,50,674000
5,50,50,666000
5,50,50,651000
5,50,50,672000
5,50,50,667000
5,50,50,679000
5,50,50,700000
5,50,50,670000
5,50,50,676000
5,50,50,664000
5,50,50,684000
5,50,50,665000
5,50,50,672000
5,50,50,674000
5,50,50,660000
5,50,50,791000
5,50,50,671000
5,50,50,728000
5,50,50,671000
5,50,50,666000
5,50,50,660000
5,50,50,677000
5,50,50,738000
5,50,50,660000
5,50,50,675000
5,50,50,669000
5,50,50,675000
5,50,50,709000
5,50,50,665000
5,50,50,650000
5,50,50,674000
5,50,50,692000
5,50,50,688000
5,50,50,676000
5,50,50,682000
5,50,50,680000
5,50,50,673000
5,50,50,663000
5,50,50,669000
5,50,50,674000
5,50,50,665000
5,50,50,667000
5,50,50,694000
5,50,50,673000
5,50,50,683000
5,50,50,720000
5,50,50,671000
5,50,50,699000
5,50,50,669000
5,50,50,663000
5,50,50,669000
5,50,50,668000
5,50,50,671000
5,50,50,663000
5,50,50,669000
5,50,50,1324000
