Pallet: "staking", Extrinsic: "bond_extra", Lowest values: [], Highest values: [], Steps: [10], Repeat: 100
u,extrinsic_time,storage_root_time
0,353000,97000
0,341000,81000
0,312000,75000
0,313000,75000
0,345000,73000
0,302000,70000
0,341000,77000
0,304000,71000
0,159000,67000
0,345000,68000
0,381000,81000
0,361000,75000
0,368000,72000
0,169000,70000
0,393000,78000
0,354000,74000
0,189000,81000
0,327000,76000
0,414000,84000
0,351000,80000
0,341000,76000
0,360000,73000
0,327000,71000
0,378000,72000
0,153000,63000
0,166000,71000
0,375000,75000
0,338000,71000
0,317000,73000
0,346000,75000
0,340000,70000
0,165000,73000
0,170000,73000
0,328000,74000
0,350000,71000
0,316000,75000
0,370000,72000
0,372000,70000
0,345000,70000
0,504000,80000
0,336000,72000
0,156000,84000
0,350000,71000
0,163000,69000
0,321000,66000
0,186000,81000
0,374000,72000
0,319000,74000
0,180000,78000
0,199000,82000
0,312000,75000
0,379000,74000
0,203000,79000
0,444000,79000
0,186000,80000
0,490000,100000
0,418000,83000
0,409000,84000
0,405000,83000
0,186000,79000
0,164000,73000
0,190000,79000
0,166000,73000
0,160000,70000
0,378000,73000
0,371000,74000
0,369000,71000
0,169000,73000
0,396000,76000
0,350000,72000
0,337000,74000
0,366000,86000
0,167000,70000
0,162000,69000
0,184000,78000
0,170000,74000
0,186000,80000
0,362000,74000
0,336000,75000
0,184000,80000
0,163000,72000
0,162000,71000
0,161000,70000
0,397000,76000
0,377000,74000
0,395000,76000
0,186000,80000
0,314000,71000
0,426000,84000
0,353000,74000
0,346000,74000
0,397000,78000
0,168000,74000
0,368000,75000
0,184000,81000
0,172000,73000
0,374000,75000
0,465000,78000
0,413000,60000
0,140000,62000
100,188000,80000
100,162000,70000
100,158000,68000
100,395000,83000
100,407000,80000
100,169000,72000
100,186000,82000
100,380000,72000
100,183000,78000
100,186000,79000
100,349000,80000
100,191000,82000
100,340000,72000
100,171000,73000
100,163000,70000
100,391000,85000
100,408000,79000
100,182000,80000
100,186000,81000
100,333000,74000
100,395000,76000
100,165000,73000
100,357000,73000
100,165000,71000
100,335000,72000
100,332000,64000
100,380000,70000
100,165000,71000
100,165000,72000
100,428000,86000
100,416000,80000
100,351000,70000
100,410000,81000
100,410000,80000
100,324000,71000
100,401000,85000
100,164000,71000
100,355000,72000
100,416000,85000
100,184000,81000
100,373000,71000
100,416000,81000
100,413000,82000
100,398000,82000
100,353000,71000
100,195000,83000
100,323000,70000
100,321000,71000
