Pallet: "staking", Extrinsic: "new_era", Lowest values: [1, 100], Highest values: [10, 100], Steps: [10], Repeat: 10
v,n,extrinsic_time,storage_root_time
1,100,15515000,90000
1,100,16228000,78000
1,100,16447000,78000
1,100,15560000,75000
1,100,16133000,80000
1,100,15725000,77000
1,100,16732000,77000
1,100,15996000,78000
1,100,15531000,77000
1,100,17388000,78000
2,100,32949000,101000
2,100,35278000,226000
2,100,31480000,100000
2,100,36013000,101000
2,100,32166000,100000
2,100,31879000,95000
2,100,33589000,99000
2,100,33430000,98000
2,100,32733000,102000
2,100,33013000,95000
3,100,49388000,109000
3,100,55259000,111000
3,100,48235000,110000
3,100,48094000,109000
3,100,49843000,112000
3,100,47309000,108000
3,100,47078000,107000
3,100,48960000,111000
3,100,47465000,111000
3,100,47970000,113000
4,100,66770000,128000
4,100,65787000,125000
4,100,65218000,141000
4,100,66497000,131000
4,100,71096000,126000
4,100,65985000,134000
4,100,63906000,129000
4,100,70749000,135000
4,100,66869000,136000
4,100,66642000,125000
5,100,14647221000,3262000
5,100,14708692000,3244000
5,100,14620252000,3596000
5,100,14722497000,4365000
5,100,14551664000,3226000
5,100,14484872000,3466000
5,100,14406604000,3250000
5,100,14584295000,3292000
5,100,14569694000,3363000
5,100,14453498000,3337000
6,100,105032000,175000
6,100,107863000,171000
6,100,102077000,162000
6,100,106450000,178000
6,100,97672000,164000
6,100,106456000,163000
6,100,100217000,167000
6,100,101337000,163000
6,100,107292000,162000
6,100,97841000,172000
7,100,117289000,176000
7,100,112577000,173000
7,100,119150000,199000
7,100,115339000,202000
7,100,115972000,197000
7,100,126596000,177000
7,100,124093000,183000
7,100,124282000,179000
7,100,114877000,195000
7,100,120568000,180000
8,100,137933000,199000
8,100,132346000,200000
8,100,135580000,201000
8,100,131783000,213000
8,100,132630000,207000
8,100,167353000,186000
8,100,134288000,200000
8,100,132956000,284000
8,100,131781000,207000
8,100,129806000,204000
9,100,146520000,212000
9,100,155198000,200000
9,100,148096000,217000
9,100,144045000,212000
9,100,142646000,224000
9,100,144715000,219000
9,100,145007000,207000
9,100,146662000,196000
9,100,148770000,217000
9,100,147723000,205000
10,100,158238000,220000
10,100,159832000,238000
10,100,156285000,220000
10,100,157804000,214000
10,100,161629000,249000
10,100,158509000,248000
10,100,167780000,236000
10,100,156578000,225000
10,100,165376000,228000
10,100,174603000,246000
10,100,166941000,227000
10,100,161534000,254000
10,100,156712000,239000
10,100,160245000,229000
10,100,158080000,235000
10,100,167106000,227000
10,100,161049000,363000
10,100,160401000,214000
10,100,160509000,227000
10,100,159271000,227000
