Pallet: "staking", Extrinsic: "reap_stash", Lowest values: [], Highest values: [], Steps: [10], Repeat: 10
u,extrinsic_time,storage_root_time
1,509000,103000
1,309000,89000
1,286000,83000
1,488000,82000
1,540000,90000
1,277000,81000
1,446000,80000
1,687000,70000
1,515000,82000
1,482000,85000
100,434000,84000
100,503000,85000
100,468000,86000
100,451000,83000
100,459000,81000
100,326000,94000
100,525000,90000
100,273000,81000
100,275000,81000
100,314000,89000
199,389000,66000
199,317000,90000
199,443000,82000
199,525000,87000
199,464000,87000
199,454000,82000
199,426000,82000
199,276000,80000
199,454000,83000
199,485000,82000
298,477000,82000
298,281000,81000
298,458000,80000
298,438000,85000
298,466000,84000
298,541000,92000
298,282000,80000
298,481000,90000
298,427000,80000
298,290000,83000
397,469000,100000
397,450000,80000
397,288000,81000
397,429000,81000
397,444000,83000
397,445000,81000
397,465000,80000
397,426000,80000
397,477000,82000
397,274000,80000
496,505000,82000
496,451000,81000
496,451000,78000
496,435000,84000
496,304000,88000
496,439000,81000
496,426000,82000
496,516000,93000
496,260000,72000
496,313000,91000
595,478000,80000
595,445000,80000
595,532000,91000
595,280000,83000
595,541000,67000
595,306000,90000
595,452000,81000
595,342000,69000
595,557000,93000
595,294000,84000
694,649000,114000
694,527000,90000
694,426000,80000
694,425000,81000
694,425000,81000
694,309000,90000
694,493000,90000
694,451000,81000
694,449000,91000
694,473000,80000
793,435000,81000
793,480000,89000
793,483000,82000
793,501000,85000
793,544000,93000
793,449000,83000
793,445000,82000
793,308000,90000
793,444000,82000
793,303000,90000
892,449000,79000
892,466000,80000
892,317000,89000
892,320000,89000
892,447000,80000
892,310000,89000
892,438000,80000
892,450000,81000
892,500000,88000
892,441000,84000
991,318000,91000
991,280000,80000
991,417000,82000
991,638000,110000
991,290000,84000
991,285000,83000
991,289000,84000
991,505000,79000
991,450000,82000
991,273000,81000
