Pallet: "staking", Extrinsic: "unbond", Lowest values: [], Highest values: [], Steps: [10], Repeat: 100
u,extrinsic_time,storage_root_time
0,405000,93000
0,375000,60000
0,285000,57000
0,135000,57000
0,336000,53000
0,378000,68000
0,328000,60000
0,150000,56000
0,139000,73000
0,268000,50000
0,367000,51000
0,300000,64000
0,286000,63000
0,349000,68000
0,332000,59000
0,314000,63000
0,450000,95000
0,378000,64000
0,321000,61000
0,381000,68000
0,390000,63000
0,144000,61000
0,383000,67000
0,143000,60000
0,349000,60000
0,314000,62000
0,321000,65000
0,378000,67000
0,340000,58000
0,360000,63000
0,325000,59000
0,328000,58000
0,143000,60000
0,325000,61000
0,306000,60000
0,339000,58000
0,151000,63000
0,142000,60000
0,355000,66000
0,419000,58000
0,377000,65000
0,370000,64000
0,144000,60000
0,134000,58000
0,383000,68000
0,307000,58000
0,383000,66000
0,144000,61000
0,287000,58000
0,316000,60000
0,309000,60000
0,351000,59000
0,378000,67000
0,137000,61000
0,163000,67000
0,152000,67000
0,154000,67000
0,149000,64000
0,144000,64000
0,169000,69000
0,312000,59000
0,140000,60000
0,380000,81000
0,350000,59000
0,386000,66000
0,306000,59000
0,155000,67000
0,133000,60000
0,459000,84000
0,151000,65000
0,311000,57000
0,297000,61000
0,331000,59000
0,164000,71000
0,371000,64000
0,366000,63000
0,137000,60000
0,377000,68000
0,348000,61000
0,147000,64000
0,380000,66000
0,168000,70000
0,301000,58000
0,171000,70000
0,146000,60000
0,132000,56000
0,142000,61000
0,138000,60000
0,134000,59000
0,173000,71000
0,148000,61000
0,317000,60000
0,298000,58000
0,147000,63000
0,136000,60000
0,345000,58000
0,389000,68000
0,327000,60000
0,169000,69000
0,143000,60000
100,136000,58000
100,318000,58000
100,363000,59000
100,144000,62000
100,328000,59000
100,311000,62000
100,141000,62000
100,474000,90000
100,161000,66000
100,328000,60000
100,155000,61000
100,154000,62000
100,141000,60000
100,145000,61000
100,305000,53000
100,384000,68000
100,303000,62000
100,289000,57000
100,135000,53000
100,140000,60000
100,359000,60000
100,283000,57000
100,378000,68000
100,136000,60000
100,368000,61000
100,394000,69000
100,154000,66000
100,142000,59000
100,309000,61000
100,152000,65000
100,465000,78000
100,157000,65000
100,319000,60000
100,327000,62000
100,330000,57000
100,296000,59000
100,313000,59000
100,147000,61000
100,143000,61000
100,376000,68000
100,153000,66000
100,328000,61000
100,309000,62000
100,407000,71000
100,301000,60000
100,148000,65000
100,159000,67000
100,352000,63000
100,139000,61000
100,352000,61000
100,164000,69000
100,371000,65000
100,156000,65000
100,348000,59000
100,330000,63000
100,303000,59000
100,376000,51000
100,139000,58000
100,150000,61000
100,363000,63000
100,168000,69000
100,332000,57000
100,319000,60000
100,148000,64000
100,148000,61000
100,170000,69000
100,159000,68000
100,357000,59000
100,329000,52000
100,167000,67000
100,139000,61000
100,352000,60000
100,142000,60000
100,317000,61000
100,165000,69000
100,389000,69000
100,350000,61000
100,168000,69000
100,158000,68000
100,156000,66000
100,387000,68000
100,344000,62000
100,157000,66000
100,335000,63000
100,285000,59000
100,475000,83000
100,390000,67000
100,160000,66000
100,316000,60000
100,158000,66000
100,144000,61000
100,146000,64000
100,313000,62000
100,140000,61000
100,363000,60000
100,144000,61000
100,141000,61000
100,161000,66000
100,150000,60000
