Pallet: "vesting", Extrinsic: "vested_transfer", Lowest values: [], Highest values: [], Steps: [10], Repeat: 100
u,extrinsic_time,storage_root_time
0,621000,80000
0,362000,65000
0,366000,66000
0,612000,72000
0,557000,71000
0,509000,56000
0,478000,68000
0,490000,63000
0,531000,67000
0,562000,68000
0,583000,70000
0,557000,65000
0,524000,65000
0,517000,66000
0,356000,63000
0,387000,63000
0,355000,65000
0,356000,64000
0,486000,56000
0,400000,72000
0,353000,65000
0,520000,67000
0,498000,66000
0,490000,63000
0,351000,63000
0,366000,66000
0,533000,64000
0,501000,63000
0,551000,63000
0,529000,67000
0,492000,66000
0,357000,63000
0,500000,65000
0,529000,64000
0,526000,69000
0,488000,63000
0,505000,66000
0,558000,72000
0,528000,67000
0,355000,63000
0,506000,63000
0,359000,63000
0,523000,64000
0,526000,63000
0,523000,64000
0,528000,65000
0,558000,63000
0,567000,66000
0,565000,65000
0,564000,63000
0,585000,70000
0,410000,73000
0,368000,68000
0,504000,58000
0,621000,71000
0,562000,66000
0,397000,71000
0,575000,69000
0,567000,66000
0,407000,72000
0,363000,66000
0,354000,64000
0,617000,74000
0,356000,64000
0,630000,70000
0,354000,64000
0,360000,64000
0,356000,63000
0,353000,63000
0,557000,64000
0,352000,65000
0,358000,64000
0,358000,65000
0,553000,68000
0,352000,64000
0,546000,65000
0,568000,66000
0,354000,65000
0,364000,67000
0,357000,66000
0,350000,64000
0,350000,65000
0,360000,66000
0,358000,64000
0,592000,69000
0,370000,67000
0,363000,66000
0,292000,53000
0,589000,72000
0,402000,74000
0,400000,72000
0,359000,64000
0,350000,64000
0,358000,65000
0,627000,71000
0,364000,68000
0,293000,53000
0,390000,71000
0,367000,69000
0,390000,73000
100,356000,63000
100,295000,52000
100,296000,52000
100,611000,71000
100,624000,73000
100,350000,63000
100,355000,64000
100,598000,74000
100,622000,81000
100,648000,74000
100,614000,75000
100,361000,67000
100,750000,87000
100,584000,68000
100,357000,64000
100,622000,73000
100,537000,53000
100,312000,55000
100,293000,52000
100,393000,71000
100,573000,67000
100,614000,64000
100,665000,94000
100,604000,62000
100,537000,57000
100,511000,58000
100,491000,81000
100,659000,60000
100,536000,58000
100,665000,57000
100,529000,57000
100,608000,61000
100,564000,66000
100,653000,65000
100,590000,77000
100,574000,59000
100,540000,57000
100,539000,60000
100,552000,62000
100,503000,60000
100,550000,78000
100,548000,56000
100,537000,59000
100,510000,70000
100,563000,67000
100,551000,68000
100,586000,71000
100,522000,71000
100,560000,69000
100,531000,70000
100,562000,69000
100,527000,70000
100,536000,66000
100,629000,61000
100,549000,66000
100,537000,59000
100,607000,64000
100,559000,56000
100,571000,60000
100,599000,58000
100,525000,57000
100,616000,58000
100,592000,61000
100,358000,63000
100,503000,68000
100,307000,56000
100,306000,54000
100,352000,56000
100,308000,56000
100,493000,53000
100,498000,54000
100,578000,54000
100,416000,55000
100,515000,53000
100,539000,54000
100,442000,55000
100,528000,58000
100,544000,65000
100,498000,67000
100,527000,66000
100,441000,55000
100,527000,66000
100,587000,65000
100,359000,65000
100,569000,66000
100,362000,66000
100,557000,65000
100,553000,66000
100,360000,65000
100,358000,65000
100,361000,66000
100,361000,65000
100,510000,68000
100,361000,65000
100,364000,66000
100,514000,66000
100,563000,66000
100,359000,64000
100,563000,65000
100,360000,64000
200,565000,66000
200,389000,65000
200,355000,64000
200,362000,66000
200,544000,65000
200,358000,65000
200,356000,65000
200,660000,78000
200,662000,77000
200,660000,81000
200,590000,73000
200,549000,66000
200,406000,68000
200,360000,65000
200,525000,66000
200,561000,66000
200,362000,66000
200,576000,68000
200,353000,65000
200,357000,64000
200,359000,64000
200,561000,66000
200,355000,64000
200,356000,64000
200,372000,66000
200,550000,65000
200,355000,64000
200,546000,65000
200,359000,64000
200,358000,65000
200,358000,65000
200,361000,65000
200,514000,63000
200,361000,67000
200,644000,78000
200,437000,78000
200,505000,67000
200,579000,67000
200,359000,64000
200,360000,65000
200,537000,67000
200,357000,65000
200,359000,65000
200,356000,65000
200,360000,66000
200,359000,65000
200,353000,65000
200,367000,66000
200,356000,64000
200,350000,65000
200,541000,65000
200,354000,65000
200,353000,64000
200,358000,65000
200,353000,66000
200,385000,64000
200,510000,65000
200,355000,64000
200,361000,66000
200,359000,64000
200,360000,64000
200,361000,65000
200,360000,64000
200,359000,64000
200,370000,67000
200,358000,65000
200,357000,65000
200,373000,67000
200,640000,77000
200,607000,80000
200,369000,67000
200,358000,65000
200,374000,67000
200,359000,64000
200,565000,66000
200,361000,64000
200,356000,65000
200,357000,64000
200,359000,65000
200,354000,63000
200,355000,65000
200,357000,67000
200,360000,65000
200,361000,64000
200,356000,64000
200,357000,65000
200,363000,64000
200,360000,64000
200,361000,64000
200,360000,64000
200,357000,65000
200,358000,65000
200,361000,64000
200,493000,75000
200,356000,64000
200,355000,65000
200,355000,64000
200,358000,66000
200,361000,67000
200,633000,78000
300,657000,79000
300,554000,66000
300,357000,64000
300,358000,65000
300,360000,66000
300,361000,65000
300,351000,65000
300,544000,65000
300,360000,65000
300,503000,66000
300,355000,65000
300,367000,66000
300,358000,65000
300,359000,63000
300,359000,65000
300,362000,65000
300,357000,65000
300,359000,65000
300,357000,65000
300,372000,65000
300,356000,65000
300,354000,64000
300,385000,66000
300,362000,65000
300,356000,65000
300,357000,66000
300,578000,66000
300,559000,68000
300,360000,66000
300,357000,66000
300,369000,69000
300,368000,66000
300,603000,78000
300,635000,76000
300,357000,64000
300,362000,65000
300,357000,65000
300,554000,65000
300,360000,64000
300,362000,65000
300,363000,67000
300,365000,66000
300,538000,68000
300,369000,64000
300,363000,66000
300,359000,65000
300,358000,66000
