Pallet: "claims", Extrinsic: "claim", Lowest values: [], Highest values: [], Steps: [50], Repeat: 50
u,extrinsic_time,storage_root_time
0,376000,42000
0,376000,42000
0,520000,54000
0,398000,45000
0,433000,43000
0,390000,44000
0,586000,54000
0,530000,59000
0,523000,57000
0,521000,55000
0,527000,58000
0,473000,47000
0,442000,47000
0,465000,49000
0,481000,49000
0,474000,80000
0,460000,48000
0,463000,47000
0,835000,88000
0,437000,45000
0,515000,54000
0,530000,58000
0,533000,55000
0,457000,50000
0,521000,42000
0,541000,58000
0,450000,47000
0,443000,50000
0,471000,51000
0,472000,52000
0,462000,49000
0,465000,49000
0,517000,54000
0,645000,69000
0,485000,56000
0,471000,52000
0,461000,49000
0,473000,53000
0,464000,49000
0,461000,48000
0,527000,59000
0,474000,47000
0,449000,48000
0,397000,42000
0,517000,53000
0,489000,56000
0,478000,54000
0,462000,49000
0,398000,43000
0,441000,45000
20,1537000,55000
20,450000,49000
20,507000,53000
20,453000,48000
20,625000,109000
20,465000,54000
20,509000,55000
20,506000,53000
20,506000,53000
20,507000,54000
20,451000,48000
20,459000,52000
20,455000,50000
20,534000,55000
20,457000,50000
20,506000,54000
20,531000,60000
20,457000,50000
20,522000,43000
20,447000,51000
20,456000,52000
20,459000,52000
20,435000,48000
20,526000,58000
20,456000,49000
20,525000,56000
20,511000,57000
20,523000,57000
20,507000,54000
20,450000,48000
20,508000,54000
20,424000,50000
20,408000,44000
20,506000,53000
20,455000,50000
20,439000,50000
20,464000,52000
20,458000,51000
20,508000,54000
20,521000,59000
20,511000,56000
20,526000,53000
20,456000,49000
20,461000,50000
20,512000,56000
20,464000,53000
20,550000,59000
20,451000,47000
20,454000,49000
20,487000,54000
40,1341000,53000
40,528000,50000
40,461000,53000
40,464000,53000
40,508000,57000
40,505000,55000
40,501000,54000
40,455000,51000
40,500000,54000
40,473000,54000
40,507000,55000
40,449000,48000
40,502000,54000
40,417000,43000
40,559000,56000
40,452000,50000
40,505000,58000
40,505000,55000
40,466000,58000
40,590000,53000
40,506000,56000
40,504000,55000
40,371000,40000
40,378000,43000
40,515000,57000
40,458000,55000
40,457000,51000
40,460000,53000
40,460000,51000
40,518000,58000
40,452000,51000
40,457000,50000
40,464000,59000
40,467000,55000
40,373000,41000
40,512000,58000
40,455000,51000
40,501000,53000
40,530000,56000
40,452000,54000
40,452000,49000
40,503000,55000
40,455000,49000
40,506000,54000
40,462000,52000
40,457000,51000
40,391000,46000
40,380000,42000
40,441000,51000
40,376000,44000
60,732000,43000
60,549000,59000
60,486000,60000
60,488000,56000
60,481000,59000
60,518000,56000
60,473000,52000
60,514000,53000
60,473000,51000
60,460000,48000
60,572000,53000
60,486000,50000
60,467000,49000
60,470000,51000
60,453000,51000
60,648000,64000
60,528000,58000
60,524000,57000
60,514000,53000
60,478000,55000
60,381000,42000
60,405000,42000
60,378000,40000
60,524000,58000
60,520000,55000
60,523000,56000
60,477000,54000
60,521000,54000
60,467000,51000
60,462000,48000
