Pallet: "claims", Extrinsic: "keccak256", Lowest values: [], Highest values: [], Steps: [50], Repeat: 50
i,extrinsic_time,storage_root_time
0,9000,16000
0,4000,6000
0,4000,7000
0,4000,6000
0,7000,9000
0,5000,8000
0,6000,9000
0,5000,6000
0,5000,7000
0,4000,5000
0,4000,6000
0,5000,7000
0,4000,7000
0,5000,6000
0,4000,7000
0,4000,6000
0,4000,6000
0,4000,7000
0,4000,6000
0,5000,7000
0,4000,7000
0,4000,7000
0,4000,6000
0,5000,8000
0,4000,6000
0,5000,6000
0,6000,7000
0,5000,8000
0,5000,7000
0,5000,8000
0,6000,9000
0,4000,7000
0,6000,9000
0,7000,12000
0,5000,7000
0,5000,7000
0,4000,6000
0,5000,6000
0,5000,7000
0,5000,7000
0,4000,6000
0,4000,6000
0,6000,8000
0,5000,7000
0,6000,9000
0,4000,6000
0,4000,7000
0,4000,6000
0,5000,7000
0,5000,7000
200,173000,6000
200,208000,6000
200,225000,6000
200,196000,6000
200,201000,7000
200,174000,6000
200,226000,7000
200,226000,8000
200,202000,7000
200,165000,6000
200,166000,7000
200,212000,6000
200,194000,8000
200,215000,6000
200,202000,7000
200,197000,7000
200,280000,9000
200,227000,8000
200,202000,7000
200,203000,7000
200,206000,6000
200,192000,7000
200,278000,8000
200,202000,7000
200,197000,6000
200,227000,8000
200,202000,7000
200,202000,7000
200,166000,6000
200,165000,6000
200,228000,9000
200,201000,6000
200,178000,6000
200,202000,6000
200,278000,8000
200,196000,6000
200,201000,7000
200,278000,8000
200,202000,7000
200,167000,6000
200,170000,20000
200,191000,7000
200,166000,5000
200,192000,7000
200,226000,8000
200,201000,7000
200,227000,7000
200,201000,7000
200,166000,6000
200,192000,8000
400,323000,6000
400,374000,7000
400,524000,7000
400,385000,7000
400,325000,6000
400,517000,8000
400,397000,8000
400,445000,7000
400,385000,7000
400,444000,7000
400,396000,6000
400,325000,6000
400,375000,7000
400,323000,6000
400,445000,8000
400,348000,6000
400,375000,7000
