Pallet: "proxy", Extrinsic: "proxy", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
p,extrinsic_time,storage_root_time
1,31621,19439
1,20681,17251
1,20113,16575
1,19865,16645
1,19737,16162
1,19809,16376
1,19676,16345
1,20287,16402
1,19537,15846
1,19550,16148
1,19444,16263
1,19526,15793
1,19344,16038
1,19638,16246
1,19708,15820
1,19350,16090
1,19391,16499
1,19356,16183
1,19730,16274
1,19533,15957
2,19852,16370
2,19680,16163
2,19634,16549
2,19670,16151
2,19661,16137
2,19342,16480
2,19651,15999
2,19265,16073
2,19522,16137
2,19374,16156
2,19415,16359
2,19434,16278
2,20009,16313
2,19353,16043
2,19417,16203
2,19560,16501
2,19490,16238
2,19445,15958
2,19309,16145
2,19511,16199
3,19999,16404
3,20159,16545
3,20209,16130
3,19667,16119
3,19994,16148
3,19791,16430
3,19930,16006
3,19893,16175
3,19874,16303
3,19846,16134
3,19648,16108
3,19665,16366
3,19796,16172
3,19808,16006
3,19993,15894
3,19931,16311
3,20033,16151
3,19785,16081
3,19619,16267
3,19702,16180
4,20370,16378
4,20029,16452
4,20332,16357
4,19998,16495
4,19617,16104
4,20025,16136
4,19967,16190
4,19903,15874
4,19969,15998
4,19854,15980
4,20775,16178
4,19957,16012
4,20006,15946
4,19655,16290
4,19796,16187
4,19586,15915
4,19631,16175
4,19470,16064
4,19633,15936
4,19410,15952
5,19846,16399
5,19959,16148
5,19954,16049
5,19759,16328
5,19912,16565
5,19857,16227
5,19838,16279
5,19835,16182
5,19743,15974
5,19769,16040
5,19905,16206
5,19753,16141
5,19853,16011
5,20053,16190
5,19825,16121
5,19946,16048
5,19885,16120
5,20048,16033
5,19886,16195
5,19799,15831
6,20302,16131
6,19942,15970
6,19945,15847
6,19827,15864
6,20162,16251
6,20083,16159
6,20012,15967
6,19773,16018
6,20225,15950
6,20090,15882
6,19859,15649
6,19743,16819
6,19731,16047
6,20198,16294
6,19970,16353
6,20221,16103
6,20084,16172
6,19864,16440
6,20078,16399
6,20349,16478
7,20566,18990
7,20593,16202
7,20347,16181
7,20557,16045
7,20619,16327
7,20242,15823
7,20466,16232
7,20178,15912
7,20169,16344
7,20443,16304
7,20282,16098
7,20302,15943
7,20210,16029
7,20251,16112
7,20355,15881
7,20140,16184
7,20628,16484
7,20292,15776
7,20185,16201
7,20343,16333
8,20530,16130
8,20333,16414
8,20493,19357
8,20654,16444
8,20363,16327
8,20649,16375
8,20443,16354
8,20453,16164
8,20598,16234
8,20376,16173
8,20154,16777
8,20351,16113
8,20516,16308
8,20393,16143
8,20410,16285
8,20383,16287
8,20557,16092
8,20526,16077
8,20393,16149
8,20378,16241
9,20131,15961
9,20236,16074
9,20239,16619
9,20809,16418
9,20405,16255
9,20584,16216
9,20624,16200
9,20594,16144
9,20469,16400
9,20012,16168
9,20164,16264
9,20309,16449
9,20402,16103
9,20176,16386
9,20085,15874
9,20418,16030
9,20146,16342
9,20141,16522
9,20327,16423
9,20397,16251
10,20713,16445
10,20460,16314
10,23432,16431
10,20441,16446
