Pallet: "proxy", Extrinsic: "remove_proxy", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
p,extrinsic_time,storage_root_time
1,18482,27135
1,15140,20841
1,14467,20257
1,14214,19961
1,14295,19801
1,14416,19507
1,14137,19944
1,14288,19760
1,14264,19809
1,14220,19520
1,14238,19548
1,14067,19431
1,13980,19817
1,13945,19666
1,13981,19270
1,13929,19484
1,14199,19233
1,14194,19442
1,14294,19315
1,13973,19245
2,15041,20109
2,14590,20103
2,14744,19863
2,14665,19890
2,14527,19964
2,14671,19943
2,14675,19773
2,14499,19428
2,14603,19603
2,14727,38648
2,14718,19967
2,14749,19806
2,14677,19919
2,14869,19810
2,14602,19759
2,14553,19662
2,14511,19970
2,14542,19700
2,14627,19778
2,14698,19685
3,14915,20166
3,14867,20236
3,14913,20012
3,14789,19940
3,14682,19980
3,14820,20104
3,14530,19885
3,14620,19958
3,14764,20101
3,14859,20015
3,14768,20068
3,14792,19787
3,14870,20065
3,14669,20079
3,14915,19963
3,14911,19619
3,14966,19931
3,14611,19846
3,14847,19994
3,14692,19961
4,15139,20042
4,15072,20109
4,15238,20106
4,14866,20213
4,14808,20160
4,15272,20038
4,14860,20218
4,15068,20179
4,15279,20025
4,14981,20321
4,15032,20181
4,14920,20116
4,15025,20079
4,15028,20063
4,15204,20053
4,14934,19882
4,15141,20129
4,15195,20029
4,14966,19783
4,15143,19798
5,15400,20450
5,15113,20208
5,15067,19988
5,15140,19927
5,15338,20773
5,15302,20259
5,15088,20136
5,15160,20325
5,15188,20333
5,15334,20322
5,15331,20207
5,15225,20248
5,15263,19973
5,15163,20267
5,15114,20233
5,15197,20306
5,15123,20009
5,15165,20154
5,15181,20146
5,15064,20191
6,15496,20069
6,15516,19932
6,15578,20392
6,15409,20324
6,15328,20151
6,15259,20079
6,15263,20323
6,15297,20137
6,15239,20324
6,15518,20255
6,15366,20188
6,15198,20083
6,15597,19890
6,15302,20136
6,15303,20065
6,15238,22940
6,15200,20152
6,15427,20154
6,15291,20147
6,15389,20143
7,15632,20303
7,15733,20710
7,15554,20477
7,15348,20761
7,15554,20336
7,15516,20064
7,15470,20419
7,15569,20493
7,15423,20190
7,15726,20428
7,15757,20488
7,15654,20717
7,15713,20750
7,15510,20543
7,15563,20671
7,15545,20492
7,15624,20405
7,15651,20944
7,15713,20731
7,15726,20613
8,16123,20509
8,16083,20419
8,15832,20444
8,15881,20394
8,15808,20244
8,15840,20270
8,16016,20448
8,15711,20658
8,15691,20364
8,15628,20089
8,15714,20397
8,15750,20669
8,15628,20505
8,15675,20517
8,15764,20788
8,15705,20463
8,15740,20283
8,15930,20763
8,15788,20326
8,15811,20438
9,16769,33386
9,16004,20979
9,15952,20766
9,16050,21320
9,16163,21036
9,15905,20548
9,16256,21276
9,16012,20965
