Pallet: "session", Extrinsic: "purge_keys", Lowest values: [], Highest values: [], Steps: [20], Repeat: 20
n,extrinsic_time,storage_root_time
1,138147,180895
1,114470,151891
1,115430,170588
1,113110,144495
1,116668,143559
1,113963,145173
1,115714,139304
1,112822,141320
1,108759,139779
1,136450,150634
1,130473,186749
1,114626,143248
1,113282,143058
1,119524,142181
1,113891,146703
1,113621,152636
1,126987,176560
1,115638,143520
1,152099,147391
1,108560,156588
2,143111,148984
2,126350,152189
2,113901,147931
2,106372,141024
2,111713,143939
2,150405,152074
2,111693,140258
2,108403,141333
2,127650,153192
2,159774,169984
2,117411,146534
2,128737,139776
2,119986,146651
2,114044,143961
2,113131,153255
2,111575,161992
2,114416,260158
2,113307,186477
2,130296,153285
2,112656,145474
3,107070,142091
3,112503,145592
3,111234,144232
3,129402,150252
3,113232,147375
3,113296,154391
3,113265,144754
3,114162,161089
3,108335,142123
3,113254,145918
3,110419,145552
3,118469,147802
3,120698,147151
3,113449,165149
3,113600,146533
3,112126,145016
3,121560,144073
3,115432,145174
3,158832,217219
3,221230,219289
4,153150,134385
4,115758,129668
4,133807,175247
4,121663,157888
4,113938,145938
4,112610,145751
4,115760,146996
4,113293,127130
4,115242,145754
4,126574,144617
4,118644,166760
4,113299,146613
4,116981,143868
4,118779,176352
4,112403,146500
4,112334,144928
4,114632,146276
4,107459,141166
4,109338,143468
4,108104,146418
5,110617,140907
5,124985,182244
5,114393,146829
5,131111,141643
5,114511,161388
5,132197,147498
5,137225,172729
5,110357,144101
5,110163,159944
5,115508,146253
5,134574,151779
5,115948,148926
5,111958,146730
5,113324,147526
5,112774,148241
5,110972,144932
5,112428,144684
5,114670,148842
5,121533,153803
5,115654,132184
6,146140,162615
6,136963,135077
6,126457,158686
6,120559,141218
6,136057,146974
6,111285,142704
6,120030,132880
6,117628,140051
6,119293,132026
6,113479,148770
6,135284,150803
6,114941,146884
6,109896,143251
6,115319,130276
6,118316,164452
6,114243,155558
6,154676,174709
6,118528,152983
6,109413,143440
6,114106,146327
7,114274,145374
7,114729,174509
7,131862,160693
7,119801,147192
7,113517,153832
7,131633,147972
7,174533,146792
7,124459,152883
7,113147,166755
7,117809,131068
7,114076,129775
7,115250,128217
7,130752,131410
7,116376,128381
7,148958,162990
7,122849,145189
7,123182,162339
7,115310,173299
7,107624,199450
7,133251,163489
8,114694,148492
8,108817,141615
8,112118,146951
8,108155,154675
8,113301,141996
8,108237,143880
8,110154,146869
8,117126,140840
8,122360,154595
8,112080,142095
8,110408,145513
8,115934,149102
8,117009,149753
8,121792,180184
8,114430,146936
8,114199,143296
8,112084,145321
8,120170,171350
8,108040,140991
8,112675,157805
9,117551,164317
9,142043,147328
9,112882,146220
9,133304,155114
9,112138,145897
9,109095,156441
9,110224,145079
9,115996,145312
9,118462,147339
9,164413,207290
9,113679,150057
9,109282,144114
9,113508,145816
9,114212,143113
9,112048,141162
9,110603,142411
9,115724,142292
9,115539,191488
9,112651,140635
9,140010,142485
10,117288,145611
10,117432,144995
10,115200,143840
10,115174,146272
10,113659,143879
10,121226,142370
10,117712,144666
10,116168,146228
10,113421,142511
10,114946,145241
10,113707,145549
10,115049,144200
10,113936,143656
10,108554,153408
10,135280,143184
10,114595,141799
10,115868,145966
10,113752,141326
10,116295,152901
10,114141,158043
11,112943,142626
11,114296,158330
11,115042,144813
11,114486,142909
11,117627,144790
11,110674,140662
11,115315,145442
11,115990,144938
11,118002,142897
11,111256,139297
11,116024,145091
11,154245,219409
11,115509,145581
11,108593,143169
11,113262,142026
