Pallet: "staking", Extrinsic: "bond", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
u,extrinsic_time,storage_root_time
0,123211,134141
0,98474,116410
0,95277,114523
0,96887,116820
0,94939,114963
0,96999,115830
0,94855,113486
0,94939,114998
0,94528,113682
0,94862,112867
0,94877,114572
0,93886,113648
0,94850,114580
0,94027,113695
0,94580,114620
0,94247,114173
0,93795,113680
0,95755,114756
0,93779,113488
0,95137,114740
20,101716,116226
20,93679,112578
20,93473,111763
20,93299,111654
20,94719,112385
20,93325,111038
20,93679,112556
20,92542,111479
20,93152,112079
20,93583,111560
20,92431,111481
20,92893,112142
20,92570,111119
20,93267,112498
20,92851,111574
20,93154,112488
20,92554,111182
20,92734,111718
20,92710,111838
20,92797,111199
40,101380,116449
40,94940,112524
40,93906,112309
40,93829,111346
40,93795,111176
40,94640,112637
40,93728,111401
40,93916,112167
40,93704,111117
40,94305,111838
40,94106,111139
40,93823,110988
40,94428,112151
40,97102,111543
40,94206,111913
40,93747,111474
40,94288,111419
40,94147,111658
40,94636,110933
40,94404,112011
60,97091,120178
60,93382,118466
60,93022,116650
60,92726,117879
60,92496,116988
60,96024,117793
60,92715,117949
60,92774,117315
60,92755,118443
60,92660,117669
60,92915,118110
60,92529,117849
60,92316,117806
60,92356,117408
60,92525,116967
60,92796,118338
60,92248,117697
60,94261,118412
60,93707,116868
60,92862,117478
80,98119,121045
80,92880,117069
80,93335,118038
80,92113,116645
80,93104,117730
80,92511,116860
80,93214,117561
80,92591,116571
80,92436,119796
80,92926,117042
80,92344,116742
80,93016,117848
80,92476,116395
80,92301,117491
80,91971,116564
80,92749,117125
80,92063,116393
80,92672,116254
80,92555,117124
80,92150,116863
100,99980,122624
100,94283,117323
100,94325,117571
100,93736,116505
100,92839,116783
100,93475,116900
100,93269,116321
100,93607,117467
100,93284,116297
100,92921,117599
100,93499,116745
100,93531,117417
100,96197,117257
100,93665,116865
100,93245,116817
100,92988,116533
100,93071,117194
100,93501,116565
100,92883,116993
100,93137,116792
120,99012,120938
120,93429,116617
120,93116,116161
120,93593,117451
120,96080,116758
120,93301,117240
120,92822,116227
120,92947,117421
120,92997,116082
120,93519,116348
120,92644,116603
120,92625,115705
120,93489,116722
120,92935,116324
120,93130,116964
120,93455,116688
120,93132,116252
120,92472,116279
120,92543,116258
120,92908,117510
140,101096,126959
140,96795,125012
140,96932,125128
140,97190,125708
140,96736,124765
140,96939,124793
140,96755,124319
140,96589,127517
140,97230,125515
140,96937,124347
140,96868,124978
140,96412,125016
140,96563,125046
140,96263,124192
140,96522,124824
140,95863,124543
140,95839,124446
140,96420,124380
140,96574,124367
140,96754,124963
160,99319,119423
160,94671,117718
160,93733,116045
160,95654,117220
160,94042,115809
160,93693,117889
160,94011,115700
160,93563,116084
160,93587,116780
160,93703,115920
160,93719,119775
160,93671,115546
160,93955,116303
160,93386,115648
160,94418,116111
160,93621,116047
160,92997,115137
160,92919,116346
160,93177,115921
160,93171,116047
180,101606,125724
180,94506,120998
180,125842,121300
180,94309,120969
180,94102,121757
180,93972,120731
180,94843,121666
180,94166,120682
180,94594,121527
180,94085,121060
180,94106,121835
180,93836,120680
180,94221,120402
180,94016,120761
180,95379,121341
180,94720,121760
180,94494,121004
180,94598,121446
180,94457,120894
180,94338,121082
200,94947,115759
200,92619,114782
200,94141,115159
200,92902,113934
200,93438,114314
200,92419,117016
200,93217,114226
200,92810,113684
200,92973,113823
200,92809,113813
200,92334,112979
200,92593,114077
200,92793,113713
200,92290,114392
200,92342,113470
200,92384,113994
200,92849,113476
200,95529,113716
200,93069,114720
200,92583,113689
220,99086,123569
220,94223,119898
220,94367,120943
220,95409,120774
220,93921,120209
220,94013,119869
220,93490,119847
220,93674,121017
220,93918,119871
220,97532,120835
220,94370,120232
220,94060,120484
220,94004,120355
220,93376,120097
220,93970,120354
220,93891,119526
220,94002,120993
220,93427,120264
220,94009,120930
220,93846,120340
240,98107,112545
240,94088,110753
240,93451,109451
240,93598,111756
240,93315,110073
240,94142,111246
240,93523,110017
240,93149,109926
240,93578,110008
240,93157,109526
240,93696,110692
240,93112,109897
240,93397,110471
240,94029,110502
240,93251,109648
240,92944,110591
240,92974,109697
240,92990,110901
240,92653,109974
240,93153,110590
260,102215,121102
260,94851,116932
260,95232,117541
260,95067,116939
260,94901,118001
260,95079,117140
260,94866,117569
260,94661,116709
260,94275,116227
260,94179,116496
260,94830,116447
260,94575,117415
260,94254,116197
260,94453,117428
260,94574,116568
260,94987,116674
260,94729,119088
260,95041,116201
260,94014,116804
260,93558,116566
280,98760,118351
280,93905,114599
280,94538,115879
280,94187,114784
280,94179,114970
280,94019,114522
280,93375,114309
280,93166,115557
280,124897,115008
280,93645,114942
280,94282,114568
280,93332,115001
280,93638,113793
280,93928,113775
280,93865,114553
280,93497,114210
280,93698,114755
280,93377,113788
280,93965,115408
280,93495,113914
300,97711,122899
300,93474,119249
300,93407,119272
300,94288,119966
300,93481,118964
300,93917,119097
300,92941,118894
300,94000,119843
300,93362,118782
300,92912,120021
300,93107,118447
300,93826,121694
300,93637,148577
300,93722,118710
300,93552,119381
300,93191,119022
300,93232,120045
300,93320,118961
300,93062,119755
300,93216,119168
320,97213,115443
320,94075,114873
320,93060,113555
320,97883,114862
