Pallet: "staking", Extrinsic: "bond_extra", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
u,extrinsic_time,storage_root_time
0,88087,89047
0,78714,82131
0,79723,82278
0,77385,81483
0,78582,81725
0,78338,81841
0,78172,81691
0,78102,81332
0,77748,84874
0,78023,81443
0,77037,82037
0,77988,81597
0,77526,81195
0,77109,80849
0,77915,80985
0,77697,81754
0,76770,80531
0,78866,81154
0,77620,81065
0,77534,81521
20,77299,80274
20,76514,78480
20,76552,79662
20,76104,78800
20,76926,78075
20,75748,78159
20,76271,78450
20,76257,79314
20,75965,78195
20,76234,79215
20,75909,78287
20,75953,78790
20,76224,78603
20,75666,78719
20,79979,79502
20,76654,78599
20,76378,78338
20,75931,78481
20,75714,78222
20,76192,79299
40,77416,79680
40,77331,79551
40,76756,78892
40,77261,79768
40,76308,79442
40,76346,79502
40,76652,79874
40,76616,79566
40,75939,79363
40,76376,78727
40,76399,78742
40,76593,131216
40,76822,79112
40,76826,79038
40,76712,79013
40,77277,79750
40,76631,79128
40,76498,78648
40,76134,79238
40,76860,79375
60,82045,82152
60,77332,81491
60,77284,80882
60,77488,81853
60,77345,80936
60,77376,81277
60,76724,81087
60,76939,80721
60,78175,81432
60,77339,80432
60,77624,80532
60,77735,80373
60,76639,80353
60,77324,81205
60,76887,80409
60,77217,80941
60,77436,80622
60,77475,80930
60,78072,81170
60,77013,80687
80,78746,87415
80,77433,87400
80,77925,86826
80,78113,87763
80,77342,86510
80,78234,90480
80,77675,86709
80,77543,86875
80,78187,87304
80,77610,86316
80,77804,86979
80,77716,86729
80,77321,86534
80,78134,87190
80,78062,86705
80,77687,87006
80,77048,86171
80,77617,86235
80,78571,86780
80,77755,86528
100,79414,87540
100,78286,87822
100,78446,86812
100,78248,87484
100,77872,86989
100,78032,87421
100,77663,87046
100,78088,87101
100,77852,86735
100,77204,86667
100,81519,87481
100,77876,87426
100,77732,86516
100,79411,87235
100,78201,86730
100,77766,87124
100,78398,86849
100,76804,86689
100,77860,87821
100,78267,86697
120,78412,82081
120,77282,79863
120,77756,80510
120,77742,80638
120,77325,79991
120,77597,79502
120,77169,79496
120,78401,79377
120,78085,80240
120,76917,79799
120,77662,79744
120,77433,79442
120,77186,79961
120,78321,80314
120,77661,79390
120,80066,80069
120,77083,79345
120,77887,79754
120,77895,79877
120,77385,79615
140,80397,93757
140,79357,93296
140,80058,93250
140,80171,97920
140,79484,92313
140,79851,92905
140,79909,93538
140,79442,93250
140,79238,92328
140,79197,92373
140,79592,92146
