Pallet: "staking", Extrinsic: "cancel_deferred_slash", Lowest values: [], Highest values: [], Steps: [20], Repeat: 20
s,extrinsic_time,storage_root_time
1,899213,287725
1,874413,240116
1,858796,230617
1,903799,236879
1,889711,243539
1,928826,256669
1,974619,248191
1,886671,231072
1,850529,230456
1,855180,225837
1,852322,229314
1,856915,229987
1,890170,238463
1,838320,229700
1,850598,283368
1,878355,245461
1,856795,231072
1,865339,229583
1,862583,277724
1,886021,239386
50,7046371,257351
50,7083753,254965
50,7311003,267957
50,7296197,303165
50,7260027,270978
50,7494182,264582
50,7208187,262013
50,7416177,270059
50,7852232,291572
50,7535978,268746
50,9814599,278224
50,7198824,267989
50,7138170,288341
50,7063117,255266
50,7152787,291370
50,7143087,262449
50,7292206,275657
50,7285091,262607
50,7501040,270112
50,7233217,318347
99,13530362,272085
99,13653461,291798
99,17071559,444141
99,14959273,319638
99,13665647,285432
99,13356509,259039
99,13025913,255105
99,13178379,259344
99,14918572,279280
99,14023864,284031
99,13204550,271869
99,14820065,277458
99,13718977,264711
99,13339399,284063
99,14088664,353511
99,13156257,259556
99,13042268,303121
99,13885827,265380
99,13324741,264151
99,13318466,262238
148,18560448,266196
148,18482662,240395
148,18718489,258865
148,18581702,256543
148,18628380,257995
148,18666716,251111
148,18657919,258242
148,18535006,254181
148,18720010,259745
148,18710990,260244
148,18786780,262049
148,18812581,254970
148,18623373,258363
148,18796986,260803
148,18840136,262485
148,18831864,256580
148,19363995,277340
148,19151620,267647
148,18800471,306891
148,19605898,259713
197,24604157,282782
197,24856882,251988
197,24320528,247863
197,25091057,259167
197,25200546,266172
197,24316913,258670
197,24442558,273622
197,24259668,274645
197,24128619,256787
197,24239916,257181
197,23837496,240519
197,24331601,246205
197,25061160,333896
197,25064747,251754
197,24678754,255952
197,25446021,250028
197,25133608,263012
197,25331038,250578
197,31884289,295881
197,24824421,372618
246,29592531,270725
246,30969757,244719
246,29914642,252898
246,30004351,238708
246,30309348,250918
246,29294525,240676
246,30283330,253263
246,30537012,263340
246,30110871,307134
246,29469939,252162
246,28854944,240054
246,29196695,243027
246,29846038,248551
246,29495105,247619
246,33826335,270733
246,29011984,247652
246,28951523,236638
246,29765945,239165
246,29498403,253285
246,29021383,244716
295,34995989,313118
295,35249875,254192
295,34972580,250925
295,35838407,307450
295,37409524,341630
295,37388934,324405
295,36945735,238115
295,35514220,237643
295,34761720,244389
295,34889772,233247
295,35460670,248195
295,35065544,316340
295,35434740,292367
295,35775499,248751
295,37171134,280489
295,34748745,243586
295,35603986,294819
295,36146684,243328
295,35499271,253014
295,34734710,346557
344,40310462,255698
344,42097653,364211
344,40467823,252702
344,43505671,244803
344,39583678,225618
344,39847978,228732
344,40388924,232934
344,39140683,240761
344,39535443,230170
344,39267428,236017
344,39805670,238598
344,41071972,240145
344,40573421,342034
344,42851978,227329
344,39245485,251725
344,40411583,239375
344,39074911,219852
344,39186563,234396
344,38806476,224348
344,39837680,245014
393,43785914,233929
393,43992063,237971
393,43209699,233325
393,43905826,227766
393,45307834,220940
393,43574648,240160
393,43414981,257081
393,44930253,232979
393,43277135,215992
393,43261403,226874
393,42548797,235840
393,43601663,215814
393,45213042,281019
393,43610955,223296
393,42981417,224634
393,42890732,253361
393,43467607,215673
393,43948138,222152
393,42907039,218264
393,43142880,223354
442,46744543,212447
442,46848691,212314
442,48293849,221050
442,48015481,219132
442,47158580,210116
442,47181045,222302
442,47338751,244615
442,48225983,217199
442,48902885,209583
442,46146104,232203
442,46379761,208523
442,47807863,219787
442,48208837,234224
442,47606773,214144
442,47809434,219767
442,47099011,218698
442,46710583,251679
442,49105031,312541
442,46232754,208892
442,46959147,210486
491,51053155,225101
491,50492211,213144
491,54777777,215900
491,49430737,206273
491,49816703,209421
491,52807332,218751
491,52727096,214276
491,51936234,219894
491,51861620,226875
491,51065344,233534
491,50208739,198029
491,51208569,233345
491,51991523,202866
491,51324418,200001
491,50410961,210113
491,50427022,207873
491,51027383,202188
491,50338819,231915
491,50980998,202606
491,50140935,198520
540,53476269,214317
540,53698040,269907
540,53685530,218771
540,53571436,220554
540,54005295,219854
540,53632582,195760
540,55660787,196060
540,56053489,188393
540,53783353,216962
