Pallet: "staking", Extrinsic: "chill", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
u,extrinsic_time,storage_root_time
0,22936,11913
0,18987,8914
0,18892,8963
0,18688,8814
0,18410,8686
0,18555,8794
0,18308,8505
0,18094,8375
0,18284,8357
0,18305,8617
0,18156,8650
0,18193,8634
0,18086,8514
0,18244,8598
0,18270,8645
0,18135,8679
0,18171,8497
0,18153,8590
0,18275,8604
0,18175,8622
20,18444,10745
20,18691,8715
20,18345,8487
20,18658,8517
20,18063,8571
20,18019,8419
20,18421,8613
20,18028,8586
20,18276,8606
20,18036,8398
20,18078,8648
20,18279,8562
20,18005,8349
20,18427,8696
20,18543,8669
20,17923,8600
20,18002,8509
20,18042,8496
20,18381,8528
20,18186,8567
40,18201,8823
40,18172,8530
40,17996,8659
40,18233,8577
40,18150,8726
40,18103,8565
40,18330,8637
40,18128,8369
40,18063,8610
40,18364,8581
40,18147,8603
40,18129,8416
40,18077,8697
40,17954,8473
40,18250,8556
40,18004,8586
40,17893,8571
40,18416,8513
40,18168,8507
40,18301,8685
60,18414,8628
60,18187,8439
60,17990,8399
60,18341,8486
60,18093,8504
60,18083,8537
60,18342,8515
60,18004,8598
60,18058,8536
60,17854,8616
60,17935,8546
60,18221,8616
60,18168,8511
60,17995,8609
60,18091,8547
60,18091,8545
60,18126,8421
60,18146,8519
60,18488,8691
60,18168,8506
80,18238,8583
80,18277,8585
80,18309,8697
80,18099,8628
80,18286,8701
80,18133,8682
80,18253,8599
80,18419,8601
80,18197,8613
80,18414,8670
80,18238,8660
80,18166,8524
80,18480,8639
80,18371,8585
80,18390,8568
80,18393,8452
80,18283,8463
80,17967,8528
80,18389,8585
80,18178,8615
100,18614,8683
100,18410,8709
100,18511,8704
100,18292,8741
100,18370,8501
100,18294,8596
100,18483,8609
100,18288,8474
100,18413,8644
100,18388,8802
100,18410,8703
100,18309,8508
100,18373,8634
100,31984,8827
100,18317,8779
100,18528,8496
100,18269,8643
100,18277,8545
100,18353,8569
100,18444,8610
120,17995,8452
120,18593,8751
120,18165,8509
120,17989,8485
120,18043,8639
120,17702,8473
120,17863,8450
120,17988,8667
120,17977,8507
120,18010,8706
120,18043,8591
120,18182,8565
120,18097,8495
120,18348,8695
120,17749,8633
120,17592,8521
120,18843,8853
120,18164,8370
120,18283,8607
120,18021,8548
140,18236,8627
140,18343,8677
140,18091,8548
140,18064,8490
140,17893,8459
140,18126,8463
140,17985,8522
140,17831,8497
140,18045,8545
140,17925,8376
140,17937,8491
140,17986,8597
140,17957,8386
140,18380,8599
140,17961,8388
140,18391,8499
140,18156,8383
140,17802,8638
140,18060,8310
140,18164,8437
160,18355,8508
160,18063,8621
160,18320,8617
160,18010,8633
160,18229,8401
160,18172,8507
160,18125,8543
160,18040,8402
160,18389,8579
160,18310,8610
160,17944,8641
160,18213,8498
160,18003,11385
160,18223,8675
160,17967,8712
160,18122,8384
160,18164,8566
160,18307,8581
160,18255,8585
160,18331,8634
180,18085,8387
180,18237,8446
180,18409,8882
180,17964,8562
180,17844,8474
180,18243,8598
180,18073,8420
180,17952,8442
180,18215,8559
180,18050,8607
180,17932,8637
180,18108,8588
180,17867,8438
180,18296,8526
180,18197,8597
180,18066,8628
180,18020,8492
180,18059,8487
180,18050,8629
180,18134,8624
200,17972,8421
200,18006,8547
200,18084,8487
200,18103,8487
200,18149,8613
200,18101,8453
200,18156,8442
200,18154,8562
200,18135,8393
200,18060,8497
200,18338,8486
200,18210,8632
200,18617,8680
200,18505,8512
200,18240,8458
200,18278,8641
200,18132,8542
200,18176,8473
200,18121,8562
200,18247,8512
220,18180,8729
220,18292,8703
220,17990,8679
220,18137,8470
220,18185,8752
220,18304,8557
220,18144,8549
220,18199,8507
220,18156,8454
220,17862,8420
220,18363,8779
220,18109,8391
220,18247,8531
220,21308,8673
220,18354,8485
220,17880,8602
220,18100,8632
220,18273,8531
220,17951,8659
220,18135,8552
240,17907,8743
240,18239,8614
240,18294,8708
240,18385,8551
240,18236,8551
240,18042,8520
240,18109,8541
240,18234,8558
240,18111,8391
240,17977,8518
240,18145,8480
240,17896,8491
240,18207,8507
240,18452,8568
240,18267,8625
240,17821,8482
240,18185,8472
240,18103,8524
240,18210,8380
240,18169,8544
260,18308,8585
260,18014,8456
260,18078,8610
260,18158,8559
260,18230,8522
260,18097,8531
260,18133,8529
260,17930,8565
260,18162,8631
260,18011,8477
260,18257,8560
260,18071,8637
260,18380,8557
260,18089,8397
260,18506,8661
260,18220,8313
260,18325,8589
260,18107,8623
260,18259,8640
260,18093,8510
280,18143,8557
280,18260,8547
280,18197,8693
280,18453,8721
280,18224,8504
280,18548,8579
280,18065,8680
280,18144,8708
280,18438,8602
280,18456,8432
280,18261,8407
280,18498,8503
280,18149,8620
280,18322,8481
280,18417,8725
280,18051,8494
280,18119,8426
280,18242,8529
280,18152,8440
280,18159,8439
300,18333,8540
300,18721,8436
300,18282,8531
300,18164,8617
300,18278,8362
