Pallet: "staking", Extrinsic: "do_slash", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
l,extrinsic_time,storage_root_time
1,65332,75263
1,60176,70153
1,62442,70126
1,59655,69335
1,59515,69607
1,59471,69842
1,59541,68564
1,60335,69446
1,59446,68784
1,58835,68943
1,59488,68717
1,60771,69364
1,59219,69104
1,59390,69141
1,59663,68984
1,58777,68960
1,59476,68581
1,59483,68385
1,59476,69217
1,59149,68740
20,65386,70301
20,63105,69540
20,62709,68837
20,63152,68606
20,62228,68277
20,62885,69300
20,62317,68987
20,62453,68980
20,62780,69138
20,62317,69023
20,62840,68773
20,62166,68331
20,61549,69367
20,62963,69622
20,62312,68702
20,62194,68597
20,61927,68970
20,62150,68978
20,62408,69201
20,62540,68412
39,63440,69369
39,63319,68910
39,63354,69289
39,62851,68713
39,63261,68508
39,63005,68996
39,63588,71741
39,63485,69429
39,62689,68974
39,63058,68741
39,63180,68661
39,63289,69379
39,62545,69063
39,63603,68622
39,63401,69474
39,66448,69076
39,63135,68552
39,62780,68272
39,63251,68832
39,63120,68909
58,64589,69609
58,64522,69465
58,64209,68919
58,64105,68878
58,64642,68864
58,64317,68384
58,64202,69635
58,63971,68539
58,63580,68919
58,64233,68430
58,64179,68964
58,64282,68456
58,64275,69004
58,65384,69310
58,64037,68346
58,64308,68851
58,64293,68711
58,64098,68681
58,64409,68504
58,64521,69055
77,66355,69320
77,65861,68579
77,66933,69064
77,66080,68577
77,66019,68537
77,66200,69356
77,65962,69257
77,65934,68237
77,66042,68925
77,66172,69459
77,65332,71932
77,65683,69252
77,65872,69787
77,66287,68960
77,65866,68807
77,66226,68476
77,66628,69145
77,65899,68577
77,65922,68943
77,66739,69530
96,67801,69861
96,68289,69047
96,67928,69202
96,67514,69647
96,67395,68856
96,66854,68897
96,67773,69184
96,67601,68935
96,67641,69666
96,67570,69049
96,67879,69262
96,67704,69404
96,68230,69746
96,67502,69499
96,66969,69004
96,67332,69540
96,71323,69751
96,67284,69294
96,67891,69821
96,67834,69263
115,69860,69272
115,69466,69396
115,70086,69732
115,69612,69522
115,69114,69283
115,70154,69086
115,69637,68943
115,69688,69197
115,69249,69259
115,69300,69433
115,69919,70303
115,69275,69243
115,69352,69170
115,69597,72304
115,69252,69332
115,69291,69267
115,69713,69386
115,69332,69748
115,69128,69152
115,69055,69308
134,71198,69005
134,71053,70065
134,71195,70380
134,70416,69019
134,70808,69133
134,70737,69053
134,71004,69751
134,71066,69002
134,70824,69257
134,71019,69833
134,70878,72427
134,70893,69490
134,71574,68962
134,70761,69382
134,70620,69450
134,70443,69089
134,71135,70128
134,70295,68939
134,71450,69781
134,71073,69119
153,71660,70088
153,71668,70075
153,71212,69351
153,71169,69374
153,72019,68734
153,71308,69817
153,71458,68891
153,71637,72481
153,71854,69717
153,72019,69528
153,71537,69193
153,71628,69265
153,71662,69448
153,71483,69359
153,70866,69599
153,71055,69903
153,72487,69663
153,71569,69366
153,71443,68837
153,71443,69346
172,72900,70184
172,72820,68966
172,72493,69231
172,72542,69206
172,72566,72533
172,72810,69078
172,72506,69243
172,72684,69600
172,72953,69302
172,72411,68990
172,72417,69460
172,72578,69256
172,72437,69561
172,72767,68538
172,72669,69069
172,72746,69333
172,72061,69455
172,72593,69282
172,72573,69184
172,73248,69543
191,74862,69681
191,78139,69448
191,74893,69334
191,75986,69835
191,75047,69758
191,74645,69480
191,74986,69991
191,74157,69040
191,74596,69930
191,74831,69163
191,74493,69706
191,75158,69558
191,74763,68964
191,74968,69017
191,74364,69319
191,74647,69413
191,74702,69486
191,74915,68823
191,75793,69931
191,74367,69027
210,75436,69554
210,75604,69303
210,75949,69090
210,75783,69455
210,75477,69282
210,75797,69599
210,75523,69137
210,76070,69424
210,75229,69517
210,75278,69573
210,75884,69766
210,75199,69126
210,76005,69705
210,75858,69359
210,76279,70236
210,76173,69329
210,76027,69589
210,75682,69602
210,75440,69766
210,75718,69339
229,76578,69525
229,76549,69180
229,76232,69995
229,79818,69311
229,76505,69202
229,76503,68866
229,76876,69701
229,75857,68606
229,75962,69535
229,76901,69750
229,75670,69324
229,76974,69586
229,76232,69747
229,76192,69387
229,76252,69661
229,76504,69259
229,76823,69655
229,76812,69276
229,76417,69595
229,75663,68876
248,78146,69323
248,77761,69795
248,77399,69525
248,77605,69669
248,76981,69436
248,77382,69957
248,77408,69661
248,77040,69367
248,81191,70143
248,77763,69541
248,77605,69369
248,77598,69820
248,77622,69740
248,78414,69809
248,78157,69140
248,77492,69435
248,77149,69425
248,77712,69510
248,77826,69447
248,77270,69234
267,80461,70333
267,79572,69370
267,79560,69775
267,80200,69244
267,79859,70020
267,80415,69999
267,79950,69482
267,79907,69196
267,79697,69267
267,79764,69592
267,79442,69586
267,79962,69120
267,80205,70174
267,80457,69517
267,80055,69979
267,79949,69697
267,80263,69946
267,80281,69780
267,79833,69731
267,79692,69782
286,80707,69884
286,82060,69605
286,81724,69625
286,81377,69380
286,80785,70272
286,81301,69939
286,80833,69882
286,81150,69539
286,81388,69847
286,84843,70531
286,81135,69808
286,81766,70307
286,81136,69650
286,81454,69721
286,81212,69431
286,81184,69913
286,81461,70503
286,81122,72776
286,81743,70037
286,81161,69644
305,82532,70310
305,82018,69691
305,82457,69583
305,81835,70215
305,81998,69430
305,81434,69747
305,82233,69485
305,81914,69622
305,81509,70532
305,82190,70026
305,81659,69395
305,81779,69293
305,82120,69939
305,81829,69752
305,82410,69659
305,82291,70389
305,82088,69884
305,82042,69415
305,82054,69541
305,82290,69859
324,83626,69960
324,83533,69006
324,83749,70167
324,83583,69924
324,83906,69774
324,83537,69358
324,83241,69961
324,83048,70151
324,83718,69619
324,84037,69545
324,83456,69787
324,83331,70001
324,83927,69968
324,83320,69687
324,83744,69376
324,83100,69404
324,83757,69858
324,83424,69661
324,84171,69575
324,83359,69985
343,84842,69919
343,84989,69906
343,84287,70167
343,84424,69922
343,84362,69938
343,84799,69704
343,85041,69695
343,84445,69608
343,84291,69957
343,84332,70149
343,84486,70067
343,84514,70197
343,83583,69806
343,84622,69984
