Pallet: "staking", Extrinsic: "new_era", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
v,n,extrinsic_time,storage_root_time
1,100,353163559,126555
1,100,361057383,125034
1,100,352834379,120789
1,100,352718612,120765
1,100,352576614,122217
1,100,353693788,124065
1,100,353186212,123475
1,100,352829364,122822
1,100,354297625,122845
1,100,352689864,125368
1,100,354431461,119552
1,100,353355149,127106
1,100,352466888,123863
1,100,353547490,119938
1,100,352184393,127267
1,100,353981815,120075
1,100,353415479,1634430
1,100,354440384,122516
1,100,353119857,122613
1,100,352418311,123324
2,100,353934777,137965
2,100,364114919,139975
2,100,355035243,139195
2,100,354625574,138406
2,100,353904102,137441
2,100,354388145,136899
2,100,352723587,136568
2,100,354867188,138936
2,100,354471724,140454
2,100,353870724,138951
2,100,354204860,140626
2,100,355188841,137899
2,100,353835183,141558
2,100,353655951,138908
2,100,355115194,139758
2,100,353989387,136791
2,100,354083192,138692
2,100,353747468,138738
2,100,354395260,137562
2,100,354645127,139206
3,100,356873689,159416
3,100,358292804,161693
3,100,356777879,160025
3,100,357773261,159382
3,100,357989235,157756
3,100,358298247,157921
3,100,358272016,158801
3,100,356526432,157096
3,100,357537629,159155
3,100,356435581,161251
3,100,357668922,159465
3,100,357023390,159868
3,100,358301940,161253
3,100,358439742,159987
3,100,357343661,159534
3,100,358512960,159619
3,100,359288932,158431
3,100,357808407,159872
3,100,357299664,160496
3,100,357525938,160167
4,100,352028278,166505
4,100,350813379,168789
4,100,351413414,166249
4,100,351349884,166581
4,100,351324742,167404
4,100,351560227,166674
4,100,350841013,166931
4,100,350987206,167175
4,100,350717573,163264
4,100,351013994,167840
4,100,350301577,165999
4,100,350110266,165101
4,100,351580786,166598
4,100,351171509,166582
4,100,350297230,168141
4,100,350643784,166585
4,100,350955810,168071
4,100,350899668,167941
4,100,351581924,165851
4,100,351405241,164793
5,100,359189036,175708
5,100,357911156,173467
5,100,359300154,176944
5,100,358926850,173270
5,100,358172333,204087
5,100,358194987,172975
5,100,358730869,175056
5,100,359097019,202538
5,100,358984043,173126
5,100,359168865,174519
5,100,359027107,172941
5,100,359776218,174650
5,100,358658931,175354
5,100,359342982,201953
5,100,359638509,174310
5,100,359918563,174596
5,100,359507497,172367
5,100,360007452,174900
5,100,360458272,172380
5,100,360908285,173728
6,100,368005591,187338
6,100,358342932,219671
6,100,359163792,192012
6,100,358904563,189537
6,100,357869660,187527
6,100,358021382,190256
6,100,358531271,191603
6,100,357380701,190214
6,100,358414888,189259
6,100,358799874,188690
6,100,357942283,189110
6,100,357794156,188518
6,100,358806440,185549
6,100,358156740,189110
6,100,358456261,190284
6,100,359247600,219827
6,100,358365618,197542
6,100,357664216,220456
6,100,357834339,191007
6,100,358763072,188938
7,100,359161491,203671
7,100,368349914,204687
7,100,360368266,202336
7,100,360656509,203243
7,100,358713598,236028
7,100,358337461,202803
7,100,359617511,204516
7,100,359043620,203955
7,100,358844294,202318
7,100,358684138,202939
7,100,358861001,236959
7,100,358974498,202983
7,100,359494637,234697
7,100,359186501,203487
7,100,359626644,234028
7,100,359046465,203411
7,100,359843892,204046
7,100,358194477,204111
7,100,358391468,203168
7,100,359361054,236675
8,100,362277846,216722
8,100,362011834,248724
8,100,361187295,216741
8,100,361129645,217314
8,100,361315595,250362
8,100,362984825,272109
8,100,361393381,251212
8,100,362143619,217400
8,100,362092704,217644
8,100,362462033,214883
8,100,361875000,226531
8,100,361789155,222475
8,100,361418699,248819
8,100,362674357,231243
8,100,361803422,254991
8,100,361221527,219746
8,100,360897384,213950
8,100,362660404,215036
8,100,360893502,214296
8,100,362714674,248838
9,100,362500498,271402
9,100,361558303,227464
9,100,363452316,224690
9,100,363405558,226717
9,100,362964260,236712
9,100,362450479,228619
9,100,362288953,268393
9,100,364029776,228379
9,100,362917925,261281
9,100,361704356,260678
9,100,363254256,229355
9,100,362305370,260101
9,100,362569047,225237
9,100,362961015,260342
9,100,362414856,229505
9,100,362587811,225150
9,100,361143891,229092
9,100,361560197,226423
9,100,362263488,225072
9,100,361831363,227390
10,100,358875376,241707
10,100,359015060,242192
10,100,358181262,242851
10,100,359049095,239949
10,100,358806559,271874
10,100,359339112,241875
10,100,358612703,242497
10,100,359378183,240447
10,100,358982814,240830
10,100,360021455,245777
10,100,358814224,243302
10,100,359083498,242889
10,100,358713783,240251
10,100,358646215,242371
10,100,360081682,242156
10,100,359982918,274686
10,100,358404057,273626
10,100,358711398,240320
10,100,359498150,252075
10,100,358366270,275886
10,1,348711932,178507
10,1,349489111,175764
10,1,349964370,174985
10,1,349454192,188180
10,1,350726366,175330
10,1,349026453,179578
10,1,350309861,175027
10,1,349585462,174749
10,1,349132491,183888
10,1,349665735,174146
10,1,350156451,177528
10,1,349633522,174874
10,1,349269507,175304
10,1,350066141,176808
10,1,348392284,175569
10,1,348877399,174517
10,1,350206168,175429
10,1,350165838,176557
10,1,350394046,176117
10,1,348962053,174881
10,2,357460578,183928
10,2,357580370,178875
10,2,357997827,177987
10,2,357042137,177216
10,2,356011728,181055
10,2,357009624,178101
10,2,359078275,178147
10,2,356496315,179912
10,2,358004439,185049
10,2,358338756,181082
10,2,356752900,178500
10,2,356880417,177179
10,2,356455204,180223
10,2,356889172,178222
10,2,357983920,177469
10,2,356621013,178894
10,2,357937967,182032
10,2,357877364,182385
10,2,358503037,181199
10,2,357386974,177650
10,3,347979050,182508
10,3,350197037,181571
10,3,348007484,185963
10,3,348697533,178917
10,3,349386855,179164
10,3,348270156,182082
10,3,349141554,178472
10,3,349002517,180665
10,3,348883434,179348
10,3,349335086,181416
10,3,348657787,180105
10,3,350544046,179438
10,3,348392687,182076
10,3,348363503,182136
10,3,349765717,181365
10,3,347983539,181148
10,3,348731782,178777
10,3,349963139,179069
10,3,347883623,179377
10,3,349765567,180074
10,4,350933532,178277
10,4,351521569,179762
10,4,350632582,179316
10,4,350537880,177277
10,4,350995921,182750
10,4,352306385,182185
10,4,350773625,178345
10,4,352641027,183873
