Pallet: "staking", Extrinsic: "payout_all", Lowest values: [], Highest values: [], Steps: [20], Repeat: 20
v,n,extrinsic_time,storage_root_time
1,100,14640372,2168842
1,100,14232606,2225664
1,100,14254648,2112477
1,100,14340324,2108695
1,100,14735527,2245294
1,100,13695827,2234175
1,100,13864525,2069999
1,100,14054757,2471932
1,100,14040333,2185091
1,100,14381720,2493137
1,100,14404116,2137101
1,100,13518566,2302439
1,100,14052041,2319684
1,100,14401019,2136387
1,100,14899905,2305644
1,100,15076193,2487263
1,100,14021741,2090053
1,100,13735323,2335426
1,100,13813239,2104063
1,100,13741139,2163009
2,100,26363505,2839851
2,100,25659922,2981887
2,100,26234335,2950583
2,100,25696895,2806681
2,100,26422192,2794062
2,100,25576762,2837457
2,100,25741261,2901898
2,100,26402462,2946870
2,100,25769430,2970258
2,100,25707333,2900966
2,100,24952458,2930768
2,100,25756704,2788735
2,100,25138309,2968752
2,100,28094018,3290550
2,100,27222031,3062061
2,100,27195456,3122629
2,100,27143233,2949593
2,100,25945326,3074276
2,100,26877979,3034666
2,100,25631986,2789863
3,100,34345076,2941686
3,100,34254632,2842509
3,100,35578210,2940036
3,100,34185585,2909835
3,100,34340322,2798708
3,100,36212537,2871279
3,100,34413445,2847917
3,100,35155145,2931039
3,100,34735172,2892631
3,100,35361066,3021414
3,100,33805491,3095868
3,100,34374522,2867822
3,100,34168382,2791030
3,100,35028735,3041522
3,100,35230557,2903108
3,100,34534194,2837439
3,100,34787748,3069111
3,100,34807253,2925307
3,100,34178386,2790312
3,100,34338491,2950842
4,100,44742715,3325817
4,100,45159783,2949595
4,100,44828035,2979271
4,100,44726315,2793485
4,100,44039951,2803048
4,100,44208921,3204000
4,100,45723611,2852988
4,100,44412606,2874442
4,100,44690072,2804048
4,100,44338758,2781313
4,100,43656999,2817056
4,100,43629610,2729413
4,100,44452877,2806828
4,100,43842866,2920366
4,100,44413273,2749724
4,100,44451651,2856299
4,100,45402552,2832676
4,100,44665685,2887236
4,100,44104535,3173651
4,100,43404493,2746861
5,100,56650735,3224025
5,100,56528216,3256713
5,100,55940679,3110784
5,100,55773564,3237795
5,100,61005692,3120776
5,100,56747891,3279691
5,100,55587403,3110861
5,100,55929530,3161050
5,100,56174267,3180381
5,100,55890245,3107893
5,100,57436708,3335193
5,100,56546239,3181759
5,100,56425905,3146907
5,100,56547709,3042613
5,100,57645527,3504681
5,100,56879570,3124738
5,100,56016323,3200065
5,100,57142554,3329833
5,100,56312113,3252001
5,100,56501963,3168701
6,100,69299823,3278805
6,100,69283583,3220803
6,100,69842516,3193629
6,100,69450070,3203847
6,100,68694350,3143456
6,100,68183915,3245918
6,100,69415533,3310988
6,100,69477778,3150594
6,100,70295514,3308531
6,100,69718055,3212134
6,100,70538904,3517725
6,100,69230170,3727636
6,100,68466111,3253617
6,100,69857207,3536297
6,100,68242824,3152169
6,100,67924008,3282961
6,100,69097583,3208654
6,100,67447531,3333198
6,100,68960775,3261675
6,100,70322432,3482071
7,100,86750960,3423213
7,100,83523233,3295596
7,100,84428526,3204359
7,100,83129379,3215438
7,100,83391994,3256276
7,100,83858088,3253112
7,100,81411585,3212621
7,100,82400991,3188072
7,100,82288218,3260208
7,100,83735923,3351197
7,100,83602262,3323649
7,100,82559520,3151276
7,100,81918930,3223980
7,100,80603222,3172055
7,100,81730220,3342812
7,100,82795904,3291919
7,100,82895354,3232364
7,100,81542737,3288952
7,100,82922424,3408699
7,100,87196403,3242406
8,100,102247141,3284465
8,100,107412340,3327467
8,100,99112559,3180173
8,100,95682568,3071805
8,100,101453533,3143801
8,100,101694909,3248517
8,100,97771586,3211756
8,100,99343846,3228541
8,100,96391275,3479104
