Pallet: "staking", Extrinsic: "payout_stakers", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
n,extrinsic_time_ns,storage_root_time_ns
1,134918,58254
1,128897,55797
1,115601,55256
1,115999,55406
1,115474,55626
1,115729,55792
1,116481,55974
1,113896,54896
1,114918,55534
1,115659,58894
1,114460,55282
1,116161,56241
1,115222,55588
1,114879,55396
1,115441,55540
1,116279,55544
1,115268,55296
1,114661,55858
1,115040,55434
1,116501,56009
2,116163,55468
2,115056,55448
2,115751,55220
2,115761,55186
2,116447,55770
2,116649,55460
2,115330,55446
2,116276,55055
2,117879,55918
2,116718,55954
2,115367,55588
2,117114,55139
2,116375,55366
2,118308,55848
2,115633,55203
2,116777,55335
2,115470,55550
2,115535,55771
2,116102,54976
2,116344,55993
3,117823,56149
3,117778,55684
3,116355,55536
3,115794,55453
3,115945,55333
3,115631,55497
3,117512,55619
3,120183,55771
3,115597,55367
3,116952,55550
3,116371,55627
3,117172,55460
3,128659,55111
3,129035,55747
3,130938,55773
3,128202,55177
3,130418,56050
3,130072,55360
3,131324,55659
3,130167,55388
4,116179,55679
4,115103,55055
4,114987,55449
4,116544,56171
4,116303,55158
4,131315,55463
4,129260,54996
4,128742,54978
4,129381,55763
4,128506,55672
4,129714,55591
4,128620,55447
4,129216,55131
4,128433,55299
4,128582,55646
4,128307,55653
4,128166,54988
4,129780,55704
4,129316,55533
4,129414,55752
5,129884,55756
5,128876,54870
5,132544,55396
5,129337,55788
5,130149,55896
5,128079,59523
5,128491,55749
5,129152,56066
5,129542,55397
5,129034,55202
5,129368,55451
5,130732,55063
5,129797,55545
5,130526,55803
5,130196,55934
5,129846,55563
5,129596,55240
5,129374,55652
5,130100,55160
5,130147,55376
6,115262,56124
6,117350,55661
6,129653,55669
6,130416,55946
6,129780,55437
6,129699,55560
6,132856,55733
6,130758,55444
6,130135,55757
6,129799,55232
6,129996,56019
6,130665,55028
6,129521,55174
6,129984,55332
6,129800,55268
6,130490,55037
6,130641,55454
6,129490,55990
6,130278,55830
6,129563,55656
7,115167,54962
7,115690,55385
7,115557,55145
7,117789,55695
7,116500,55249
7,117307,55198
7,115742,54899
7,116104,55191
7,119085,55369
7,118527,55743
7,117279,54960
7,115987,55588
7,115618,55477
7,116272,58777
7,117695,55352
7,116229,55747
7,115691,55817
7,116166,55731
7,118105,55238
7,115616,55209
8,115875,55653
8,115902,55269
8,115828,55127
8,115365,55366
8,116272,55275
8,115558,55527
8,115681,55561
8,116038,55600
8,114432,58074
8,115408,55335
8,115509,55451
8,115273,54507
8,115814,55366
8,117844,55774
8,115213,55375
8,116477,56045
8,115663,55282
8,115323,55348
8,119314,55419
8,115517,55507
9,115333,55727
9,115046,55174
9,113769,55279
9,114932,56092
9,115330,55491
9,128750,55560
9,115494,55434
9,114736,55044
9,114625,55389
9,114926,55027
9,114574,55212
9,114498,55095
9,115928,55305
9,114561,55616
9,114804,55128
9,116150,55683
9,118051,55975
9,115275,55116
9,115703,55566
9,115185,54822
10,667729,220016
10,664218,221432
10,664647,221518
10,669781,221270
10,664394,224054
10,663443,221477
10,663500,221806
10,665353,220955
10,666506,221241
10,667040,221654
10,663204,221231
10,665628,221725
10,666667,220307
10,662623,220552
10,662877,219802
10,662861,220355
10,662099,221471
10,664695,221531
10,665043,222252
10,665450,220553
11,714429,230424
11,722580,231182
11,717464,228912
11,713131,229964
11,720152,230727
11,715000,230881
11,714703,230812
11,717118,229218
11,745981,231337
11,711603,230086
11,717442,230988
11,713487,231562
11,714702,229957
11,712776,229015
11,719008,229914
11,719937,229851
11,714053,230603
11,715103,230523
11,714227,230276
11,714997,230472
12,764979,235930
12,766367,238186
12,774727,238383
12,762144,248868
12,789112,242754
12,765940,237313
12,766836,236951
12,764007,238179
12,774574,236569
12,770311,235845
12,769173,238051
12,768189,236529
12,762233,235726
12,764666,235783
12,765139,237840
12,766589,236686
12,769350,237836
12,765690,237127
12,770115,238636
12,770731,237590
13,836369,245398
13,817581,247227
13,819064,246125
13,821022,247001
13,818010,244044
13,821478,246109
13,823638,245614
13,819917,245282
13,823415,245964
13,826512,246012
13,825184,244993
13,817803,248656
13,819068,246408
13,824039,245345
13,823178,247399
13,819853,246708
13,818321,246393
13,837833,247033
13,825589,245611
13,819783,246598
14,874046,258511
14,878297,258155
14,905979,258085
14,872534,261294
14,877216,257897
14,873729,258244
14,870913,259206
14,869645,258584
14,872269,258896
14,872876,258798
14,874720,257180
14,876472,259055
14,871095,258619
14,872476,259232
14,872234,258080
14,872235,258846
14,880568,258603
14,902495,258853
14,876140,257457
14,868512,260677
15,931403,273937
15,934378,271161
15,933287,269555
15,930991,273806
15,928033,271315
15,927093,272385
15,926404,270423
15,935759,272946
15,928164,270403
15,931625,271010
15,944826,269858
15,944913,270745
15,943496,271672
15,945192,269990
15,931740,270908
15,945217,270852
15,943995,270424
15,930089,272637
15,928525,271372
15,926577,270300
16,973221,283070
16,984133,284926
16,980274,283080
16,981975,283195
16,982118,282830
16,985528,283621
16,984286,284388
16,977537,283431
16,982657,283458
16,977598,283406
16,981938,285121
16,986188,284425
16,986426,283373
16,977394,283365
16,1006425,284727
16,981064,285582
16,980210,285314
16,1000638,285112
16,984447,283296
16,979330,286282
17,1035523,309496
17,1037795,310489
17,1046237,309415
17,1032974,308385
17,1032568,309087
17,1038718,308947
17,1031937,309075
17,1063169,309040
17,1065786,309501
17,1034902,309872
17,1037601,308107
17,1038754,311042
17,1041648,308304
17,1030593,308627
17,1026997,308877
17,1033606,311437
17,1035645,310609
17,1032384,311909
17,1039009,310829
17,1034261,310107
18,1082917,324001
18,1090587,323150
18,1086757,323995
18,1085003,322430
18,1082242,323384
18,1080769,323578
18,1085580,324348
18,1089961,323603
18,1077747,321972
18,1092021,323191
18,1088166,326014
18,1076980,326451
18,1125122,324662
18,1088417,324542
18,1090250,323524
18,1085602,324322
18,1083900,323284
18,1083730,323781
18,1085188,323127
18,1084152,323983
19,1154879,336780
19,1159318,337201
19,1154081,338256
19,1153872,338340
19,1148300,337206
19,1150700,337517
19,1148377,341283
19,1150504,336100
19,1154739,336728
19,1158793,339471
19,1151802,337374
19,1153737,338466
19,1146884,338145
19,1151163,336859
19,1146053,337358
19,1151329,337612
19,1145734,337401
19,1149110,337273
19,1150905,336579
19,1148669,340517
20,1201795,355904
20,1200195,356422
20,1194761,354545
20,1195976,356800
20,1192364,354841
20,1195196,358082
20,1196679,356542
20,1194226,355570
20,1196994,355628
20,1195445,357295
20,1201285,358569
20,1202589,356410
20,1203388,355780
20,1196597,354906
20,1196956,357147
20,1200750,355988
20,1200651,357176
20,1197149,354635
20,1204376,357124
20,1198968,353423
21,1281136,367198
21,1252019,366157
21,1251266,367489
21,1247408,366935
21,1251123,366308
21,1255149,366994
21,1249716,370310
21,1252904,367385
21,1252941,366597
21,1257159,366694
21,1250036,366591
21,1250902,366517
21,1243277,366369
21,1249943,365849
21,1256441,366112
21,1251369,367328
21,1254605,368087
21,1250438,366097
21,1246258,364945
21,1257919,365159
22,1303074,373255
22,1316486,377660
22,1316782,375836
22,1324368,376055
22,1317256,375558
22,1336725,373828
22,1320625,373956
22,1310855,377048
22,1312517,372958
22,1318642,374754
22,1312022,375111
22,1314778,373975
22,1313668,374453
22,1313796,394771
22,1311088,374495
22,1321347,375168
22,1310821,375450
22,1311084,374780
22,1315776,375643
22,1311992,377085
23,1366326,380403
23,1363710,381741
23,1360323,382784
23,1358348,381544
23,1358601,381017
23,1362387,380805
23,1363549,382231
23,1353499,380425
23,1363011,382596
23,1355518,382542
23,1355619,384290
23,1359304,380784
23,1363230,383950
23,1357996,379346
23,1354045,382057
23,1352988,382155
23,1351707,381402
23,1356836,380862
23,1360273,380804
23,1362819,380707
24,1400820,393680
24,1409146,393807
24,1411289,394827
24,1409756,393510
24,1407320,395150
24,1410012,393298
24,1445805,395736
24,1406230,393225
24,1398491,392818
24,1408870,393436
24,1402383,397658
24,1413984,395049
24,1409142,394734
24,1400800,394643
24,1402751,393892
24,1410344,394175
24,1436741,394160
24,1406369,394242
24,1404250,392288
24,1410406,394111
25,1469219,402137
25,1477420,401448
25,1476258,403947
25,1470212,400634
25,1483123,401312
25,1476005,402582
25,1472651,403327
25,1475938,402596
25,1506625,402284
25,1526106,401507
25,1470734,400935
25,1465955,403346
25,1491987,402904
25,1470897,402649
25,1473480,403069
25,1476882,402050
25,1482120,402730
25,1472303,399848
25,1468975,400596
25,1462836,403203
26,1525508,411902
26,1528328,411502
26,1530321,407410
26,1532677,410626
26,1533359,408984
26,1555308,409726
26,1526623,409259
26,1538713,409748
26,1545141,408850
26,1548952,407043
26,1539883,410095
26,1538591,412966
26,1545577,408474
26,1553571,409265
26,1546704,409895
26,1545167,408658
26,1566010,409176
26,1538629,407678
26,1539779,408919
26,1526264,409594
27,1566323,418610
27,1573822,419147
27,1559287,444473
27,1575263,417947
27,1558005,418084
27,1567508,417114
27,1566192,418353
27,1567260,416301
27,1570522,418613
27,1576075,416306
27,1577955,415724
27,1564108,416977
27,1564953,416717
27,1569466,416889
27,1568881,417002
27,1563191,416025
27,1588551,416154
27,1582340,417911
27,1568924,417033
27,1566256,416449
28,1627626,426266
28,1633478,424876
28,1618730,426366
28,1621725,425835
28,1623625,425385
28,1620503,425315
28,1632579,424805
28,1621545,427170
28,1627113,425496
28,1649620,427926
28,1637148,425446
28,1644659,427187
28,1641843,425397
28,1633614,428235
28,1633813,426470
28,1620157,456847
28,1642530,428292
28,1621376,425460
28,1616385,428000
28,1634341,427498
29,1674360,432817
29,1675277,443054
29,1683128,434502
29,1675547,434914
29,1678871,437398
29,1701755,433678
29,1671797,435017
29,1673344,466088
29,1715029,434787
29,1674259,435503
29,1680426,436327
29,1709897,433911
29,1677489,432954
29,1682117,434289
29,1680985,433847
29,1669563,435521
29,1686107,435428
29,1685725,434595
29,1675924,434990
29,1682696,434464
30,1718926,443229
30,1721183,442900
30,1726884,444830
30,1727624,443102
30,1736414,448282
30,1745470,443717
30,1747997,445434
30,1747654,443631
30,1759348,443657
30,1737193,444926
30,1722803,445374
30,1723114,442848
30,1731089,446703
30,1752818,443543
30,1721767,442491
30,1738921,442238
30,1738428,445014
30,1736846,443624
30,1750839,443849
30,1739722,444475
31,1780619,483782
31,1798662,452857
31,1785368,451507
31,1788674,452925
31,1788275,454244
31,1776805,454195
31,1782119,453381
31,1801072,453632
31,1797878,451368
31,1787566,452353
31,1783738,452813
31,1814932,452281
31,1791063,453085
31,1796421,453503
31,1799538,453375
31,1799752,451012
31,1803204,450898
31,1788839,450943
31,1803678,452239
31,1805994,452458
32,1847620,457988
32,1850940,461515
32,1840067,459950
32,1838385,460246
32,1834479,459582
32,1853879,466801
32,1868253,459454
32,1854594,460347
32,1859447,460498
32,1833284,459194
32,1862970,460392
32,1837645,457576
32,1836988,462670
32,1834056,460249
32,1843059,458723
32,1850667,458713
32,1837665,459604
32,1851755,458176
32,1865907,459873
32,1860765,460514
33,1907827,464725
33,1917876,467640
33,1890555,467737
33,1890479,468282
33,1903365,465699
33,1884062,466459
33,1899740,469851
33,1907387,466755
33,1904031,503093
33,1915699,467857
33,1891082,467399
33,1901559,466548
33,1913075,467399
33,1906701,467303
33,1901123,467668
33,1904687,467591
33,1905544,466226
33,1903554,471355
33,1913325,466362
33,1903502,468481
34,1953552,474858
34,1953930,472085
34,1947994,474058
34,1952908,474911
34,1941981,474348
34,1942586,474295
34,1943383,474541
34,1950112,474433
34,1958644,474432
34,1960238,476568
34,1941255,472072
34,1937401,473564
34,1929377,477361
34,1935482,473032
34,1943929,478064
34,1937665,473939
34,1943883,474111
34,1966572,474695
34,1937309,475146
34,1946313,472892
35,1990462,481341
35,2007819,480799
35,1991482,479159
35,2011070,481303
35,1997531,480813
35,2019968,479350
35,2015333,480717
35,2012474,480052
35,2011921,479095
35,2028471,479293
35,2013505,480086
35,2009825,479799
35,2023403,481712
35,2048354,481932
35,2011425,480259
35,2027222,478686
35,2010590,480637
35,2007156,479973
35,2001160,479614
35,2004403,479579
36,2044994,486875
36,2058801,489724
36,2063438,487992
36,2058463,488788
36,2064067,485202
36,2064346,487031
36,2059488,489101
36,2059615,488122
36,2065004,491744
36,2092622,489954
36,2061797,490005
36,2068365,488918
36,2055956,486936
36,2062819,485936
36,2063112,488836
36,2049534,486324
36,2060768,486409
36,2063160,486757
36,2091102,487104
36,2035810,485357
37,2096633,492889
37,2115215,495443
37,2109310,494750
37,2097485,498240
37,2112526,493260
37,2143222,494721
37,2107024,492681
37,2118232,492641
37,2116042,494357
37,2146941,493687
37,2122431,492790
37,2118123,495303
37,2108822,498263
37,2120284,495166
37,2104334,497885
37,2114189,494022
37,2112541,494564
37,2102919,495098
37,2143930,494050
37,2111005,492893
38,2174729,501838
38,2170782,504453
38,2167644,500959
38,2176495,502707
38,2176139,501385
38,2185181,500391
38,2170299,502018
38,2173839,502710
38,2185402,503856
38,2166716,500686
38,2202519,500126
38,2167325,499941
38,2184343,499533
38,2175608,499275
38,2171032,502135
38,2168306,503658
38,2166826,500925
38,2174209,500288
38,2179625,500905
38,2162054,499850
39,2202219,508955
39,2201358,506341
39,2214032,505933
39,2226129,507007
39,2210657,504860
39,2210848,508807
39,2251910,508020
39,2216235,507587
39,2197183,507845
39,2224057,506240
39,2216347,509527
39,2190583,507128
39,2225172,506820
39,2203726,505662
39,2225996,506826
39,2217451,510682
39,2216611,507626
39,2261119,507136
39,2230654,507290
39,2244233,507227
40,2296911,517259
40,2270425,514976
40,2279793,512841
40,2299666,517711
40,2298264,515232
