Pallet: "staking", Extrinsic: "reap_stash", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
s,extrinsic_time,storage_root_time
1,88878,78100
1,77577,71823
1,76448,69704
1,75787,69723
1,76363,70033
1,76054,68713
1,76560,69972
1,75863,69777
1,75503,68975
1,76165,69390
1,76203,69373
1,76297,73347
1,76063,69397
1,76121,69686
1,76122,69097
1,76350,70213
1,76246,69267
1,76291,69400
1,76201,69822
1,75917,69085
2,79917,73161
2,79298,73160
2,79445,72965
2,80132,73060
2,79059,72953
2,79795,73067
2,79211,72899
2,79361,72662
2,79408,73437
2,79031,72353
2,79571,73294
2,79134,73234
2,79213,73109
2,79440,72458
2,82711,100890
2,79358,73316
2,79169,73695
2,79230,72522
2,80114,73064
2,79120,73327
3,82145,75048
3,81649,74516
3,82350,74135
3,81648,74538
3,81596,74300
3,81497,77502
3,82098,75101
3,81469,75153
3,82046,74820
3,82162,75230
3,82041,74407
3,81506,74891
3,81681,74633
3,82237,74659
3,81668,74671
3,81942,74339
3,84648,74917
3,81800,75705
3,81415,74811
3,81804,74806
4,84391,77617
4,84472,78242
4,84203,78051
4,84570,77959
4,84710,77216
4,84663,77945
4,84592,78204
4,85434,77948
4,84864,77941
4,84905,78103
4,85172,77998
4,85013,78134
4,84681,77512
4,84582,77302
4,84011,77664
4,84510,76951
4,84492,77496
4,84311,80242
4,84446,77113
4,84345,77195
5,87014,79353
5,87844,78976
5,86911,79773
5,87443,78883
5,86311,79018
5,86848,78856
5,86785,79673
5,86652,78990
5,87212,79035
5,87049,79546
5,87181,79322
5,87194,80038
5,86816,79112
5,86947,78888
5,86248,79139
5,86942,79724
5,86560,78750
5,87121,78824
5,90503,79985
5,87015,79475
6,88904,80350
6,89151,80840
6,89476,81109
6,89666,80131
6,89458,80657
6,89401,81225
6,89135,80985
6,89663,80281
6,93570,81036
6,89446,81457
6,89883,81055
6,89307,80502
6,89250,80907
6,89726,81748
6,89768,81600
6,89940,80769
6,89632,80990
6,89330,81381
6,95216,81978
6,89405,80521
7,92203,87454
7,92028,87480
7,91508,86491
7,92094,87060
7,91829,87265
7,91713,87523
7,92062,87804
7,91439,86661
7,92172,88348
7,92015,87240
7,91503,87465
7,91725,87391
7,91805,87119
7,92088,87366
7,91700,88362
7,91290,87052
7,92119,88292
7,91532,87975
7,92299,87589
7,91278,87152
8,94666,88816
8,94641,88486
8,94569,89071
8,94689,89376
8,94841,89158
8,93922,88598
8,94450,88402
8,95498,89583
8,95199,88493
8,94565,88633
8,95280,89323
8,94423,89069
8,94396,89054
8,94668,89146
8,95355,88311
8,94766,88390
8,94393,91229
8,94320,88944
8,93846,90075
8,94335,88853
9,97371,90082
9,97636,91047
9,97389,90319
9,96931,90203
9,97168,90629
9,96743,90641
9,97603,90749
9,97315,90933
9,97202,90125
9,97563,89761
9,97478,90127
9,96935,91242
9,97256,90359
9,97349,118380
9,97318,90147
9,98341,90149
9,97521,90822
9,97040,90500
9,97509,90354
9,96744,90025
10,99250,92556
10,99925,91823
10,99891,92324
10,99750,92362
10,100217,92495
10,99906,91929
10,99649,91701
10,99246,92127
10,99467,91817
10,99486,92600
10,99598,91831
10,99996,91920
10,100137,91571
10,100537,91594
10,99716,93025
10,100565,92876
10,99365,92231
10,100452,91233
10,99820,92197
10,99491,92345
11,101196,94846
11,101450,95097
11,103576,95369
11,102269,95383
11,101532,96319
11,101337,95606
11,101773,95037
11,101807,95492
11,101515,94324
11,102050,95947
11,102213,95553
11,102234,95335
11,101633,94689
11,101110,95297
11,101986,96062
11,101181,95724
11,101726,95197
11,101731,95563
11,101252,95328
11,101373,99383
12,104370,98359
12,103426,97042
12,103941,96807
12,104132,96941
12,104062,96749
12,104020,95913
12,104279,96353
12,104102,97567
12,105288,96963
12,103839,95997
12,104119,96958
12,104098,96092
12,104428,96672
12,103833,96284
12,104295,95986
12,104134,96272
12,103821,96081
12,104271,96518
12,104343,96728
12,104592,96665
13,107042,99544
13,107219,98843
13,107278,99485
13,107184,99173
13,107521,99117
13,107415,99246
13,106141,99811
13,106417,99448
13,107265,99075
13,106969,99123
13,107211,98765
13,107619,98676
13,107236,99976
13,106809,102335
13,107233,99262
13,107258,98957
13,106598,99724
13,107593,99781
13,106604,99015
13,107031,99400
14,109410,101513
14,109114,100882
14,109342,101199
14,109292,100630
14,109764,101154
14,109065,100800
14,109054,100730
14,109476,101665
14,109133,100552
14,109316,101270
14,108717,101109
14,109695,100780
14,108851,100559
14,108752,101052
14,109231,100892
14,109153,100602
14,109359,100572
14,109293,100604
14,109543,101269
14,109089,100777
15,111466,102358
15,111367,101319
15,112026,102491
15,111534,101623
15,111416,102348
15,111691,101717
15,112818,103085
15,111577,102095
15,111829,102388
15,111790,101920
15,111581,102400
15,112032,101758
15,111508,102393
15,111950,102105
15,112576,102827
15,111838,101948
15,111498,103161
15,113208,102535
15,111873,102246
15,111573,102481
16,113461,103516
16,114223,103491
16,114458,103449
16,113714,103416
16,114314,104386
16,114052,103770
16,114229,104090
16,114402,103804
16,113188,103447
16,114073,104204
16,114358,104517
16,114514,104022
16,114248,103169
16,114706,104245
16,114608,105112
16,113901,103355
16,114527,103614
16,114985,103275
16,114051,103877
16,114075,104120
17,117028,106300
17,116868,106252
17,116280,107015
17,117244,106820
17,116342,106060
17,116258,106127
17,117302,106687
17,116191,106691
17,116064,106327
17,116771,106261
17,116440,105778
17,117109,106069
17,116492,107016
17,120199,106745
17,116944,107630
17,116632,106491
17,116843,106094
17,116660,106361
17,116864,106604
17,116372,106248
18,119661,109143
18,120244,109330
18,119226,108816
18,118839,108575
18,119074,110532
18,119027,110202
18,119239,109007
18,118359,108824
18,119296,140536
18,118830,109403
18,118750,109398
18,118449,108444
18,118943,107809
18,118966,108472
18,119215,109321
18,118554,108513
18,119486,109428
18,118669,108529
18,119934,109764
18,119196,108938
19,121350,110132
19,121479,110704
19,121861,109964
19,121427,112965
19,121337,110108
19,121514,111274
19,121262,110607
19,121962,110959
19,121862,110188
19,121513,109905
19,121503,110946
19,121320,110885
19,121278,110447
19,121331,112763
19,121506,109832
19,121046,110850
19,121451,110153
19,121215,109815
19,125073,110408
19,121409,110105
20,123750,111643
20,123490,111530
20,123581,111131
20,123379,111920
20,123716,111642
20,123788,116171
20,123682,112903
20,123237,112384
20,123428,111719
20,123228,112407
20,123727,111790
20,123240,112165
20,123751,111977
20,123934,111989
20,123206,111789
20,124142,112646
20,123587,112507
20,123403,111917
20,123254,112199
20,123457,112234
21,126600,114156
21,126074,112731
21,125543,113023
21,125704,112681
21,125358,112789
21,126050,112943
21,125596,112859
21,129315,113920
21,125808,114569
21,125624,114383
21,125537,112718
21,124731,113244
21,125240,113521
21,125665,113774
21,125740,144436
21,125928,113139
21,126221,113676
21,125450,113236
21,125405,113514
21,125670,113629
22,128245,116508
22,128144,119142
22,128625,115611
22,127907,115888
22,128551,115731
22,127848,116586
22,127711,115316
22,127967,116525
22,128066,119330
22,128623,115375
22,127705,117220
22,128032,115078
22,128716,116098
22,127524,115572
22,128426,116092
22,127842,118370
22,128693,115946
22,128366,116256
22,128009,115777
22,127530,116160
23,130392,117801
23,130605,118445
23,130421,122029
23,130549,119637
23,131045,118457
23,129854,118150
23,130745,119629
23,130582,118345
23,130651,118661
23,130735,122122
23,131349,118316
23,130592,119646
23,130474,118700
23,130915,119243
23,130764,118178
23,129986,119295
23,133473,119442
23,129689,118486
23,131106,118272
23,129393,118157
24,133762,119682
24,133378,120538
24,133054,119990
24,133732,119357
24,133039,119928
24,133213,119709
24,133551,119899
24,133028,119399
24,133198,120152
24,133015,119801
24,133720,120172
24,133272,120732
24,133815,119859
24,132815,120459
24,133013,119511
24,133391,119585
24,133648,120039
24,133058,119481
24,133478,120300
24,133016,119710
25,136866,121461
25,135537,121658
25,136300,120951
25,136182,124320
25,136501,121859
25,136662,122127
25,136820,122382
25,135937,121983
25,136367,122320
25,135504,120963
25,136564,121513
25,136526,121443
25,135609,121156
25,136405,122049
25,135524,121532
25,135640,120960
25,136670,121728
25,136879,121648
25,136705,121463
25,136330,120227
26,137260,123451
26,137857,124037
26,137765,124268
26,140921,125202
26,138351,124394
26,137657,124157
26,138938,123864
26,137846,123187
26,137984,124586
26,138077,123334
26,138155,124915
26,137665,124060
26,137829,124279
26,138644,124600
26,138210,123727
26,137718,124041
26,138558,127666
26,138526,123391
26,138339,123432
26,137784,125673
27,141167,124906
27,141005,126031
27,141357,128285
27,142570,124980
27,140832,126070
27,141091,125173
27,140766,126509
27,140659,125140
27,141036,124755
27,141335,130066
27,141297,125330
27,140705,125980
27,141481,125702
27,141256,125861
27,140638,125869
27,140859,125468
27,141004,124982
27,140937,124872
27,140871,126314
27,141101,125895
28,143205,127646
28,142925,128670
28,147026,128394
28,143580,128172
28,143023,128581
28,143551,127274
28,142974,127847
28,143212,127301
28,143183,130479
28,142975,126603
28,142701,127919
28,143093,127195
28,142722,127661
28,143757,126780
28,143833,128199
28,143112,128792
28,143181,128276
28,143292,128501
28,143070,128201
28,142049,127709
29,145684,131585
29,149182,131086
29,146742,130366
29,145402,129725
29,145920,129299
29,145904,130628
29,146364,130282
29,145784,133484
29,146596,130502
29,145407,130750
29,146076,130670
29,146595,129508
29,146025,130790
29,146419,132642
29,146291,131662
29,146582,130894
29,145983,131917
29,145310,130473
29,144894,130753
29,145329,129536
30,147431,133740
30,147854,132888
30,147567,133267
30,148433,132502
30,148575,132870
30,148029,132197
30,148319,133405
30,147843,131588
30,147411,131934
30,148355,132274
30,148024,132386
30,147048,132957
30,161311,132935
30,147438,132294
30,148259,131694
30,147737,134438
30,148637,132883
30,148292,133364
30,153288,132151
30,147838,134218
31,149580,136243
31,149876,135087
31,151438,135401
31,150344,135855
31,155171,134413
31,150727,135029
31,150408,134803
31,150809,134909
31,150748,135221
31,151605,134359
31,154116,135007
31,150445,133641
31,150363,135864
31,150415,134517
31,150016,133912
31,150725,134665
31,154158,135388
31,150741,135523
31,150293,134155
31,150084,134344
32,152775,136276
32,152400,135665
32,156442,136849
32,151826,137298
32,152369,136065
32,152466,136753
32,152159,136428
32,152338,136979
32,153534,136491
32,153388,135972
32,152462,135828
32,152181,136762
32,153105,136676
32,152526,136502
32,153771,139811
32,152550,136099
32,153673,136626
32,151474,135891
32,153662,136906
32,153013,136834
33,156383,138104
33,155498,138654
33,155094,137957
33,154945,137501
33,155168,137775
33,155408,137922
33,155409,138677
33,154979,138908
33,155175,138536
33,154506,137299
33,154937,138294
33,155590,137683
33,155052,138486
33,154754,138941
33,155271,136788
33,154322,137921
33,156148,138005
33,155118,169105
33,155287,137571
33,155813,138523
34,157531,138776
34,157426,139048
34,156850,139428
34,160666,139601
34,159095,139099
34,158201,139900
34,158504,138726
34,157151,139877
34,157191,138799
34,157616,138360
34,158850,138772
34,157581,138600
34,158096,139696
34,158845,139626
34,158061,139437
34,158193,138850
34,158492,139696
34,158156,138738
34,157528,139488
34,157976,139587
35,160063,144748
35,160324,141482
35,160195,144091
35,161146,141183
35,160217,142438
35,160342,141269
35,163786,142521
35,160612,142234
35,160790,140641
35,160308,141686
35,160165,141759
35,160212,141919
35,160011,141078
35,159239,141517
35,160527,142239
35,160603,141819
35,161448,141462
35,161225,144966
35,161071,141227
35,160535,143008
36,162637,143136
36,161654,142823
36,162212,142700
36,172015,143940
36,162694,143245
36,162448,143223
36,162827,143863
36,163053,143199
36,163654,143908
36,162759,143045
36,162769,143157
36,162415,142638
36,161966,143035
36,162074,142086
36,164861,142988
36,162144,143176
36,162516,142780
36,162582,143877
36,162677,143813
36,162430,143596
37,166199,145177
37,166138,144133
37,164341,144918
37,166229,144712
37,164823,146955
37,164186,148494
37,168185,144729
37,165395,146018
37,164932,145016
37,165052,144859
37,164809,144928
37,165741,145438
37,165075,144926
37,164489,144939
37,165917,144000
37,164447,145032
37,165559,147661
37,165936,145035
37,164881,144931
37,166474,145185
38,168321,148103
38,167501,146094
38,166553,146954
38,167076,146446
38,168229,146115
38,166892,146005
38,167809,147622
38,167478,149685
38,167682,146730
38,167697,146839
38,168353,146209
38,167819,146776
38,168073,146722
38,167962,147803
38,168545,146356
38,167981,146847
38,168404,146956
38,167934,148273
38,171225,147360
38,167158,147501
39,169746,150009
39,169777,149190
39,169681,148464
39,169648,147926
39,170042,148487
39,170016,149331
39,170002,148709
39,170395,149225
39,170221,148277
39,169393,148781
39,169631,148494
39,170000,148133
39,169124,149025
39,170228,149124
39,169685,152027
39,170258,148804
39,170632,148014
39,168897,148390
39,169409,151887
39,169297,149811
40,172469,150394
40,173119,149826
40,171325,151131
40,172828,149297
40,172896,150414
40,177141,149548
40,173490,150541
40,172296,150602
40,173150,151723
40,172707,149413
40,173687,153240
40,171287,149824
40,172134,150195
40,172352,150587
40,173214,149875
40,172346,150141
40,172979,150503
40,172732,150517
40,173185,149995
40,171931,149778
41,174326,152801
41,175458,152839
41,174976,152820
41,174911,152383
41,174599,153856
41,173566,152243
41,177820,152379
41,175156,153001
41,175565,152223
41,175541,152646
41,174216,151575
41,175534,152277
41,175588,152533
41,174024,152305
41,174425,180604
41,173952,152992
41,175280,152229
41,174941,150939
41,173879,152132
41,175286,153046
42,177961,154940
42,177804,157380
42,177745,157750
42,176445,155353
42,177621,155415
42,177294,155944
42,177958,155842
42,177493,155450
42,176602,154639
42,178189,154764
42,177373,155721
42,177583,155740
42,181472,154881
42,177513,154709
42,177037,154954
42,176938,155675
42,177136,154713
42,177191,157938
42,175702,156846
42,178107,155106
43,179757,156128
43,178843,157662
43,178884,159156
43,178908,156610
43,178824,155943
43,178972,155966
43,179636,156230
43,179214,157082
43,179158,156147
43,179076,156408
43,179134,156895
43,179261,156509
43,179121,156572
43,180410,156507
43,179221,155777
43,179086,156831
43,179491,156542
43,180233,155115
43,180665,156485
43,179449,156319
44,182652,156581
44,180705,157939
44,181298,158204
44,182197,158339
44,181905,157761
44,181542,158790
44,182587,158478
44,181317,157453
44,182813,160592
44,182390,158623
44,181807,157749
44,182677,157373
44,183050,157338
44,183369,157628
44,181394,156889
44,181347,160091
44,181814,158879
44,182383,157630
44,183002,158420
44,182537,158654
45,183711,158883
45,183367,160598
45,184077,159021
45,185265,159974
45,184171,161110
45,184553,159117
45,184412,160103
45,185159,159399
45,185198,160704
45,184695,160112
45,184183,160017
45,184453,159908
45,185274,159086
45,184398,160141
45,183495,160621
45,183338,159974
45,184537,162351
45,184833,160331
45,185013,159596
45,184908,160548
46,186299,160838
46,186490,161618
46,188309,161620
46,187482,162299
46,186980,162267
46,187336,161757
46,186649,161310
46,186905,163171
46,186424,162092
46,187057,161187
46,186132,161606
46,187115,161629
46,187951,162613
46,186149,161480
46,186367,161069
46,187056,161481
46,187495,162377
46,186234,167420
46,187739,161922
46,186803,162328
47,189172,172761
47,188031,170922
47,190020,173648
47,189732,170500
47,188903,171539
47,188456,170959
47,189985,169809
47,193781,170308
47,188692,169816
47,189442,169999
47,189568,169702
47,188835,169238
47,189992,169396
47,189383,170189
47,189817,170150
47,189470,169603
47,190786,170025
47,188825,170711
47,190370,169899
47,188878,170399
