Pallet: "staking", Extrinsic: "rebond", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
l,extrinsic_time,storage_root_time
1,41947,32071
1,38703,29017
1,38222,28737
1,37882,28103
1,38124,28469
1,37454,27890
1,38165,28258
1,37392,28090
1,37424,27878
1,37604,28063
1,37553,27611
1,37691,27749
1,37350,27892
1,37632,28126
1,37716,27883
1,37248,27868
1,37755,28030
1,37474,27765
1,37525,27759
1,37616,27948
20,40314,27633
20,40336,27812
20,40031,27850
20,57732,28916
20,40500,28122
20,40239,28092
20,40953,27871
20,40565,27843
20,40526,28154
20,40015,27940
20,40355,27903
20,40193,27896
20,40379,28048
20,40378,28181
20,39956,28089
20,40489,27971
20,40116,27861
20,40438,28388
20,40445,27797
20,40437,28092
39,40632,28237
39,40573,27826
39,40777,28176
39,40609,27911
39,40443,27879
39,40920,27745
39,40081,27685
39,40463,27869
39,40407,27994
39,40937,28186
39,40222,27787
39,40319,28096
39,40445,28402
39,40612,27871
39,40427,27963
39,40456,27681
39,40493,27853
39,40461,27928
39,40148,27790
39,40780,28053
58,41509,28189
58,41200,28102
58,40990,27618
58,40966,28035
58,41259,27973
58,41079,27838
58,41422,27896
58,40928,27960
58,41168,27953
58,41325,27748
58,41238,27821
58,41582,27958
58,41318,27973
58,41382,27973
58,41385,27793
58,41258,28172
58,41365,27879
58,41287,27669
58,41504,27982
58,41392,27897
77,42467,28129
77,42395,27975
77,42098,28163
77,42537,27769
77,42626,27811
77,42450,28151
77,42310,28197
77,45162,28130
77,42350,27836
77,42419,28254
77,42093,28119
77,42060,28108
77,42484,28077
77,42358,28096
77,42453,28119
77,42293,27844
77,42379,28110
77,42428,28539
77,42034,27947
77,42335,28053
96,42951,27849
96,44140,28103
96,43010,27905
96,43011,27869
96,43241,27961
96,43022,27627
96,43016,27739
96,42648,27693
96,42927,27982
96,42661,27892
96,42643,27763
96,42739,27919
96,42593,27729
96,42840,27911
96,42710,28082
96,42746,27925
96,42902,28296
96,42987,27948
96,42697,27975
96,42723,27987
115,44026,28028
115,44057,27978
115,44113,27845
115,44208,28273
115,43797,28107
115,44001,27979
115,43621,27978
115,44347,28235
115,43893,28096
115,43997,27739
115,44142,27733
115,44038,28207
115,43934,28165
115,43694,27988
115,44162,28380
115,43963,27879
115,43921,27910
115,43983,27871
115,43818,27872
115,43926,27875
134,44620,27933
134,45029,28142
134,44709,28443
134,45257,27870
134,45332,28180
134,45158,28183
134,45257,28184
134,45101,27993
134,45009,28141
134,48225,28252
134,44597,28031
134,45178,28070
134,44715,27972
134,45060,27978
134,44897,28168
134,44835,28275
134,45246,28266
134,44977,27916
134,45357,28390
134,45036,28187
153,45888,28124
153,45490,27917
153,45573,27925
153,46292,28286
153,48191,28048
153,45638,27860
153,45381,28027
153,45597,28397
153,45585,27860
153,45442,27871
153,45665,28114
153,45387,27901
153,45555,28066
153,45643,28114
153,45275,27993
153,45726,28339
153,45470,27815
153,45512,27988
153,44894,28095
153,45745,28246
172,46426,27775
172,46502,27785
172,46407,28345
172,46079,27749
172,46217,28035
172,46247,27758
172,46208,28950
172,46191,28061
172,45881,27833
172,46355,27896
172,46046,27969
172,46544,28306
172,46551,27847
172,46644,28422
172,46338,28001
172,46402,28111
172,46555,27908
172,46604,28012
172,46587,28240
172,46684,28048
191,47241,28504
191,47457,28293
191,47102,28213
191,47402,28335
191,47155,27887
191,47453,28094
191,47369,28203
191,46984,27938
191,47457,28004
191,47109,27869
191,47231,28230
191,47668,28146
191,47577,28214
191,47343,28052
191,47135,27866
191,47069,28137
191,46989,27956
191,47347,28227
191,47178,28292
191,47382,28150
210,48017,28054
210,48340,28066
210,48263,28015
210,48087,28001
210,48282,28076
210,48131,28181
210,48255,28514
210,48204,27906
210,48109,28047
210,48584,28010
210,48308,28289
210,48500,28326
210,48270,28069
210,48480,28195
210,48219,28204
210,48411,28364
210,48445,28292
210,48642,28029
210,48060,27859
210,48167,32621
229,49086,27945
229,49060,28164
229,48982,27972
229,48903,28334
229,49080,27985
229,49581,28464
229,49028,27982
229,49358,27962
229,49501,28293
229,49173,27904
229,48694,27854
229,49394,27963
229,49582,28223
229,48918,27805
229,52225,28312
229,49404,28232
229,48938,28067
229,48992,28442
229,49260,28070
229,49152,28520
248,49734,28182
248,50172,28129
248,49562,28318
248,49824,28070
248,49402,28270
248,49552,27963
248,49701,28072
248,49549,28390
248,49550,28091
248,50306,28234
248,49647,28137
248,49794,28238
248,49494,28888
248,50162,28114
248,49228,27947
248,49323,28057
248,49828,28183
248,49397,27765
248,49997,28163
248,49669,28039
267,50418,27737
267,50623,28340
267,50855,28143
267,50870,31056
267,50604,28413
267,51062,28523
267,50935,28220
267,50755,28075
267,50670,28133
267,50747,27865
267,50503,28113
267,50832,28030
267,51086,28150
267,50500,27870
267,50894,27981
267,50892,28364
267,50734,28166
267,50864,28169
267,50729,27921
267,50845,28179
286,52114,28281
286,51456,27795
286,51681,28085
286,51238,28130
286,51563,27896
286,51514,27927
286,51651,28626
286,51395,27989
286,51500,28048
286,51635,28211
286,51285,28152
286,51330,28200
286,51617,28235
286,51293,28312
286,51801,27778
286,51489,27941
286,51846,28207
286,51455,28041
286,51537,28313
286,51337,27587
305,52765,28013
305,52435,28243
305,52254,27957
305,51947,28270
305,52636,28139
305,52368,28434
305,52685,28168
305,52340,28059
305,52564,28235
305,52314,28032
305,52090,28112
305,52105,27875
305,52742,28132
305,52314,28024
305,52004,28082
305,52584,28297
305,52298,27957
305,52153,28146
305,52022,27889
305,52504,28254
324,53121,31057
324,53612,28127
324,53611,28363
324,53197,27812
324,53198,28061
324,53180,27836
324,53612,28048
324,53491,28210
324,53599,28070
324,53411,28331
324,53398,28072
324,53629,28059
324,52899,28018
324,53456,28593
324,53642,28260
324,53308,28185
324,53330,28440
324,53501,28128
324,53675,28809
324,53488,27993
343,54347,28168
343,54159,28102
343,54131,27892
343,54469,28034
343,53820,27927
343,54378,28360
343,54424,27831
343,53737,28114
343,53844,28077
343,54130,28125
343,54003,28169
343,54063,27813
343,54268,28128
343,54386,27951
343,54270,27995
343,54038,28102
343,53903,28095
343,54568,28069
343,53996,28097
343,54071,28074
362,55140,28032
362,54894,28388
362,54970,28169
362,54945,28140
362,54715,28251
362,54906,27985
362,55082,28176
362,54921,27973
362,54935,27937
362,54799,28152
362,55056,28073
362,55047,28015
362,55102,28095
362,54920,28276
362,55079,28117
362,54995,28242
362,55186,28147
362,55359,28259
362,55515,28261
362,55007,28530
381,55675,28226
381,55898,28077
381,55273,27914
381,55755,27930
381,55391,28202
381,55633,28256
381,55559,28265
381,55320,27974
381,55432,28377
381,55340,27987
381,55394,30900
381,55377,28203
381,55706,28362
381,55617,27960
381,55494,28382
381,55355,28233
381,55471,27972
381,55591,28038
381,55463,28043
381,55614,28368
400,56743,29166
400,56498,28098
400,56407,28401
400,56537,27881
400,59618,28549
400,56531,27947
400,56589,28500
400,56362,28103
400,56504,28074
400,56313,28189
400,56671,28024
400,56276,27993
400,56414,28001
400,56724,28328
400,56273,27900
400,56471,27861
400,57001,28061
400,56592,27745
400,56851,27990
400,56205,27698
419,57690,28627
419,57445,28154
419,57527,28041
419,57670,28075
419,57510,28782
419,57631,28066
419,57305,28090
419,57231,28334
419,57315,28225
419,57363,28021
419,57680,28035
419,57264,27902
419,57347,28046
419,56753,28189
419,57205,28372
419,57550,27901
419,57020,28180
419,57299,28074
419,57148,28333
419,57446,28332
438,59395,28125
438,58502,28199
438,58557,28296
438,58280,28199
438,58581,28057
438,58280,28118
438,58510,28374
438,58488,28110
438,58517,28030
