Pallet: "staking", Extrinsic: "set_controller", Lowest values: [], Highest values: [], Steps: [20], Repeat: 20
u,extrinsic_time,storage_root_time
0,98680,96406
0,96822,86383
0,88407,86113
0,92264,93012
0,91051,150325
0,89181,87715
0,96392,88031
0,88197,86531
0,86288,84144
0,115135,95597
0,92253,87436
0,93364,90815
0,93378,87870
0,144554,147855
0,87878,85887
0,98997,97766
0,91639,87698
0,89784,85490
0,90677,238980
0,92397,88394
50,184960,88582
50,189579,92629
50,90835,87785
50,93417,89132
50,124641,109961
50,132783,121780
50,93052,86887
50,86588,83857
50,119311,105718
50,93679,88898
50,91119,87860
50,88378,116246
50,88605,85866
50,90335,86234
50,105174,109792
50,96025,91078
50,101121,82405
50,87061,84781
50,90899,87011
50,90688,87076
100,90882,84065
100,88615,85496
100,88168,87520
100,88520,85206
100,91680,87603
100,90507,86942
100,90873,136879
100,89220,86774
100,104409,117996
100,87556,84827
100,86117,85357
100,85960,83923
100,86936,83836
100,85581,84149
100,84762,84279
100,86151,83143
100,94861,88940
100,116257,85098
100,92270,89726
100,89285,87923
150,94765,88083
150,91153,89220
150,90029,102888
150,86400,256230
150,90587,88213
150,90716,86108
150,115650,88442
150,92029,88142
150,93995,85851
150,92641,88824
150,89341,84476
150,86753,106417
150,89993,87928
150,91643,87951
150,105245,102853
150,83234,77371
150,105011,169686
150,91487,88148
150,92948,90352
150,93374,88274
200,92161,88234
200,100098,85487
200,89921,87621
200,103076,87771
200,89507,85384
200,90415,146963
200,91643,85250
200,90823,86221
200,107081,88539
200,91214,100301
200,85038,82779
200,91883,87622
200,89197,119449
200,91914,85128
200,102694,165199
200,90836,86499
200,126698,91088
200,167407,89088
200,91267,87367
200,89311,84995
250,88213,84021
250,85285,84891
250,89716,89011
250,90472,87181
250,90586,86485
250,90451,86563
250,89291,85970
250,91096,86520
250,110730,104654
250,111763,105235
250,91816,98648
250,109280,106067
250,104088,110125
250,167603,152391
250,144501,106790
250,113253,113118
250,112260,110457
250,101275,88868
250,89832,103337
250,103809,109009
300,103156,113026
300,95431,95344
300,90738,107136
300,89528,92688
300,94993,93469
300,95401,132471
300,91899,115039
300,91808,94439
300,87877,90734
300,89334,92068
300,95701,91953
300,93016,93294
300,168588,92739
300,85596,90682
300,85524,90673
300,86606,92907
300,90711,118765
300,86762,104053
300,94500,93147
300,88750,94677
350,103008,137353
350,88952,88452
350,87938,106796
350,90942,92292
350,128217,97728
350,102081,101882
350,121158,132367
350,92502,92173
350,91071,91357
350,91041,92552
350,90087,107800
350,121067,89299
350,90997,92798
350,89511,105063
350,90023,92291
350,94342,92645
350,89775,92209
350,111420,93931
350,101992,99842
350,91610,91019
400,91902,91126
400,91017,90667
400,91295,91329
400,93181,93411
400,89297,91061
400,88734,92030
400,89802,91270
400,90134,91816
400,108116,89686
400,90688,104602
400,91480,173711
400,91759,92517
400,95121,92677
400,94178,93278
400,86878,87670
400,91974,90561
400,86817,88708
400,91923,94618
400,86557,108715
400,87184,88000
450,88458,89298
450,95332,92266
450,89847,102941
450,89851,88947
450,97516,95297
450,105475,93524
450,93402,92152
450,92293,91245
450,92296,93346
450,112243,92245
450,92037,846004
450,93023,108483
450,89022,88534
450,90945,89724
450,99179,89634
450,87830,89761
450,104912,93855
450,100351,108284
450,91711,92053
450,91458,92490
500,90228,92794
500,89741,93005
500,88191,90272
500,92379,93529
500,93410,95900
500,93178,91931
500,89752,91902
500,106182,87726
500,85283,87667
500,90490,93483
500,98660,95914
500,91379,92619
500,88443,88259
500,120256,86216
500,91613,91282
500,133639,166778
500,90229,90800
500,92016,90473
500,88764,88863
500,120194,94562
550,89655,181303
550,90580,93767
550,89023,90738
550,103494,109675
550,94799,95367
550,103745,102541
550,183591,106388
550,88469,91866
550,81061,95773
550,84605,88484
550,91796,95309
550,90786,163792
550,88536,91699
550,93979,93850
550,85473,89551
550,88775,90503
550,90919,92573
550,87741,88972
550,120446,93501
550,88644,90572
600,105880,93785
600,85317,152257
600,99382,104324
600,104737,113658
600,112383,123081
600,110440,120939
600,137228,122291
600,110523,130444
600,111965,127443
600,123293,151755
600,112916,124297
600,115373,112390
600,92974,93184
600,188177,95208
600,101554,89384
600,100623,102358
600,139942,93831
600,91777,155920
600,84868,89418
600,99147,86767
650,86354,91376
650,91929,93622
650,119549,92062
650,88500,90821
650,89666,94058
650,93801,94082
650,91642,93233
650,90855,123468
650,85883,89362
650,85264,89572
650,90643,91942
650,136840,108434
650,86205,102056
650,150045,111518
650,85495,279469
650,88885,91525
650,85536,90047
650,87130,89866
650,85135,89570
650,84736,90194
700,87405,85635
700,87294,84600
700,84961,82296
700,87089,84930
700,100817,164331
700,86814,83787
700,90679,102061
700,90390,86742
700,89064,85812
700,92471,87185
700,148450,86105
700,86771,84311
700,87542,86525
700,90253,85051
700,103923,132211
700,91388,87120
700,91568,89269
700,89140,121217
700,86279,117099
700,87172,85521
750,86335,83674
750,92951,89378
750,94045,90239
750,92081,88127
750,89797,88283
750,89332,84865
750,92718,151652
750,91495,87596
750,90825,117772
750,114318,93168
750,92078,86916
750,92437,87637
750,91283,89044
750,89805,87603
750,87968,84494
750,88324,87620
750,89273,115474
750,95134,86854
750,140213,103670
750,92951,119418
800,89414,100611
800,88609,86397
800,107437,133851
800,85867,84614
800,86035,103476
800,86434,117610
800,90534,86510
800,101853,82777
800,122464,244843
800,109106,119758
800,105087,79779
800,125431,109220
800,88080,85157
800,77508,75579
800,87573,85814
800,83623,94548
800,86022,84190
800,85833,83424
800,86480,83010
800,232101,87245
850,90845,124843
850,115506,98792
850,99891,152225
850,84124,104572
850,85693,90050
850,98602,105935
850,89410,91632
850,90563,91798
850,87779,89302
850,86346,91074
850,89226,90774
850,103124,93134
850,90818,92891
850,85240,90156
850,103603,98499
850,91322,92306
850,91069,91933
850,90144,91175
850,89973,246994
850,93169,94562
900,93023,95269
900,92096,95288
900,87400,90785
900,89886,105956
900,85669,89761
900,92016,92792
900,89321,232120
900,91265,92239
900,89483,90878
900,94456,94798
900,118698,90242
900,135328,127644
900,109538,116925
900,308838,109495
900,106488,137524
900,116984,118257
900,107192,117384
900,133076,113887
900,89680,91956
900,121298,128353
950,114054,115696
950,92575,91645
950,108139,125320
950,108761,130076
950,92280,93056
950,153657,93036
950,89580,90929
950,98738,95743
950,119046,95699
950,90522,381045
950,92663,94613
950,210523,828695
950,92460,95582
950,93747,92770
950,97047,92204
950,92246,112511
950,89792,93187
950,92175,101741
950,89006,91827
950,90890,90832
1000,92763,91814
1000,94192,94182
1000,91076,91359
1000,90817,92310
1000,91765,91477
1000,102284,92277
1000,93577,91299
1000,92864,94166
1000,93143,91018
1000,91613,91963
1000,121540,88885
1000,150305,107872
1000,88724,93824
1000,101257,95999
1000,92659,93584
1000,90109,87949
1000,90428,105859
1000,87534,109970
1000,91601,92533
1000,92867,93189

Median Slopes Analysis
========

Model:
Time ~=    91.29
    + u        0
              µs

Min Squares Analysis
========

Data points distribution:
    u   mean µs  sigma µs       %
    0     92.31     1.732    1.8%
   50      94.6      4.65    4.9%
  100     89.05     1.297    1.4%
  150     91.66     1.033    1.1%
  200     92.22     2.676    2.9%
  250     98.36     7.899    8.0%
  300     91.52     2.027    2.2%
  350     93.66     4.326    4.6%
  400     90.92     0.877    0.9%
  450        93     1.902    2.0%
  500     91.46     1.217    1.3%
  550     90.26     1.633    1.8%
  600       107     4.975    4.6%
  650     88.57     2.001    2.2%
  700     89.03     1.515    1.7%
  750     91.54     1.067    1.1%
  800        91     6.409    7.0%
  850     90.65     1.064    1.1%
  900     99.29     9.233    9.2%
  950      95.2     4.823    5.0%
 1000     92.39     0.773    0.8%

Quality and confidence:
param     error
u         0.001

Model:
Time ~=    92.47
    + u    0.001
              µs

