Pallet: "staking", Extrinsic: "set_history_depth", Lowest values: [], Highest values: [], Steps: [20], Repeat: 20
e,extrinsic_time,storage_root_time
1,198252,143297
1,174408,121929
1,168260,117425
1,171214,118161
1,170419,118003
1,185918,119945
1,167998,117808
1,170226,117730
1,167650,117483
1,171923,116245
1,167594,120348
1,174917,117441
1,174181,144878
1,176046,114468
1,165375,114576
1,162254,113988
1,160068,113391
1,161502,114833
1,160230,115328
1,160666,114189
5,642977,260657
5,643989,248064
5,642025,246800
5,644721,249835
5,667836,280143
5,644020,287883
5,644606,281960
5,707854,252648
5,693601,259326
5,648651,249808
5,681366,255126
5,676020,249836
5,658469,250954
5,648897,279190
5,680543,247521
5,647799,292341
5,725761,259529
5,670921,276934
5,644216,247261
5,664557,251192
9,1096071,340952
9,1165668,375090
9,1094432,339167
9,1247813,354993
9,1138227,368772
9,1087226,341053
9,1149926,350684
9,1168317,340175
9,1170098,358850
9,1102818,341728
9,1158988,365725
9,1153547,415994
9,1091201,341816
9,1195422,352519
9,1102918,397785
9,1184350,368904
9,1160761,345994
9,1168266,340734
9,1099393,367857
9,1175758,345245
13,1700472,453191
13,1663267,476262
13,1588036,454133
13,1636449,456232
13,1777028,491451
13,1678111,456101
13,1625228,458036
13,1642095,461980
13,1700930,496137
13,1754635,461646
13,1645053,457685
13,1690105,459638
13,1607114,462005
13,1599902,452322
13,1849733,499909
13,1639176,468929
13,1664062,456412
13,1701374,486825
13,1619575,454763
13,1651213,468549
17,2275002,582786
17,2265865,582029
17,2243079,614589
17,2341156,594677
17,2213723,612252
17,2321108,625715
17,2411365,591966
17,2293936,661042
17,2213868,619275
17,2181830,598981
17,2316651,610268
17,2262776,602455
17,2203756,577519
17,2158644,588721
17,2182182,611107
17,2253213,596477
17,2200296,589488
17,2257921,600525
17,2172122,599243
17,2185593,595016
21,2707338,710766
21,2635012,711368
21,2641358,744529
21,2711353,726271
21,2644024,714361
21,2759382,753783
21,2809213,740479
21,2803317,761274
21,2701632,737665
21,2830829,768873
