Pallet: "staking", Extrinsic: "set_invulnerables", Lowest values: [], Highest values: [], Steps: [20], Repeat: 20
v,extrinsic_time,storage_root_time
0,10444,51592
0,6019,45709
0,6888,49215
0,5737,38546
0,5804,44885
0,5633,39397
0,5476,37414
0,5905,38115
0,5333,39794
0,5473,38403
0,5305,61619
0,5829,39005
0,5765,38666
0,5363,36939
0,5352,36415
0,5395,36816
0,5729,36128
0,5477,36520
0,5417,35989
0,5169,35648
50,19098,47906
50,8576,44309
50,7843,42157
50,9822,46039
50,8625,56014
50,8615,52609
50,9639,44455
50,7976,42359
50,8350,50422
50,13628,90990
50,12443,64131
50,8359,42555
50,8830,43126
50,8153,42711
50,8447,41690
50,7953,41329
50,8102,44027
50,7843,41680
50,8033,42565
50,8176,41427
100,10182,46835
100,10481,48041
100,14271,58686
100,10038,63761
100,10800,69573
100,9921,47219
100,9799,45194
100,9962,45251
100,9821,44791
100,9586,45738
100,9777,45596
100,10155,46126
100,12520,48216
100,10015,71164
100,11203,81113
100,11148,50265
100,10302,48006
100,10761,49618
100,10675,50379
100,10298,49761
150,17020,53789
150,13496,51775
150,11632,48824
150,23525,51496
150,12450,49172
150,16839,49731
150,12976,66730
150,12662,51593
150,12138,50467
150,13096,52029
150,14988,67810
150,13523,54730
150,12391,52812
150,12190,50549
150,12215,50034
150,12042,50024
150,13110,73475
150,12912,51265
150,12098,50295
150,11909,49850
200,13981,54036
200,13626,53813
200,13753,53182
200,13380,53560
200,14528,59190
200,14717,57671
200,13848,54083
200,13543,54534
200,14266,54778
200,14137,53511
200,13512,53168
200,14685,55229
200,13773,54003
200,14240,54560
200,14648,55134
200,15222,56848
200,13804,56504
200,15217,55080
200,14058,63642
200,14208,55962
250,16713,57322
250,16056,60516
250,15949,58769
250,19092,82165
250,17998,79161
250,18251,80270
250,18205,78558
250,17824,78854
250,17196,60718
250,15554,57824
250,16983,59354
250,15785,58613
250,15568,76231
250,16397,60664
250,15966,100804
250,19368,62266
250,16450,59707
250,16806,59808
250,16396,59721
250,15789,62586
300,25658,64549
300,17373,79347
300,17889,64166
300,17043,59869
300,17578,61644
300,17975,62283
300,17126,65690
300,18597,65939
300,18899,76355
300,30880,64935
300,17323,61414
300,17423,62480
300,17427,61631
300,18076,63160
300,18026,65666
300,17649,62845
300,17586,63079
300,18037,63568
300,17689,61117
300,17887,61966
350,26989,69537
350,19450,69963
350,19756,66007
350,21872,100471
350,19966,66972
350,28388,68483
350,19661,66113
350,23751,74230
350,19906,68144
350,19450,67729
350,19687,74223
350,20068,68485
350,26554,108026
350,20013,68445
350,19746,66139
350,27385,112248
350,21568,79338
350,20361,71987
350,18995,65854
350,21834,80402
400,21632,71128
400,22024,73117
400,21981,72502
400,22798,87899
400,27024,73123
400,28362,88933
400,22824,73786
400,21551,70409
400,20794,68331
400,21543,72023
400,21952,73854
400,20905,71357
400,20960,69303
400,21755,71791
400,21834,76368
400,22594,72050
400,21774,71474
400,20559,70209
400,20819,68825
400,28379,72297
450,24649,74061
450,22889,94690
450,22912,74290
450,24287,76842
450,23272,98200
450,23166,74461
450,23494,81213
450,27495,121970
450,24906,75867
450,24530,82915
450,23229,75987
450,25470,83989
450,22773,110557
450,24717,110472
450,31547,86944
450,23189,75120
450,23591,75954
450,23267,105867
450,23279,72918
450,23745,74969
500,24794,81336
500,25909,89033
500,25388,79631
500,31438,90891
500,24807,79138
500,26469,80353
500,25820,79295
500,25495,79975
500,33751,84774
500,25182,78959
500,26791,81091
500,24314,77934
500,24400,77046
500,24957,80406
500,25114,80526
500,28879,85688
500,25496,81615
500,25020,79026
500,26303,92791
500,25522,79165
550,42254,86009
550,27120,81603
550,27106,81400
550,26527,81200
550,26525,81424
550,28220,85217
550,34276,136574
550,28249,85597
550,27470,83740
550,27722,84181
550,26930,81841
550,26216,81401
550,32955,97437
550,28433,82414
550,27212,84735
550,27940,93371
550,27989,84136
550,27605,87809
550,27802,85760
550,28790,86786
600,36562,100119
600,30201,90434
600,34880,97042
600,29639,90466
600,29117,88169
600,30898,93371
600,29803,88846
600,29042,87335
600,28499,87540
600,28242,86955
600,29714,89323
600,30574,91551
600,35190,110606
600,29898,90087
600,33854,88332
600,28448,86167
600,29588,92115
600,57239,95566
600,28440,88496
600,36685,140040
650,43691,100221
650,30605,94235
650,30707,97720
650,33991,97542
650,32243,90038
650,39262,110874
650,31719,90712
650,30731,90477
650,32255,92605
650,30464,88697
650,30996,91095
650,32213,151203
650,32735,95261
650,32527,91694
650,31264,150157
650,31466,90967
650,32573,96889
650,50121,106589
650,31837,94377
650,30224,90035
700,32947,97907
700,43131,99941
700,32344,96685
700,33683,96630
700,32539,104985
700,34721,110544
700,32299,144959
700,33826,97604
700,33084,124308
700,34142,100412
700,33110,96533
700,35388,102800
700,33728,99712
700,32229,94467
700,32574,94649
700,34566,99803
700,32365,96574
700,33171,102453
700,32589,96314
700,34733,101672
750,35032,103821
750,36611,114676
750,35934,112802
750,36358,140710
750,34149,101929
750,35029,100869
750,44381,105195
750,34169,97862
750,35014,98570
750,35601,105635
750,34523,99157
750,37612,103082
750,40166,105071
750,34425,129757
750,35064,109021
750,35136,109003
750,34885,107312
750,34502,101209
750,37952,104717
750,33689,98079
800,41631,107067
800,34709,102400
800,35752,101186
800,35437,102977
800,40218,111310
800,35167,127712
800,35518,102501
800,34470,112742
800,36145,103783
800,35938,101202
800,34734,103779
800,36105,106451
800,36654,104779
800,38650,144745
800,35129,102156
800,35179,101171
800,36603,106741
800,44474,148446
800,36556,103968
800,37501,109517
850,40433,113977
850,43967,124272
850,38238,109163
850,39485,196490
850,39141,108367
850,37922,128019
850,39119,106876
850,37789,135170
850,61430,123305
850,37951,105149
850,39657,110627
850,38515,131603
850,37721,109051
850,38161,168693
850,37633,107224
850,37867,107760
850,37736,111236
850,38637,123670
850,40176,111358
850,39938,111066
900,65950,124320
900,41286,114632
900,39941,110100
900,46416,117493
900,42542,116297
900,39258,134857
900,40295,114450
900,39200,110079
900,56744,114722
900,38890,110760
900,41018,118514
900,40520,131954
900,39635,109078
900,39669,113861
900,39418,136720
900,42726,121035
900,39680,109165
900,46840,132939
900,45211,130312
900,63525,132856
950,42255,119049
950,45149,120648
950,42066,119076
950,41153,119689
950,40785,119974
950,40920,114692
950,42176,117542
950,42437,119653
950,67209,130403
950,43150,120596
950,42000,120363
950,40888,114559
950,41265,116753
950,41649,119131
950,40991,117169
950,42592,119456
950,41155,115280
950,61958,127708
950,40871,120678
950,41918,118303
1000,43291,124864
1000,43174,136009
1000,42522,119876
1000,42284,119290
1000,42732,120805
1000,42563,134618
1000,44061,121319
1000,41912,120696
1000,44340,122367
1000,46447,134811
1000,42484,124227
1000,47080,124496
1000,43744,159752
1000,43684,144829
1000,43510,123704
1000,43143,122631
1000,44004,138885
1000,43051,120776
1000,42543,119904
1000,42838,138611

Median Slopes Analysis
========

Model:
Time ~=      6.7
    + v    0.037
              µs

Min Squares Analysis
========

Data points distribution:
    v   mean µs  sigma µs       %
    0      5.59      0.15    2.6%
   50     8.423     0.226    2.6%
  100     10.28     0.261    2.5%
  150     12.74     0.413    3.2%
  200     14.08     0.226    1.6%
  250     16.67     0.528    3.1%
  300     17.77     0.203    1.1%
  350      20.5     0.836    4.0%
  400     21.86     0.292    1.3%
  450     23.73     0.524    2.2%
  500     25.52     0.374    1.4%
  550     27.73     0.367    1.3%
  600     30.32     1.271    4.1%
  650      31.9     0.513    1.6%
  700     33.28     0.506    1.5%
  750     35.25     0.517    1.4%
  800     35.98     0.491    1.3%
  850     38.68       0.6    1.5%
  900     41.28     1.664    4.0%
  950      41.8     0.449    1.0%
 1000     43.17     0.375    0.8%

Quality and confidence:
param     error
v             0

Model:
Time ~=     6.76
    + v    0.038
              µs

