Pallet: "staking", Extrinsic: "set_payee", Lowest values: [], Highest values: [], Steps: [20], Repeat: 20
u,extrinsic_time,storage_root_time
0,44520,65024
0,40699,54699
0,38050,52234
0,38104,53454
0,36735,50437
0,38494,52634
0,37190,51978
0,37386,52808
0,54525,74073
0,39613,53638
0,53639,50256
0,38436,57497
0,36151,50695
0,62486,63311
0,36701,51734
0,41495,54592
0,38615,52158
0,43739,53024
0,38838,57566
0,42931,52556
50,39713,53715
50,39265,54805
50,37195,52013
50,41238,51003
50,36141,57013
50,52761,76092
50,39440,55918
50,38896,51654
50,39296,59391
50,38088,53135
50,38575,54760
50,40109,51755
50,38591,52528
50,38894,56422
50,58278,74600
50,38022,52725
50,38229,51353
50,38198,50752
50,37737,51638
50,36559,48019
100,35987,48030
100,38422,51242
100,37592,50909
100,38410,51008
100,41664,53218
100,37779,50471
100,37327,51583
100,37006,51283
100,37231,50477
100,39471,52820
100,38687,50885
100,36279,50214
100,36112,50558
100,36349,49401
100,46530,52813
100,38437,51916
100,38023,54368
100,35549,48158
100,35461,45646
100,36022,49954
150,36451,53291
150,37379,49925
150,37616,52136
150,40387,52453
150,37422,51474
150,38170,52086
150,37177,51805
150,37098,51678
150,38243,50711
150,38899,51966
150,37246,50070
150,49040,61827
150,37440,49904
150,37332,51533
150,47429,50183
150,38046,70194
150,63436,52746
150,38649,51593
150,43714,54185
150,56553,73477
200,39853,52618
200,39195,53265
200,46723,53495
200,39677,73683
200,38016,51531
200,36274,59651
200,39704,51431
200,72382,64433
200,52608,49586
200,37992,52364
200,36964,51045
200,36988,70944
200,35645,49488
200,34949,49941
200,35817,68768
200,37923,50898
200,41365,66761
200,39971,52931
200,37591,52083
200,40661,53198
250,42396,53421
250,42130,53990
250,38104,50074
250,38034,51898
250,41643,66457
250,38324,51380
250,36650,49764
250,37340,61398
250,36952,51465
250,38010,50979
250,37670,51048
250,40643,51993
250,37401,52410
250,42430,53754
250,37956,72086
250,39976,53295
250,39128,53859
250,39121,52520
250,36310,50145
250,39069,52381
300,37267,51635
300,40432,52163
300,43152,50765
300,39928,53903
300,37611,51546
300,37289,50385
300,51822,65357
300,52559,50547
300,39740,52480
300,38333,64059
300,38217,51305
300,37635,52132
300,37554,51174
300,38122,52768
300,35734,110412
300,38519,84277
300,44991,53406
300,37819,50871
300,37318,50109
300,36371,50034
350,38899,51512
350,38659,51963
350,39657,52143
350,38195,68119
350,38076,51939
350,38118,51140
350,37531,50771
350,36754,51886
350,37769,51707
350,50390,70920
350,37856,53267
350,40091,52075
350,36962,51156
350,38074,54043
350,37184,52816
350,39458,52853
350,40114,52614
350,36966,50347
350,34980,48552
350,36640,56145
400,42393,57144
400,49167,59901
400,44469,59853
400,38246,61582
400,59060,64991
400,46447,71609
400,37014,50751
400,39246,53467
400,36687,50787
400,38110,51063
400,36635,51174
400,37244,50779
400,37229,50996
400,37175,51963
400,39547,51854
400,36938,50261
400,36986,51055
400,37596,50855
400,45326,53740
400,36658,50529
450,68558,56667
450,38367,52744
450,39009,51827
450,36664,47611
450,38734,52605
450,55319,74700
450,47888,63818
450,56305,73031
450,38264,52735
450,38968,57811
450,38684,57712
450,38060,53004
450,43167,56217
450,39877,90787
450,53814,57810
450,47350,62281
450,44915,55500
450,57358,60168
450,38085,51824
450,44929,53064
500,38112,58920
500,53930,61851
500,39750,60633
500,38853,63388
500,57200,74545
500,81712,68643
500,38379,51113
500,37688,51810
500,37965,50844
500,38160,52304
500,36426,97484
500,35969,82126
500,39555,50904
500,38119,50997
500,39411,52039
500,54378,76398
500,37181,51412
500,44226,53150
500,36846,75240
500,36267,49513
550,38656,59843
550,37616,51377
550,37028,50476
550,52700,67669
550,36979,68522
550,66508,85998
550,33576,46309
550,39137,51986
550,35902,49685
550,35070,48387
550,37652,52086
550,38028,51685
550,40111,52298
550,37931,51398
550,37201,51023
550,37093,50418
550,37353,51515
550,36003,78727
550,85569,52063
550,36960,50014
600,62053,67130
600,39623,51972
600,36561,86906
600,38433,51130
600,37294,70388
600,36648,49530
600,37304,49911
600,36386,48581
600,37118,51043
600,37986,53725
600,35309,49041
600,63959,52538
600,36874,48720
600,66686,77922
600,38389,51627
600,37022,50541
600,36012,49382
600,36364,49586
600,38673,52027
600,37800,51188
650,39419,50249
650,37951,52638
650,60000,64479
650,39924,52027
650,35769,50159
650,38015,51883
650,38800,51999
650,37684,61915
650,36400,65498
650,36028,67716
650,36718,48919
650,54213,51313
650,36689,51660
650,54918,74763
650,37319,51415
650,37511,52564
650,37566,52080
650,86472,69797
650,38149,50668
650,53723,63726
700,38863,53140
700,37520,52128
700,39688,53350
700,41025,54111
700,70011,54017
700,38202,52417
700,51444,56737
700,37620,51378
700,37950,51967
700,43524,88481
700,38149,50808
700,50403,53540
700,37780,51917
700,37647,51603
700,48958,53760
700,41905,54104
700,38031,51360
700,40566,52421
700,54161,55980
700,38555,52842
750,37930,52573
750,38925,50449
750,39240,52036
750,57224,77312
750,39439,53279
750,39372,52614
750,38179,51245
750,40104,55406
750,39397,53354
750,37856,52340
750,38384,52776
750,61178,73141
750,38206,53579
750,37513,52677
750,45280,85535
750,53491,78547
750,46135,68679
750,39103,53897
750,59466,79000
750,38673,52659
800,56118,101532
800,45974,55997
800,40755,56989
800,39007,54669
800,38934,55643
800,45106,56420
800,38814,53098
800,38949,53796
800,37573,51625
800,43289,52015
800,52302,55955
800,38076,51978
800,49027,52889
800,64775,55942
800,38060,51675
800,41199,53484
800,41595,60052
800,38306,53378
800,61006,67576
800,43915,56315
850,38387,54087
850,49024,69201
850,49112,77465
850,39808,54501
850,44686,68298
850,53900,57089
850,61047,79663
850,59134,79021
850,38330,53122
850,37326,52174
850,36866,50814
850,43959,57966
850,39906,56256
850,40492,57710
850,41252,56582
850,38948,55627
850,42038,58900
850,41282,55400
850,42531,55837
850,44059,75873
900,49974,68177
900,44179,57546
900,43335,59414
900,42786,56985
900,42283,56895
900,57029,90549
900,58993,74522
900,58103,67825
900,38575,64046
900,39100,55250
900,40010,52902
900,52834,68235
900,38695,54443
900,37529,52368
900,37776,51715
900,37932,51756
900,37723,51846
900,38169,52001
900,49462,52906
900,38525,53237
950,36309,49219
950,36027,50431
950,35990,49316
950,41614,54194
950,52779,67431
950,39549,52046
950,70710,125388
950,91413,97576
950,36357,50026
950,37609,51338
950,39248,51310
950,52059,54850
950,36432,66421
950,37773,52613
950,36840,50301
950,37113,51005
950,53382,51262
950,36558,51130
950,38584,51211
950,42771,54602
1000,38198,52354
1000,37779,51985
1000,35914,49658
1000,40426,52245
1000,36705,51271
1000,37167,51691
1000,37470,50550
1000,40190,53471
1000,37664,52016
1000,57239,54077
1000,47118,53489
1000,38050,51197
1000,39492,53207
1000,37975,51731
1000,36938,51120
1000,40940,52676
1000,38043,52169
1000,56768,76595
1000,39322,52861
1000,55618,52254

Median Slopes Analysis
========

Model:
Time ~=    37.93
    + u    0.001
              µs

Min Squares Analysis
========

Data points distribution:
    u   mean µs  sigma µs       %
    0     39.52     1.568    3.9%
   50     38.74     0.463    1.1%
  100     37.44     0.718    1.9%
  150     38.22     0.877    2.2%
  200     38.69     1.043    2.6%
  250     38.53     0.699    1.8%
  300     38.34     0.805    2.0%
  350     38.03     0.474    1.2%
  400     38.38     1.576    4.1%
  450     42.35     3.532    8.3%
  500     38.59       0.7    1.8%
  550     37.55     0.507    1.3%
  600     37.48     0.596    1.5%
  650     38.23     0.826    2.1%
  700     39.85     1.766    4.4%
  750     39.79     1.882    4.7%
  800     41.87     2.462    5.8%
  850        42     1.676    3.9%
  900     41.69     3.302    7.9%
  950     38.76     1.966    5.0%
 1000     38.71     0.988    2.5%

Quality and confidence:
param     error
u             0

Model:
Time ~=    38.17
    + u    0.002
              µs

