Pallet: "staking", Extrinsic: "set_validator_count", Lowest values: [], Highest values: [], Steps: [20], Repeat: 20
c,extrinsic_time,storage_root_time
0,8811,48931
0,5302,36936
0,5392,37263
0,5043,43806
0,5108,35452
0,4766,34918
0,4835,35791
0,5070,34986
0,5003,34905
0,5206,35134
0,5125,34087
0,4880,36216
0,4935,36918
0,5540,38093
0,5050,38698
0,5037,35455
0,4881,36764
0,5098,36035
0,5246,35900
0,4961,35803
50,4922,36288
50,8201,48000
50,7182,49079
50,7456,48300
50,8480,55621
50,8638,56427
50,9965,56600
50,8531,53609
50,6103,37411
50,5154,34955
50,4989,35469
50,4845,34931
50,5050,36302
50,5221,35407
50,4920,34741
50,4848,35682
50,4770,35882
50,5278,34808
50,4903,35027
50,4795,39162
100,4830,35979
100,4810,34517
100,4907,35833
100,4847,35124
100,4776,35054
100,4757,35027
100,4731,34436
100,4827,34615
100,4883,35317
100,4972,35072
100,4832,35756
100,4798,35235
100,4795,35162
100,4746,34758
100,4759,34892
100,4823,34771
100,4740,35167
100,4928,34786
100,4770,35160
100,4834,34500
150,5025,35031
150,4806,34828
150,5140,34856
150,4669,34661
150,4822,35572
150,5035,35031
150,6066,50670
150,4959,34118
150,4802,45292
150,7167,47952
150,6928,49488
150,6985,49226
150,8103,53458
150,8601,52521
150,8141,54335
150,5185,35019
150,4844,34951
150,4758,34924
150,4804,35095
150,4809,35455
200,4786,34809
200,5024,33920
200,4984,34867
200,4767,37618
200,5200,36240
200,4773,34809
200,5420,35560
200,4846,34845
200,6690,38826
200,7216,49235
200,7001,49432
200,7469,51700
200,8311,49830
200,7680,36804
200,6941,41120
200,7947,38417
200,5253,35629
200,4757,34846
200,4720,35082
200,4760,34263
250,4695,35358
250,4702,34656
250,5596,52787
250,7501,36791
250,4819,43229
250,4838,35093
250,4775,34931
250,4663,35002
250,4806,35347
250,4868,34238
250,4942,35545
250,4950,32980
250,4595,33387
250,5075,34071
250,4880,34278
250,4595,33623
250,5194,41665
250,4742,33337
250,4670,33717
250,4749,33684
300,4859,34185
300,4636,34488
300,5062,34058
300,5021,34720
300,4646,33906
300,4595,32896
300,4696,33194
300,4972,33637
300,4573,34345
300,4955,34082
300,4666,33794
300,4565,34124
300,4680,34602
300,5016,41800
300,4917,34799
300,4752,35069
300,4741,35685
300,4880,33858
300,5109,36065
300,4722,34999
350,4751,35434
350,4715,34446
350,4745,34657
350,4755,34960
350,4886,50379
350,4956,34445
350,4714,35104
350,5000,34498
350,5074,41508
350,4853,35547
350,4735,35044
350,5082,34580
350,5026,35103
350,4983,52213
350,5287,35514
350,4812,34651
350,4768,34844
350,4771,34503
350,4729,35257
350,4781,33843
400,5257,34928
400,4811,34317
400,4835,35617
400,5171,42904
400,4956,35407
400,4736,34651
400,4782,34609
400,4837,33671
400,4875,34252
400,5233,33832
400,4859,35085
400,5089,34751
400,5193,34700
400,4788,34684
400,4838,35532
400,4821,35366
400,4570,33521
400,4778,33634
400,4661,33515
400,5001,33159
450,4649,33654
450,4656,33008
450,4745,33532
450,4798,32959
450,4880,33423
450,4640,32916
450,5292,56821
450,4836,34312
450,4717,33805
450,4585,33943
450,4704,34392
450,4967,33150
450,4657,34054
450,4855,32837
450,4957,33832
450,4901,34138
450,4679,34890
450,4748,33417
450,4675,35675
450,5048,34248
500,5007,35364
500,4770,34487
500,4774,35543
500,4763,33631
500,4896,35160
500,5012,34224
500,4807,34630
500,4788,33580
500,4861,35067
500,6971,37184
500,5156,33976
500,4618,33447
500,4683,34707
500,4654,32899
500,4618,33412
500,4689,32822
500,5065,33836
500,4695,34131
500,4664,33566
500,4549,33145
550,4675,33669
550,4579,32986
550,4851,34130
550,4533,32443
550,4642,33831
550,5275,33480
550,4603,41975
550,4872,32950
550,4646,34021
550,5360,46440
550,5022,34405
550,4712,33969
550,5140,32842
550,4576,32357
550,4586,34069
550,4963,33403
550,4696,33954
550,4680,40474
550,4699,33589
550,4707,33767
600,6254,37464
600,4702,32930
600,4919,33577
600,4809,33841
600,5030,33478
600,4680,33437
600,5161,35386
600,11135,35288
600,4890,34690
600,4894,34494
600,4839,34870
600,4901,34495
600,4772,35505
600,4802,34901
600,5008,34234
600,4812,34379
600,4754,34970
600,5385,34650
600,4792,34636
600,4549,32247
650,4764,33908
650,4595,32267
650,4549,33573
650,4793,32659
650,4814,34610
650,4731,32787
650,4904,32589
650,4970,32601
650,4589,33892
650,4956,39920
650,4866,40921
650,5485,55356
650,5048,34157
650,4538,32920
650,4553,33012
650,4963,33993
650,4671,35863
650,4712,33882
650,4577,34166
650,5059,33522
700,11098,34331
700,4646,32883
700,4554,33748
700,4597,33431
700,4568,33117
700,4571,33648
700,4896,33068
700,4486,33000
700,4526,33638
700,4553,32227
700,4560,33406
700,18126,33634
700,4502,33063
700,4583,32911
700,4713,34177
700,4565,33031
700,4557,33472
700,4477,32163
700,4620,33889
700,5015,33077
750,4534,34132
750,4883,33392
750,4728,33538
750,4963,33988
750,4904,32928
750,4716,33179
750,4928,33418
750,4565,32427
750,4601,34339
750,4587,32694
750,4640,33594
750,4698,32722
750,4619,33242
750,4927,32683
750,4547,49694
750,6033,35295
750,4600,45202
750,4953,33185
750,4520,33688
750,5164,32386
800,4556,34102
800,4790,33157
800,4624,32917
800,4805,33797
800,4572,32996
800,4765,33201
800,5000,34204
800,4576,32861
800,4949,32770
800,4558,33455
800,4483,34012
800,4602,32343
800,4600,34090
800,4483,33395
800,4895,33866
800,4544,32784
800,4649,34123
800,5036,33495
800,4916,33329
800,4573,34319
850,4720,33621
850,4873,34222
850,4856,33521
850,4514,32920
850,4503,33037
850,4803,33057
850,4648,32832
850,9981,33760
850,4952,34467
850,4812,34012
850,5046,35692
850,4861,34177
850,4593,33491
850,4798,32677
850,4534,34084
850,4676,32648
850,4596,33846
850,5103,33781
850,6075,52598
850,4911,33613
900,4829,35058
900,4773,33722
900,4941,35323
900,4787,34641
900,4864,34835
900,4780,43627
900,4926,35400
900,5009,34777
900,4843,34110
900,4709,34058
900,4807,32679
900,4628,33092
900,4981,33943
900,4484,33251
900,4582,34096
900,4573,32922
900,4640,33536
900,4594,32902
900,4568,33968
900,5386,34916
950,4782,34910
950,5088,34857
950,4809,35302
950,4720,33850
950,4642,34911
950,4702,33797
950,4694,35018
950,4806,34267
950,4711,33817
950,4606,33199
950,4742,33498
950,4560,32811
950,4610,33205
950,4763,34451
950,5026,35254
950,4783,33871
950,4906,34881
950,5048,33794
950,4896,35013
950,4971,33817
1000,4769,54479
1000,5505,35552
1000,4844,35480
1000,4802,33814
1000,4752,35570
1000,4712,34182
1000,4824,34483
1000,5066,34450
1000,4892,34978
1000,4836,32630
1000,4595,32318
1000,4546,33015
1000,4952,33445
1000,4542,32809
1000,4699,33467
1000,4591,32528
1000,4534,33114
1000,4553,33086
1000,4541,32868
1000,4549,33447

Median Slopes Analysis
========

Model:
Time ~=    4.959
    + c        0
              µs

Min Squares Analysis
========

Data points distribution:
    c   mean µs  sigma µs       %
    0      5.07     0.065    1.2%
   50     5.627     0.907   16.1%
  100     4.809     0.022    0.4%
  150     5.281     0.649   12.2%
  200     5.614     0.848   15.1%
  250     4.812     0.069    1.4%
  300     4.786       0.1    2.0%
  350     4.831      0.08    1.6%
  400     4.862     0.063    1.2%
  450     4.763      0.07    1.4%
  500     4.772     0.067    1.4%
  550     4.718     0.075    1.5%
  600     4.866     0.064    1.3%
  650      4.78     0.104    2.1%
  700     4.582     0.028    0.6%
  750     4.731     0.121    2.5%
  800     4.655     0.089    1.9%
  850     4.795     0.083    1.7%
  900     4.766     0.077    1.6%
  950     4.771     0.055    1.1%
 1000     4.713     0.097    2.0%

Quality and confidence:
param     error
c             0

Model:
Time ~=    5.174
    + c        0
              µs

