Pallet: "staking", Extrinsic: "unbond", Lowest values: [], Highest values: [], Steps: [20], Repeat: 20
u,extrinsic_time,storage_root_time
0,181435,128128
0,171360,110445
0,173077,112000
0,213051,114772
0,165834,111071
0,176869,111362
0,165933,111483
0,164300,112788
0,166654,156167
0,171396,111066
0,167905,110504
0,164199,110425
0,165105,162708
0,242799,145940
0,180405,114532
0,169016,111783
0,164278,110483
0,165272,112518
0,180496,113634
0,173081,114016
50,209200,121479
50,174496,117594
50,179930,116761
50,172528,139015
50,172286,123407
50,175304,124441
50,172048,113717
50,171231,115257
50,177416,117034
50,179378,152228
50,205531,124926
50,203634,123343
50,177422,114566
50,197949,120755
50,179294,120261
50,169837,117619
50,264048,189161
50,177326,116819
50,170011,117612
50,174346,115187
100,171798,117373
100,170749,117064
100,233343,122501
100,180541,119850
100,184572,119605
100,178785,117252
100,173807,126523
100,182689,117482
100,180107,116675
100,222540,123794
100,175517,116519
100,170737,117358
100,171144,115637
100,187080,125045
100,185910,116003
100,172465,115580
100,176627,119356
100,191576,167854
100,183029,122679
100,195944,121579
150,190236,124193
150,186145,118307
150,201738,129079
150,184091,122994
150,188132,123024
150,196027,121911
150,200617,170046
150,182075,117836
150,169065,113281
150,168396,111096
150,172160,113204
150,202330,122516
150,179367,118517
150,177195,117457
150,169264,116026
150,171281,115395
150,169095,145405
150,169450,112102
150,169435,113634
150,167376,111903
200,164168,110306
200,163133,109521
200,175468,113955
200,186751,112453
200,225123,113395
200,163943,114313
200,217323,117376
200,163606,111709
200,188569,127524
200,167039,112124
200,173353,113428
200,172882,112736
200,193000,111367
200,194338,113738
200,167806,110647
200,196383,112962
200,176048,127110
200,183068,114880
200,165574,109736
200,181358,162439
250,177667,157063
250,225793,141005
250,177981,115859
250,189358,112998
250,165723,133895
250,198000,117904
250,260731,123789
250,275361,118187
250,168707,112256
250,169050,112580
250,168734,138608
250,198909,115520
250,168917,110353
250,172227,116312
250,213139,118649
250,222968,121179
250,188817,117952
250,192475,160163
250,190130,121282
250,185202,122129
300,190996,123981
300,227456,132878
300,192706,137512
300,170582,115149
300,169440,112335
300,169779,113862
300,168901,112904
300,170071,114120
300,167652,113561
300,170952,114281
300,170376,114347
300,167615,114299
300,167159,140956
300,191359,162090
300,218642,214128
300,170704,132837
300,264042,121164
300,196446,114238
300,170833,112233
300,219084,114894
350,175741,113501
350,171335,119928
350,179945,140785
350,201025,116923
350,214341,112381
350,174473,119320
350,186558,132153
350,170361,127671
350,166309,109252
350,173511,187363
350,176893,114839
350,241000,119895
350,167027,110232
350,167166,112580
350,206801,111409
350,167165,113169
350,166568,109958
350,166060,112536
350,241306,119832
350,215445,116941
400,171846,113413
400,179477,114429
400,168904,111672
400,171387,113798
400,220747,117018
400,167419,111123
400,252419,111727
400,165321,110558
400,173674,115029
400,194547,126576
400,179226,154392
400,178744,113594
400,164117,108139
400,173230,115546
400,212000,115794
400,199248,167091
400,175501,113304
400,167171,109459
400,251782,151045
400,174988,112706
450,169952,113251
450,167963,112854
450,167359,112151
450,184037,125463
450,207599,123738
450,180495,123269
450,181760,123653
450,186594,115026
450,179433,119273
450,177977,120816
450,188326,122922
450,183823,122959
450,183600,123910
450,176320,114807
450,194258,126175
450,170585,115228
450,175140,116624
450,171990,112057
450,170452,115390
450,175669,116632
500,209883,121768
500,170153,120346
500,168967,112503
500,268976,145759
500,176086,116298
500,172165,113480
500,170953,112211
500,172024,112000
500,224647,117651
500,173444,114820
500,168511,113288
500,167008,114291
500,168693,113019
500,268441,169531
500,179222,115283
500,167573,113271
500,169964,114493
500,169975,113174
500,192801,130591
500,244659,122351
550,174349,162293
550,177410,114746
550,173078,111974
550,169250,112164
550,168064,111647
550,240214,124273
550,171565,112160
550,165626,111259
550,183395,114995
550,182164,167989
550,243595,150282
550,172380,112083
550,178040,119394
550,174092,114353
550,176761,116165
550,173926,112386
550,205311,118484
550,174174,114696
550,235833,137489
550,178186,114542
600,176864,115586
600,172673,112296
600,185227,123176
600,184563,118844
600,175530,117714
600,185512,118189
600,178779,115978
600,165374,109840
600,187421,120010
600,182230,121070
600,183768,121559
600,196501,123381
600,260317,141171
600,244780,117598
600,172027,113166
600,172101,114389
600,167171,110509
600,172114,113233
600,166444,111486
600,163189,109668
650,173606,162808
650,174098,116335
650,177827,190444
650,179354,115554
650,172477,115245
650,169478,115636
650,170490,113789
