Pallet: "staking", Extrinsic: "validate", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
u,extrinsic_time,storage_root_time
0,28674,45800
0,23570,35163
0,23793,34647
0,23383,34649
0,23384,34176
0,23430,34265
0,23032,34284
0,23523,34398
0,23274,34274
0,23102,33747
0,22762,33966
0,23129,35102
0,23012,34188
0,23015,34043
0,23251,34089
0,23095,34025
0,23282,34076
0,22951,34036
0,23546,34420
0,23187,34247
20,23351,37714
20,22864,35576
20,23437,34176
20,23109,33828
20,23002,33689
20,23191,34523
20,23038,34281
20,23077,33991
20,23035,33928
20,23296,33787
20,23262,34076
20,23222,33778
20,22911,33962
20,23093,34003
20,23172,34108
20,23039,33504
20,23043,33950
20,23033,33486
20,23569,33897
20,23233,33816
40,24040,37603
40,23214,34997
40,23323,34756
40,23365,34620
40,23409,34282
40,23306,34151
40,23525,33906
40,23696,34142
40,23444,34289
40,23207,34813
40,23492,34275
40,23617,34326
40,23137,34544
40,23238,34079
40,23115,33838
40,23334,34447
40,23171,34282
40,23416,34251
40,23022,34027
40,23282,34205
60,23537,36672
60,23400,35298
60,23531,35282
60,23493,35247
60,23205,34963
60,23511,35068
60,23368,35095
60,23467,34853
60,23247,35203
60,23181,34970
60,23226,34970
60,23394,35304
60,23301,34971
60,23201,34977
60,23557,35087
60,23181,34954
60,23167,35268
60,23051,35002
60,23214,35286
60,23315,34793
80,24400,37848
80,23604,34871
80,23963,34648
80,27130,34693
80,23881,34197
80,23774,34219
80,23974,34256
80,23821,34683
80,23527,33986
80,23467,34170
80,23493,34142
80,24229,34209
80,23458,34267
80,23884,34180
80,24401,34542
80,23693,34799
80,23558,34123
80,23707,34256
80,23726,34347
80,23772,34172
100,23875,36460
100,23760,34870
100,23801,34730
100,23868,34579
100,24337,34481
100,23971,34662
100,24160,34588
100,24016,34483
100,24218,34586
100,24075,34652
100,23842,34827
100,23744,34641
100,24065,34419
100,23905,34923
100,23922,34687
100,24378,35054
100,23538,35044
100,23605,34313
100,24089,34833
100,24116,34923
120,24219,41520
120,24325,38888
120,24001,37744
120,23813,37756
120,24099,37776
120,24072,37618
120,23936,38019
120,24016,37579
