Pallet: "staking", Extrinsic: "withdraw_unbonded", Lowest values: [], Highest values: [], Steps: [20], Repeat: 20
u,extrinsic_time,storage_root_time
0,114826,74596
0,110019,62184
0,104112,61024
0,106582,61799
0,103694,61322
0,118369,67204
0,114363,66143
0,110566,72897
0,109978,61077
0,145704,67824
0,107777,63371
0,109847,75927
0,112819,65610
0,107627,63322
0,103949,61752
0,104569,62107
0,153901,67104
0,114147,66135
0,103649,61557
0,110196,64972
50,113839,64553
50,108836,67424
50,112032,66998
50,114334,70418
50,123030,70446
50,110451,74670
50,111082,67579
50,109506,66560
50,109845,66909
50,108797,66689
50,177569,69273
50,110182,67003
50,111482,66322
50,141535,120059
50,115445,70293
50,114743,72040
50,108628,66058
50,108099,64898
50,109617,66169
50,161929,73873
100,110229,66575
100,108903,66342
100,113962,97845
100,109159,66841
100,113154,110962
100,115722,69722
100,113363,69508
100,107909,66637
100,109518,66365
100,109489,67168
100,122368,68872
100,120393,67879
100,108565,66064
100,109037,65694
100,109325,65976
100,108847,65223
100,118514,66584
100,110190,67666
100,114571,70162
100,120444,69877
150,109325,66708
150,144971,67584
150,112943,67321
150,105916,66243
150,109929,65087
150,107217,63757
150,111845,64682
150,111427,64483
150,109119,67808
150,107079,64763
150,113833,67505
150,106418,64111
150,107432,64712
150,111295,67092
150,108981,65602
150,106890,63736
150,106855,63961
150,112358,74189
150,154459,68772
150,109353,62522
200,108723,61073
200,103497,62099
200,109606,65554
200,113194,64897
200,110813,65432
200,105927,63878
200,105107,62160
200,103516,61317
200,104783,61909
200,103643,61851
200,119879,62134
200,121929,67955
200,110477,65137
200,104234,61531
200,103573,62394
200,105589,62168
200,110160,63122
200,105806,60850
200,107312,62119
200,107822,62560
250,110398,62808
250,105979,61155
250,108200,63847
250,109876,64877
250,107643,63725
250,107123,67588
250,108473,65334
250,105106,62713
250,105421,62409
250,108135,61608
250,103679,60883
250,107122,62543
250,110744,61984
250,108032,61575
250,103539,61431
250,106267,62860
250,105838,61691
250,105703,61005
250,104557,62851
250,110768,64518
300,110978,67055
300,112642,67735
300,110164,67451
300,119964,65441
300,106566,64400
300,142331,71416
300,117861,67148
