Pallet: "staking", Extrinsic: "withdraw_unbonded_kill", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
s,extrinsic_time,storage_root_time
0,87094,76175
0,74976,66380
0,74699,65872
0,74372,65996
0,74730,65510
0,74141,65682
0,74802,66496
0,74387,65094
0,74309,65002
0,73831,65553
0,74071,65310
0,74363,64431
0,74289,64680
0,74042,65125
0,74043,65083
0,74111,65163
0,74503,64831
0,74137,68264
0,74370,64971
0,74026,65293
2,83738,76707
2,83772,77506
2,83445,76621
2,83034,77380
2,82868,76624
2,83640,76007
2,83004,76395
2,83259,76910
2,84242,76704
2,83441,76383
2,83266,76650
2,83754,76925
2,83332,76295
2,83827,76895
2,82967,77226
2,83309,76085
2,83991,77084
2,83415,76832
2,83599,107435
2,83513,76668
4,88757,81750
4,87919,81075
4,87743,80708
4,87516,81688
4,87700,80827
4,87476,81838
4,88174,81095
4,87355,80601
4,91883,82274
4,87812,81352
4,88108,81863
4,87611,80544
4,87417,81182
4,88303,80290
4,87420,80833
4,87837,81286
4,87727,82537
4,87472,81103
4,88122,81002
4,87599,80868
6,92270,88060
6,92670,87938
6,92356,88542
6,92365,87792
6,91758,88111
6,92770,88618
6,92999,88846
6,96597,88900
6,92624,89224
6,92917,88446
6,92521,88908
6,92743,88464
6,92208,87886
6,92902,88031
6,92208,88364
6,92006,87917
6,92394,91453
6,92422,87940
6,92830,88282
6,92549,88228
8,101622,93199
8,98246,91873
8,97147,92593
8,97247,91857
8,97981,92157
8,97474,95039
8,97876,92663
8,97569,92469
8,97235,92734
8,97432,92051
8,97742,93589
8,98016,92467
8,97421,93380
8,97675,92911
8,99090,92702
8,98723,93074
8,98148,92259
8,97785,92601
8,98770,92621
8,97799,92645
10,103146,95311
10,102485,95966
10,102305,95549
10,104035,95765
10,102097,96523
10,102355,94977
10,102665,95391
10,102470,95540
10,102370,96059
10,103052,96045
10,102846,95985
10,105727,96243
10,102527,95840
10,102226,96161
10,102364,95772
10,102532,95502
10,102667,95961
10,102096,95936
10,102563,95661
10,102708,99102
12,107412,100577
12,108269,99710
12,107887,99898
12,107796,100163
12,106775,100126
12,107471,99715
12,107226,100100
12,107952,102591
12,107470,100698
12,107148,99726
12,107115,99363
12,106704,100315
12,106630,100234
12,106995,98811
12,106742,99943
12,107206,99915
12,107223,100297
12,107509,100462
12,107140,99977
12,107205,100045
14,112740,106323
14,111771,104637
14,111879,105133
14,112226,107565
14,111931,104921
14,111259,103784
14,112060,103789
14,111460,103506
14,112736,103568
14,112339,103819
14,111736,103872
14,113270,103897
14,112656,103996
14,112790,103631
14,112065,102502
14,112344,105631
14,111779,104150
14,112168,105783
14,112311,103645
14,112698,104045
16,118089,106471
16,117023,108431
16,117075,108014
16,116941,108832
16,117335,106341
16,117910,107138
16,120355,107350
16,116990,106245
16,116185,107314
16,116889,108193
16,117460,106983
16,117726,106351
16,117067,107943
16,117709,108730
16,117335,107024
16,118146,107074
16,117039,106782
16,116460,108167
