Pallet: "system", Extrinsic: "kill_storage", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
i,extrinsic_time,storage_root_time
1,2585,14302
1,1338,8287
1,1304,8123
1,1286,7736
1,1251,7584
1,1231,7574
1,1203,7553
1,1257,7427
1,1232,7530
1,1218,7453
1,1225,7450
1,1208,7469
1,1221,7510
1,1236,7419
1,1216,7440
1,1251,7469
1,1216,7414
1,1249,7555
1,1220,7388
1,1226,7517
20,7748,53119
20,7623,47760
20,7576,47090
20,7563,46969
20,7626,47288
20,7631,46858
20,7511,46556
20,7542,47087
20,7663,46538
20,7510,46455
20,8059,46270
20,7489,45897
20,8014,46462
20,7569,46321
20,7497,46337
20,7419,46313
20,7423,46711
20,7486,46578
20,7480,46369
20,7515,46427
39,14118,81936
39,14193,81416
39,14236,81270
39,14137,81525
39,14092,81572
39,14329,84113
39,14218,80896
39,14226,80909
39,14423,81571
39,14118,81811
39,14107,80806
39,14500,80543
39,14225,80728
39,14115,80888
39,14168,80994
39,14097,81179
39,14495,80779
39,14736,80808
39,14360,80452
39,14394,80421
58,20942,113953
58,20539,113041
58,20726,113857
58,20762,113225
58,20895,113058
58,20776,112813
58,20805,114241
58,20604,112564
58,20835,113798
58,20744,112616
58,20640,113212
58,20626,113570
58,20968,112600
58,20681,113446
58,20773,114251
58,20740,113821
58,20807,114701
58,21097,113595
58,20769,114200
58,20634,113715
77,27707,142410
77,27635,142735
77,27613,141872
77,27445,142084
77,27333,142262
77,27326,142741
77,27375,142657
77,27503,142415
77,27566,142340
77,30001,142632
77,27727,142980
77,27495,142562
77,27661,142508
77,27821,142663
77,28259,143473
77,27515,141550
77,27762,142985
77,27624,142126
77,27736,142131
77,27485,142808
96,35471,167104
96,34676,167761
96,34545,167055
96,35489,166980
96,34234,166634
96,34744,167720
96,34532,166687
96,34299,167521
96,33937,166153
96,34527,166807
96,34809,167835
96,34940,167277
96,35375,167201
96,34232,167049
96,34612,165856
96,34950,167488
96,34513,166570
96,34300,167273
96,34421,166251
96,37797,168205
115,41115,197465
115,42479,197216
115,44619,196810
115,41211,197716
115,41391,196814
115,41627,198203
115,41336,196293
115,41757,196751
115,41043,195727
115,40977,196721
115,42607,196592
115,44483,197133
115,42852,196512
115,41427,196800
115,41594,196980
115,42576,197728
115,42812,196250
115,45590,196921
115,43938,197194
115,42953,197576
134,49051,219071
134,48474,217747
134,48020,217806
134,48286,220668
134,49276,218367
134,49470,219128
134,51816,218899
134,47947,219656
134,48461,218632
134,47958,219785
134,48066,217889
134,48599,219780
134,50010,220179
134,48591,222940
134,47989,220700
134,47657,219300
134,50216,220739
134,49661,218881
134,48522,218969
