Pallet: "system", Extrinsic: "remark", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
b,extrinsic_time,storage_root_time
0,1808,6102
0,671,2061
0,607,1880
0,583,1795
0,568,1785
0,562,1801
0,621,1800
0,568,1797
0,579,1774
0,615,1797
0,607,1752
0,580,1794
0,543,1781
0,600,1801
0,577,1803
0,600,1788
0,555,1754
0,625,1791
0,562,1791
0,586,1817
327,714,1770
327,700,1775
327,713,1779
327,649,1720
327,723,1791
327,666,1794
327,679,1792
327,698,1750
327,678,1767
327,725,1727
327,698,1767
327,677,1796
327,682,1757
327,698,1774
327,692,1836
327,697,1752
327,648,1785
327,659,1761
327,646,1773
327,678,1750
654,629,1760
654,653,1753
654,646,1718
654,657,1779
654,706,1790
654,658,1771
654,672,1794
654,684,1763
654,662,1799
654,684,1798
654,675,1834
654,703,1761
654,662,1809
654,657,1769
654,677,1786
654,672,1723
654,656,1793
654,660,1734
654,702,1774
654,684,1743
981,699,1784
981,684,1774
981,689,1781
981,675,1731
981,683,1804
981,717,1768
981,671,1824
981,678,1769
981,674,1776
981,653,1768
981,690,1773
981,713,1773
981,686,1786
981,693,1776
981,664,1793
981,668,1802
981,700,1747
981,653,1744
981,677,1762
981,662,1740
1308,662,1759
1308,669,1748
1308,682,1748
1308,675,1768
1308,680,1772
1308,664,1740
1308,680,1745
1308,694,1715
1308,696,1773
1308,688,1798
1308,670,1755
1308,675,1759
1308,658,1760
1308,653,1732
1308,662,1775
1308,682,1729
1308,655,1757
1308,644,1706
1308,666,1753
1308,688,1752
1635,699,1753
1635,701,1783
1635,655,1754
1635,644,1739
1635,661,1761
1635,655,1757
1635,688,1750
1635,649,1771
1635,648,1798
1635,678,1735
1635,696,1803
1635,666,1715
1635,676,1762
1635,667,1753
1635,668,1802
1635,630,1741
1635,670,1758
1635,651,1735
1635,653,1759
1635,662,1749
1962,629,1733
1962,679,1800
1962,644,1764
1962,668,1809
1962,669,1742
1962,670,1762
1962,654,1744
1962,647,1741
1962,711,1739
1962,721,1768
1962,664,1755
1962,651,1770
1962,647,1755
1962,679,1782
1962,683,1753
1962,675,1709
1962,685,1756
1962,662,1781
1962,715,1738
1962,679,1784
2289,666,1760
2289,681,1779
2289,690,1715
2289,680,1775
2289,651,1755
2289,676,1772
2289,658,1738
2289,672,1754
2289,645,1773
2289,668,1779
2289,661,1774
2289,679,1759
2289,693,1742
2289,700,1762
2289,650,1798
2289,667,1784
2289,670,1761
2289,649,1805
2289,636,1775
2289,669,1746
2616,689,1779
2616,684,1757
2616,686,1765
2616,696,1795
2616,689,1726
2616,686,1734
2616,693,1767
2616,695,1785
2616,720,1780
2616,753,1752
2616,731,1754
2616,725,1751
2616,715,1758
2616,654,1788
2616,677,1774
2616,658,1731
2616,703,1752
2616,696,1843
2616,700,1809
2616,694,1801
2943,660,4265
2943,718,1809
2943,685,1750
2943,693,1758
2943,712,1778
2943,708,1791
2943,679,1780
2943,707,1717
2943,699,1789
2943,697,1762
2943,714,1770
2943,670,1744
2943,685,1738
2943,680,1784
2943,674,1762
2943,705,1775
2943,676,1717
2943,686,1733
2943,682,1832
2943,673,1758
3270,637,1773
3270,666,1723
3270,668,1703
3270,663,1740
3270,661,1755
3270,660,1803
3270,679,1733
3270,677,1748
3270,664,1723
3270,684,1750
3270,664,1743
3270,667,1785
3270,679,1755
3270,675,1789
3270,677,1762
3270,691,1757
3270,658,1684
3270,663,1792
3270,671,1759
3270,668,1772
3597,659,1759
3597,662,1767
3597,662,1758
3597,676,1761
3597,649,1726
3597,694,1797
3597,695,1764
3597,657,1760
3597,658,1768
3597,671,1776
3597,647,1800
3597,658,1764
3597,662,1747
3597,657,1762
3597,644,1725
3597,684,1803
3597,678,1731
3597,652,1793
3597,677,1757
3597,700,1801
3924,689,1756
3924,638,1737
3924,661,1795
3924,669,1785
3924,639,1795
3924,666,1793
3924,667,1800
3924,666,1819
3924,664,1751
3924,665,1780
3924,652,1785
3924,676,1776
3924,692,1776
3924,670,1777
3924,693,1781
3924,688,1796
3924,670,1729
3924,735,1829
3924,657,1763
3924,662,1820
4251,683,1788
4251,697,1760
4251,681,1832
4251,689,1808
4251,699,1790
4251,675,1746
4251,712,1702
4251,700,1808
4251,675,1762
4251,679,1763
4251,668,1769
4251,688,1707
4251,686,1817
4251,695,1771
4251,713,1780
4251,685,1750
4251,692,1752
4251,689,1755
4251,675,1791
4251,650,1789
4578,718,1751
4578,683,1789
4578,675,1834
4578,661,1782
4578,672,1766
4578,664,1755
4578,692,1715
4578,697,1764
4578,655,1792
4578,665,1785
4578,676,1768
4578,695,1755
4578,707,1785
4578,662,1809
4578,689,1755
4578,674,1758
4578,726,1710
4578,660,1770
4578,674,1750
4578,691,1726
4905,673,1747
4905,678,1745
4905,648,1726
4905,673,1772
4905,675,1780
4905,673,1690
4905,704,1772
4905,697,1830
4905,694,1778
4905,675,1745
4905,688,1722
4905,675,1821
4905,683,1775
4905,694,1819
4905,669,1727
4905,671,1718
4905,660,1753
4905,683,1802
4905,689,1782
4905,679,1779
5232,669,1709
5232,658,1750
5232,676,1739
5232,697,1753
5232,668,1750
5232,657,1671
5232,674,1768
5232,670,1770
5232,673,1772
5232,671,1750
5232,683,1768
5232,702,1771
5232,676,1783
5232,654,1755
5232,652,1786
5232,677,1688
5232,684,1784
5232,684,1776
5232,684,1755
5232,681,1741
5559,666,1679
5559,652,1764
5559,684,1730
5559,668,1750
5559,660,1739
5559,668,1708
5559,645,1774
5559,656,1718
5559,660,1737
5559,700,1715
5559,679,1709
5559,679,1714
5559,694,1791
5559,674,1757
5559,701,1738
5559,700,1736
5559,723,1777
