Pallet: "system", Extrinsic: "set_code_without_checks", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
b,extrinsic_time,storage_root_time
0,26514,1000701
0,16082,292773
0,14566,223106
0,14426,203058
0,13905,197777
0,13546,195552
0,13689,196199
0,13831,194342
0,13430,193473
0,13678,193696
0,13760,193593
0,13962,202326
0,13794,196988
0,13809,193775
0,13681,193314
0,13722,193854
0,13526,192602
0,13640,195373
0,13741,195698
0,13633,192942
327,13855,191975
327,14280,194594
327,13985,194864
327,13889,192396
327,13653,195382
327,13781,195268
327,13968,194662
327,13773,194317
327,13624,203449
327,13930,193279
327,13765,194404
327,13932,195089
327,13687,193286
327,18375,195203
327,13765,196060
327,13858,195224
327,13649,196154
327,13511,193842
327,13723,192542
327,13822,192322
654,14150,196885
654,13841,194828
654,13986,193874
654,13723,195319
654,13525,194077
654,13825,204519
654,13731,195207
654,13570,195795
654,13480,192869
654,13808,195875
654,13741,197186
654,13658,194024
654,13584,196403
654,13896,200262
654,13571,194660
654,13572,195378
654,13833,196897
654,13529,194913
654,13687,194880
654,13749,198152
981,14453,198723
981,13840,197034
981,14008,208038
981,14327,197410
981,13885,198800
981,15457,197430
981,14004,200719
981,13715,196756
981,13681,200939
981,13691,195569
981,14241,198815
981,14271,194060
981,13973,199036
981,14056,196557
981,14015,201858
981,13687,196035
981,13758,199694
981,13741,193992
981,13770,200598
981,14418,210198
1308,14529,199293
1308,14045,198455
1308,13812,196490
1308,13879,193859
1308,14004,195476
1308,14242,197884
1308,13997,195132
1308,13646,195400
1308,13768,200343
1308,14075,195146
1308,14195,194845
1308,14044,195291
1308,14027,193423
1308,13795,192682
1308,13924,194677
1308,13930,197920
1308,14229,202615
1308,14165,198063
1308,13816,194136
1308,13960,195490
1635,14003,194647
1635,14117,195544
1635,13900,192290
1635,13799,196053
1635,14115,195024
1635,13923,195865
1635,13817,194399
1635,13932,195700
1635,13916,195773
1635,13656,197442
1635,14152,193628
1635,14034,195283
1635,13866,195876
1635,13855,203338
1635,14092,196965
1635,14040,196808
1635,13745,195718
1635,13928,194758
1635,13787,196518
1635,13927,194526
1962,14544,199100
1962,13967,195208
1962,14209,196843
1962,13799,198282
1962,14007,197286
1962,13990,195851
1962,13887,195797
1962,13887,194852
1962,14018,197409
1962,15809,197918
1962,14038,207912
1962,14189,198739
1962,14038,199283
1962,14177,193915
1962,14045,194699
1962,14011,198462
1962,14078,196522
1962,13898,194681
1962,14210,196841
1962,13763,194574
2289,13925,195583
2289,13913,197025
2289,13892,195573
2289,14344,195961
2289,14338,194223
2289,14065,197991
2289,13930,195729
2289,14207,205302
2289,14416,197282
2289,13884,195063
2289,13989,196966
2289,14018,196082
2289,14103,196967
2289,14082,198742
2289,18862,199273
2289,14131,195376
2289,14197,197054
2289,14062,195996
2289,14385,195929
2289,14173,195310
2616,14118,199316
2616,14036,198638
2616,13969,199014
2616,14591,198227
2616,14332,205294
2616,14468,196979
2616,14216,198937
2616,14076,198677
2616,14371,198358
2616,14081,197880
2616,14202,196442
2616,14042,199812
2616,14171,199172
2616,14107,197183
2616,13928,199061
2616,13861,199937
2616,13987,199449
2616,14251,199389
2616,14009,202840
2616,13894,203344
2943,14017,194685
2943,14055,235415
2943,14342,202414
2943,14203,201909
2943,14239,198789
2943,13845,198498
2943,13951,198800
2943,14045,197596
2943,13979,196158
2943,14136,196796
2943,14307,197960
2943,13962,196323
2943,13959,196428
2943,13897,198684
2943,14278,195887
2943,14145,197738
2943,14100,196233
2943,13877,195809
2943,21761,196044
2943,14134,198107
3270,14366,199344
3270,14283,197640
3270,14021,197519
3270,14040,199156
3270,13912,195884
3270,14027,197861
3270,14196,199005
3270,14388,199482
3270,14335,198615
3270,14281,196089
3270,13961,199771
3270,14186,197095
3270,14321,199957
3270,14192,197033
3270,14273,203279
3270,14240,197439
3270,14305,197632
3270,14088,196949
3270,14166,195422
3270,14060,198794
3597,14078,199946
3597,14057,203275
3597,14244,202228
3597,14594,199922
3597,14003,198812
3597,14013,200813
3597,14271,202224
3597,14053,198573
3597,13928,203494
3597,13870,199548
3597,14040,198641
3597,14286,209979
3597,14401,201589
3597,14169,203097
3597,14173,200913
3597,14114,199786
3597,14136,202463
3597,13966,201729
3597,14501,201058
3597,14266,201637
3924,14390,202627
3924,14270,199877
3924,14356,199529
3924,14164,200911
3924,14000,200028
3924,14166,200997
3924,14135,201390
3924,14423,199625
3924,14082,208395
3924,14160,203508
3924,14254,200199
3924,14346,199795
3924,14258,201750
3924,13905,202022
3924,14251,200078
3924,14387,200706
3924,14156,198305
3924,15790,201241
3924,14397,199970
3924,14192,200401
4251,14186,197625
4251,14398,196424
4251,14042,200103
4251,14240,199666
4251,14253,209077
4251,14169,198267
4251,14252,199237
4251,14145,197134
4251,14433,198273
4251,14308,200772
4251,14861,199631
4251,14030,198715
4251,14289,197354
4251,14116,200519
4251,14178,197372
4251,14310,199625
4251,13934,196706
4251,14040,196877
4251,14042,200443
4251,14132,199212
4578,14306,201793
4578,14123,207045
4578,14303,200013
4578,14167,201052
4578,14959,201206
4578,14040,197613
4578,13993,197566
4578,14031,196798
4578,14644,199532
4578,14160,196510
4578,14086,196559
4578,14200,200376
4578,14241,198528
4578,14304,201331
4578,14217,198635
4578,14260,197976
4578,14463,196708
4578,14290,195007
4578,14192,207292
4578,14339,199772
4905,14407,205637
4905,14356,205062
4905,14273,201902
4905,14404,202717
4905,14186,203232
4905,14100,201363
4905,14072,202308
4905,13985,203951
4905,14148,203728
4905,14049,202748
4905,14191,202432
4905,14086,201705
4905,14100,204042
4905,14105,203278
4905,14070,211710
4905,14364,203074
4905,14213,203710
4905,14238,202178
4905,14349,202272
4905,14175,201456
5232,14396,201728
5232,14308,203880
5232,14212,202676
5232,14301,203954
5232,14223,205033
5232,14236,202352
5232,14323,203223
5232,14413,205817
5232,14465,204070
5232,14194,206203
5232,14231,214444
5232,14442,203254
5232,14061,204550
5232,14171,203786
5232,14157,202677
5232,14365,201031
5232,14045,204875
5232,14030,201580
5232,13949,201888
5232,14033,203267
5559,14634,204100
5559,14171,205335
5559,14189,203087
5559,14210,204341
5559,14252,202624
5559,14045,202590
5559,14408,204012
5559,14347,209378
5559,14598,205921
5559,14381,202325
5559,14252,202215
5559,14382,204642
5559,14135,204547
5559,14303,203182
5559,14295,205587
5559,14483,202987
5559,14195,202610
5559,14079,204598
5559,14361,203017
5559,14585,203195
5886,14584,202743
5886,14290,197980
5886,14085,201512
5886,14308,205507
5886,14297,199793
5886,14468,203582
5886,14548,201916
5886,14599,202560
5886,14288,199744
5886,14295,201147
5886,14263,202405
5886,14303,199106
5886,14435,201212
5886,14567,201076
5886,14654,199647
5886,14583,197668
5886,14500,202235
5886,14457,202753
5886,14174,200588
5886,14068,201303
6213,14290,214829
6213,14721,202246
6213,14306,208229
6213,14434,202509
6213,14621,201390
6213,14271,201433
6213,14262,201869
6213,14177,200397
6213,14402,200070
6213,13978,201082
6213,14123,201210
6213,14260,201389
6213,14167,202119
6213,14498,203342
6213,14429,202805
6213,14124,200475
6213,14233,208951
6213,14343,199021
6213,14471,201156
6213,14203,200960
6540,14396,202550
6540,14144,204038
6540,14538,204971
6540,13955,203846
6540,14152,205916
6540,14161,206473
6540,14225,205473
6540,14351,201616
6540,14198,203997
6540,14297,202377
6540,18739,203442
6540,14188,204104
6540,14246,204576
6540,14409,205881
6540,14083,204104
6540,14274,205139
6540,14611,204833
6540,14227,205491
6540,14233,200979
6540,14305,203359
6867,14166,201525
6867,14295,201193
6867,14220,201715
6867,14324,201515
6867,14362,202120
6867,14439,200930
6867,14343,202119
6867,14407,205054
6867,14098,202389
6867,14174,212554
6867,14460,205143
6867,14145,203620
6867,14158,203790
6867,14058,202336
6867,14233,203721
6867,14274,205196
6867,14300,204902
6867,14402,204200
6867,14533,205270
6867,14150,199938
7194,14180,202699
7194,14305,203641
7194,14013,202806
7194,14216,204082
7194,14240,203156
7194,14046,210887
7194,14644,199929
7194,14205,199507
7194,14340,201733
7194,14501,202828
7194,14462,198652
7194,14326,203074
7194,14448,205332
7194,14668,202378
7194,14465,201922
7194,14457,201779
7194,14231,201057
7194,14413,202257
7194,14263,198603
7194,14581,200666
7521,14314,201536
7521,14282,203605
7521,15115,205297
7521,14305,203807
7521,14130,203704
7521,14256,203922
7521,14406,206561
7521,14349,206032
7521,14364,203403
7521,14197,202088
7521,14277,203534
7521,14198,202069
7521,14151,203713
7521,14261,202399
7521,14209,202369
7521,14154,203312
7521,14459,198892
7521,14233,201462
7521,14406,210571
7521,14456,205649
7848,14220,201866
7848,14368,203784
7848,14422,201849
7848,14458,202153
7848,14264,203936
7848,14261,204134
7848,14518,199619
7848,14397,204301
7848,14179,203946
7848,14161,203224
7848,14113,204173
7848,14098,204189
7848,14557,206837
7848,14489,203328
7848,14238,212075
7848,14418,203686
7848,14268,203633
7848,14230,204283
7848,14195,201472
7848,14065,205863
8175,14245,208997
8175,14219,206188
8175,14466,208972
8175,14300,209559
8175,14320,207775
8175,14417,203988
8175,14234,209190
8175,14339,206639
8175,14289,208601
8175,14242,208362
8175,14597,215521
8175,14677,208526
8175,14236,205364
8175,15759,207452
8175,14405,207463
8175,14158,207309
8175,14254,208966
8175,14192,206908
8175,14258,206179
8175,14367,206074
8502,14118,207019
8502,14485,207892
8502,14173,203254
8502,14319,205771
8502,14373,206785
8502,14124,204636
8502,14702,216239
8502,14724,210319
8502,14324,208387
8502,14346,207425
8502,14414,205688
8502,14293,207083
8502,14510,202041
8502,14242,207110
8502,14750,208081
8502,14347,207279
8502,14416,204589
8502,14245,204657
8502,14486,209407
8502,14381,206628
8829,14375,207079
8829,14262,201041
8829,14256,209025
8829,14341,206124
8829,14429,208126
8829,14431,204999
8829,14170,204748
8829,14278,205227
8829,14224,203951
8829,14406,204833
8829,14395,202794
8829,14173,203685
8829,14501,203254
8829,14459,202071
8829,14287,207441
8829,14274,203873
8829,14359,206589
8829,14331,202614
8829,14674,210624
8829,14772,204394
9156,14393,208251
9156,14271,203779
9156,14442,201879
9156,14347,204463
9156,14854,202936
9156,14208,205187
9156,14396,204844
9156,14550,201729
9156,14861,203337
9156,14660,205434
9156,14440,204060
9156,14404,202279
9156,14453,204501
9156,14253,204352
9156,14328,200019
9156,21276,207007
9156,14355,205707
9156,14725,204433
9156,14581,204974
9156,14184,203563
9483,14474,204479
9483,14346,203518
9483,14557,207687
9483,14271,207106
9483,14818,208620
9483,14689,204712
9483,14682,203424
9483,14259,207849
9483,14273,207465
9483,14192,204690
9483,14460,205535
9483,14240,224075
9483,15020,210640
9483,14517,209529
9483,14761,207818
9483,14488,207580
9483,14721,208980
9483,14445,208990
9483,14396,205268
9483,14468,208503
9810,14702,208010
9810,14240,206432
9810,14415,205172
9810,14380,205810
9810,14332,206821
9810,14262,209009
9810,14275,206865
9810,21895,206356
9810,14641,207063
9810,14136,206772
9810,14476,208687
9810,14726,209221
9810,14510,205941
9810,14137,205514
9810,14258,204523
9810,14321,204979
9810,14228,205850
9810,14743,203984
9810,14393,207201
9810,14453,208223
10137,14378,204995
10137,14260,204447
