Pallet: "timestamp", Extrinsic: "on_finalize", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
t,extrinsic_time,storage_root_time
1,7744,13491
1,5593,9628
1,5230,9129
1,5282,9044
1,5064,8947
1,6691,9146
1,4916,8758
1,5052,8858
1,4978,8796
1,4994,8772
1,5036,8774
1,4923,8806
1,4957,8858
1,4967,8928
1,4885,8648
1,4991,8791
1,4973,8753
1,4986,8711
1,4902,8733
1,4966,8601
2,5056,9557
2,5069,8960
2,5031,8809
2,4962,8732
2,4960,8699
2,4974,8708
2,4886,8692
2,4921,8699
2,4972,8775
2,4901,8606
2,4927,8572
2,4970,8850
2,5056,8643
2,5020,8861
2,4921,8929
2,5025,12232
2,4977,8878
2,5100,8832
2,4954,8772
2,4940,8768
3,4968,8745
3,5019,8786
3,4904,8833
3,5009,8587
3,4930,8749
3,4939,9057
3,4989,8815
3,4892,8754
3,4951,8721
3,4919,8677
3,4849,8739
3,4910,8596
3,4836,8873
3,4813,8772
3,4973,8696
3,4950,8884
3,4854,8585
3,4942,8726
3,5709,9233
3,4868,8743
4,5023,8848
4,4959,8776
4,5010,8737
4,4862,8692
4,6581,8850
4,6317,8970
4,4866,8864
4,4798,8770
4,4874,8674
4,4923,8753
4,4954,8712
4,4879,8618
4,4860,8674
4,4844,8789
4,4927,8796
4,4846,8606
4,4852,8664
4,4962,8770
4,4889,8605
4,4959,8774
5,5106,8742
5,5094,8783
5,4949,8685
5,4892,8732
5,4845,8781
5,4967,8894
5,4892,8828
5,4838,8671
5,4820,8803
5,4995,8790
5,4845,8761
5,4981,8725
5,4895,8733
5,4915,8677
5,4850,8843
5,4876,8638
5,4906,8667
5,4929,8693
5,4938,8540
5,4983,8585
6,5057,8766
6,4899,8720
6,4874,8764
6,4889,8668
6,4844,8733
6,4891,8774
6,4802,8779
6,4797,8705
6,4871,8601
6,4990,8745
6,4948,8647
6,4967,8642
6,4821,8801
6,4917,8751
6,4872,8586
6,4829,8921
6,4922,8629
6,7778,9004
6,5021,8672
6,5016,8857
7,5040,8731
7,4994,8819
7,4865,8581
7,4848,8681
7,4816,8658
7,4930,8687
7,4947,8489
7,4972,8800
