Pallet: "timestamp", Extrinsic: "set", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
t,extrinsic_time,storage_root_time
1,15376,16533
1,9466,12615
1,8993,11847
1,8892,11688
1,8887,11810
1,9030,11670
1,8700,11671
1,8810,11562
1,8870,11868
1,8715,11625
1,8659,11484
1,8594,11540
1,8646,11512
1,8550,11769
1,8626,11432
1,8464,11419
1,8513,11470
1,8491,11514
1,8641,11477
1,8535,11441
2,8720,11806
2,8768,11579
2,8524,12155
2,8927,11441
2,8513,11778
2,8719,11407
2,8684,11404
2,8795,11470
2,8644,11320
2,8620,11403
2,8657,11305
2,8468,11622
2,8660,11294
2,8620,11370
2,8584,11523
2,8570,11523
2,8917,11611
2,8464,11678
2,8586,11754
2,8782,11436
3,8466,11549
3,8618,11521
3,8443,11403
3,8499,11427
3,8518,11353
3,8611,11419
3,8549,11623
3,8533,11506
3,8367,11311
3,8420,11579
3,8581,11426
3,8419,11278
3,8639,11375
3,8737,11773
3,8860,11626
3,8574,11326
3,8578,11409
3,8629,11249
3,8618,11536
3,8668,11359
4,8741,11403
4,8441,11491
4,8539,11388
4,8617,11510
4,8544,11536
4,8789,11450
4,8613,11366
4,8460,11426
4,8692,11458
4,8514,11341
4,8493,11516
4,8527,11659
4,8525,11387
4,8964,11722
4,8631,11428
4,8499,11367
4,8452,11513
4,8598,11423
4,8432,11367
4,8533,11418
5,8436,11357
5,8523,11232
5,8841,11418
5,8694,11363
5,8465,11393
5,8646,11619
5,8613,11405
5,8541,11190
5,8602,11443
5,8498,11472
5,8581,11231
5,8497,11481
5,8450,11400
5,8579,11451
5,8623,11452
5,8525,11221
5,8435,11285
5,8493,11350
5,8506,11319
5,11071,12275
6,8614,11600
6,8840,11437
6,8591,11266
6,8694,11405
6,8651,11258
6,8686,11353
6,8745,11377
6,8703,11451
6,8723,11253
6,8549,11271
6,8725,11395
6,8505,11521
6,8538,11441
6,8582,11372
6,8602,11388
6,8536,11295
6,8579,11425
6,8500,11281
6,8508,11439
6,8623,11360
7,8499,11371
7,8496,11476
7,8563,11295
7,8465,11395
7,8518,11511
7,8513,11371
7,8541,11287
7,8507,11491
7,8595,11293
7,8603,11289
7,8549,14542
7,8702,11496
7,8633,11396
7,8591,11423
7,8675,11416
7,8588,11279
7,8472,11455
7,8607,11522
7,8708,11301
7,8589,11451
8,8573,11341
8,8493,11313
8,8660,11229
8,8604,11334
8,8551,11348
8,8568,11355
8,8504,11338
8,8464,11298
8,8477,11386
8,8570,11327
8,8693,11341
8,8498,11338
8,8606,11375
8,8597,11348
8,8565,11422
8,8520,11374
8,8480,11203
8,8512,11377
8,8678,11509
8,8586,11377
9,8412,11551
9,8607,11377
9,8537,11210
9,8572,11373
9,8580,11268
9,8518,11468
9,8592,11319
9,8548,11393
9,8617,11279
9,8581,11362
9,8756,11392
9,8586,11333
9,8522,11390
9,8669,11309
9,8517,11427
9,8487,11478
9,8585,11344
9,8656,11268
9,8580,11461
9,8532,11504
10,8548,11374
10,8627,11642
10,8673,11317
10,8510,11361
10,8579,11477
10,8648,11491
10,8553,11318
10,8556,11578
10,8704,11319
10,8491,11349
10,8558,11320
10,8605,11378
10,8552,11424
10,8487,11548
10,8602,11407
10,8567,11395
10,8521,11376
10,8529,11441
10,8490,11388
