Pallet: "treasury", Extrinsic: "close_tip", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
t,extrinsic_time,storage_root_time
1,112026,80683
1,97870,74184
1,98713,74394
1,96908,73434
1,97828,74182
1,95765,72492
1,96855,73352
1,96337,72997
1,96233,72571
1,96122,73186
1,96591,73111
1,96434,72387
1,96700,73396
1,97017,72551
1,96171,73023
1,96287,72727
1,96090,73260
1,95968,72864
1,96132,73143
1,96292,72368
2,102316,71924
2,97738,76073
2,96612,71677
2,97306,72171
2,96499,71500
2,96253,72075
2,96370,70924
2,95989,71756
2,97232,71778
2,96375,71375
2,96464,71898
2,96934,74115
2,96427,72088
2,96272,71188
2,96313,71998
2,97346,72090
2,96317,71161
2,96825,71771
2,96325,71155
2,96758,71777
3,102515,77947
3,97647,79064
3,98768,77287
3,98415,75739
3,98645,75938
3,98568,75653
3,98164,76682
3,97786,75899
3,97417,75595
3,97721,75733
3,97830,75903
3,98517,75863
3,97056,76560
3,98474,76133
3,97693,74867
3,97329,75573
3,97829,75548
3,97919,75497
3,97972,75736
3,98044,75200
4,102645,76555
4,97902,74253
4,97956,74184
4,97379,73369
4,97292,73793
4,97646,74399
4,96866,73173
4,97507,73898
4,97171,73595
4,97840,73458
4,97769,73959
4,97781,73829
4,97170,73332
4,97280,73426
4,97785,74272
4,97710,73172
4,97445,73292
4,100272,73705
4,96923,73483
4,97121,74047
5,101423,77377
5,99743,77636
5,99420,75824
5,99461,75754
5,99520,75953
5,117554,89930
5,98464,75859
5,98613,75854
5,99705,76045
5,98806,76146
5,98959,76078
5,99505,76160
5,99156,76214
5,102548,75893
5,99971,75907
5,99758,76573
5,99460,76277
5,99523,76309
5,99189,76388
5,99375,76699
6,102664,75356
6,99723,74928
6,98531,73067
6,98625,73802
6,98748,73862
6,97868,73263
6,98230,73343
6,98775,73552
6,98390,73333
6,98597,74314
6,98321,74353
6,98128,73203
6,98255,73728
6,98128,73874
6,98643,73796
6,98527,73630
6,101553,73859
6,97964,73792
6,98141,73581
6,98179,73881
7,102691,75021
7,98961,74025
7,98811,74493
7,98708,73904
7,99794,74149
7,99181,74116
7,99392,73975
7,98909,73673
7,99064,73745
7,98931,74302
7,98553,74175
7,99356,74554
7,99442,74278
7,98315,73409
7,98897,74212
7,98289,73646
7,98853,74104
7,98645,73786
7,99306,74264
7,98840,74006
8,103241,73855
8,99587,74199
8,99353,73889
8,98721,73635
8,103839,74511
8,99468,73633
8,99344,74130
8,98551,73461
8,99422,73615
8,99267,74019
8,98794,73699
8,99525,74196
8,99614,74422
8,98675,73660
8,99306,73748
8,99262,74317
8,98846,74257
8,98701,73869
8,99131,73895
8,98276,73869
9,100481,75278
9,99394,74660
9,98983,74190
9,99172,74406
9,99707,74202
9,99237,74184
9,99598,74547
9,99208,74523
9,98620,74362
9,99497,74454
9,99297,74331
9,98372,74159
9,99278,74344
9,100107,74098
9,99415,74992
9,99122,73663
9,101975,75033
9,99229,74605
9,99479,74469
9,99762,74593
10,101401,74146
10,98909,73604
10,102639,73355
10,99327,73221
10,98623,73424
10,99226,73214
10,98906,73458
10,98199,73484
10,100463,74146
10,98673,73946
10,98589,73733
10,99013,73145
10,99561,73410
10,99563,73231
10,99088,73311
10,98470,73189
10,98093,73726
10,98337,73492
10,98639,73340
10,98392,73838
11,100587,71902
11,99819,72103
11,98994,72157
11,99296,71262
11,99349,71485
11,100036,71998
11,99387,72017
11,99301,72448
11,99231,72876
11,99589,72727
11,99515,71943
11,100112,72126
11,99885,72277
11,98634,71537
11,100279,71712
11,99056,71692
11,100013,71953
11,99460,72181
11,98985,71385
11,99043,71512
12,102575,74187
12,100327,73878
12,100376,73789
12,100268,75101
12,101597,75207
12,100956,74592
12,100902,74123
12,100072,73827
12,100968,73813
12,99940,73387
12,99742,73707
12,99544,73433
12,100077,73565
12,100451,75006
12,100363,73914
12,100392,74106
12,99770,74166
12,100296,73950
12,100195,73844
12,100131,73726
13,103227,73868
13,100867,74043
13,102622,74978
13,101651,74056
13,100512,73744
13,101489,74207
13,100594,74226
13,101312,73779
13,102246,75011
13,102054,74087
13,101157,74320
13,101808,73802
13,101250,73585
13,100507,73803
13,101771,74949
13,102200,73880
13,104341,74124
13,101876,73885
13,100302,73914
13,100469,73455
14,103021,78695
14,103236,77763
14,100616,77143
14,100931,76305
14,100412,76224
14,103418,78600
14,101373,76714
14,101087,77577
14,99865,76550
14,101147,78274
14,102052,77339
14,101268,77542
14,100587,76588
14,100739,76203
14,103814,78080
14,101355,76818
14,100805,76874
14,100677,76897
14,101700,78533
14,102669,77350
15,104707,76328
15,101727,76246
15,102774,78279
15,102758,79213
15,102058,76641
15,101491,75951
15,102824,77923
15,102702,76910
15,101871,75837
15,101984,76673
15,102355,76703
15,101935,76552
15,101583,76488
15,103129,77694
15,102260,76721
15,101924,76115
15,102618,76448
15,103054,77676
15,102142,76383
15,101172,76104
16,107819,81250
16,104338,79011
16,103320,79006
16,104067,81303
16,103983,79411
16,103743,78773
16,104429,81505
16,104479,79315
16,103253,78984
16,104779,81089
16,103517,79744
16,103226,79219
16,104299,81639
16,103878,79506
16,102913,78936
16,104121,80765
16,103823,79295
16,103352,79534
16,103563,80831
16,103209,78905
17,103300,76483
17,103114,77607
17,101281,75959
