Pallet: "treasury", Extrinsic: "propose_spend", Lowest values: [], Highest values: [], Steps: [20], Repeat: 20
u,extrinsic_time,storage_root_time
0,132445,100868
0,116546,78458
0,112159,78114
0,114294,77389
0,158602,78484
0,111908,76291
0,111797,76385
0,149124,79987
0,195637,81535
0,134594,79543
0,116729,77555
0,111779,75780
0,116958,78101
0,111669,350041
0,116890,77643
0,113721,75779
0,113085,191512
0,115386,77416
0,123187,79196
0,112469,78041
50,107052,70561
50,106932,71646
50,109247,70680
50,148422,73211
50,110270,71004
50,108020,141129
50,117237,75137
50,109339,70550
50,103533,70250
50,232553,77771
50,232823,72980
50,104609,129377
50,106506,69521
50,240759,76910
50,110664,72747
50,169594,106987
50,289303,96675
50,111078,73446
50,136754,85767
50,111378,72020
100,106891,77420
100,141438,127887
100,202478,78454
100,113445,75442
100,130621,77387
100,108904,73061
100,107955,73932
100,115933,77427
100,111200,76042
100,107059,74076
100,296234,77287
100,150446,78146
100,128096,77912
100,113610,76901
100,107443,73466
100,106972,73309
100,107557,73799
100,107963,167653
100,111388,78914
100,114380,77431
150,390041,146285
150,114253,71934
150,108256,71370
150,109540,71042
150,107378,69948
150,143171,75509
150,109428,70730
150,108514,70385
150,104589,69258
150,104123,68236
150,102931,70425
150,109248,70887
150,109988,146476
150,109379,82988
150,114785,72120
150,107991,145544
150,110409,69920
150,108287,70071
150,108440,69155
150,103399,69255
200,111386,75117
200,108712,74251
200,116973,78477
200,179780,98029
200,175279,107229
200,136533,100555
200,224201,146612
200,208501,351454
200,250269,154051
200,285250,213855
200,279375,199862
200,174659,212345
200,175849,116880
200,180247,115829
200,210900,99373
200,143017,105359
200,127926,187613
200,118068,77912
200,112286,76686
200,108469,76593
250,109813,75642
250,172138,76874
250,107172,75138
250,131796,106564
250,108898,75260
250,108059,73400
250,129007,91986
250,123592,100408
250,179600,81668
250,125272,91652
250,136790,94215
250,117930,76235
250,121807,128539
250,125844,76964
250,131738,94553
250,131617,96259
250,159007,77018
250,131735,99719
250,135033,78118
250,130299,93963
300,161869,80110
300,124199,155219
300,136465,106734
300,130592,79225
300,130152,300479
300,122803,95061
300,112396,104962
300,110245,75787
300,108164,75797
300,113249,76045
300,158416,80198
300,171769,82693
300,113573,77032
300,127997,80707
300,115120,77680
300,108293,73772
300,188806,185698
300,176350,80327
300,107669,76991
300,106530,74776
350,180237,208138
350,113363,78458
350,108033,75182
350,106536,75272
350,107868,77224
350,106484,75048
350,139157,101963
350,108441,72886
350,109661,75802
350,105508,75682
350,109596,118756
350,591390,82407
350,108913,103640
350,110316,76378
350,108204,98171
350,105633,86976
350,111640,207902
350,122507,76639
350,106622,73941
350,124017,137930
400,116140,78548
400,109062,76858
400,113159,75806
400,112124,74424
400,111397,73865
400,106093,75639
400,109709,73673
400,179323,77119
400,106262,74641
400,106824,74000
400,114723,77816
400,111115,76254
400,155901,82028
400,106240,73832
400,109265,75617
400,107243,191756
400,110384,75843
400,105416,74118
400,108879,75631
400,110848,76051
450,118290,77754
450,121670,112268
450,110112,76035
450,106757,75015
450,108605,76395
450,106580,75182
450,114227,77121
450,108197,74545
450,108297,75981
450,105588,74409
450,107342,74590
450,114539,76930
450,107257,74023
450,105701,104249
450,112706,76755
450,103288,88893
450,107270,89233
450,107910,75010
450,166029,108549
450,110526,105830
500,110414,79110
500,109605,77613
500,113794,146758
500,111581,92207
500,109222,76081
500,105703,147262
500,107783,76349
500,135587,100539
500,251624,90208
500,135635,641087
500,116257,80633
500,108753,105077
500,286365,80544
500,126297,103891
500,110920,89893
500,109712,75286
500,105611,75381
500,121725,142603
500,150110,82492
500,200225,103800
550,114793,89001
550,108144,71141
550,113122,120005
550,109842,142537
550,106297,69679
550,105630,111619
550,109480,145840
550,156631,96917
550,112162,71931
550,136569,89570
550,138710,73432
550,106803,68625
550,105228,68081
550,104035,68743
550,110799,70576
550,104371,69415
550,103755,74607
550,107622,69026
550,105591,67365
550,111410,70396
600,110164,78052
600,119536,79676
600,194201,79441
600,107260,73550
600,106168,74119
600,456819,79515
600,128043,91843
600,113240,77896
600,152181,81175
600,113673,75501
600,110253,75703
600,110638,173971
600,107679,76614
600,106547,74990
600,117304,206286
600,112345,114948
600,110266,90298
600,149306,81624
600,155291,79543
600,183983,80363
650,111704,76891
650,253721,297028
650,126962,81936
650,225964,79668
650,414666,81853
650,109063,76302
650,111756,75688
650,432684,77628
650,111005,77648
650,106598,75668
650,108915,76745
650,234555,77938
650,108363,74067
650,108211,75483
650,114009,76659
650,211921,81217
650,112100,77912
650,128962,79408
650,111407,78999
650,113913,75915
700,108504,70857
700,110478,71340
700,152742,77434
700,112869,110178
700,115674,74942
700,189757,89483
700,113745,74220
700,112605,90102
700,112584,71813
700,110253,69964
700,105381,69668
700,421268,75336
700,107532,70572
700,105453,70093
700,241414,74818
700,111031,72037
700,114526,73599
700,110383,71040
700,119789,73031
700,243783,193013
750,180177,251601
750,113448,76946
750,108480,77210
750,254291,81115
750,116203,77224
750,112031,77722
750,115300,117546
750,111394,76014
750,110404,207299
750,124037,166548
750,111120,87869
750,110107,147940
750,108789,74634
750,105572,74256
750,180600,112583
750,107748,74846
750,110885,75437
750,143132,94088
750,112513,78219
750,105530,72951
800,108523,70995
800,106038,71315
800,106391,70621
800,107557,102426
800,152945,248786
800,209718,162893
800,242708,159923
800,243047,161578
800,212276,134444
800,215999,143958
800,281184,141351
800,139354,99069
800,165568,125821
800,170383,95895
800,404449,77348
800,114417,75740
800,107659,84374
800,125689,90107
800,122397,87796
800,199858,95880
850,129205,83302
850,152387,74675
850,133097,81928
850,105423,70834
850,116275,71025
850,111739,73906
850,110890,109674
850,118440,109977
850,111333,73371
850,134640,71646
850,102901,82896
850,126299,86928
850,131410,88688
850,128005,89519
850,121597,82789
850,122887,87777
850,123753,86615
850,130002,91572
850,124583,93021
850,117328,83648
900,123519,86269
900,132803,91307
900,130581,95087
900,111389,92072
900,129518,71061
900,282126,86026
900,296681,96550
900,134917,88858
900,131116,95638
900,128454,97027
900,126816,95062
900,108426,71035
900,111194,71477
900,104788,134747
900,105467,70899
900,109171,71304
900,110295,73150
900,105135,69984
900,106301,69949
900,103751,68435
950,109363,75621
950,237935,79744
950,130979,147888
950,109078,75560
950,111102,74447
950,105125,108792
950,130588,78385
950,108355,74536
950,106051,72858
950,107924,73439
950,106435,270756
950,110003,75084
950,110851,75971
950,110419,76307
950,114177,78835
950,117254,79210
950,131784,80683
950,114059,76746
950,110733,76377
950,120071,79011
1000,120038,74247
1000,106605,73802
1000,111719,75586
1000,160904,82242
1000,108115,75357
1000,110502,74790
1000,253510,81719
1000,113918,75683
1000,110239,75658
1000,113977,76945
1000,113150,76544
1000,107414,73519
1000,106307,73177
1000,105569,103908
1000,110955,75352
1000,106471,73855
1000,107152,73012
1000,112177,75253
1000,107826,73553
1000,106776,102544

Median Slopes Analysis
========

Model:
Time ~=    113.1
    + u        0
              µs

Min Squares Analysis
========

Data points distribution:
    u   mean µs  sigma µs       %
    0     115.9     2.891    2.4%
   50     117.2     13.14   11.2%
  100     113.2     5.581    4.9%
  150     108.9     0.648    0.5%
  200     161.9     27.27   16.8%
  250     128.2     3.617    2.8%
  300     122.6     8.208    6.6%
  350     109.6     1.675    1.5%
  400       110     1.376    1.2%
  450     108.8      1.68    1.5%
  500     116.5     8.251    7.0%
  550     108.8     2.139    1.9%
  600     118.4     11.52    9.7%
  650     125.3     29.52   23.5%
  700     113.3     2.687    2.3%
  750     112.3     1.956    1.7%
  800     161.2     34.72   21.5%
  850     122.8     4.212    3.4%
  900     118.9     9.047    7.6%
  950     111.7     2.478    2.2%
 1000     109.9     2.045    1.8%

Quality and confidence:
param     error
u         0.004

Model:
Time ~=    120.1
    + u        0
              µs

