Pallet: "treasury", Extrinsic: "reject_proposal", Lowest values: [], Highest values: [], Steps: [20], Repeat: 20
u,extrinsic_time,storage_root_time
0,164357,110452
0,120790,98246
0,118488,96376
0,118732,98066
0,120108,94143
0,119369,94764
0,119561,134757
0,119479,97000
0,118917,95988
0,123367,99272
0,124119,99174
0,125398,98509
0,120554,96006
0,117586,95042
0,121738,98304
0,159849,99194
0,122091,96751
0,137511,98702
0,125695,108054
0,123146,96546
50,122717,94386
50,117856,92727
50,120090,104276
50,122509,93280
50,156763,94618
50,125461,91504
50,114220,88777
50,115276,88745
50,113626,88674
50,117761,92163
50,117685,89588
50,116690,89401
50,124548,94683
50,136725,128514
50,119284,92589
50,121806,93049
50,118180,92607
50,115455,87677
50,113889,87545
50,116031,90027
100,117065,92909
100,117872,93497
100,116130,93865
100,124451,98733
100,117089,92640
100,124757,107747
100,119521,96106
100,123337,96041
100,116550,94504
100,124526,96744
100,128877,97245
100,122884,96875
100,124376,99185
100,124807,96555
100,135762,95365
100,117720,93830
100,122453,116047
100,124974,96478
100,114234,93014
100,122394,98520
150,120669,138794
150,123063,91344
150,119200,91165
150,146988,93861
150,120562,91785
150,131072,91702
150,119681,91760
150,121933,92023
150,119476,90781
150,112795,102590
150,114157,89528
150,114967,88160
150,115238,88048
150,117945,91864
150,116626,88243
150,121859,91271
150,120113,90123
150,121088,91333
150,118757,92065
150,154441,93286
200,123552,97577
200,124811,97692
200,121536,95497
200,124352,94839
200,119349,94906
200,130537,93653
200,115561,94570
200,124159,98259
200,125226,98180
200,126107,97442
200,115707,94818
200,118429,94444
200,116668,92039
200,116984,95538
200,116211,94053
200,118714,93099
200,117080,92843
200,198099,110417
200,127797,100593
200,124459,102154
250,121474,92681
250,118687,93404
250,114971,94626
250,117398,95354
250,115510,93162
250,117407,94004
250,154848,96835
250,117060,95416
250,118725,93622
250,116469,95866
250,120565,93712
250,120238,96367
250,116798,94130
250,118259,110201
250,116946,94134
250,164100,97800
250,117126,93008
250,116745,93027
250,112926,104897
250,118611,94623
300,118398,94527
300,118383,93383
300,114557,94576
300,119020,95119
300,146331,97858
300,123887,95597
300,116643,93344
300,118213,92357
300,114800,140069
300,154491,100080
300,123618,97748
300,122891,96209
300,120883,94131
300,121413,95265
300,117116,118210
300,120028,95795
300,117726,94598
300,121161,97866
300,117215,93702
300,118317,97253
350,136418,99128
350,123903,97493
350,121787,99480
350,147418,101861
350,169395,92964
350,111591,108253
350,114811,92562
350,118496,94699
350,115581,92371
350,117582,93186
350,113404,121129
350,118033,109447
350,117800,94406
350,174705,102949
350,119172,94837
350,115631,93026
350,116856,92677
350,118769,93018
350,120473,93936
350,115745,126731
400,116926,117044
400,115250,94427
400,118584,94542
400,114293,125071
400,117898,94246
400,114864,93359
400,123812,96247
400,120982,105233
400,174263,101745
400,122256,96731
400,117729,94575
400,115504,94518
400,126380,96761
400,120985,96052
400,140309,94396
400,136824,112108
400,120491,93962
400,119292,96590
400,119477,93386
400,116219,93443
450,120288,108606
450,119495,95679
450,118825,94159
450,146985,95057
450,116124,94091
450,115315,113007
450,121571,97926
450,200541,101432
450,126114,98045
450,149055,101238
450,140080,100447
450,122966,129814
450,155674,98074
450,122323,97683
450,125141,101116
450,124514,97594
450,121418,97582
450,123160,94677
450,117123,94322
450,119011,125841
500,116144,93575
500,117155,93997
500,116912,95699
500,121497,98490
500,121701,95037
500,114910,93578
500,126082,96124
500,117183,94120
500,118618,95842
500,163782,94069
500,115960,93262
500,122965,96549
500,125400,98144
500,121721,96420
500,130312,92740
500,116321,92716
500,115673,93249
500,124697,95765
500,121723,127081
500,123984,125848
550,120013,90550
550,119117,89264
550,114880,88309
550,116889,87254
550,136824,93882
550,121355,95707
550,119016,89524
550,119920,89047
550,112035,85487
550,115893,88363
550,117021,89513
550,115953,88944
550,114867,87872
550,116710,88120
550,115122,87180
550,115794,88101
550,133362,86981
550,122758,90993
550,114422,86091
550,118275,91170
600,122236,109064
600,124640,98051
600,122282,96058
600,122814,95592
600,119884,96952
600,115641,96243
600,121623,96179
600,120766,111697
600,122067,96147
600,118323,93097
600,116032,93724
600,116681,93518
600,116475,95578
600,115842,94022
600,116363,93778
600,115909,92879
600,121180,96284
600,130641,97798
600,122710,95486
600,112320,108229
650,149569,97423
650,117275,94657
650,117188,94679
650,115120,93365
650,147891,94664
650,114470,93935
650,120898,94094
650,115629,93037
650,116483,94610
650,114969,93660
650,118931,94227
650,116508,92291
650,118328,94599
650,120672,94971
650,117455,92415
650,145664,95621
650,117859,92629
650,115192,92754
650,117515,93502
650,128954,109103
700,115170,98077
700,117009,88671
700,115495,88430
700,119151,91096
700,115872,118649
700,118751,90534
700,122090,91381
700,120377,90712
700,120915,91182
700,120342,90899
700,120461,92043
700,113027,88671
700,117369,89807
700,114443,88495
700,116353,88889
700,113003,88251
700,117962,88877
700,112972,88491
700,117059,89013
700,112540,88798
750,116109,94589
750,115695,94458
750,117107,105091
750,162918,100852
750,124499,98755
750,121181,96818
750,133278,95893
750,118047,93632
750,121399,95982
750,121356,97342
750,124370,97308
750,119466,96855
750,124232,98282
750,124342,97216
750,121449,97724
750,119266,95780
750,121092,96355
750,118319,95778
750,118572,95741
750,118905,94214
800,121460,91969
800,121080,93595
800,115618,89200
800,114791,88987
800,114542,89937
800,115348,88285
800,145895,92704
800,117843,88278
800,119457,121122
800,114827,88756
800,151699,91283
800,121889,93069
800,119168,91133
800,117795,91270
800,114951,88472
800,118628,106954
800,115261,89448
800,116649,89234
800,122055,91270
800,116769,125775
850,119903,91974
850,122000,92907
850,142803,93820
