Pallet: "treasury", Extrinsic: "report_awesome", Lowest values: [], Highest values: [], Steps: [20], Repeat: 20
r,extrinsic_time,storage_root_time
0,144723,102741
0,130383,79455
0,138890,83697
0,136967,79609
0,149252,80730
0,135144,79822
0,135569,78301
0,136830,78548
0,135507,78708
0,134378,78488
0,135616,78514
0,135552,78649
0,154327,81704
0,134857,81323
0,134096,95799
0,135686,79460
0,144184,79528
0,133600,78132
0,132214,79621
0,134833,79354
819,141184,83327
819,146504,81239
819,156197,85652
819,140059,85152
819,139947,81986
819,140250,82677
819,139548,82793
819,138451,83789
819,138447,82750
819,139496,80683
819,146345,82379
819,139748,119345
819,174438,85002
819,140749,83867
819,139081,94207
819,151512,83355
819,138620,81849
819,138134,81697
819,153125,97042
819,139840,82663
1638,175190,83489
1638,138138,84837
1638,160523,88544
1638,154452,163792
1638,160563,89108
1638,144654,88812
1638,142758,86944
1638,143631,86394
1638,136179,82659
1638,137851,83030
1638,139831,83780
1638,140112,98852
1638,144532,86669
1638,135661,81624
1638,137385,83621
1638,135594,84616
1638,164879,90717
1638,143460,84840
1638,142595,85209
1638,142594,86193
2457,163179,89551
2457,170120,91414
2457,148483,89560
2457,162861,92659
2457,149784,89357
2457,148383,88005
2457,149278,89075
2457,172867,127469
2457,145077,89199
2457,148162,103466
2457,139903,98239
2457,214292,82078
2457,155724,88869
2457,145758,89589
2457,149315,102450
2457,176940,95609
2457,147481,87318
2457,193482,133838
2457,169729,94954
2457,147463,107837
3276,144877,119908
3276,151503,89666
3276,150673,90885
3276,162575,89856
3276,145518,92999
3276,177645,88050
3276,176506,119256
3276,149405,92061
3276,183011,119672
3276,150565,91349
3276,152175,90505
3276,151293,89641
3276,150766,89960
3276,150397,89626
3276,145047,103550
3276,157372,92317
3276,146186,88509
3276,147824,90965
3276,147983,89147
3276,152883,117816
4095,165592,94670
4095,152713,104845
4095,151156,89830
4095,216648,94671
4095,152152,90039
4095,209126,90860
4095,150748,90976
4095,184963,122740
4095,163755,94907
4095,155711,93192
4095,153334,92840
4095,155291,91983
4095,153668,92493
4095,154715,97314
4095,175648,131090
4095,157367,92667
4095,154178,91222
4095,154856,92910
4095,152342,92358
4095,155335,91629
4914,165152,94948
4914,157866,93227
4914,151734,92894
4914,151046,111254
4914,159868,94667
4914,158151,94631
4914,159474,104260
4914,158742,109131
4914,156193,94501
4914,155264,106414
4914,156471,94979
4914,156484,95200
4914,167121,103589
4914,160237,96899
4914,156051,109547
4914,159603,96149
4914,223142,95247
4914,205458,90495
4914,215326,111480
4914,154384,93659
5733,150614,139347
5733,159226,96569
5733,157294,107608
5733,166230,97020
5733,160010,97560
5733,167656,96776
5733,159912,93736
5733,187700,99144
5733,154805,95132
5733,153835,93319
5733,176459,98781
5733,160336,96919
5733,162128,113786
5733,162985,95445
5733,164122,98217
5733,159562,98266
5733,159425,93747
5733,157999,96190
5733,159982,96591
5733,180177,99468
6552,164051,98256
6552,158718,111110
6552,160094,128993
6552,160121,95896
6552,160795,126062
6552,163147,96803
6552,212237,110453
6552,162398,98783
6552,181547,97966
6552,165804,97504
6552,188532,110347
6552,176789,106676
6552,172090,99526
6552,166539,97348
6552,164723,100126
6552,165494,113132
6552,156988,97367
6552,164839,113255
6552,172752,144343
6552,163917,97081
7371,164136,98926
7371,166186,99774
7371,165129,99317
7371,195551,108071
7371,160617,97087
7371,159064,118300
7371,159006,96359
7371,159314,97057
7371,169149,99717
7371,165729,100207
7371,166238,100905
7371,166157,101268
7371,160302,98464
7371,157992,98118
7371,159364,123003
7371,165614,100569
7371,171300,116166
7371,164053,102937
7371,197289,108060
7371,167692,101145
8190,180854,103582
8190,168964,102736
8190,169832,101146
8190,190428,103710
8190,168707,103307
8190,179666,102563
8190,169966,101681
8190,167713,102842
8190,199300,101611
8190,226826,105485
8190,200621,101943
8190,165610,102686
8190,172519,102989
8190,169794,102756
8190,173038,99761
8190,170519,102636
8190,166894,101971
8190,169821,107172
8190,197428,101120
8190,171811,103245
9009,205916,201586
9009,174260,120195
9009,174378,104130
9009,173667,106428
9009,167201,101118
9009,167494,100756
9009,167033,100754
9009,168978,102132
9009,165880,178959
9009,182656,135832
9009,161338,124401
9009,223237,113052
9009,162724,115896
9009,168629,159066
9009,165256,100636
9009,166042,100983
9009,168883,103470
9009,174237,104879
9009,177325,116104
9009,192303,99896
9828,171011,104290
9828,170408,119272
9828,191270,133054
9828,168895,103134
9828,168735,126772
9828,191633,118908
9828,169500,103798
9828,185719,106498
9828,178017,138286
9828,215294,104693
9828,260548,106680
9828,177467,106671
9828,173130,136663
9828,168958,103590
9828,170927,135126
9828,180773,105575
9828,175912,107805
9828,177912,107661
9828,175440,107963
9828,174557,106391
10647,183224,128969
10647,175765,124640
10647,172721,108922
10647,173316,125279
10647,173963,107366
10647,172477,105760
10647,188099,107487
10647,206528,105174
10647,174595,105869
10647,171640,107057
10647,195804,110019
10647,210514,108818
10647,181094,122181
10647,226006,121053
10647,178388,105996
10647,208621,105843
10647,173630,105025
10647,171399,105615
10647,220193,108624
10647,177317,109530
11466,190122,113414
11466,205619,109311
11466,191202,111205
11466,183170,108952
11466,188924,108204
11466,181562,110416
11466,206717,140877
11466,184839,110653
11466,186998,108475
11466,175804,108697
11466,168625,101931
11466,178204,108678
11466,231288,110598
11466,183148,118576
11466,182100,119555
11466,214241,121320
11466,189422,110462
11466,180507,109375
11466,179584,106646
11466,177436,116787
12285,260947,133593
12285,206639,112009
12285,180689,130686
12285,248619,115016
12285,198113,115346
12285,311743,127253
12285,187116,112478
12285,183765,111890
12285,181101,111128
12285,178291,109909
12285,208032,121321
12285,190522,119082
12285,193131,111259
12285,180327,109538
12285,179676,111531
12285,188642,109419
12285,181351,109288
12285,180225,108691
12285,180050,127656
12285,179912,141166
13104,181913,122572
13104,256111,118818
13104,212804,111586
13104,188425,111388
13104,181174,112874
13104,182101,110941
13104,208456,134721
13104,184823,112557
13104,192520,113436
13104,250336,131563
13104,188976,114483
13104,220178,112871
13104,189097,114210
13104,189506,113189
13104,227002,119125
13104,182539,111847
13104,196842,114283
13104,182992,111547
13104,191465,115266
13104,181376,111294
13923,188345,113053
13923,184429,112594
13923,208066,138973
13923,195190,116452
13923,199030,115302
13923,188085,113613
13923,244210,113637
13923,185522,113138
13923,191899,114934
13923,192094,116443
13923,212627,143464
13923,194745,118742
13923,207049,116626
13923,189695,114161
13923,188504,113536
13923,184439,136677
13923,186059,116081
13923,191710,115678
13923,195109,134076
13923,229832,112262
14742,206666,118501
14742,196892,118224
14742,191752,116521
14742,241747,134683
14742,195746,119386
14742,195362,116623
14742,227691,138666
14742,193628,116371
14742,192086,116074
14742,190730,116197
14742,197850,114557
14742,188795,115324
14742,196740,117640
14742,196339,116745
14742,220346,119643
14742,189237,116227
14742,191376,117094
14742,189740,117075
14742,200515,115891
14742,188985,116285
15561,200761,118881
15561,190608,117981
15561,210206,124277
15561,192697,119611
15561,210093,121946
15561,198481,119983
15561,199994,121520
15561,192697,118099
15561,197917,119553
15561,201897,120703
15561,202432,122858
15561,203721,120960
15561,200148,121493
15561,198217,120964
15561,198291,119032
15561,197621,122990
15561,198542,118816
15561,200203,118760
15561,202211,117961
15561,220784,158008
16380,196275,121081
16380,194912,119571
16380,196580,123843
16380,203787,124700
16380,203926,129475
16380,200573,136267
16380,195184,119069
16380,222149,199445
16380,206899,125201
16380,195569,119797
16380,197064,121345
16380,205025,125010
16380,207711,133516
16380,223919,124390
16380,235616,124163
16380,205467,123706
16380,202810,123805
16380,199341,121083
16380,193453,120396
16380,195136,120935

Median Slopes Analysis
========

Model:
Time ~=    137.9
    + r    0.003
              µs

Min Squares Analysis
========

Data points distribution:
    r   mean µs  sigma µs       %
    0     135.6     0.686    0.5%
  819     140.7     1.941    1.3%
 1638     142.2     2.053    1.4%
 2457     154.4     7.542    4.8%
 3276     150.7     1.306    0.8%
 4095     155.8     2.855    1.8%
 4914     158.3     1.441    0.9%
 5733     160.7     1.605    0.9%
 6552     165.3     2.549    1.5%
 7371     164.4     2.114    1.2%
 8190     172.7     3.912    2.2%
 9009     170.4     3.058    1.7%
 9828     175.5     3.026    1.7%
10647     180.1     6.786    3.7%
11466       185     3.351    1.8%
12285     186.4     5.787    3.1%
13104     191.3     6.776    3.5%
13923     192.6     3.221    1.6%
14742     194.7     2.253    1.1%
15561     199.8     1.396    0.6%
16380       201     3.405    1.6%

Quality and confidence:
param     error
