Pallet: "treasury", Extrinsic: "retract_tip", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
r,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
0,51489,3228,1,7,2,3
0,44897,2359,1,7,2,3
0,44044,2366,1,7,2,3
0,43981,2164,1,7,2,3
0,43200,2211,1,7,2,3
0,43391,2333,1,7,2,3
0,43112,2249,1,7,2,3
0,43381,2295,1,7,2,3
0,43098,2264,1,7,2,3
0,43074,2233,1,7,2,3
0,43164,2209,1,7,2,3
0,42973,2239,1,7,2,3
0,43309,2111,1,7,2,3
0,43423,2109,1,7,2,3
0,43254,2288,1,7,2,3
0,43607,2280,1,7,2,3
0,43301,2171,1,7,2,3
0,44081,2291,1,7,2,3
0,43731,2211,1,7,2,3
0,43225,2281,1,7,2,3
327,43186,2236,1,7,2,3
327,43760,2225,1,7,2,3
327,43082,2147,1,7,2,3
327,43221,2195,1,7,2,3
327,43143,2238,1,7,2,3
327,43031,2212,1,7,2,3
327,43398,2177,1,7,2,3
327,43705,2220,1,7,2,3
327,43235,2229,1,7,2,3
327,43791,2163,1,7,2,3
327,43324,2226,1,7,2,3
327,43432,2154,1,7,2,3
327,43439,2150,1,7,2,3
327,43277,2250,1,7,2,3
327,43492,2171,1,7,2,3
327,43128,2115,1,7,2,3
327,43456,2124,1,7,2,3
327,43591,2252,1,7,2,3
327,43274,2225,1,7,2,3
327,43308,2168,1,7,2,3
654,43308,2108,1,7,2,3
654,42677,2152,1,7,2,3
654,43267,2075,1,7,2,3
654,43259,2127,1,7,2,3
654,43199,2186,1,7,2,3
654,43049,2126,1,7,2,3
654,42911,2083,1,7,2,3
654,42881,2148,1,7,2,3
654,43337,2161,1,7,2,3
654,46549,2174,1,7,2,3
654,43515,2289,1,7,2,3
654,43459,2141,1,7,2,3
654,43238,2127,1,7,2,3
654,43343,2182,1,7,2,3
654,43288,2159,1,7,2,3
654,43389,2137,1,7,2,3
654,43371,2128,1,7,2,3
654,43323,2189,1,7,2,3
654,43049,2150,1,7,2,3
