Pallet: "treasury", Extrinsic: "tip", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
t,extrinsic_time,storage_root_time
1,28327,12417
1,26414,10306
1,24316,9639
1,23551,9479
1,23405,9499
1,23344,9523
1,23836,9521
1,23777,9472
1,23701,9529
1,23287,9290
1,23823,9522
1,23572,9374
1,24269,9373
1,23299,9435
1,23190,9308
1,23304,9325
1,23141,9261
1,23445,9207
1,23365,9232
1,23020,9361
2,25661,9932
2,24818,9722
2,24561,9393
2,24762,9520
2,24938,9572
2,24899,9821
2,24866,9676
2,24713,9470
2,25093,9442
2,24790,9502
2,24598,9450
2,24496,9266
2,24873,9455
2,24646,9653
2,24633,9413
2,24948,9677
2,24967,9189
2,24788,9607
2,24740,9670
2,24768,9412
3,26026,9835
3,26040,9860
3,25590,9832
3,26404,9935
3,25487,10005
3,25504,9889
3,25628,9892
3,25241,9791
3,25547,9660
3,25261,9705
3,25577,9815
3,25450,9677
3,25633,9633
3,25501,9759
3,25475,9734
3,25374,12486
3,25252,9843
3,25297,9730
3,25412,9646
3,25813,9838
4,27733,10768
4,27494,10602
4,27111,10413
4,27150,10340
4,27190,10477
4,27109,10468
4,27345,10404
4,27237,10389
4,27150,10337
4,27222,10399
4,27248,10494
4,26917,10276
4,27086,10396
4,27296,10716
4,27364,10376
4,27169,10321
4,27227,10382
4,27212,10395
4,27489,10508
4,27053,10494
5,27966,10580
5,27626,10555
5,27585,10328
5,27495,10439
5,27849,10522
5,27864,10466
5,27391,10433
5,27402,10342
5,27558,10394
5,27648,10308
5,27655,10477
5,27626,10506
5,27791,10499
5,27630,10570
5,27614,10228
5,27543,10641
5,27398,10207
5,27281,10407
5,27678,10456
5,27567,10299
6,28314,9909
6,28100,9852
6,30883,10031
6,28139,9652
6,28288,9653
6,27956,9843
6,28111,9699
6,27933,9878
6,28264,9670
6,27861,9853
6,27709,9630
6,28117,9564
6,27906,9746
6,28136,9623
6,28018,9615
6,28128,9645
6,28350,10014
6,27965,9617
6,28057,9792
6,28000,9746
7,28875,9863
7,28665,9684
7,28873,9885
7,28167,9595
7,28432,9571
7,28371,9555
7,28379,9650
7,28527,9739
7,28470,9684
7,28965,9797
7,28273,9671
7,28116,9536
7,28186,9675
7,28336,9675
7,27970,9569
7,28380,9630
7,28551,9621
7,28267,9538
7,28314,9614
7,28368,9618
8,29574,10005
8,28958,9867
8,29371,9704
8,29230,9600
8,29240,9697
8,29111,9536
8,29330,9816
8,29070,9608
8,29059,9706
8,29523,9865
8,29045,9769
8,29324,10056
8,29381,9756
8,29140,9813
8,29043,9709
8,29030,9519
8,29270,9705
8,29337,9790
8,29036,9773
8,29268,9892
9,30153,10015
9,29968,9923
9,29968,10043
9,29900,9905
9,29662,9733
9,29633,9880
9,36209,11554
9,30490,10089
9,29666,9814
9,29918,9648
9,29765,9672
9,29839,9827
9,29615,9671
9,30258,9900
9,29511,9764
9,29837,9760
9,29421,9738
9,29785,9865
9,29478,9630
9,30094,9831
10,31184,9909
10,31199,9671
10,31152,9910
10,31111,9822
10,30847,10186
10,30972,9523
10,31115,9446
10,31093,9398
10,30740,9621
10,31159,10048
10,30953,9834
10,30944,9476
10,30912,9766
10,30537,9620
10,30884,9727
10,30686,9635
10,30908,9603
10,30951,9790
10,30989,9560
10,30938,9643
11,32717,10384
11,31935,10104
11,31846,10165
11,31851,10212
11,31769,10188
11,31920,10281
11,31791,10162
11,31830,9810
11,32018,10256
11,31714,10006
11,31799,10042
11,31996,10160
11,31582,10082
11,31795,10030
11,32062,10157
11,31833,10043
11,31724,10229
11,32085,10085
11,31696,10106
11,32005,10091
12,32801,9967
12,32423,9693
12,32480,9811
12,32332,9833
12,32632,9847
12,31910,9685
12,32221,9833
12,32099,9756
12,32274,9697
12,32538,9631
12,32122,9535
12,32198,9898
12,32528,9578
12,32328,9853
12,32795,9631
12,32445,9862
12,32405,9699
12,32468,9837
12,32302,9803
12,32604,9806
13,33477,10444
13,33147,9851
13,33311,10109
13,33268,9922
13,33117,9768
13,33629,10056
13,32513,9875
13,33315,10070
13,33524,9958
13,32924,9915
13,33073,9938
13,33352,9923
13,33126,9875
13,32606,10130
13,33094,9788
13,32828,9768
13,33084,9934
13,33014,9999
13,32843,10068
13,33687,10225
14,34988,10967
14,34230,10837
14,34168,10805
14,34572,10713
14,34204,10827
14,34447,10839
14,34467,10828
14,34491,10689
14,34083,10878
14,34675,10688
14,34384,10881
14,34972,10989
14,34353,10822
14,34278,10759
14,34213,10735
14,34465,10861
14,34706,11094
14,34413,11015
14,34554,10868
14,34522,10940
15,35170,11150
15,34673,10842
15,34927,10905
15,35289,11060
15,34753,10651
15,34489,10846
15,34520,10686
15,34960,10663
15,35063,10611
15,34826,10782
15,34700,10700
15,34804,10764
15,34753,10644
15,34677,10716
15,34710,10674
15,34794,10765
15,34703,10684
15,34548,10772
15,34640,10698
15,34985,10937
16,34853,10934
16,35503,10873
16,34682,10745
16,34869,10734
16,34959,10717
16,35146,10596
16,35133,10652
16,34791,10760
16,35552,10830
16,35062,10553
16,35091,10615
16,35485,10846
16,35001,10790
16,34922,10753
16,35211,10789
16,35541,10770
16,35051,10674
16,35309,10740
16,35000,10632
16,35371,10762
17,35921,10056
17,35668,9805
17,36101,10061
17,35772,9970
17,35690,10013
17,36103,10081
17,35434,9841
17,35723,9940
17,35117,9617
17,35508,10131
17,35509,9931
17,35285,9924
17,36005,10076
17,35627,10037
17,35244,9870
17,35359,9797
17,35386,9910
17,35630,10190
17,35488,10038
17,35632,9966
18,36536,10455
18,36408,10148
18,36084,10040
18,35907,11010
18,36098,10197
18,36199,10060
18,36049,9862
18,36184,10235
18,36071,9790
18,36130,10138
18,35621,9832
18,36031,9746
18,35968,10213
18,35956,9844
18,35798,10118
18,35670,10095
18,35953,9999
18,35820,10546
18,35952,9943
18,35839,10016
19,37176,10483
19,37182,10256
19,36656,10047
19,36608,9991
19,37246,10311
19,36931,10350
19,37152,10395
19,36967,10142
19,36523,10099
19,36778,10017
19,37309,10224
19,36757,10065
19,36778,10195
19,37223,10117
19,37092,10189
19,36956,10128
19,36676,10134
19,36770,9978
19,37380,10330
19,36899,10059
20,38992,12058
20,38810,10184
20,38129,9988
20,38769,10253
20,38280,9791
20,37919,10011
20,38013,10160
20,38794,10213
20,38107,10138
20,38147,9948
20,38170,10004
20,38283,9989
20,38100,10144
20,38243,10084
20,38372,9829
20,38752,10183
20,38116,10067
20,38212,10081
20,38209,10084
20,38696,10147
21,40170,11399
21,39314,10949
21,39764,10814
21,39971,11206
21,39689,11033
21,39972,10997
21,40046,10965
21,39778,11180
21,39550,11033
21,39820,10948
21,39573,11042
21,39018,11199
21,39995,10978
21,39972,10976
21,39925,11048
21,39754,10929
21,40132,11140
21,39786,11030
21,40221,11075
21,39852,11040
22,40128,11242
22,39960,10515
22,40195,10343
22,39705,10849
22,39317,10396
22,39755,10194
22,39796,10712
22,39924,10439
22,39791,10460
22,57511,11165
22,39502,10225
22,39475,10189
22,39284,10322
22,39582,10684
22,39236,10440
22,39832,10260
22,39789,10430
22,39863,10368
22,39905,10324
22,39583,10322
23,41400,10265
23,40328,10218
23,40797,10270
23,40455,10207
23,40889,10362
23,40318,10066
