Pallet: "treasury", Extrinsic: "tip_new", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
r,t,extrinsic_time,storage_root_time
0,100,67211,49685
0,100,54973,42755
0,100,55434,44126
0,100,55166,42675
0,100,54128,42200
0,100,55251,43509
0,100,54273,42376
0,100,53898,42309
0,100,54377,42432
0,100,53540,41731
0,100,54652,42933
0,100,54920,42623
0,100,53915,41308
0,100,54567,43359
0,100,53412,42590
0,100,54215,41859
0,100,53345,42971
0,100,53974,41548
0,100,53755,42611
0,100,56504,43257
327,100,56410,48380
327,100,56078,47899
327,100,56086,46801
327,100,54854,45865
327,100,55810,47516
327,100,55595,46885
327,100,55084,1502539
327,100,57847,49135
327,100,55490,45847
327,100,54932,47056
327,100,55061,47057
327,100,54701,45492
327,100,55388,48003
327,100,55322,46667
327,100,54790,45950
327,100,55877,47585
327,100,55266,46071
327,100,54490,46496
327,100,55253,47263
327,100,54830,45790
654,100,58481,54675
654,100,57269,52120
654,100,55952,50823
654,100,56783,52997
654,100,56798,51594
654,100,56291,50818
654,100,59584,53716
654,100,57030,51727
654,100,56407,50507
654,100,56110,52118
654,100,56420,51383
654,100,56234,52326
654,100,56651,52020
654,100,56015,50873
654,100,56801,52203
654,100,56413,51978
654,100,55868,50809
654,100,56657,52403
654,100,56965,51673
654,100,56177,51002
981,100,58474,50319
981,100,56736,47855
981,100,56255,48268
981,100,56920,48762
981,100,56402,46945
981,100,55886,48557
981,100,56641,48181
981,100,54961,47247
981,100,55732,49395
981,100,55947,48259
981,100,55567,47077
981,100,56438,49447
981,100,55274,47724
981,100,56047,48085
981,100,56723,48580
981,100,55724,47131
981,100,59152,48877
981,100,57024,48506
981,100,56242,47336
981,100,56489,49447
1308,100,58853,55419
1308,100,56982,49429
1308,100,57426,50948
1308,100,57403,50309
1308,100,56177,49801
1308,100,57433,50781
1308,100,56431,49758
1308,100,56901,53320
1308,100,57328,50614
1308,100,56667,49379
1308,100,56858,51600
1308,100,57195,50866
1308,100,56748,49919
1308,100,57550,51561
1308,100,57091,50684
1308,100,56713,49679
1308,100,57099,51068
1308,100,57256,49609
1308,100,56279,50137
1308,100,57402,51600
1635,100,57526,50687
1635,100,57683,51695
1635,100,58279,51090
1635,100,57334,49710
1635,100,57898,51277
1635,100,58295,50402
1635,100,57717,50334
1635,100,59259,51784
1635,100,57979,50205
1635,100,57306,50001
1635,100,57720,50965
1635,100,57251,49427
1635,100,57279,50749
1635,100,58289,50845
1635,100,57284,49742
1635,100,57333,50773
1635,100,58370,50600
1635,100,57172,49625
1635,100,57708,50745
1635,100,57828,50539
1962,100,59780,49867
1962,100,58886,49254
1962,100,57878,48232
1962,100,57867,49565
1962,100,58206,49008
1962,100,57853,48754
1962,100,57940,50311
1962,100,58293,49258
1962,100,57673,48422
1962,100,58776,49267
1962,100,59186,48678
1962,100,58016,48363
1962,100,58963,49361
1962,100,58328,48218
1962,100,58196,48957
1962,100,58598,49117
1962,100,57854,48314
1962,100,58157,49437
1962,100,59307,49560
1962,100,58270,48656
2289,100,60006,50084
2289,100,58796,48941
2289,100,60588,49126
2289,100,59043,49653
2289,100,58648,48361
2289,100,58990,49419
2289,100,58831,49104
2289,100,58218,48167
2289,100,58974,48974
2289,100,58612,49021
2289,100,58535,48139
2289,100,59590,49537
2289,100,59400,49114
2289,100,58363,48655
2289,100,59163,49707
2289,100,58280,48008
2289,100,57992,49720
2289,100,59324,49564
2289,100,57729,48124
2289,100,58942,49217
2616,100,60785,53619
2616,100,59795,51555
2616,100,59967,53049
2616,100,59554,51693
2616,100,58161,52010
2616,100,59546,53109
2616,100,58664,51061
2616,100,62030,52448
2616,100,60008,52646
2616,100,58925,50691
2616,100,59638,52868
2616,100,60258,52005
2616,100,58858,51162
2616,100,60124,52613
2616,100,59512,52015
2616,100,59498,51440
2616,100,59630,52498
2616,100,59369,51006
2616,100,59392,52435
2616,100,59845,52235
2943,100,59149,51024
2943,100,60460,51510
2943,100,60145,49936
2943,100,59262,48665
2943,100,60429,51013
2943,100,60903,50599
2943,100,59629,49279
2943,100,60559,50109
2943,100,60268,48657
2943,100,59191,49907
2943,100,60132,49721
2943,100,59758,48504
2943,100,60258,50933
2943,100,59777,49840
2943,100,59175,48729
2943,100,60399,50754
2943,100,60571,49921
2943,100,59247,49007
2943,100,60665,50559
2943,100,59953,48865
3270,100,60889,55603
3270,100,60477,53430
3270,100,60347,51647
3270,100,60786,54043
3270,100,60876,53226
3270,100,60601,51902
3270,100,61346,53645
3270,100,60801,52853
3270,100,60742,52319
3270,100,60951,53330
3270,100,60776,52038
3270,100,60242,52710
3270,100,61192,53443
3270,100,60634,51480
3270,100,60823,52781
3270,100,61226,53214
3270,100,60712,52081
3270,100,61416,53624
3270,100,61088,52998
3270,100,60209,51814
3597,100,65302,56512
3597,100,60902,54116
3597,100,61286,53750
3597,100,61238,53623
3597,100,60892,52948
3597,100,61507,53788
3597,100,61572,54393
3597,100,61202,53237
3597,100,61478,54332
