Pallet: "utility", Extrinsic: "approve_as_multi_approve", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
s,z,extrinsic_time,storage_root_time
2,10000,39854,22766
2,10000,32050,19431
2,10000,31699,18700
2,10000,31719,18748
2,10000,31751,18637
2,10000,31452,18287
2,10000,32806,18457
2,10000,31737,18451
2,10000,31324,18349
2,10000,31501,18440
2,10000,31540,18584
2,10000,31458,18426
2,10000,31442,18241
2,10000,31638,18670
2,10000,31381,18396
2,10000,31155,18527
2,10000,31406,18186
2,10000,31654,18676
2,10000,31496,18472
2,10000,34185,18529
3,10000,32041,18727
3,10000,31449,18627
3,10000,31748,18336
3,10000,31664,18221
3,10000,31840,18430
3,10000,31593,18369
3,10000,31504,18410
3,10000,31500,18586
3,10000,31503,18338
3,10000,31341,18338
3,10000,31721,18392
3,10000,31468,18367
3,10000,31258,18243
3,10000,31781,18374
3,10000,31372,18432
3,10000,31459,18387
3,10000,31982,18508
3,10000,31850,18549
3,10000,31584,18377
3,10000,31640,18291
4,10000,31942,18874
4,10000,31660,18610
4,10000,32240,18792
4,10000,32153,18572
4,10000,31448,18370
4,10000,32223,18599
4,10000,31988,18252
4,10000,31965,18483
4,10000,32097,18691
4,10000,32254,18319
4,10000,31862,18199
4,10000,31949,18502
4,10000,31738,18340
4,10000,32010,18588
4,10000,32015,18605
4,10000,31954,18460
4,10000,32199,18475
4,10000,31610,18705
4,10000,31571,18445
4,10000,31770,18388
5,10000,32388,18590
5,10000,31985,18440
5,10000,32021,18742
5,10000,31554,18526
5,10000,32450,18618
5,10000,32070,18864
5,10000,31715,18280
5,10000,32199,18547
5,10000,35232,33980
5,10000,32142,18614
5,10000,31973,18499
5,10000,32210,18653
5,10000,31972,18691
5,10000,32065,18580
5,10000,32198,18732
5,10000,31908,18486
5,10000,31810,18289
5,10000,32035,18643
5,10000,32191,18523
5,10000,32291,18263
6,10000,32153,18778
6,10000,32167,18587
6,10000,31878,18552
6,10000,32237,18466
6,10000,32072,18823
6,10000,32083,18465
6,10000,32246,18357
6,10000,31998,18612
6,10000,31720,18336
6,10000,32220,18531
6,10000,31572,18617
6,10000,32008,18381
6,10000,32010,18458
6,10000,31627,18437
6,10000,31794,18453
6,10000,31955,18450
6,10000,32261,18433
6,10000,32390,18594
6,10000,32448,18513
6,10000,32280,18488
7,10000,32360,18942
7,10000,32157,18602
7,10000,32172,18314
7,10000,32183,18808
7,10000,32144,18326
7,10000,32152,18497
7,10000,32076,18497
7,10000,32421,18694
7,10000,32255,18369
7,10000,32118,18732
7,10000,32378,18539
7,10000,32125,18622
7,10000,32212,18825
7,10000,32203,18683
7,10000,32198,18750
7,10000,32194,18574
7,10000,32369,18538
7,10000,31981,18601
7,10000,32824,18541
7,10000,32077,18475
8,10000,32683,18923
8,10000,32566,18832
8,10000,32226,18729
8,10000,32420,18848
8,10000,32741,18879
8,10000,32335,18787
8,10000,32376,18852
8,10000,32505,18647
8,10000,32676,18804
8,10000,32399,18739
8,10000,32262,18735
8,10000,32406,18408
8,10000,32533,18638
8,10000,32218,18563
8,10000,32521,18621
8,10000,32473,18632
8,10000,32460,18981
8,10000,32386,18618
8,10000,32315,18760
8,10000,32712,18493
9,10000,32705,19126
9,10000,32567,18774
9,10000,32958,18914
9,10000,32490,18958
9,10000,32412,18839
9,10000,32799,18922
9,10000,32558,18729
9,10000,32753,18964
9,10000,32778,18842
9,10000,32448,18725
9,10000,32311,18555
9,10000,32275,18916
9,10000,32976,18969
9,10000,32449,18719
9,10000,32953,18932
