Pallet: "utility", Extrinsic: "as_multi_approve", Lowest values: [], Highest values: [], Steps: [20], Repeat: 20
s,z,extrinsic_time,storage_root_time
2,10000,260204,133617
2,10000,159233,74289
2,10000,152028,69281
2,10000,157341,72366
2,10000,195939,74764
2,10000,156140,72642
2,10000,191616,76829
2,10000,155918,69323
2,10000,154795,69173
2,10000,161744,70351
2,10000,164600,70836
2,10000,179235,84346
2,10000,161517,74358
2,10000,153109,74318
2,10000,152557,69039
2,10000,160816,69920
2,10000,220067,77079
2,10000,159557,95311
2,10000,157144,72085
2,10000,157012,71313
6,10000,155447,54936
6,10000,132123,49750
6,10000,142621,53349
6,10000,141484,50678
6,10000,135341,50645
6,10000,170229,79281
6,10000,135171,52738
6,10000,141379,51813
6,10000,183624,55020
6,10000,129575,48040
6,10000,132189,53258
6,10000,134494,48962
6,10000,135066,50010
6,10000,151757,51495
6,10000,135702,50709
6,10000,133680,76305
6,10000,132330,49047
6,10000,132066,50037
6,10000,140184,52012
6,10000,139064,54821
10,10000,138783,49240
10,10000,206326,55811
10,10000,223202,53051
10,10000,133197,49816
10,10000,155203,78847
10,10000,138559,50927
10,10000,140736,51459
10,10000,133536,48354
10,10000,144001,52431
10,10000,134882,49631
10,10000,137886,51808
10,10000,141520,52053
10,10000,140577,53565
10,10000,133360,49255
10,10000,137537,50257
10,10000,141720,52097
10,10000,131589,52133
10,10000,136120,59730
10,10000,135856,50443
10,10000,142156,52761
14,10000,137522,49640
14,10000,166864,77591
14,10000,139978,50359
14,10000,142963,53165
14,10000,143656,51936
14,10000,136154,52037
14,10000,139985,50393
14,10000,139597,49976
14,10000,139920,50198
14,10000,137564,50137
14,10000,155762,79712
14,10000,144103,68822
14,10000,140053,54554
14,10000,208259,56981
14,10000,145234,54700
14,10000,136191,50707
14,10000,197053,53980
14,10000,171053,52559
14,10000,134693,50229
14,10000,147361,53283
18,10000,136701,50423
18,10000,137452,49622
18,10000,141196,73726
18,10000,143343,52688
18,10000,141938,50819
18,10000,157664,50627
18,10000,137810,51176
18,10000,139408,50934
18,10000,137654,50483
18,10000,146338,51461
18,10000,136083,50862
18,10000,137878,51584
18,10000,144996,53114
18,10000,137950,50152
18,10000,146579,54918
18,10000,145605,56051
18,10000,140704,50391
18,10000,139949,54032
18,10000,141657,51856
18,10000,135417,49261
22,10000,147860,71204
22,10000,147276,57152
22,10000,160609,58463
22,10000,140417,52073
22,10000,151935,51715
22,10000,143405,52315
22,10000,143062,54032
22,10000,144493,54285
22,10000,144467,54347
22,10000,144625,52547
22,10000,146806,57154
22,10000,153579,52808
22,10000,143640,51628
22,10000,140424,50936
22,10000,140987,52933
22,10000,149383,52563
22,10000,139748,49461
22,10000,137839,51349
22,10000,138042,50626
22,10000,142961,51955
26,10000,139557,52076
26,10000,140219,50337
26,10000,143475,51821
26,10000,139856,50057
26,10000,143793,52606
26,10000,139648,50645
26,10000,138151,50267
26,10000,156391,49672
26,10000,168602,51454
26,10000,143723,51643
26,10000,139267,49727
26,10000,172253,51606
26,10000,144243,52528
26,10000,138481,50278
26,10000,146123,54677
26,10000,139277,50469
26,10000,144788,52281
26,10000,138485,50169
26,10000,140493,50603
26,10000,147539,51522
30,10000,144084,49981
30,10000,140316,51773
30,10000,140192,50883
30,10000,144554,51744
30,10000,139119,49644
30,10000,146795,52674
30,10000,141515,50642
30,10000,145266,53372
30,10000,138417,50560
30,10000,146891,51991
30,10000,139090,49963
30,10000,143206,52206
30,10000,140041,50189
30,10000,143367,55419
30,10000,166827,67079
30,10000,141319,51010
30,10000,139636,49708
30,10000,140689,51539
30,10000,144651,54447
30,10000,143618,51340
34,10000,149288,57024
34,10000,147900,51392
34,10000,148957,53615
34,10000,150281,52958
34,10000,151943,52003
34,10000,150326,52233
34,10000,152566,54741
34,10000,153663,53442
34,10000,151773,54345
34,10000,146669,54637
34,10000,167497,52795
34,10000,142398,50783
34,10000,146339,52480
34,10000,140572,50186
34,10000,149505,52866
34,10000,142376,50253
34,10000,142155,50787
34,10000,142386,51273
34,10000,144444,51357
34,10000,140539,51520
38,10000,148037,52434
38,10000,140385,51206
38,10000,142440,50476
38,10000,143991,52785
38,10000,148844,51209
38,10000,188239,60595
38,10000,151930,53866
38,10000,145558,51403
38,10000,142372,50507
38,10000,147545,52829
38,10000,140837,50711
38,10000,147357,50113
38,10000,145314,50644
38,10000,143851,51308
38,10000,152038,55192
38,10000,170585,53742
38,10000,147164,52963
38,10000,157714,76068
38,10000,150587,52910
38,10000,144973,49629
42,10000,147620,51308
42,10000,151593,53231
42,10000,148791,52415
42,10000,144091,50882
42,10000,151336,51901
42,10000,156052,51297
42,10000,173110,53617
42,10000,145518,51104
42,10000,146261,50763
42,10000,176127,62523
42,10000,160244,54047
42,10000,154546,51294
42,10000,199205,57475
42,10000,150389,50347
42,10000,156328,52318
42,10000,156297,56547
42,10000,150539,52603
42,10000,147260,52904
42,10000,150359,50280
42,10000,154050,53726
46,10000,146548,51153
46,10000,149204,52397
46,10000,148957,51333
46,10000,144146,49935
46,10000,151549,53435
46,10000,153580,52876
46,10000,146735,53720
46,10000,158513,51740
46,10000,152870,54157
46,10000,164781,55706
46,10000,153727,71399
46,10000,160466,56704
46,10000,154597,53498
46,10000,154322,54105
46,10000,153438,56583
46,10000,144880,51421
46,10000,151056,52666
46,10000,152768,55448
46,10000,149803,52049
46,10000,149491,53416
50,10000,156691,54528
50,10000,149995,51873
50,10000,158200,54421
50,10000,155785,52967
50,10000,162482,57196
50,10000,148900,54916
50,10000,154718,53199
50,10000,151821,52801
50,10000,154341,52054
50,10000,153613,54096
50,10000,156948,55297
50,10000,148836,54863
50,10000,184304,60720
50,10000,154841,53968
50,10000,154208,52741
50,10000,161334,69177
50,10000,171704,57829
50,10000,166177,58189
50,10000,193093,53483
50,10000,147724,52933
54,10000,150094,56119
54,10000,152440,53578
54,10000,189335,59597
54,10000,157923,55911
54,10000,162265,56724
54,10000,156397,54576
54,10000,151045,53102
54,10000,158384,55294
54,10000,157216,53618
54,10000,192267,79411
54,10000,165414,136152
54,10000,153600,52491
54,10000,151434,52141
54,10000,157018,53859
54,10000,165998,57301
54,10000,151152,52642
54,10000,167250,56424
54,10000,152687,54374
54,10000,241408,83135
54,10000,159107,55068
58,10000,162125,57153
58,10000,263365,83231
58,10000,218086,64688
58,10000,161264,57293
58,10000,164366,54645
58,10000,164288,57003
58,10000,166045,53221
58,10000,167645,61047
58,10000,190880,81499
58,10000,158901,57208
58,10000,163506,55059
58,10000,152431,53823
58,10000,153638,52379
58,10000,156697,52862
58,10000,171948,56629
58,10000,176182,64207
58,10000,346447,92811
58,10000,271944,88797
58,10000,277342,93611
58,10000,285301,93795
62,10000,259545,88801
62,10000,285998,92906
62,10000,281818,91103
62,10000,274689,91945
62,10000,295543,90096
62,10000,176247,59875
62,10000,155419,54586
62,10000,158435,55628
62,10000,159717,57732
62,10000,162319,54916
62,10000,162050,58450
62,10000,161234,54863
62,10000,164222,55293
62,10000,154656,52891
62,10000,173575,55377
62,10000,161676,54383
62,10000,170644,55434
62,10000,161349,53931
62,10000,160077,55682
62,10000,149394,51386
66,10000,166052,55101
66,10000,154763,51245
66,10000,154242,52278
66,10000,159072,53345
66,10000,157152,52116
66,10000,158773,52057
66,10000,156729,52451
66,10000,152564,51124
66,10000,157162,53582
66,10000,152627,51354
66,10000,155130,52768
66,10000,155640,51655
66,10000,160869,54035
66,10000,164069,54923
66,10000,154378,53166
66,10000,248890,60306
66,10000,162955,52632
66,10000,160315,52699
66,10000,159593,54718
66,10000,166120,52983
70,10000,167774,84923
70,10000,164057,52918
70,10000,161726,55254
70,10000,160337,53421
70,10000,155287,52782
70,10000,158240,52477
70,10000,152806,51216
70,10000,160194,53999
70,10000,154870,53415
70,10000,157687,53689
70,10000,153678,53904
70,10000,157161,52449
70,10000,156535,53078
70,10000,154794,52870
70,10000,172065,53598
70,10000,179229,54540
70,10000,159457,53637
70,10000,153452,51916
70,10000,157756,52798
70,10000,154573,52366
74,10000,160542,52354
74,10000,160353,56509
74,10000,164953,53613
74,10000,175489,53393
74,10000,151420,52886
74,10000,162530,54541
74,10000,162537,51536
74,10000,161883,56639
74,10000,163806,58257
74,10000,165289,57369
74,10000,164507,52591
74,10000,158288,54824
74,10000,162045,54076
74,10000,162212,55031
74,10000,157624,52856
74,10000,160706,55034
74,10000,161324,53929
74,10000,162929,54769
74,10000,196359,54555
74,10000,151587,51811
78,10000,159179,53194
78,10000,161404,53972
78,10000,159576,50803
78,10000,161629,52233
78,10000,155821,51582
78,10000,159676,52432
78,10000,159468,51364
78,10000,154822,52157
78,10000,156718,52319
78,10000,155477,53784
78,10000,159791,52306
78,10000,164718,54507
78,10000,162104,53896
78,10000,166724,52479
78,10000,155732,52046
78,10000,165169,52887
78,10000,202811,60216
78,10000,204602,56280
78,10000,203151,52355
78,10000,205987,55254
82,10000,162503,55056
82,10000,166187,56140
82,10000,162055,54316
82,10000,168680,57920
82,10000,159749,53303
82,10000,165213,55853
82,10000,163689,52893
82,10000,163003,54716
82,10000,164606,55932
82,10000,157954,51853
82,10000,161552,56660
82,10000,160779,53163
82,10000,156798,51666
82,10000,160063,51072
82,10000,161980,51717
82,10000,163866,50934
82,10000,161070,52015
82,10000,164824,56617
82,10000,168544,54027
82,10000,165079,57250
86,10000,168653,56492
86,10000,174538,60242
86,10000,160261,54531
86,10000,171464,60838
86,10000,172765,55636
86,10000,164106,54429
86,10000,162611,52141
86,10000,159255,54172
86,10000,162218,54118
86,10000,169208,55716
86,10000,164292,54250
86,10000,161288,52301
86,10000,163359,53355
86,10000,158660,52996
86,10000,157611,52372
86,10000,160553,51356
86,10000,157667,51825
86,10000,164127,52206
86,10000,156318,52373
86,10000,157842,52560
90,10000,158728,51295
90,10000,173467,54453
90,10000,166291,53659
90,10000,159915,53063
90,10000,161300,52058
90,10000,172154,53624
90,10000,157944,52563
90,10000,160259,53254
90,10000,188693,51701
90,10000,163617,53013
90,10000,159428,50640
90,10000,159036,52003
90,10000,159388,52713
90,10000,158511,50854
90,10000,165010,53082
90,10000,167984,54579
90,10000,158143,51906
90,10000,162651,52324
90,10000,163560,52750
90,10000,165381,54063
94,10000,167661,53280
94,10000,162737,52202
94,10000,161482,52041
94,10000,166040,80587
94,10000,172358,52542
94,10000,172320,55310
94,10000,162324,51955
94,10000,167043,54883
94,10000,165859,56833
94,10000,167734,54277
94,10000,164161,52984
94,10000,164643,51851
94,10000,164373,53221
94,10000,230995,77417
94,10000,212462,59116
