Pallet: "utility", Extrinsic: "as_multi_complete", Lowest values: [], Highest values: [], Steps: [20], Repeat: 20
s,z,extrinsic_time,storage_root_time
2,10000,168724,82621
2,10000,157743,74933
2,10000,154113,72734
2,10000,156562,81021
2,10000,162072,75189
2,10000,163709,73347
2,10000,189775,83197
2,10000,167649,74467
2,10000,169872,77465
2,10000,172519,74419
2,10000,182479,83552
2,10000,148934,69633
2,10000,222396,73866
2,10000,189367,72403
2,10000,154964,84079
2,10000,184950,80336
2,10000,168580,71456
2,10000,155807,71008
2,10000,155691,71669
2,10000,158625,91095
6,10000,164344,82394
6,10000,174001,77499
6,10000,189832,85235
6,10000,172585,75681
6,10000,153708,72475
6,10000,213306,89055
6,10000,153956,72441
6,10000,167526,84447
6,10000,155401,73581
6,10000,160942,74242
6,10000,168032,77215
6,10000,181730,83219
6,10000,176999,67210
6,10000,170231,128143
6,10000,198663,75590
6,10000,157586,74010
6,10000,160486,76441
6,10000,159844,84703
6,10000,171835,71756
6,10000,205973,75277
10,10000,167636,76961
10,10000,166199,82927
10,10000,235903,79665
10,10000,174032,116928
10,10000,182230,77106
10,10000,180824,76768
10,10000,172476,142181
10,10000,170696,93252
10,10000,195833,90812
10,10000,168994,83769
10,10000,168405,78720
10,10000,256225,79795
10,10000,167734,78634
10,10000,192213,85119
10,10000,164415,81854
10,10000,161675,75574
10,10000,177758,75327
10,10000,186061,81845
10,10000,169321,76172
10,10000,242683,81989
14,10000,226841,84448
14,10000,212413,79159
14,10000,179869,77936
14,10000,167584,76712
14,10000,179971,77954
14,10000,167914,78178
14,10000,169741,76622
14,10000,163965,76236
14,10000,166214,79390
14,10000,162921,76123
14,10000,197608,76202
14,10000,164561,78726
14,10000,167882,78200
14,10000,179664,78685
14,10000,196260,75301
14,10000,165300,76416
14,10000,165752,94787
14,10000,239080,75274
14,10000,166577,85555
14,10000,163132,76320
18,10000,171158,78504
18,10000,167651,78311
18,10000,172827,82492
18,10000,170407,78287
18,10000,180816,77196
18,10000,169534,78687
18,10000,174396,77459
18,10000,252855,73712
18,10000,186704,133601
18,10000,162116,78251
18,10000,175044,80440
18,10000,172709,78842
18,10000,191183,85605
18,10000,170043,76677
18,10000,171900,78994
18,10000,218866,80298
18,10000,215279,82380
18,10000,168642,76353
18,10000,205605,78505
18,10000,168755,76954
22,10000,172924,111506
22,10000,197497,89476
22,10000,185360,77712
22,10000,194214,78473
22,10000,173291,107428
22,10000,255436,126079
22,10000,176377,79833
22,10000,267977,89197
22,10000,221560,124195
22,10000,198325,66571
22,10000,175126,78612
22,10000,172454,77038
22,10000,174540,89219
22,10000,178866,77594
22,10000,176917,82942
22,10000,199289,79859
22,10000,174360,76934
22,10000,225406,75728
22,10000,166954,92075
22,10000,170780,78309
26,10000,184127,85223
26,10000,190006,81577
26,10000,206032,105560
26,10000,189679,79055
26,10000,176849,78187
26,10000,174997,76991
26,10000,176869,78738
26,10000,177503,81861
26,10000,177886,80310
26,10000,173497,80232
26,10000,171237,76944
26,10000,178319,79115
26,10000,180519,79291
26,10000,178962,81081
26,10000,179832,78741
26,10000,194174,120654
26,10000,191942,92873
26,10000,191691,126869
26,10000,185837,79691
26,10000,171441,76371
30,10000,183902,80342
30,10000,189475,92320
30,10000,240711,79488
30,10000,176444,78373
30,10000,179912,79309
30,10000,183646,77718
30,10000,180694,81536
30,10000,176115,78006
30,10000,185095,79136
30,10000,191016,108291
30,10000,180033,79498
30,10000,178779,76960
30,10000,181597,80720
30,10000,181652,86895
30,10000,183165,81284
30,10000,173362,76975
30,10000,178472,78518
30,10000,182864,79900
30,10000,181824,80492
30,10000,197192,76546
34,10000,206064,80899
34,10000,181317,120829
34,10000,188085,81792
34,10000,204136,79603
34,10000,201468,81881
34,10000,184723,99146
34,10000,216856,104702
34,10000,182826,78452
34,10000,192499,100376
34,10000,179736,79875
34,10000,176139,78163
34,10000,213942,78534
34,10000,192710,102650
34,10000,177656,77619
34,10000,181749,80152
34,10000,201295,75649
34,10000,179984,85090
34,10000,182794,79671
34,10000,198699,94403
34,10000,180469,79221
38,10000,189954,83966
38,10000,229408,82829
38,10000,223161,95847
38,10000,266231,117474
38,10000,183251,80759
38,10000,183147,80760
38,10000,191522,81128
38,10000,185276,105203
38,10000,187839,80406
38,10000,187244,80960
38,10000,196054,80946
38,10000,193108,86108
38,10000,189736,81063
38,10000,213808,94981
38,10000,186797,82392
38,10000,210964,85392
38,10000,181698,77672
38,10000,194373,79174
38,10000,193812,80519
38,10000,196505,93271
42,10000,191997,83567
42,10000,191931,82344
42,10000,206973,88925
42,10000,186311,79769
42,10000,206324,116553
42,10000,187212,81661
42,10000,186458,79369
42,10000,203750,85487
42,10000,200098,82649
42,10000,222514,81352
42,10000,193091,83096
42,10000,194339,79455
42,10000,184187,78671
42,10000,189602,81246
42,10000,259597,112040
42,10000,193857,79776
42,10000,274851,106160
42,10000,275625,94702
42,10000,187984,81716
42,10000,196531,75471
46,10000,206383,83664
46,10000,205700,83113
46,10000,189253,78964
46,10000,189669,80100
46,10000,191509,135728
46,10000,223848,82283
46,10000,208048,81838
46,10000,221244,84755
46,10000,244729,81761
46,10000,200575,85713
46,10000,187721,79811
46,10000,185427,79497
46,10000,228102,84046
46,10000,186941,79795
46,10000,194060,96090
46,10000,193916,83130
46,10000,209277,84128
46,10000,220554,90717
46,10000,190798,79915
46,10000,189658,81034
50,10000,196248,83113
50,10000,188994,115825
50,10000,196864,83350
50,10000,218486,94765
50,10000,272671,114915
50,10000,209641,82710
50,10000,268948,89007
50,10000,193894,78311
50,10000,194035,82899
50,10000,224030,77477
50,10000,194721,81188
50,10000,200079,86268
50,10000,237702,113091
50,10000,195341,79968
50,10000,198272,81379
50,10000,223057,86155
50,10000,241398,128977
50,10000,197121,81625
50,10000,199880,83586
50,10000,202885,82008
54,10000,212613,129422
54,10000,227453,82851
54,10000,216623,102801
54,10000,254164,79451
54,10000,233063,90046
54,10000,198239,81632
54,10000,199594,82327
54,10000,193950,91189
54,10000,197776,83686
54,10000,198767,84545
54,10000,237322,81446
54,10000,248548,90536
54,10000,198425,80201
54,10000,263810,84590
54,10000,203572,102932
54,10000,223504,82752
54,10000,216057,83511
54,10000,230593,82318
54,10000,201469,81642
54,10000,194263,81167
58,10000,201025,83256
58,10000,209999,84329
58,10000,219945,95280
58,10000,213552,84180
58,10000,204462,85826
58,10000,203829,83199
58,10000,208004,83546
58,10000,244330,87384
58,10000,242718,95804
58,10000,201476,81485
58,10000,240459,111256
58,10000,203043,82388
58,10000,196582,80917
58,10000,236088,97918
58,10000,239934,85950
58,10000,241202,113609
58,10000,207386,91841
58,10000,207749,92765
58,10000,230025,83979
58,10000,220053,85035
62,10000,200691,81464
62,10000,230964,85001
62,10000,223141,83677
62,10000,229388,87829
62,10000,197110,91848
62,10000,211901,84119
62,10000,205293,82797
62,10000,208202,87847
62,10000,201334,82853
62,10000,219071,90235
62,10000,211016,87318
62,10000,213632,88532
62,10000,207778,84186
62,10000,205088,87719
62,10000,210267,84611
62,10000,213046,84840
62,10000,202172,81302
62,10000,212677,92112
62,10000,195191,80302
62,10000,204434,84549
66,10000,210774,82963
66,10000,205312,82117
66,10000,208878,83193
66,10000,207441,82161
66,10000,209666,99288
66,10000,208609,82141
66,10000,204145,86166
66,10000,214050,83440
66,10000,217919,84444
66,10000,214975,86855
66,10000,268658,95245
66,10000,205964,145116
66,10000,212522,82135
66,10000,205286,81132
66,10000,200485,79832
66,10000,276254,85791
66,10000,209664,80304
66,10000,207577,78933
66,10000,257955,77946
66,10000,210145,84596
70,10000,208273,81776
70,10000,225814,83724
70,10000,220995,82279
70,10000,210606,92603
70,10000,229203,75944
70,10000,207901,81911
70,10000,208863,83270
70,10000,211850,83536
70,10000,214837,81443
70,10000,212092,90294
70,10000,203089,80567
70,10000,208401,82245
70,10000,206532,83996
70,10000,208764,82643
70,10000,240195,94303
70,10000,233205,84145
70,10000,335274,119047
70,10000,343568,86924
70,10000,217913,81568
70,10000,232718,92744
74,10000,336797,130571
74,10000,296901,89225
74,10000,216043,84134
74,10000,221411,113463
74,10000,362023,89231
74,10000,211507,83104
74,10000,221429,82933
74,10000,210628,97910
74,10000,246826,116990
74,10000,210567,84070
74,10000,210271,83000
74,10000,220269,82365
74,10000,245548,93533
74,10000,275777,85199
74,10000,291722,85140
74,10000,231996,85224
74,10000,212975,85032
74,10000,246834,84689
74,10000,228977,84277
74,10000,211168,96094
78,10000,233296,84001
78,10000,236234,82636
78,10000,213737,83711
78,10000,216826,83277
78,10000,257785,88165
78,10000,223234,83107
78,10000,213891,81930
78,10000,250888,107876
78,10000,206882,92406
78,10000,215404,84627
78,10000,213619,83155
78,10000,213730,83683
78,10000,240718,92212
78,10000,212204,80483
78,10000,222659,82733
78,10000,212707,84226
78,10000,265071,92090
78,10000,223305,86974
78,10000,231309,84279
78,10000,214205,87098
82,10000,233956,86328
82,10000,216335,83539
82,10000,217528,83051
82,10000,248672,116335
82,10000,256879,97189
82,10000,221564,85339
82,10000,216438,83223
82,10000,274269,82692
82,10000,208316,80558
82,10000,215750,82053
82,10000,217731,84390
82,10000,216503,84363
82,10000,231283,83796
82,10000,215766,82829
82,10000,214040,82120
82,10000,260607,97137
82,10000,264851,81897
82,10000,198333,154392
82,10000,218889,85599
82,10000,214223,82456
86,10000,220789,84497
86,10000,227749,100933
86,10000,222822,85802
86,10000,240084,143561
86,10000,269061,88357
86,10000,227088,86477
86,10000,258465,84617
86,10000,220268,83536
86,10000,213779,82915
86,10000,230714,87535
86,10000,231454,82345
86,10000,341247,95894
86,10000,223636,89005
86,10000,246233,94961
86,10000,221600,83752
86,10000,236839,88338
86,10000,231146,89318
86,10000,229267,88582
86,10000,235988,88751
86,10000,284718,84543
90,10000,228564,100473
90,10000,231287,83660
90,10000,225073,107269
90,10000,223761,84910
