Pallet: "utility", Extrinsic: "as_multi_create", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
s,z,extrinsic_time,storage_root_time
2,10000,82085,31907
2,10000,65922,25763
2,10000,68865,25407
2,10000,65814,25436
2,10000,65943,25218
2,10000,64528,24754
2,10000,64212,24484
2,10000,65376,25262
2,10000,64928,24826
2,10000,64011,24574
2,10000,64111,24459
2,10000,64677,25285
2,10000,64405,25114
2,10000,64585,24530
2,10000,64278,24680
2,10000,64153,25048
2,10000,64322,24576
2,10000,63788,24345
2,10000,64093,24665
2,10000,63881,25123
3,10000,64842,25298
3,10000,64126,24838
3,10000,64102,24550
3,10000,64101,24897
3,10000,63915,25006
3,10000,64356,24593
3,10000,64813,25002
3,10000,64454,25013
3,10000,64071,24891
3,10000,64465,24532
3,10000,64134,24922
3,10000,64447,24699
3,10000,63922,24760
3,10000,64347,25313
3,10000,64074,25007
3,10000,64013,25264
3,10000,64050,25083
3,10000,64126,24967
3,10000,64268,25005
3,10000,63525,24634
4,10000,64833,25266
4,10000,64553,24985
4,10000,64664,24894
4,10000,64907,25153
4,10000,64679,24919
4,10000,67711,25159
4,10000,65296,25084
4,10000,64458,24888
4,10000,64424,24819
4,10000,64708,24994
4,10000,64157,24793
4,10000,64232,24708
4,10000,64785,25068
4,10000,64551,24697
4,10000,64735,24898
4,10000,64347,24946
4,10000,64560,24996
4,10000,64429,24510
4,10000,64530,25120
4,10000,64579,24697
5,10000,64791,25510
5,10000,64982,25454
5,10000,64952,25151
5,10000,64215,24823
5,10000,64942,25461
5,10000,64816,25178
5,10000,64526,25418
5,10000,64500,25267
5,10000,64853,25040
5,10000,65043,25594
5,10000,64571,25135
5,10000,64369,25061
5,10000,64894,25314
5,10000,64798,25005
5,10000,64583,24971
5,10000,64611,25556
5,10000,64265,25036
5,10000,64074,25018
5,10000,64532,25165
5,10000,64166,25027
6,10000,65009,26118
6,10000,83398,38667
6,10000,64944,25332
6,10000,64910,25431
6,10000,64650,25341
6,10000,65147,25539
6,10000,64728,25390
6,10000,64630,25373
6,10000,65013,25487
6,10000,64570,25020
6,10000,64984,25401
6,10000,64472,25184
6,10000,64665,25217
6,10000,64870,25276
6,10000,64747,25224
6,10000,64419,25394
6,10000,64414,25255
6,10000,64688,25319
6,10000,64879,25352
6,10000,63782,25072
7,10000,65504,25970
7,10000,64773,25539
7,10000,65131,25655
7,10000,65241,25434
7,10000,64717,25239
7,10000,65199,25612
7,10000,64859,25056
7,10000,65200,25338
7,10000,65146,24886
7,10000,64700,25507
7,10000,64853,25479
7,10000,64820,25205
7,10000,64841,25499
7,10000,65313,25151
7,10000,65073,25464
7,10000,64742,25348
7,10000,65277,25355
7,10000,64982,25213
7,10000,64982,25466
7,10000,65052,25253
8,10000,65139,25293
8,10000,64889,25462
8,10000,64873,25056
8,10000,65045,25361
8,10000,64891,24987
8,10000,65367,25484
8,10000,64563,25186
8,10000,65027,25451
8,10000,65052,25167
8,10000,67926,25466
8,10000,65140,25199
8,10000,64686,25417
8,10000,64665,24998
8,10000,64483,25354
8,10000,64480,25323
8,10000,64949,25352
8,10000,64923,25292
8,10000,64753,25278
8,10000,65129,25303
8,10000,64887,24822
9,10000,65755,25773
9,10000,65355,25694
9,10000,65960,25385
9,10000,65496,25375
9,10000,65532,25484
9,10000,65266,25695
9,10000,65610,25486
9,10000,65455,25697
9,10000,64786,25406
9,10000,65893,25675
9,10000,65124,25226
