Pallet: "utility", Extrinsic: "as_sub", Lowest values: [], Highest values: [], Steps: [20], Repeat: 20
u,extrinsic_time,storage_root_time
0,10289,14445
0,5409,3928
0,5033,3940
0,5083,3735
0,4979,3753
0,4960,3642
0,4891,3931
0,5025,3638
0,4987,3756
0,4923,3662
0,4840,3755
0,4881,3603
0,4976,3840
0,4965,3612
0,4921,4084
0,4839,3597
0,7014,3897
0,5254,3795
0,4998,3725
0,4937,3587
50,4918,3739
50,4826,3573
50,4797,3623
50,5877,4297
50,5001,3847
50,4944,3664
50,4960,3781
50,4961,3613
50,4920,3808
50,4888,3619
50,4855,3875
50,4950,3545
50,4920,3752
50,5402,3832
50,6485,5989
50,5256,3463
50,6098,5266
50,6737,3967
50,4950,3676
50,4686,3458
100,4899,3807
100,5006,3593
100,4865,3760
100,4931,3635
100,4892,4130
100,4936,3602
100,68570,5582
100,5262,3770
100,5073,3896
100,4873,3693
100,4922,3906
100,4819,3701
100,4939,20323
100,19980,3683
100,5383,4214
100,5005,3586
100,4949,3891
100,4975,3630
100,4992,4032
100,4952,3625
150,4896,3924
150,4786,3629
150,4809,3909
150,4934,3600
150,4925,3833
150,5131,3801
150,4951,3844
150,4941,3576
150,4945,3884
150,5138,3606
150,4999,3794
150,5006,3531
150,4832,3914
150,4944,3608
150,4946,3840
150,4882,3588
150,6808,4931
150,5245,3816
150,5058,3621
150,4966,3598
200,4912,3693
200,4748,3437
200,4693,3715
200,4805,19764
200,4957,3949
200,5521,4392
200,4986,3875
200,4913,3564
200,4900,3779
200,4991,3759
200,4885,3773
200,4863,3576
200,4987,3662
200,4929,3539
200,4946,3812
200,4848,3655
200,4825,3824
200,4927,3590
200,4936,3847
200,4955,3568
250,5032,3756
250,4889,3640
250,4957,3905
250,4856,3646
250,4856,3865
250,4867,3603
250,4952,3800
250,4945,3606
250,4905,3796
250,4895,3878
250,4880,3846
250,4919,3594
250,4989,3767
250,4912,3595
250,4924,3773
250,5003,3513
250,4930,3896
250,4881,3680
250,4859,3784
250,4933,3640
300,4937,3808
300,4850,3946
300,4863,3789
300,4894,3670
300,4802,3961
300,4845,3692
300,4918,3659
300,4975,3681
300,4842,3751
300,8818,7662
300,5858,4465
300,4963,3662
300,4973,3722
300,5797,4154
300,5016,3946
300,4845,3585
300,4977,3732
300,4901,3546
300,4917,3826
300,4884,3584
350,4931,3707
350,4934,3525
350,5405,4410
350,5023,3611
350,4904,3799
350,5509,4066
350,4933,3821
350,4909,3532
350,4988,3784
350,4947,3589
350,5429,4269
350,5022,3654
350,4965,3793
350,4896,3612
350,4983,3837
350,4842,3649
350,4890,4013
350,4923,3622
350,4840,3709
350,7870,6103
400,10683,7091
400,9164,7440
400,9824,7200
400,8720,7222
400,5605,4178
400,8384,6430
400,5202,3838
400,4872,3652
400,5516,4154
400,5021,4611
400,6291,4299
400,5078,3512
400,5440,4031
400,5373,3747
400,6173,4502
400,5332,3990
400,4999,3715
400,4914,3550
400,4779,4024
400,4949,3627
450,4943,3763
450,4896,3587
450,4894,3782
450,4861,3864
450,4882,3816
450,4866,3603
450,4842,5254
450,6294,3906
450,5309,3885
450,5277,3626
450,4944,3864
450,4893,3623
450,4843,3810
450,4799,3627
450,4847,3782
450,4869,3709
450,5114,4007
450,5112,3600
450,4954,3687
450,4872,3594
500,4924,3691
500,4883,3740
500,4940,3798
500,5153,3675
500,4958,3682
500,4872,3638
500,4915,3755
500,4963,3560
500,5020,3663
500,4969,3566
500,31065,4660
500,5253,3643
500,4922,3773
500,4856,3597
500,4920,3757
500,4842,3577
500,4906,3777
500,4978,3639
500,4971,3690
500,4943,3898
550,4984,3681
550,4894,3567
550,4869,4016
550,4854,3677
550,4925,3862
550,4852,3607
550,4883,3789
550,5353,4000
550,5033,3827
550,4863,3626
550,4920,14085
550,4928,3645
550,4868,3949
550,4899,3636
550,4885,3832
550,4825,3608
550,4863,3797
550,4791,3639
550,4869,3801
550,4905,3597
600,4897,3914
600,4886,3610
600,4888,3945
600,4771,3597
600,4798,4045
600,4858,3571
600,4891,3666
600,4912,3550
600,5438,4172
600,5339,3856
600,5293,3895
600,5354,3647
600,5386,4642
600,7001,3782
600,5084,3814
600,4947,3625
600,4904,3784
600,5040,3733
600,4922,3682
600,4846,3994
650,4947,3761
650,4950,3573
650,4903,3626
650,7882,3821
650,5005,3793
650,4893,3603
650,4902,3715
650,4914,3531
650,4928,3707
650,4836,3714
650,4935,3682
650,4818,3649
650,4917,3742
650,4891,3761
650,4842,3796
650,4919,28871
650,5283,3968
650,4908,3620
650,4972,3841
650,4908,3889
700,4885,3863
700,4911,3635
700,4892,3944
700,4921,3606
700,4917,3760
700,4940,3526
700,4877,3841
700,4845,3610
700,4928,3831
700,4862,3623
700,4914,3854
700,4919,3640
700,4895,3830
700,5892,3819
700,5038,3795
700,4895,3669
700,4961,3938
700,5135,3710
700,5000,3950
700,5191,3680
750,4851,3779
750,4922,3564
750,4857,3726
750,4893,3488
750,4799,3850
750,4917,3579
750,4906,3862
750,4875,3664
750,4811,3816
750,4870,3600
750,4851,3818
750,4878,3654
750,4843,3878
750,4880,3663
750,4811,3762
750,5413,3714
750,5130,3797
750,6057,5620
750,4994,3768
750,4833,3650
800,4974,3824
800,4925,3572
800,4837,4042
800,4797,3620
800,5139,3789
800,20880,3472
800,4874,3892
800,4842,3587
800,4894,3866
800,4853,3582
800,4963,4019
800,4833,3474
800,5742,4532
800,5309,3799
800,5097,3768
800,4867,3571
800,4910,3789
800,4842,3933
800,5790,4338
800,4989,3653
850,5008,3744
850,4975,3561
850,4908,3813
850,4896,3643
850,4806,3988
850,4829,3545
850,4851,3907
850,4883,3600
850,75323,6846
850,5376,3808
850,4918,3960
850,4851,3618
850,4811,3772
850,4833,3657
850,4867,3661
850,5180,3694
850,4880,3759
850,4881,3809
850,4809,3821
850,4843,3632
900,5110,21469
900,4990,3657
900,4901,3730
900,4949,3604
900,4863,3669
900,4799,3592
900,4750,3709
900,4784,3605
900,5145,3883
900,4885,3521
900,4902,3754
900,4870,3579
900,4870,3772
900,4858,3595
900,5859,4346
900,5114,4390
900,7354,3965
900,5257,3744
900,5221,4034
900,5450,3883
950,5108,3789
950,4900,3674
950,4821,3803
950,4819,3568
950,4804,3843
950,4804,3546
950,4775,3850
950,4765,3576
950,4817,3738
950,4688,3563
950,4771,3778
950,4837,3493
950,4859,3673
950,4830,3883
950,4775,3693
950,4631,3477
950,4655,3622
950,4704,3389
950,4664,3750
950,4857,3671
1000,4887,3870
1000,5840,4211
1000,5080,3725
1000,4889,3549
1000,4849,3761
1000,4797,3617
1000,4830,3782
1000,4843,3600
1000,4773,3795
1000,4932,3605
1000,4770,3729
1000,4771,3525
1000,4760,3695
1000,4774,3563
1000,4719,3771
1000,4731,3568
1000,4811,3778
1000,5920,4588
1000,5053,3915
1000,4853,3571

Median Slopes Analysis
========

Model:
Time ~=    4.968
    + u        0
              µs

Min Squares Analysis
========

Data points distribution:
    u   mean µs  sigma µs       %
    0     4.978     0.033    0.6%
   50     4.978     0.095    1.9%
  100      4.96     0.029    0.5%
  150     4.955     0.025    0.5%
  200     4.916     0.026    0.5%
  250     4.913     0.019    0.3%
  300     4.922     0.036    0.7%
  350     4.953     0.033    0.6%
  400     5.503     0.404    7.3%
  450     4.901     0.031    0.6%
  500     4.942      0.02    0.4%
  550     4.885     0.017    0.3%
  600     4.977     0.122    2.4%
  650     4.918     0.013    0.2%
  700      4.92     0.018    0.3%
  750     4.877     0.021    0.4%
  800     4.934     0.069    1.3%
  850     4.877     0.023    0.4%
  900     4.973     0.104    2.0%
  950     4.798     0.023    0.4%
 1000      4.83     0.039    0.8%

Quality and confidence:
param     error
u             0

Model:
Time ~=    5.011
    + u        0
              µs

