Pallet: "utility", Extrinsic: "batch", Lowest values: [], Highest values: [], Steps: [20], Repeat: 20
c,extrinsic_time,storage_root_time
0,67805,63602
0,56874,39358
0,53892,36522
0,59615,38793
0,67513,38768
0,58633,38350
0,56694,36280
0,57243,37569
0,53866,37159
0,58989,37975
0,56182,37221
0,58765,37221
0,56000,36845
0,58731,38064
0,56967,36691
0,57798,46230
0,61574,36382
0,65210,36532
0,54514,35857
0,54439,35405
50,152344,37319
50,147932,37373
50,144941,36675
50,147462,38435
50,176156,38174
50,155620,36839
50,145923,36855
50,146338,53659
50,147528,36195
50,148957,37382
50,149969,37459
50,152861,39635
50,156171,42388
50,159374,43030
50,150385,36101
50,146952,36979
50,147028,36475
50,183544,40419
50,149664,37364
50,147819,37007
100,259201,38742
100,239576,37307
100,235450,36240
100,237053,37419
100,239593,36941
100,242264,37600
100,235310,35670
100,311659,54866
100,274452,42097
100,241240,38055
100,236398,36818
100,238657,37298
100,235462,36149
100,237344,37308
100,235708,35794
100,242798,38324
100,243458,37744
100,243364,37846
100,239661,36808
100,244381,37564
150,331448,36844
150,328007,37784
150,331988,37357
150,361325,40092
150,327459,36857
150,333326,37178
150,327839,36727
150,328116,36975
150,328313,35955
150,328460,36836
150,327944,45809
150,372713,48273
150,326658,36555
150,331382,38025
150,326426,36421
150,345470,38792
150,360755,38708
150,339842,37366
150,347478,38914
150,329034,37512
200,417450,37382
200,422682,38408
200,466943,39686
200,421882,38638
200,418765,39110
200,418458,37277
200,417617,35958
200,418736,36571
200,419823,37655
200,421010,37549
200,428685,38296
200,418328,36774
200,418007,36441
200,457492,39337
200,425164,37992
200,434146,38038
200,417884,36141
200,419132,37528
200,416777,36133
200,424616,38160
250,521844,38359
250,508536,37202
250,507159,36189
250,509424,37609
250,510877,39061
250,512802,38155
250,508318,37273
250,507069,37955
250,508105,59462
250,512543,38814
250,506660,36596
250,507789,36705
250,506401,36043
250,563196,39037
250,507136,36676
250,507975,37128
250,505926,37446
250,521448,38869
250,546747,41725
250,512702,37893
300,606237,37580
300,603172,38851
300,627319,39554
300,624014,39590
300,599355,36671
300,603365,38085
300,615385,37613
300,600546,38281
300,600526,37411
300,643120,44328
300,601607,39445
300,613275,38687
300,597775,36846
300,625643,39554
300,601562,37426
300,655137,43912
300,603293,37917
300,626308,38774
300,597643,36771
300,598319,37157
350,746931,35494
350,720085,39250
350,689672,36677
350,691996,37918
