Pallet: "utility", Extrinsic: "cancel_as_multi", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
s,z,extrinsic_time,storage_root_time
2,10000,48428,30485
2,10000,37949,26101
2,10000,36837,25790
2,10000,38263,25960
2,10000,37199,25302
2,10000,36485,25212
2,10000,37581,25868
2,10000,37082,25183
2,10000,36693,24975
2,10000,36958,25572
2,10000,36565,25609
2,10000,37199,25193
2,10000,36639,25194
2,10000,36791,25499
2,10000,36703,25472
2,10000,37027,25282
2,10000,36841,25325
2,10000,36754,25642
2,10000,36673,25168
2,10000,36978,25327
3,10000,37405,25784
3,10000,37131,25256
3,10000,37421,25579
3,10000,37757,25763
3,10000,37151,25608
3,10000,37324,25738
3,10000,37211,25750
3,10000,36993,25372
3,10000,37762,25544
3,10000,37683,25977
3,10000,37333,25486
3,10000,37688,25968
3,10000,37166,25546
3,10000,37633,25511
3,10000,37135,26013
3,10000,37660,25421
3,10000,37092,25344
3,10000,37370,25676
3,10000,37357,25494
3,10000,36912,25341
4,10000,37720,26046
4,10000,37210,25540
4,10000,37243,25760
4,10000,37604,25865
4,10000,37155,25090
4,10000,37371,25623
4,10000,37593,25666
4,10000,37081,25203
4,10000,37750,25589
4,10000,37399,25923
4,10000,37185,25238
4,10000,37458,25556
4,10000,37552,25530
4,10000,37330,25430
4,10000,37517,25472
4,10000,37350,25388
4,10000,37515,25783
4,10000,37282,25410
4,10000,37382,25208
4,10000,37498,25592
5,10000,37535,26231
5,10000,37674,25809
5,10000,38062,25825
5,10000,37695,25724
5,10000,37635,26220
5,10000,37678,25955
5,10000,37733,26022
5,10000,37661,25563
5,10000,37381,25649
5,10000,37675,25774
5,10000,37586,25588
5,10000,37963,25709
5,10000,37546,25417
5,10000,37441,25413
5,10000,38181,26247
5,10000,37482,25852
5,10000,37900,26060
5,10000,37502,25840
5,10000,38257,26008
5,10000,37895,25930
6,10000,37768,26484
6,10000,37780,26032
6,10000,37776,25883
6,10000,38059,26256
