Pallet: "vesting", Extrinsic: "vested_transfer", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
l,extrinsic_time,storage_root_time
0,142101,97333
0,117824,82828
0,115194,81132
0,116823,82496
0,114892,80442
0,115034,81637
0,114504,80680
0,114377,80900
0,115075,81114
0,114361,80426
0,114055,80865
0,114754,80407
0,113758,79943
0,114443,80598
0,114294,80453
0,114239,80670
0,114425,80110
0,114084,80082
0,114182,80749
0,113851,80136
1,106011,85586
1,105611,83106
1,105477,82911
1,109217,83741
1,104550,82863
1,104416,83152
1,104037,82359
1,104521,82872
1,104542,82183
1,104187,82930
1,104672,82101
1,105420,82901
1,104719,82103
1,105104,82921
1,104710,82479
1,108570,83116
1,104627,82164
1,104697,82298
1,105231,82365
1,104786,82335
2,113848,83032
2,112638,82144
2,113048,82090
2,112308,81936
2,112468,82446
2,111995,81455
2,112031,82317
2,112666,81689
2,112231,81877
2,112474,81710
2,112442,81816
2,111858,80777
2,112460,82526
2,112242,81688
2,113102,81959
2,112362,81866
2,113012,81989
2,112133,81480
2,115959,82451
2,112616,81540
3,113493,83125
3,113517,82310
3,113378,82428
3,112900,82148
3,113913,81854
3,113597,82734
3,113065,82346
3,113242,82911
3,113256,82085
3,116199,83216
3,113104,81778
3,112957,82453
3,112797,81797
3,113066,82539
3,113347,81941
3,112924,82199
3,113582,82172
3,113282,82156
3,112721,81942
3,113692,82478
4,132140,96170
4,113450,81833
4,114445,82461
4,113224,81680
4,113886,82193
4,113928,82256
4,113344,82193
4,113312,81745
4,112895,81660
4,113067,82372
4,113420,81676
4,114213,82847
4,113455,81858
4,112979,81770
4,113476,81450
4,113550,82067
4,113584,82555
4,113415,82025
4,113453,82047
4,112563,3171141
5,117044,84619
5,113735,82181
5,113140,82794
5,113983,83431
5,113757,82663
5,113995,82546
5,113548,81841
5,113857,82723
5,113793,83293
5,112858,82274
5,113947,82738
5,113676,82126
5,113563,83231
5,113182,82863
5,113222,82388
5,113925,82340
5,113090,82238
5,113054,82530
5,113294,82520
5,113127,81743
6,114489,83957
6,114354,81984
6,115021,82369
6,114774,83798
6,114822,82536
6,115317,83274
6,114156,82814
6,114370,82230
6,114580,83780
6,114446,82774
6,114906,83225
6,114467,82598
6,114519,82297
6,115009,82944
6,114619,83097
6,113910,82256
6,114704,82809
6,114353,82371
6,114076,82347
6,114788,83017
7,113280,83524
7,113444,82725
7,113542,82924
7,116846,82176
7,113592,82777
7,113370,82827
7,112876,81816
7,113093,82531
7,113255,82914
7,112879,82064
7,113654,82382
7,113149,83076
7,113447,81774
7,113433,82234
7,113593,82938
7,113413,82262
7,113841,83240
7,113073,82940
7,112612,82005
7,113744,82649
8,114907,82940
8,113958,82308
8,114790,83122
8,114830,82572
8,113929,82308
8,113772,83235
8,114315,82804
8,114036,82077
8,113437,82614
8,114131,82429
8,113920,82625
8,114265,82686
8,114639,82758
8,113666,83036
8,113494,82355
8,113932,82739
8,114152,82849
8,113930,81967
8,113899,83147
8,113554,82492
9,120179,83601
9,115851,82559
9,115802,82594
9,116080,82665
9,115473,82026
9,115438,82634
9,115665,83309
9,114661,82933
9,115648,82771
9,115994,83629
9,115880,83548
9,115437,82440
9,115947,83047
9,115907,82706
9,115845,83315
9,116006,82463
9,115365,82395
9,116012,82844
9,115791,82677
9,116800,82786
10,115785,84883
10,115792,83771
10,115660,82318
10,115174,82650
10,115316,83162
10,115550,83715
10,118080,83172
10,115451,82530
10,115245,82650
10,115559,82862
10,115774,82804
10,115148,82600
10,115556,83189
10,114620,83234
10,115731,83075
10,115640,82822
10,115123,83018
10,115613,83411
10,115880,82816
10,115541,82770
11,116849,83394
11,117077,83616
11,116131,83162
11,116708,82463
11,115809,83122
11,115971,83466
11,115879,83397
11,115633,83325
11,115574,82199
11,115832,83270
11,116463,83380
11,119770,83548
11,115966,83375
11,115924,82502
11,115863,83252
11,115410,82949
11,116755,82983
11,115892,82863
11,115855,83003
11,146974,83635
12,116953,83790
12,116599,84613
12,116167,83202
12,116737,82549
12,115800,83262
12,116073,82859
12,115847,82935
12,117325,83463
12,116226,83286
12,116510,82195
12,116575,82701
12,116080,82765
12,115793,83291
12,116453,83192
12,116876,82716
12,116610,82861
12,116965,83016
12,116515,83173
12,116196,83079
12,116302,82849
13,116022,83344
13,115820,83433
13,115642,83165
13,115770,83006
13,115124,83148
13,114510,82710
13,114403,83329
13,115406,83217
13,115237,83019
13,114884,83498
13,115408,86405
13,115610,83465
13,115516,83301
13,115444,82877
13,115643,82794
13,114791,83384
13,115241,83998
13,115117,83554
13,116122,84014
13,115758,83109
14,114754,83464
14,115403,82368
14,114940,82897
14,115703,82929
14,115029,82953
14,115339,83055
14,115868,83121
14,115001,82731
14,115781,83102
14,116277,82881
14,114683,82817
14,114905,82925
14,114910,82900
14,115666,82762
14,115095,83049
14,115714,82757
14,114962,82997
14,114809,82904
14,115140,82675
14,115228,82889
15,119791,83867
15,116298,83397
15,116715,83215
15,116774,83433
15,116583,83321
15,117019,83594
15,116540,83187
15,117244,83081
15,116717,83712
15,116509,84005
15,116868,83517
15,116272,83169
15,116747,83290
15,116365,83548
15,116684,83627
