Pallet: "balances", Extrinsic: "transfer", Steps: 100, Repeat: 10
E,U,time
2,500,804000
2,500,630000
2,500,646000
2,500,636000
2,500,625000
2,500,640000
2,500,692000
2,500,627000
2,500,687000
2,500,629000
11,500,663000
11,500,658000
11,500,663000
11,500,635000
11,500,677000
11,500,654000
11,500,638000
11,500,652000
11,500,667000
11,500,645000
20,500,646000
20,500,648000
20,500,642000
20,500,638000
20,500,651000
20,500,630000
20,500,643000
20,500,641000
20,500,647000
20,500,643000
29,500,616000
29,500,637000
29,500,629000
29,500,629000
29,500,626000
29,500,623000
29,500,649000
29,500,634000
29,500,670000
29,500,649000
38,500,667000
38,500,630000
38,500,666000
38,500,652000
38,500,650000
38,500,617000
38,500,646000
38,500,687000
38,500,640000
38,500,646000
47,500,680000
47,500,660000
47,500,638000
47,500,666000
47,500,800000
47,500,657000
47,500,633000
47,500,649000
47,500,630000
47,500,650000
56,500,628000
56,500,651000
56,500,636000
56,500,635000
56,500,625000
56,500,605000
56,500,631000
56,500,739000
56,500,641000
56,500,628000
65,500,651000
65,500,638000
65,500,660000
65,500,627000
65,500,642000
65,500,652000
65,500,640000
65,500,638000
65,500,614000
65,500,781000
74,500,685000
74,500,637000
74,500,657000
74,500,653000
74,500,615000
74,500,698000
74,500,645000
74,500,675000
74,500,633000
74,500,634000
83,500,639000
83,500,633000
83,500,639000
83,500,637000
83,500,647000
83,500,627000
83,500,674000
83,500,677000
83,500,632000
83,500,631000
92,500,641000
92,500,621000
92,500,639000
92,500,638000
92,500,639000
92,500,635000
92,500,647000
92,500,633000
92,500,636000
92,500,647000
101,500,643000
101,500,614000
101,500,639000
101,500,690000
101,500,666000
101,500,643000
101,500,640000
101,500,635000
101,500,626000
101,500,685000
110,500,639000
110,500,641000
110,500,803000
110,500,645000
110,500,658000
110,500,686000
110,500,638000
110,500,646000
110,500,653000
110,500,659000
119,500,633000
119,500,641000
119,500,624000
119,500,633000
119,500,635000
119,500,635000
119,500,641000
119,500,628000
119,500,636000
119,500,682000
128,500,625000
128,500,632000
128,500,633000
128,500,682000
128,500,643000
128,500,635000
128,500,630000
128,500,622000
128,500,645000
128,500,745000
137,500,628000
137,500,632000
137,500,640000
137,500,645000
137,500,644000
137,500,646000
137,500,682000
137,500,687000
137,500,638000
137,500,653000
146,500,644000
146,500,660000
146,500,734000
146,500,660000
146,500,826000
146,500,674000
146,500,636000
146,500,634000
146,500,648000
146,500,656000
155,500,648000
155,500,638000
155,500,657000
155,500,627000
155,500,636000
155,500,696000
155,500,687000
155,500,635000
155,500,635000
155,500,645000
164,500,645000
164,500,680000
164,500,679000
164,500,683000
164,500,638000
164,500,629000
164,500,803000
164,500,627000
164,500,661000
164,500,634000
173,500,641000
173,500,656000
173,500,678000
173,500,623000
173,500,627000
173,500,649000
173,500,638000
173,500,636000
173,500,684000
173,500,635000
182,500,657000
182,500,665000
182,500,678000
182,500,662000
182,500,647000
182,500,656000
182,500,638000
182,500,634000
182,500,658000
182,500,674000
191,500,665000
191,500,660000
191,500,644000
191,500,651000
191,500,629000
191,500,654000
191,500,643000
191,500,634000
191,500,654000
191,500,666000
200,500,703000
200,500,653000
200,500,671000
200,500,637000
200,500,670000
200,500,631000
200,500,633000
200,500,631000
200,500,650000
200,500,645000
209,500,646000
209,500,650000
209,500,653000
209,500,675000
209,500,778000
209,500,652000
209,500,657000
209,500,636000
209,500,634000
209,500,663000
218,500,702000
218,500,664000
218,500,628000
218,500,666000
218,500,699000
218,500,623000
218,500,641000
218,500,632000
218,500,983000
218,500,734000
227,500,647000
227,500,657000
227,500,1609000
227,500,632000
227,500,795000
227,500,670000
227,500,665000
227,500,706000
227,500,711000
