Pallet: "balances", Extrinsic: "transfer", Steps: 100, Repeat: 10
E,U,time
2,500,1508000
2,500,1498000
2,500,1624000
2,500,1488000
2,500,1466000
2,500,1486000
2,500,1527000
2,500,1516000
2,500,1546000
2,500,1510000
11,500,1619000
11,500,1993000
11,500,1684000
11,500,1637000
11,500,1650000
11,500,1570000
11,500,1478000
11,500,1490000
11,500,1490000
11,500,1497000
20,500,1495000
20,500,1496000
20,500,1495000
20,500,1774000
20,500,2203000
20,500,1612000
20,500,1540000
20,500,1546000
20,500,1543000
20,500,1539000
29,500,1437000
29,500,1593000
29,500,1510000
29,500,1541000
29,500,1593000
29,500,1545000
29,500,1502000
29,500,1517000
29,500,1503000
29,500,1537000
38,500,1494000
38,500,1522000
38,500,1528000
38,500,1488000
38,500,1580000
38,500,1500000
38,500,1713000
38,500,1503000
38,500,1497000
38,500,1447000
47,500,1745000
47,500,1552000
47,500,1939000
47,500,1991000
47,500,1604000
47,500,1740000
47,500,1529000
47,500,1687000
47,500,1735000
47,500,1541000
56,500,1750000
56,500,1692000
56,500,1556000
56,500,1477000
56,500,1490000
56,500,1532000
56,500,1500000
56,500,1479000
56,500,1473000
56,500,1465000
65,500,1482000
65,500,1504000
65,500,1489000
65,500,2049000
65,500,1500000
65,500,1743000
65,500,1701000
65,500,1920000
65,500,1515000
65,500,1492000
74,500,1443000
74,500,1469000
74,500,1569000
74,500,1486000
74,500,1503000
74,500,1503000
74,500,1482000
74,500,1484000
74,500,1477000
74,500,1467000
83,500,1472000
83,500,1538000
83,500,1469000
83,500,1515000
83,500,1475000
83,500,1479000
83,500,1478000
83,500,1552000
83,500,1489000
83,500,1482000
92,500,1537000
92,500,1514000
92,500,1494000
92,500,1536000
92,500,1639000
92,500,1461000
92,500,1539000
92,500,1483000
92,500,1498000
92,500,1468000
101,500,1464000
101,500,1487000
101,500,1584000
101,500,1510000
101,500,1459000
101,500,1481000
101,500,1513000
101,500,1655000
101,500,1507000
101,500,1536000
110,500,1496000
110,500,1499000
110,500,1523000
110,500,1494000
110,500,1491000
110,500,1495000
110,500,1495000
110,500,1434000
110,500,1525000
110,500,1479000
119,500,1473000
119,500,1490000
119,500,1493000
119,500,1623000
119,500,1506000
119,500,1534000
119,500,1518000
119,500,1513000
119,500,1531000
119,500,1475000
128,500,1484000
128,500,1466000
128,500,1487000
128,500,1483000
128,500,1497000
128,500,1531000
128,500,1479000
128,500,1470000
128,500,1476000
128,500,1494000
137,500,1646000
137,500,1705000
137,500,1551000
137,500,1487000
137,500,1530000
137,500,2180000
137,500,1530000
137,500,1530000
137,500,1553000
137,500,1493000
146,500,1544000
146,500,1586000
146,500,1556000
146,500,1535000
146,500,1495000
146,500,1484000
146,500,1548000
146,500,1557000
146,500,1490000
146,500,1548000
155,500,1561000
155,500,1500000
155,500,1481000
155,500,1503000
155,500,1501000
155,500,1511000
155,500,1488000
155,500,1499000
155,500,1510000
155,500,1541000
164,500,1474000
164,500,1514000
164,500,1490000
164,500,1489000
164,500,1628000
164,500,1490000
164,500,1494000
164,500,1518000
164,500,1517000
164,500,1472000
173,500,1488000
173,500,1672000
173,500,1499000
173,500,1647000
173,500,1507000
173,500,1507000
173,500,1517000
173,500,1482000
173,500,1484000
173,500,1527000
182,500,1514000
182,500,1525000
182,500,1515000
182,500,1572000
182,500,1527000
182,500,1541000
182,500,1671000
182,500,1583000
182,500,1542000
182,500,1498000
191,500,1506000
191,500,1503000
191,500,1485000
191,500,1494000
191,500,1516000
191,500,1506000
191,500,1499000
191,500,1654000
191,500,1539000
191,500,1566000
200,500,1491000
200,500,1646000
200,500,1494000
200,500,1457000
200,500,1464000
200,500,1492000
200,500,1592000
200,500,1509000
200,500,1480000
200,500,1470000
209,500,1508000
209,500,1536000
209,500,1499000
209,500,1492000
209,500,1509000
209,500,1515000
209,500,1526000
209,500,1533000
209,500,1593000
209,500,1585000
218,500,1501000
218,500,1521000
218,500,1479000
218,500,1471000
218,500,1538000
218,500,1524000
218,500,1482000
218,500,1506000
218,500,1487000
218,500,1488000
227,500,1499000
227,500,1526000
227,500,1526000
227,500,1523000
