Pallet: "balances", Extrinsic: "set_balance_killing", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
u,e,extrinsic_time,storage_root_time
1,1000,47094,37521
1,1000,37235,29850
1,1000,36115,28841
1,1000,35875,28778
1,1000,36141,29229
1,1000,36153,28550
1,1000,35894,28401
1,1000,35638,28037
1,1000,36230,28611
1,1000,35883,28357
1,1000,35499,28052
1,1000,35514,28037
1,1000,36265,28261
1,1000,36315,28858
1,1000,35682,28058
1,1000,35190,28099
1,1000,35491,28051
1,1000,35377,27787
1,1000,36182,28832
1,1000,35379,27845
20,1000,35671,28301
20,1000,35384,28025
20,1000,35115,28175
20,1000,35911,28328
20,1000,35312,27870
20,1000,35321,27843
20,1000,35983,28244
20,1000,35596,28124
20,1000,35818,28571
20,1000,35290,27896
20,1000,35504,27793
20,1000,35537,27947
20,1000,35268,27551
20,1000,35902,28356
20,1000,35274,27599
20,1000,35141,27720
20,1000,35233,27768
20,1000,35094,27716
20,1000,35256,28180
20,1000,35359,27712
39,1000,35851,26216
39,1000,35600,25928
39,1000,35366,25933
39,1000,35250,26052
39,1000,35287,25747
39,1000,35336,25983
39,1000,35549,25718
39,1000,35146,25731
39,1000,35375,26498
39,1000,35324,25847
39,1000,35025,25681
39,1000,35036,25716
39,1000,35142,25627
39,1000,35163,26035
39,1000,35381,25880
39,1000,35219,25647
39,1000,36565,26303
39,1000,36583,26070
39,1000,35921,26031
39,1000,35767,26060
58,1000,35898,29158
58,1000,35954,27972
58,1000,35426,27887
58,1000,35466,27885
58,1000,35429,28144
58,1000,35516,28099
58,1000,35788,27834
58,1000,35021,27964
58,1000,35496,28044
58,1000,35307,28144
58,1000,35318,28033
58,1000,35235,27938
58,1000,35074,27734
58,1000,35701,28236
58,1000,35527,28227
58,1000,35279,27837
58,1000,35116,27779
58,1000,35452,27956
58,1000,35721,28159
58,1000,35740,28161
77,1000,35499,28074
77,1000,35173,27936
77,1000,35258,27753
77,1000,35612,28190
77,1000,35261,27684
77,1000,35063,27716
77,1000,35110,27542
77,1000,35025,27544
77,1000,35731,28381
77,1000,35019,27917
77,1000,35612,27930
77,1000,35473,27985
77,1000,35396,27755
77,1000,35525,28098
77,1000,35270,27838
77,1000,35368,28014
77,1000,35105,27756
77,1000,35015,27753
77,1000,35378,28211
77,1000,35081,27817
96,1000,35339,25797
96,1000,34685,25662
96,1000,34711,25468
96,1000,35136,25929
96,1000,34644,25730
96,1000,34801,25529
96,1000,34630,25671
96,1000,34638,25455
96,1000,34930,26058
96,1000,34752,25652
96,1000,35030,25690
96,1000,34809,25696
96,1000,34820,25746
96,1000,35605,25916
96,1000,35091,25835
96,1000,34963,25587
96,1000,34708,25482
96,1000,34816,25529
96,1000,34819,25482
96,1000,35095,25690
115,1000,35806,29156
115,1000,35601,28332
115,1000,35399,28308
115,1000,35196,27902
115,1000,35645,28152
115,1000,36006,28419
115,1000,35263,27951
115,1000,35236,27962
115,1000,35368,27983
115,1000,35079,28262
115,1000,35084,28370
115,1000,35136,27989
115,1000,35252,28102
115,1000,35132,28098
115,1000,35131,28103
115,1000,35245,27981
115,1000,34917,27648
115,1000,35303,27876
115,1000,35561,28625
115,1000,35302,27979
134,1000,35079,25970
134,1000,34893,25773
134,1000,35223,25722
134,1000,34972,25741
134,1000,34882,26113
134,1000,35047,25706
134,1000,34723,25625
134,1000,35021,25660
134,1000,34689,25704
134,1000,35280,25786
134,1000,34686,25823
134,1000,34621,25658
134,1000,34429,25646
134,1000,34811,26062
134,1000,35066,26004
134,1000,34937,26063
134,1000,34968,25643
134,1000,34764,25519
134,1000,34964,25494
134,1000,35023,25979
153,1000,36098,28951
153,1000,35833,27923
153,1000,35297,28061
153,1000,35572,27920
153,1000,35792,28394
153,1000,35559,28285
153,1000,35562,27861
153,1000,35359,27806
153,1000,35296,27924
153,1000,35721,28188
153,1000,35312,27750
153,1000,35785,28236
153,1000,35615,28104
153,1000,35687,27822
153,1000,35498,28273
153,1000,35398,27845
153,1000,35556,27826
153,1000,35338,27625
153,1000,35177,27845
153,1000,35015,28212
172,1000,35540,27877
172,1000,35749,28306
172,1000,35157,27904
172,1000,35189,27772
172,1000,35325,28266
172,1000,35499,27708
172,1000,35063,27633
172,1000,35439,27642
172,1000,35086,27403
172,1000,35400,28084
172,1000,35425,27816
172,1000,35042,27723
172,1000,35281,27346
172,1000,35323,27566
172,1000,35271,28077
172,1000,35039,27945
172,1000,34938,27487
172,1000,35087,27666
172,1000,35235,27909
172,1000,35179,27988
191,1000,35620,27897
191,1000,35388,27815
191,1000,35462,27915
191,1000,35464,27505
191,1000,35156,27974
191,1000,35229,27786
191,1000,35357,27714
191,1000,35185,27782
191,1000,35329,27907
191,1000,35337,27949
191,1000,35357,27953
191,1000,35157,27842
191,1000,35178,27619
191,1000,35277,27932
191,1000,35055,45806
191,1000,35237,27595
191,1000,35279,27822
191,1000,35235,27849
191,1000,35423,28081
191,1000,35084,27769
210,1000,35339,26255
210,1000,35020,25975
210,1000,35065,25603
210,1000,35050,25911
210,1000,34859,25902
210,1000,34870,25901
210,1000,34690,25592
210,1000,34970,25672
210,1000,34810,26105
210,1000,34725,25869
210,1000,35021,25606
210,1000,34981,25664
210,1000,34853,25480
210,1000,35063,25782
210,1000,35610,26356
210,1000,35103,25977
210,1000,35058,25560
210,1000,34908,25728
210,1000,35015,25640
210,1000,35071,25941
229,1000,35963,28816
229,1000,35646,28169
229,1000,35381,27944
229,1000,35759,27769
229,1000,35702,28293
229,1000,35517,27999
229,1000,35905,27881
229,1000,35833,27771
229,1000,35378,27705
229,1000,36083,28183
229,1000,36036,28632
229,1000,35766,27933
229,1000,35455,27775
229,1000,35622,27829
229,1000,35542,27942
229,1000,35372,27798
229,1000,35563,27821
229,1000,35881,27712
229,1000,35683,27731
229,1000,35956,28102
248,1000,35510,26016
248,1000,35431,25768
248,1000,34961,25686
248,1000,35096,25496
248,1000,35149,25819
248,1000,35034,26197
248,1000,34884,25721
248,1000,34888,25447
248,1000,34801,25505
248,1000,35410,26553
248,1000,35190,25824
248,1000,35100,25766
248,1000,35083,25330
248,1000,35000,25661
248,1000,35002,25721
248,1000,34932,25742
248,1000,35417,25803
248,1000,35100,25559
248,1000,35040,25485
248,1000,35105,25651
267,1000,35985,29158
267,1000,35838,28807
267,1000,35540,28408
267,1000,35969,28357
267,1000,35563,28190
267,1000,35497,28488
267,1000,35609,28006
267,1000,35125,27843
267,1000,35540,27850
267,1000,35386,28025
267,1000,35302,28079
267,1000,35534,27721
267,1000,35516,27990
267,1000,35472,27884
267,1000,35921,28057
267,1000,35375,28061
267,1000,35615,27924
267,1000,35243,28005
267,1000,35222,27844
267,1000,35300,28461
286,1000,35204,26135
286,1000,34995,25595
286,1000,34929,25918
286,1000,34889,25747
286,1000,35150,26061
286,1000,35744,25876
286,1000,35038,25874
286,1000,34992,25783
286,1000,35099,25503
286,1000,35193,25969
286,1000,35124,25980
286,1000,35177,26172
286,1000,34909,25526
286,1000,35419,25598
286,1000,35056,25497
286,1000,35728,25990
286,1000,35254,25705
286,1000,35897,25811
286,1000,35099,25527
286,1000,35145,25476
305,1000,34944,25891
305,1000,34546,25667
305,1000,34858,25268
305,1000,34770,25546
305,1000,34681,25467
305,1000,34810,25865
305,1000,34761,25809
305,1000,34653,25782
305,1000,34379,25636
305,1000,34474,25385
305,1000,34725,25668
305,1000,34562,25849
305,1000,34465,25755
305,1000,34473,25467
305,1000,34487,25403
305,1000,34473,25621
305,1000,34657,25773
305,1000,34691,25421
305,1000,34658,25407
305,1000,34802,25523
324,1000,36025,28917
324,1000,35798,28573
324,1000,35518,28126
324,1000,35207,27894
324,1000,35257,27821
324,1000,35272,27770
324,1000,35204,27956
324,1000,35356,27866
324,1000,35138,27570
324,1000,34827,27760
324,1000,35027,27943
324,1000,35496,28020
324,1000,35436,28039
324,1000,35261,27925
324,1000,35185,27532
324,1000,35321,27766
324,1000,35454,27899
324,1000,35404,27976
324,1000,35433,27779
324,1000,35185,27764
343,1000,35976,28081
343,1000,35643,28757
343,1000,35436,27345
343,1000,35311,27427
343,1000,35560,27493
343,1000,35531,27507
343,1000,35003,27528
343,1000,35324,27587
343,1000,35209,27659
343,1000,35313,27533
343,1000,35731,27779
343,1000,35637,27566
343,1000,35481,27522
343,1000,35108,27375
343,1000,35153,27353
343,1000,35809,27557
343,1000,35547,27430
343,1000,35373,27407
343,1000,35178,27349
343,1000,34942,27475
362,1000,35582,28944
362,1000,35944,28571
362,1000,35937,28263
362,1000,35547,28207
362,1000,35422,27903
362,1000,36423,28773
362,1000,35297,28018
362,1000,35470,28086
362,1000,35226,27795
362,1000,35268,27554
362,1000,35015,28103
362,1000,35117,27989
362,1000,35485,27563
362,1000,35163,27570
362,1000,35172,27747
362,1000,35364,28315
362,1000,35608,27782
362,1000,35618,27927
362,1000,35599,28114
362,1000,35282,27908
381,1000,35390,26209
381,1000,35534,26041
381,1000,34855,25678
381,1000,34934,25618
381,1000,34812,25654
381,1000,35020,25941
381,1000,34966,25795
381,1000,35044,25729
381,1000,34591,25785
381,1000,34631,25492
381,1000,34807,25457
381,1000,34698,25811
381,1000,34868,25507
381,1000,35043,25578
381,1000,34622,25428
381,1000,34810,25535
381,1000,35133,25552
381,1000,34672,25596
381,1000,35031,25782
381,1000,34766,28156
400,1000,36229,28880
400,1000,36065,28750
400,1000,36152,28299
400,1000,35569,27904
400,1000,35432,27681
400,1000,35386,27690
400,1000,35723,28221
400,1000,36173,27937
400,1000,35711,27872
400,1000,35582,27686
400,1000,35438,27856
