Pallet: "balances", Extrinsic: "transfer", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
u,e,extrinsic_time,storage_root_time
1,1000,85152,39328
1,1000,75384,31666
1,1000,74578,30921
1,1000,75216,30841
1,1000,74247,30173
1,1000,73933,30001
1,1000,75645,30319
1,1000,74095,48304
1,1000,73732,30020
1,1000,74801,30504
1,1000,73962,30194
1,1000,73712,29626
1,1000,73908,29709
1,1000,74263,30173
1,1000,74016,30001
1,1000,73369,29787
1,1000,74146,30237
1,1000,73707,29606
1,1000,73518,29854
1,1000,73491,29608
20,1000,73725,27840
20,1000,73091,27829
20,1000,72501,27515
20,1000,72831,28292
20,1000,73241,27742
20,1000,72689,27488
20,1000,73188,27448
20,1000,73259,27647
20,1000,73360,27572
20,1000,72514,27137
20,1000,73172,28081
20,1000,73505,27541
20,1000,72804,27581
20,1000,73626,27392
20,1000,73241,27750
20,1000,73009,27421
20,1000,72853,27334
20,1000,73079,27397
20,1000,73471,27480
20,1000,73142,27489
39,1000,74292,31957
39,1000,74691,30752
39,1000,73841,30184
39,1000,73580,29907
39,1000,73922,29744
39,1000,74058,30591
39,1000,73371,29663
39,1000,73741,30089
39,1000,73836,30349
39,1000,73720,29838
39,1000,73305,29919
39,1000,73470,30264
39,1000,73632,29859
39,1000,73363,29837
39,1000,73839,29781
39,1000,74012,30121
39,1000,73156,30130
39,1000,73090,32672
39,1000,73686,30577
39,1000,73120,29859
58,1000,73883,30792
58,1000,73554,30064
58,1000,73410,30243
58,1000,73814,30032
58,1000,73343,29852
58,1000,74230,30750
58,1000,73477,30076
58,1000,73357,30038
58,1000,73390,30057
58,1000,73387,30225
58,1000,73326,29888
58,1000,73394,29686
58,1000,73647,29907
58,1000,72969,29777
58,1000,73275,29610
58,1000,73338,29676
58,1000,73587,30015
58,1000,73609,29740
58,1000,73297,29469
58,1000,73840,30310
77,1000,73864,33368
77,1000,73672,32133
77,1000,74012,49587
77,1000,74521,32386
77,1000,73704,32091
77,1000,73728,31868
77,1000,74902,32465
77,1000,74153,32070
77,1000,74119,31573
77,1000,74966,32457
77,1000,74046,32038
77,1000,74065,31812
77,1000,74035,31683
77,1000,73836,32070
77,1000,73630,31811
77,1000,73885,31692
77,1000,73994,32170
77,1000,74371,31808
77,1000,73842,31492
77,1000,73720,32047
96,1000,73748,30180
96,1000,73567,29900
96,1000,73328,29623
96,1000,73726,30121
96,1000,73835,30133
96,1000,73482,29659
96,1000,74124,30384
96,1000,86775,30282
96,1000,73402,29743
96,1000,73539,29588
96,1000,73724,29923
96,1000,73746,29870
96,1000,73676,29766
96,1000,73734,30039
96,1000,73698,29746
96,1000,73209,29466
96,1000,73154,30104
96,1000,73634,30020
96,1000,73665,29634
96,1000,73118,29333
115,1000,73550,30036
115,1000,73033,29874
115,1000,73179,29708
115,1000,73647,30348
115,1000,73108,29978
115,1000,73526,29736
115,1000,73447,29698
115,1000,73148,30153
115,1000,73333,29968
115,1000,73203,29387
115,1000,73641,30040
115,1000,72898,34280
115,1000,73735,29487
115,1000,73470,29577
115,1000,75068,30401
115,1000,73445,29850
115,1000,73168,29788
115,1000,73235,29881
115,1000,73230,29813
115,1000,73195,29172
134,1000,73992,30549
134,1000,73966,30024
134,1000,73407,29591
134,1000,73710,29661
134,1000,74225,29830
134,1000,73488,29702
134,1000,73907,29869
134,1000,73712,29794
134,1000,73818,29469
134,1000,73617,29154
134,1000,73665,29231
134,1000,73778,30125
134,1000,73136,29484
134,1000,73383,29531
134,1000,73527,29811
134,1000,73569,29494
134,1000,73367,32643
134,1000,73359,29451
134,1000,73936,29807
134,1000,73004,29845
153,1000,73820,29887
153,1000,73928,29941
153,1000,74126,29541
153,1000,73739,29286
153,1000,73649,29279
153,1000,74366,29482
153,1000,73039,29432
153,1000,73658,29397
153,1000,73686,29837
153,1000,73183,29411
153,1000,73154,29059
153,1000,73120,29231
153,1000,73774,29650
153,1000,73436,29523
153,1000,73239,29194
153,1000,73701,29851
153,1000,73977,29491
153,1000,73224,29321
153,1000,73456,29487
153,1000,73317,29325
172,1000,73681,31093
172,1000,76862,30675
172,1000,73978,30267
172,1000,73749,29910
172,1000,73623,29726
172,1000,73961,30566
172,1000,73519,29933
172,1000,73158,29569
172,1000,73147,29801
172,1000,73711,30111
172,1000,73355,29597
172,1000,73432,29395
172,1000,73491,30287
172,1000,73766,29609
172,1000,72958,29592
172,1000,73370,29822
172,1000,73109,29801
172,1000,72919,29828
172,1000,73458,29647
172,1000,74074,30037
191,1000,73242,33123
191,1000,73650,31998
191,1000,73819,32276
191,1000,73228,31801
191,1000,73440,31474
191,1000,73344,31403
191,1000,74322,32662
191,1000,73535,31770
191,1000,73487,31753
191,1000,73507,32131
191,1000,73374,31849
191,1000,73388,31491
191,1000,73908,32045
191,1000,73451,31780
191,1000,73408,31692
191,1000,72952,31127
191,1000,73882,31687
191,1000,73548,31651
191,1000,72897,31495
191,1000,73453,32137
210,1000,74016,30584
210,1000,73317,30261
210,1000,73524,29912
210,1000,73687,30107
210,1000,73248,29611
210,1000,72996,29662
210,1000,73734,30084
210,1000,73328,29926
210,1000,73430,29833
210,1000,73702,29541
210,1000,73412,29925
210,1000,73927,30027
210,1000,73249,29674
210,1000,73766,30145
210,1000,73553,29933
210,1000,73005,30211
210,1000,73593,29614
210,1000,73261,29606
210,1000,73731,29653
210,1000,73030,29447
229,1000,74033,27759
229,1000,72859,27590
229,1000,72881,27295
229,1000,72479,27132
229,1000,73307,27339
229,1000,73211,27283
229,1000,73246,27102
229,1000,72981,27647
229,1000,72751,27269
229,1000,72740,27409
229,1000,72840,26882
229,1000,73285,27596
229,1000,73073,27357
229,1000,72654,26902
229,1000,72986,27487
229,1000,73074,27130
229,1000,73017,27356
229,1000,73927,27226
229,1000,73079,27619
229,1000,72726,27092
248,1000,73239,30426
248,1000,72990,29860
248,1000,73059,29758
248,1000,73356,29664
248,1000,72937,29630
248,1000,73321,29966
248,1000,72935,29711
248,1000,73147,29598
248,1000,73207,29841
248,1000,73225,29590
248,1000,72567,29226
248,1000,72983,29513
248,1000,73491,30252
248,1000,73154,29710
248,1000,72989,29364
248,1000,73023,29847
248,1000,73050,29853
248,1000,72570,29505
248,1000,72893,29791
248,1000,73112,29836
267,1000,73390,30657
267,1000,73079,30000
267,1000,76365,30610
267,1000,73708,30140
267,1000,73115,29749
267,1000,73126,29518
267,1000,73655,30258
267,1000,73391,29634
267,1000,73193,29574
267,1000,73813,30491
267,1000,73588,29766
267,1000,73535,29894
267,1000,73608,29713
267,1000,73650,30058
267,1000,73080,29723
267,1000,73308,29276
267,1000,74094,30254
267,1000,73364,29497
267,1000,73109,29467
267,1000,73397,29829
286,1000,75314,38011
286,1000,74541,35785
