Pallet: "claims", Extrinsic: "claim_attest", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
u,extrinsic_time,storage_root_time
0,311404,67785
0,274114,50990
0,272612,49767
0,270677,49200
0,271176,49239
0,274053,49192
0,271813,50418
0,271788,49694
0,271458,49173
0,271034,49595
0,270151,49136
0,270567,48818
0,271222,49665
0,274742,49451
0,270746,48932
0,271368,49486
0,272161,49000
0,271905,50063
0,271279,52943
0,275056,49455
20,286113,50725
20,271663,49651
20,271493,50075
20,270337,49988
20,270891,49582
20,271187,49126
20,271108,49552
20,270404,49553
20,271215,50481
20,270295,49897
20,271391,49650
20,270433,49634
20,271206,49949
20,270918,50497
20,270827,49653
20,270374,49978
20,269996,49759
20,270323,49373
20,270836,49975
20,269644,49940
40,271523,49511
40,268895,49587
40,268906,49295
40,269154,49766
40,273613,50279
40,269999,49960
40,269296,49895
40,268788,49561
40,268722,49582
40,269679,50069
40,272587,49867
40,269451,49569
40,268916,49458
40,269692,49712
40,269776,50154
40,269602,49688
40,269573,49717
40,270094,50001
40,269985,49846
40,269934,49800
60,273432,50218
60,271619,50039
60,271047,49964
60,271589,49398
60,273898,49912
60,273450,50560
60,270804,49924
60,270582,49802
60,271172,49634
60,271502,49688
60,271470,49924
60,270471,50055
60,270731,49755
60,271178,49955
60,270771,49797
60,302293,50069
60,270336,50145
60,270799,50164
60,270029,50036
60,271066,49872
80,272900,49676
80,274550,50543
80,271024,49850
80,270123,49449
80,270230,49749
80,269771,49922
80,270769,50000
80,270411,53293
80,271049,49683
80,270644,49803
80,269834,49139
80,270798,49472
80,270840,49759
80,270178,49618
80,271112,49674
80,270745,49715
80,271064,49540
80,271796,50351
80,271860,49628
80,271569,49913
100,271068,47448
100,269312,46798
100,269202,46553
100,269752,47148
100,269722,46498
100,269175,46539
100,272360,46842
100,269103,46862
100,269268,47608
100,269028,46569
100,269085,46734
100,268751,46524
100,271539,46573
100,268224,47067
100,268459,46923
100,268759,46444
100,268078,46501
100,268007,46928
100,268448,46825
100,269274,47048
120,272517,51254
120,271639,49671
120,270680,49716
120,270827,49518
120,270897,50008
120,270756,49756
120,270569,49620
120,271121,49651
120,271083,49451
120,273206,49832
120,271400,50171
120,303473,50178
120,272229,49416
120,271662,49520
120,270939,49629
120,272208,50023
120,271461,49593
120,274515,49468
120,271023,49463
120,272063,49478
140,271113,50197
140,270190,50147
140,269329,50043
140,272159,50122
140,269279,49650
140,269660,49842
140,269719,50223
140,268921,49691
140,269275,49624
140,269566,49783
140,269398,49774
140,269629,50478
140,269117,50018
140,268888,49790
140,268417,49726
140,269515,49920
140,269188,57179
140,269286,50049
140,269104,49734
140,269170,49575
160,271668,46919
160,269117,46970
160,273376,47364
160,269685,46731
160,269286,46699
160,269037,46580
160,269165,46736
160,268981,47596
160,272945,47021
160,269726,46693
160,269592,46939
160,269026,46946
160,269680,46399
160,270336,46987
160,269749,46949
160,268878,46944
160,269269,46694
160,269433,46790
160,269694,47064
160,269700,46802
180,271457,46643
180,269894,46815
180,269231,46862
180,269763,47025
180,269329,47723
180,269619,47228
180,269814,47207
180,300937,47011
180,269336,46194
180,268457,47163
180,269452,46541
180,268917,46225
180,269387,46172
180,272901,46641
180,269398,46601
180,270301,47180
180,270226,46585
180,269321,46993
180,270470,46805
180,269717,46662
200,272828,54598
200,270985,49869
200,270523,49841
200,270939,49729
200,270543,49682
200,271338,49737
200,271014,49922
200,271094,49645
200,270413,49551
200,270937,49305
200,270696,49772
200,271038,50393
200,270812,49855
200,270612,50211
200,270855,49620
200,270802,49433
200,270352,49956
200,270050,49591
200,310352,50783
200,270275,49481
220,272223,49800
220,269768,49815
220,270400,50471
220,269813,49953
220,272801,50024
220,269544,49631
220,269836,49734
220,270220,50607
220,269615,49895
220,269658,49484
220,268759,49485
220,269694,49729
220,270086,50289
220,271040,50141
220,269510,49680
220,270041,49825
220,269983,49854
220,270557,50180
220,270057,50460
220,270112,49964
240,272220,49493
240,270374,49917
240,270404,49698
240,270568,50413
240,270661,49796
240,269936,49750
240,269577,49510
240,270272,49577
240,269798,50057
240,274038,49766
240,270340,49544
240,269940,49569
240,269986,50055
240,269968,49900
240,270001,50192
240,272717,50043
240,269806,49800
240,271437,50105
240,269386,49839
240,271010,50716
260,270913,49811
260,268727,53735
260,268678,49869
260,269526,49777
260,269770,50532
260,269891,49735
260,270348,49981
260,269495,49565
260,269313,49826
260,269159,50009
260,269718,51019
260,268773,49975
260,269914,49288
260,268585,49388
260,268222,49687
260,269519,50483
260,268872,49992
260,269168,49780
260,269068,49484
260,269281,49632
280,276066,49832
280,272062,49154
