Pallet: "claims", Extrinsic: "eth_recover", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
i,extrinsic_time,storage_root_time
0,1327,5620
0,863,2267
0,815,2119
0,782,1988
0,747,2019
0,776,2004
0,804,2042
0,772,2005
0,775,1989
0,745,2028
0,735,2001
0,740,2325
0,757,1902
0,775,1982
0,738,2030
0,756,2011
0,750,1939
0,751,1992
0,744,1986
0,709,1961
20,3323456,2979
20,3234489,2709
20,3223060,2764
20,3229379,2694
20,3219045,2635
20,3222279,2834
20,3212539,2752
20,3254388,2752
20,3217629,2703
20,3218107,2682
20,3213857,2718
20,3212300,2613
20,3204447,2614
20,3206368,2813
20,3207037,2732
20,3213181,2843
20,3239060,2799
20,3199124,2701
20,3210646,2638
20,3204426,2695
40,6391410,2855
40,6297001,2716
40,6290454,2665
40,6293013,2853
40,6270493,2769
40,6257543,2700
40,6266918,2775
40,6267007,2718
40,6275530,2923
40,6259364,2802
40,6275975,2663
40,6269573,2790
40,6285896,2722
40,6293403,2736
40,6288973,2787
40,6272226,2766
40,6274408,2740
40,6260892,2802
40,6261819,2749
40,6266416,2772
60,9658412,2799
60,9553563,2697
60,9538073,2735
60,9511571,2853
60,9494106,2732
60,9530099,2906
60,9486614,2807
60,9478359,2793
60,9475736,2717
60,9499263,2805
60,9534745,2989
60,9488197,2884
60,9476723,2762
60,9471219,2719
60,9464043,2892
60,9465102,2712
60,9504724,2682
60,9483839,2897
60,9467844,2713
60,9537443,2719
80,12814913,2782
80,12682310,2744
80,12658949,2724
80,12684592,2719
80,12661151,2719
80,12647484,2749
80,12649531,2716
80,12665965,2761
80,12662327,2622
80,12644124,2835
80,12637620,2714
80,12629352,2781
80,12634180,2682
80,12685995,2897
80,12622389,2853
80,12621608,2710
80,12627337,2847
80,12640726,2692
80,12643040,2782
80,12644633,2785
100,15855629,2750
100,15712070,2775
100,15679104,2713
100,15704150,2678
100,15706858,2812
100,15633019,2810
100,15660338,2725
100,15678582,2850
100,15615056,2676
100,15648126,2953
100,15691809,2876
100,15640438,2813
100,15637193,2893
100,15618920,2853
100,15669812,2757
100,15636075,2754
100,15629805,2761
100,15627807,2697
100,15648450,2953
100,15647453,2771
120,19042055,2831
120,18838556,2700
120,18812105,2773
120,18850617,2742
120,18830392,2867
120,18859658,2753
120,18796789,2720
120,18807162,2797
120,18800069,2801
120,18862121,2698
120,18812382,2867
120,18800636,2768
120,18785622,2802
120,18821115,2709
120,18809675,2759
120,18803800,2875
120,18787632,2839
120,18876392,3046
120,18777368,2732
120,18826009,2771
140,22154051,2833
140,22064216,2778
140,22004993,2890
140,21943753,2840
140,21954835,2792
140,21933367,2685
140,21927205,2745
140,21902242,2657
140,21968061,2857
140,21937412,2843
140,21923899,2769
140,21890681,2779
140,21928714,2709
140,21900724,2801
140,21889445,2763
140,21888797,2653
140,21865378,2768
140,21882205,2723
140,21932032,2715
140,21930147,2880
160,25191395,2846
160,25089090,2858
160,24998947,2755
160,25024475,2874
160,24985972,2726
160,24969244,2733
160,24989718,2718
160,25015125,2675
160,24960279,2671
160,25003459,2838
160,25008721,2816
160,25029752,2735
160,25039223,2789
160,24963500,2712
160,24949382,2696
160,24995581,2691
160,24931486,2692
160,24945115,2814
160,24980601,2663
160,25030879,2826
180,28412870,3103
180,28185088,2809
180,28133327,2753
180,28190446,2812
180,28124811,2778
180,28075271,2841
180,28129424,2772
180,28131126,2805
180,28101398,2812
180,28090337,2799
180,28120454,2812
180,28084932,2759
180,28101163,2725
180,28053569,2698
180,28060995,2700
180,28119224,2808
180,28083254,2802
180,28108389,2714
180,28086809,2773
180,28080521,2813
200,31401613,2834
200,31205974,2836
200,31138936,2679
200,31169199,2852
200,31197629,2878
200,31143086,2832
200,31175112,2886
200,31172003,2748
200,31125445,2793
200,31078621,2756
200,31087841,2683
200,31068009,2796
200,31066417,2764
200,31162403,3163
200,31113350,2970
200,31023454,2822
200,31025404,2721
200,31107989,2761
200,31092273,2666
200,31053663,2660
220,34587481,2832
220,34765672,3013
220,34309526,2824
220,34300124,2824
220,34349623,2811
220,34295115,2729
220,34284959,2664
220,34286400,2728
220,34270773,2772
220,34268501,2804
220,34236557,2762
220,34189290,2744
220,34198661,2677
220,34215520,2651
220,34184452,2769
220,34271314,2952
220,34246665,3029
220,34241479,2705
220,34183048,2811
220,34186632,2708
240,37761153,2766
240,38132941,2712
240,37661337,2796
240,37487054,2974
240,37453837,2841
240,37446908,2677
240,37508052,2784
240,37396724,2860
240,37426752,2810
240,37493257,2781
240,37481731,2777
240,37427951,2766
240,37550853,2750
240,37593558,2786
240,37424570,2805
240,37438195,2805
240,37383579,2757
240,37453659,2857
240,37371438,2765
240,37428243,2750
260,41326769,2884
260,41063932,2757
260,41094931,2824
260,41078748,2829
260,40914881,2736
260,40920690,2723
260,40956706,2890
260,41025889,2937
260,41021038,3086
260,40914184,2806
260,41004123,2927
260,41012546,2806
260,40998146,2843
260,41054907,2799
260,41089488,2817
260,41083910,2729
260,40947922,2759
260,41024394,2773
260,41000431,2860
260,41032891,2752
280,44771617,2780
280,44446208,2765
280,44436651,2781
280,44488215,2769
280,44366158,2693
280,44393641,2762
280,44424661,2855
280,44359546,2915
280,44341786,2746
280,44373741,2801
280,44325294,2752
280,44306561,2800
280,44295243,2982
280,44283376,2762
280,44237489,2824
280,44230416,2741
280,44287565,2788
280,44262914,2731
280,44189482,2697
280,44208143,2708
300,48061104,2848
300,47728394,2887
300,47614060,2828
300,47569874,2774
300,47526347,2808
300,47464650,2735
300,47549357,2836
300,47558782,2791
300,47597374,2806
300,47564708,2777
300,47445099,2750
300,47494505,2801
300,47530613,2765
300,47623749,3039
300,47488704,2886
300,47505548,2787
300,47502207,2781
300,47576834,2782
300,47558221,2939
300,47501104,2882
320,50338643,2660
320,50079313,2810
320,50004414,2892
320,49995446,2786
320,50029216,2742
320,50060263,2822
320,49911700,2729
320,49896175,2735
320,50042287,3062
320,49901841,2906
320,49903862,2924
320,49801229,2783
320,49858630,2725
320,49813623,2846
320,49810794,2822
320,49908755,2732
320,49822117,2844
320,49846052,2780
320,49853690,2892
320,49807712,2911
