Pallet: "collective", Extrinsic: "close_early_disapproved", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
m,p,b,extrinsic_time,storage_root_time
5,100,1024,89686,51823
5,100,1024,86339,49064
5,100,1024,87001,48651
5,100,1024,87029,48377
5,100,1024,87590,48201
5,100,1024,81499,47459
5,100,1024,87511,48700
5,100,1024,86956,49067
5,100,1024,88126,48261
5,100,1024,87487,48575
5,100,1024,86934,48882
5,100,1024,87693,49309
5,100,1024,86879,48304
5,100,1024,81725,48758
5,100,1024,87573,48578
5,100,1024,86824,48638
5,100,1024,86897,48303
5,100,1024,87878,49012
5,100,1024,86583,48527
5,100,1024,86890,48169
6,100,1024,90023,48537
6,100,1024,89315,48388
6,100,1024,86361,48816
6,100,1024,83070,48021
6,100,1024,89643,48470
6,100,1024,86732,48454
6,100,1024,87354,48977
6,100,1024,81145,51856
6,100,1024,87363,48334
6,100,1024,86990,48849
6,100,1024,87660,48600
6,100,1024,87010,48659
6,100,1024,87693,48962
6,100,1024,87953,48785
6,100,1024,89895,48136
6,100,1024,87029,48545
6,100,1024,87747,48169
6,100,1024,81348,48739
6,100,1024,88705,48888
6,100,1024,88192,48374
7,100,1024,88844,48851
7,100,1024,87635,48312
7,100,1024,87874,48912
7,100,1024,84717,48288
7,100,1024,88103,49613
7,100,1024,87426,48838
7,100,1024,89094,48220
7,100,1024,89719,49271
7,100,1024,88426,48616
7,100,1024,87864,48445
7,100,1024,88154,51289
7,100,1024,87511,48325
7,100,1024,89642,48453
7,100,1024,88023,48845
7,100,1024,89212,49012
7,100,1024,88075,48942
7,100,1024,87683,48619
7,100,1024,87932,48295
7,100,1024,88470,48972
7,100,1024,88449,49203
8,100,1024,88999,48872
8,100,1024,88395,49609
8,100,1024,84741,48084
8,100,1024,90946,48702
8,100,1024,88221,49197
8,100,1024,83200,49042
8,100,1024,87370,48593
8,100,1024,83274,48125
8,100,1024,88354,49455
8,100,1024,87511,48449
8,100,1024,88283,48977
8,100,1024,88209,53886
8,100,1024,88134,48494
8,100,1024,86646,48530
8,100,1024,87980,48184
8,100,1024,88222,48742
8,100,1024,82374,49045
8,100,1024,88554,49673
8,100,1024,88173,48529
8,100,1024,88573,49184
9,100,1024,88466,48946
9,100,1024,88804,48670
9,100,1024,82772,48279
9,100,1024,90430,48560
9,100,1024,88190,48984
9,100,1024,88004,48848
9,100,1024,88631,49085
9,100,1024,88193,48798
9,100,1024,87993,48569
9,100,1024,91144,49261
9,100,1024,88133,48167
9,100,1024,88105,48619
9,100,1024,87769,49079
9,100,1024,88429,48077
9,100,1024,87931,48844
9,100,1024,89144,49010
9,100,1024,87990,48604
9,100,1024,88698,48779
9,100,1024,87911,47891
9,100,1024,88404,48543
10,100,1024,88616,48762
10,100,1024,85232,47489
10,100,1024,88364,48708
10,100,1024,88259,48561
10,100,1024,88380,48610
10,100,1024,88468,49024
10,100,1024,89318,47995
10,100,1024,89942,48682
10,100,1024,88738,48711
10,100,1024,90881,48431
10,100,1024,88909,48235
10,100,1024,90265,51657
10,100,1024,88118,48525
10,100,1024,88452,48546
10,100,1024,90279,48637
10,100,1024,88548,48005
10,100,1024,91528,48669
10,100,1024,88600,48741
10,100,1024,88754,48519
10,100,1024,89451,48595
11,100,1024,88416,48117
11,100,1024,89265,48677
11,100,1024,88696,48579
11,100,1024,88817,48601
11,100,1024,87991,48218
11,100,1024,90123,48838
11,100,1024,88317,48406
11,100,1024,91196,48845
11,100,1024,89037,48346
11,100,1024,89365,48755
11,100,1024,89394,48776
11,100,1024,89460,47859
11,100,1024,82814,47905
11,100,1024,88893,48508
11,100,1024,88515,48707
11,100,1024,89252,48448
11,100,1024,89118,48749
11,100,1024,88572,48090
11,100,1024,89502,49029
11,100,1024,90252,48885
12,100,1024,88763,48630
12,100,1024,83011,48184
12,100,1024,88806,48440
12,100,1024,88093,48757
12,100,1024,86350,51231
12,100,1024,89522,48224
12,100,1024,91136,48763
12,100,1024,89584,48732
12,100,1024,89489,48711
12,100,1024,89228,48741
12,100,1024,88568,48701
12,100,1024,88660,48781
12,100,1024,90087,48779
12,100,1024,89263,48477
12,100,1024,89494,48666
12,100,1024,89363,48434
12,100,1024,89066,48689
12,100,1024,89442,48800
12,100,1024,89416,48662
12,100,1024,89213,49030
13,100,1024,89485,48452
13,100,1024,89035,48629
13,100,1024,89421,48588
13,100,1024,89606,47957
13,100,1024,89389,48530
13,100,1024,89529,49061
13,100,1024,88566,49219
13,100,1024,89408,48244
13,100,1024,88950,48405
13,100,1024,90266,49004
13,100,1024,88841,48702
13,100,1024,89184,48613
13,100,1024,89782,49163
13,100,1024,89705,48929
13,100,1024,88822,48386
13,100,1024,89251,51257
13,100,1024,88786,48621
13,100,1024,89031,48662
13,100,1024,89544,48530
13,100,1024,89676,48724
14,100,1024,89124,48699
14,100,1024,89553,48561
14,100,1024,89662,48539
14,100,1024,88975,48600
14,100,1024,90401,48166
14,100,1024,90258,48642
14,100,1024,89460,48581
14,100,1024,88786,48661
14,100,1024,88995,48356
14,100,1024,89268,48599
14,100,1024,89696,48487
14,100,1024,90261,48959
14,100,1024,89355,49703
14,100,1024,88488,48390
14,100,1024,89403,48243
14,100,1024,88202,49076
14,100,1024,84408,48452
14,100,1024,88247,48661
14,100,1024,89278,48814
14,100,1024,88949,49091
15,100,1024,88580,48736
15,100,1024,93265,48845
15,100,1024,88388,48519
15,100,1024,89143,48331
15,100,1024,88807,51651
15,100,1024,90346,49143
15,100,1024,89033,48351
15,100,1024,89288,48415
15,100,1024,89575,48848
15,100,1024,88670,48347
15,100,1024,89893,48916
15,100,1024,89396,48967
15,100,1024,88698,48826
15,100,1024,88874,48405
15,100,1024,89290,48495
15,100,1024,88502,48588
15,100,1024,90086,48665
15,100,1024,88517,48655
15,100,1024,89264,48543
15,100,1024,88944,48196
16,100,1024,90021,49269
16,100,1024,89383,48931
16,100,1024,90047,48920
16,100,1024,89312,48361
16,100,1024,89886,48625
