Pallet: "collective", Extrinsic: "set_members", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
m,n,p,extrinsic_time,storage_root_time
1,100,100,734514,332530
1,100,100,727251,327232
1,100,100,730280,328615
1,100,100,727587,325553
1,100,100,726127,328812
1,100,100,726517,330644
1,100,100,726113,326576
1,100,100,735664,327987
1,100,100,728612,327133
1,100,100,727088,327031
1,100,100,731466,327514
1,100,100,726889,326131
1,100,100,729297,328160
1,100,100,725561,327551
1,100,100,725864,327405
1,100,100,757192,328061
1,100,100,723012,327434
1,100,100,727573,328333
1,100,100,776557,327546
1,100,100,754505,327082
2,100,100,727010,327520
2,100,100,725388,330929
2,100,100,726699,327325
2,100,100,727876,327133
2,100,100,724226,327253
2,100,100,730958,325533
2,100,100,732076,327998
2,100,100,724032,326140
2,100,100,730107,327338
2,100,100,726412,326126
2,100,100,726693,327155
2,100,100,729520,326499
2,100,100,731848,325317
2,100,100,731730,327412
2,100,100,727337,329298
2,100,100,730493,327143
2,100,100,731407,326744
2,100,100,729586,326983
2,100,100,734352,326444
2,100,100,734776,326325
3,100,100,738109,328555
3,100,100,736344,327946
3,100,100,735047,329146
3,100,100,730888,327734
3,100,100,727176,326874
3,100,100,733968,327514
3,100,100,731888,328782
3,100,100,734310,326642
3,100,100,729924,327449
3,100,100,729092,327475
3,100,100,739627,327387
3,100,100,732718,326417
3,100,100,729547,329091
3,100,100,733339,330635
3,100,100,732098,327454
3,100,100,728421,327986
3,100,100,736614,327146
3,100,100,729181,326555
3,100,100,736791,328304
3,100,100,731066,327815
4,100,100,748409,328064
4,100,100,752608,327136
4,100,100,749803,327679
4,100,100,755347,325397
4,100,100,753034,329356
4,100,100,753227,324556
4,100,100,752568,331419
4,100,100,745697,327561
4,100,100,749329,327155
4,100,100,753283,326609
4,100,100,746895,327654
4,100,100,759762,326486
4,100,100,749738,327781
4,100,100,746676,326715
4,100,100,756355,326533
4,100,100,748125,356472
4,100,100,750939,326682
4,100,100,749068,328164
4,100,100,750333,327908
4,100,100,751841,327507
5,100,100,769727,326946
5,100,100,773641,330712
5,100,100,780622,326992
5,100,100,773895,327407
5,100,100,769905,327479
5,100,100,770286,325452
5,100,100,768026,326699
5,100,100,778250,328011
5,100,100,771090,325809
5,100,100,775289,326998
5,100,100,770532,327308
5,100,100,769431,326422
5,100,100,771123,327989
5,100,100,772564,328125
5,100,100,776487,326626
5,100,100,772597,327544
5,100,100,774897,326145
5,100,100,776838,356787
5,100,100,771166,327569
5,100,100,774277,326197
6,100,100,784913,326386
6,100,100,788519,325147
6,100,100,791721,327561
6,100,100,788589,328330
6,100,100,791693,326767
6,100,100,794503,327433
6,100,100,786897,327626
6,100,100,791432,325277
6,100,100,790491,327674
6,100,100,794585,327294
6,100,100,791530,328343
6,100,100,787298,329466
6,100,100,794059,328443
6,100,100,794206,326082
6,100,100,787105,325995
6,100,100,791597,327855
6,100,100,787913,327042
6,100,100,786881,325482
6,100,100,788887,328235
6,100,100,791275,327766
7,100,100,807477,326626
7,100,100,810024,327419
7,100,100,813140,330749
7,100,100,806315,326628
7,100,100,811183,327558
7,100,100,808511,327060
7,100,100,811056,329053
7,100,100,808987,327811
7,100,100,812770,325659
7,100,100,806363,327407
7,100,100,815423,327416
7,100,100,813669,327093
7,100,100,811267,324606
7,100,100,808181,327531
7,100,100,814441,327707
7,100,100,813667,327612
7,100,100,810556,327540
7,100,100,808063,328711
7,100,100,806621,328033
